cpd_id,category,old_formula,new_formula,formula_changed,old_charge,new_charge,charge_changed,old_stereo_defined,new_stereo_defined,old_stereo_potential,new_stereo_potential,old_smiles,new_smiles
cpd02413,added,,C27H30O15,no,,0,no,,9,,10,,C[C@@H]1OC(O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2c2c(O)cc3oc(-c4ccc(O)c(O)c4)cc(=O)c3c2O)[C@H](O)[C@H](O)[C@H]1O
cpd02453,added,,C21H20O11,no,,0,no,,5,,5,,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12
cpd02492,added,,C27H30O15,no,,0,no,,10,,10,,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12
cpd02509,canonicalization,C60H82CoN13O15P,C60H82CoN13O15P,no,-3,-3,no,13,13,15,15,CC1=C2N3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5N6[C@@H]7[C@H](CC(N)=O)[C@@]5(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]5[C@@H](O)[C@H](O[C@@H]5CO)[n+]5cn(c8cc([O-])ccc85)[Co-4]364[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]73C)[C@@H](CCC(N)=O)C2(C)C,CC1=C2[N]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@@H]7[C@H](CC(N)=O)[C@@]5(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]5[C@@H](O)[C@H](O[C@@H]5CO)[n+]5c[n](c8cc([O-])ccc85)[Co-4]364[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]73C)[C@@H](CCC(N)=O)C2(C)C
cpd02539,added,,C15H10O8,no,,0,no,,0,,0,,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12
cpd02579,added,,C27H30O15,no,,0,no,,10,,10,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12
cpd02656,added,,C13H18N4O6,no,,0,no,,3,,3,,Cc1nc2c(=O)[nH]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C
cpd02712,added,,C16H12O7,no,,0,no,,0,,0,,COc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O
cpd02744,removed,C4H11N3O7P2,,no,-2,,no,,,,,COP(=O)([O-])OCCNC(N)=[NH+]P(=O)([O-])[O-],
cpd02762,canonicalization,C35H34MgN4O4,C35H34MgN4O4,no,0,0,no,4,4,4,4,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)OC)c3n1[Mg]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)OC)c3[n]1[Mg][n]1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
cpd02771,added,,C18H16O8,no,,0,no,,0,,0,,COc1cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c(O)c1OC
