cpd_id	compound_name	action	stored_inchikey	pka_inchikey	stored_smiles	pka_smiles	stored_formula	pka_formula	stored_charge	pka_charge	borderline_pka
cpd04815	6-demethyl-6-deoxy-5-hydroxy-6-methylenetetracycline	corrected	ZZNRJDRMIATXIN-IWVLMIASSA-M	ZZNRJDRMIATXIN-IWVLMIASSA-N	C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C([O-])=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12	C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12	C22H21N2O8	C22H22N2O8	-1	0	
cpd04867	2,2',3-THD-ether	flagged_borderline	XEAZDMSYJLCYDK-UHFFFAOYSA-M		[O-]c1ccccc1Oc1cccc(O)c1O		C12H9O4		-1	0	atom 14 pKa=6.62
cpd05890	Aloesin	corrected	HKIKAXXIWJHWLY-ZIIYPAMZSA-M	HKIKAXXIWJHWLY-ZIIYPAMZSA-N	CC(=O)Cc1cc(=O)c2c(C)cc([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2o1	CC(=O)Cc1cc(=O)c2c(C)cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2o1	C19H21O9	C19H22O9	-1	0	
cpd06909	4',7-dimethylapigenin	corrected	LZERJKGWTQYMBB-UHFFFAOYSA-M	LZERJKGWTQYMBB-UHFFFAOYSA-N	COc1ccc(-c2cc(=O)c3c([O-])cc(OC)cc3o2)cc1	COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1	C17H13O5	C17H14O5	-1	0	
cpd06915	5,6,7-trihydroxyflavone 7-O-beta-D-glucuronate	corrected	IKIIZLYTISPENI-ZFORQUDYSA-L	IKIIZLYTISPENI-ZFORQUDYSA-M	O=C([O-])[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c([O-])c2O)[C@H](O)[C@@H](O)[C@@H]1O	O=C([O-])[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O	C21H16O11	C21H17O11	-2	-1	
cpd06920	3,6,7,3'-tetra-methylquercetagetin	corrected	NBVTYGIYKCPHQN-UHFFFAOYSA-M	NBVTYGIYKCPHQN-UHFFFAOYSA-N	COc1cc(-c2oc3cc(OC)c(OC)c([O-])c3c(=O)c2OC)ccc1O	COc1cc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O	C19H17O8	C19H18O8	-1	0	
cpd06921	3, 7, 3'-O-trimethylquercetagetin	corrected	QQBSPLCHDUCBNM-UHFFFAOYSA-M	QQBSPLCHDUCBNM-UHFFFAOYSA-N	COc1cc(-c2oc3cc(OC)c(O)c([O-])c3c(=O)c2OC)ccc1O	COc1cc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)ccc1O	C18H15O8	C18H16O8	-1	0	
cpd06974	3'-methoxyquercetin	corrected	IZQSVPBOUDKVDZ-UHFFFAOYSA-L	IZQSVPBOUDKVDZ-UHFFFAOYSA-N	COc1cc(-c2oc3cc([O-])cc([O-])c3c(=O)c2O)ccc1O	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O	C16H10O7	C16H12O7	-2	0	
cpd07003	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	corrected	PLAPMLGJVGLZOV-VPRICQMDSA-M	PLAPMLGJVGLZOV-VPRICQMDSA-N	O=c1cc(-c2ccc(O)c(O)c2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])cc(O)c12	O=c1cc(-c2ccc(O)c(O)c2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12	C21H19O11	C21H20O11	-1	0	
cpd07005	3,7,4'-trimethylquercetagetin	corrected	UQBUUCDVKDSHCE-UHFFFAOYSA-M	UQBUUCDVKDSHCE-UHFFFAOYSA-N	COc1ccc(-c2oc3cc(OC)c(O)c([O-])c3c(=O)c2OC)cc1O	COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)cc1O	C18H15O8	C18H16O8	-1	0	
cpd07007	6-methoxyquercetin	corrected	JMIFIYIEXODVTO-UHFFFAOYSA-L	JMIFIYIEXODVTO-UHFFFAOYSA-N	COc1c([O-])cc2oc(-c3ccc(O)c(O)c3)c([O-])c(=O)c2c1O	COc1c(O)cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1O	C16H10O8	C16H12O8	-2	0	
cpd07011	6-Hydroxyquercetin	corrected	ZVOLCUVKHLEPEV-UHFFFAOYSA-L	ZVOLCUVKHLEPEV-UHFFFAOYSA-N	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])c(O)c([O-])c12	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12	C15H8O8	C15H10O8	-2	0	
cpd07086	5,7-dihydroxy-8-methoxy-2-phenyl-4H-1-benzopyran-4-one ion(1-)	corrected	XLTFNNCXVBYBSX-UHFFFAOYSA-M	XLTFNNCXVBYBSX-UHFFFAOYSA-N	COc1c([O-])cc(O)c2c(=O)cc(-c3ccccc3)oc12	COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12	C16H11O5	C16H12O5	-1	0	
cpd07407	3-(4-hydroxyphenyl)-7-methoxy-4-oxo-4H-1-benzopyran-5-olate	corrected	KQMVAGISDHMXJJ-UHFFFAOYSA-M	KQMVAGISDHMXJJ-UHFFFAOYSA-N	COc1cc([O-])c2c(=O)c(-c3ccc(O)cc3)coc2c1	COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1	C16H11O5	C16H12O5	-1	0	
cpd08434	3',5'-O-Dimethylmyricetin	corrected	UZMAPBJVXOGOFT-UHFFFAOYSA-M	UZMAPBJVXOGOFT-UHFFFAOYSA-N	COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)cc(OC)c1O	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(OC)c1O	C17H13O8	C17H14O8	-1	0	
cpd09263	2-(3,4-dihydroxyphenyl)-7-{[2-O-(beta-D-glucopyranuronosyl)-beta-D-glucopyranuronosyl]oxy}-4-oxo-4H-chromen-5-olate	corrected	PBBVWJQPAZYQDB-DBFWEQBMSA-K	PBBVWJQPAZYQDB-DBFWEQBMSA-L	O=C([O-])[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc([O-])c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)O[C@H](C(=O)[O-])[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	O=C([O-])[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)O[C@H](C(=O)[O-])[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	C27H23O18	C27H24O18	-3	-2	
cpd09264	2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-olate	corrected	CFYMYCCYMJIYAB-UHFFFAOYSA-M	CFYMYCCYMJIYAB-UHFFFAOYSA-N	COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)cc(O)c1O	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O	C16H11O8	C16H12O8	-1	0	
cpd09560	NS-102	flagged_borderline	SCDBMLHUXJBJSS-UHFFFAOYSA-M		O=C1Nc2c(cc([N+](=O)[O-])c3c2CCCC3)/C1=N\[O-]		C12H10N3O4		-1	0	atom 17 pKa=6.46
cpd17189	3-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-7-olate	corrected	SOSLMHZOJATCCP-AEIZVZFYSA-M	SOSLMHZOJATCCP-AEIZVZFYSA-N	C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc([O-])cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O	C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O	C21H19O10	C21H20O10	-1	0	
cpd23057	quercetin 4'-O-beta-D-glucoside	corrected	OIUBYZLTFSLSBY-HMGRVEAOSA-M	OIUBYZLTFSLSBY-HMGRVEAOSA-N	O=c1c(O)c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc([O-])cc(O)c12	O=c1c(O)c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc(O)cc(O)c12	C21H19O12	C21H20O12	-1	0	
cpd26316	5'-O-[N-(L-glutamyl)-sulfamoyl] adenosine	flagged_borderline	ZDPWSHFIPNEQJK-WERHYGNASA-L		Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)[N-]C(=O)[C@@H](N)CCC(=O)[O-])[C@@H](O)[C@H]1O		C15H19N7O9S		-2	-1	atom 16 pKa=6.82
cpd26358	CPD0-2041	flagged_borderline	VBVIIUBDAGNVAO-UHFFFAOYSA-M		O=P([O-])([O-])[NH+]=P([O-])([O-])[O-]		HNO6P2		-4	-1	atom 8 pKa=6.14
cpd26529	5'-O-[N-(L-Aspartyl)sulfamoyl]adenosine	flagged_borderline	KTRGZECBMWZBNK-UFIIOMENSA-L		Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)[N-]C(=O)[C@@H](N)CC(=O)[O-])[C@@H](O)[C@H]1O		C14H17N7O9S		-2	-1	atom 15 pKa=6.89
cpd26557	2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5-hydroxy-4-oxo-4H-chromen-7-olate	corrected	OVSQVDMCBVZWGM-QSOFNFLRSA-M	OVSQVDMCBVZWGM-QSOFNFLRSA-N	O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc(O)c12	O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	C21H19O12	C21H20O12	-1	0	
cpd27013	16S	corrected	RWSOTUBLDIXVET-UHFFFAOYSA-M	RWSOTUBLDIXVET-UHFFFAOYSA-N	[SH-]	S	HS	H2S	-1	0	
cpd27311	16S	corrected	RWSOTUBLDIXVET-UHFFFAOYSA-M	RWSOTUBLDIXVET-UHFFFAOYSA-N	[SH-]	S	HS	H2S	-1	0	
cpd46646	lomaiviticin B	corrected	ZPEQGULUANUJNH-RJEFGVBDSA-N	ZPEQGULUANUJNH-RJEFGVBDSA-O	CC[C@]12O[C@]3(O)c4c5c(O)c6c(c([O-])c5c([N+]#N)[c-]4[C@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@]4(CC)O[C@](O)(c5c7c(O)c8c(=O)ccc(=O)c=8c(=O)c-7c(N=N)c5[C@@H]1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1)[C@H]2[C@@H]43)C(=O)C=CC6=O	CC[C@]12O[C@]3(O)c4c5c(O)c6c(c(O)c5c([N+]#N)[c-]4[C@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@]4(CC)O[C@](O)(c5c7c(O)c8c(=O)ccc(=O)c=8c(=O)c-7c(N=N)c5[C@@H]1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1)[C@H]2[C@@H]43)C(=O)C=CC6=O	C52H49N4O20	C52H50N4O20	-1	0	
