cpd_id	compound_name	stored_inchikey	chebi_cid	kegg_cid	raw_query
cpd01213	3,5-Dioxo-hexanoic acid	HBILWMWQMIYRIH-UHFFFAOYSA-M	20397298	5459844	chebi_xref->CID20397298;kegg_xref=C01757->CID5459844
cpd01270	1,5-dihydroriboflavin 5'-phosphate	JNFNEOXSUODPSY-PIGZVRMJSA-L	44229161	445395	chebi_xref->CID44229161;kegg_xref=C01847->CID445395
cpd01276	3,6-Dihydroxy-5-oxo-1,3,6-cycloheptatriene-1-carboxylic acid	ANEBWDNUQVPSJT-UHFFFAOYSA-L	86289381	20501	chebi_xref->CID86289381;kegg_xref=C01853->CID20501
cpd01353	11-(3-azaniumyl-3-carboxylatopropanoyl)-1-hydroxy-5-oxo-5H-pyrido[3,2-a]phenoxazine-3-carboxylate	RXUOIPOSAYNCNG-UHFFFAOYSA-L	46931092	98312	chebi_xref->CID46931092;kegg_xref=C01969->CID98312
cpd01371	(2E)-2-(4-hydroxybenzylidene)-4-(4-hydroxyphenyl)-5-oxo-2,5-dihydrofuran-3-olate	SQNUFIVZRRTSMY-ZROIWOOFSA-N	146170836	54675753	chebi_xref->CID146170836;kegg_xref=C02006->CID54675753
cpd01373	2-[4-hydroxy-3-(3-methylbut-2-en-1-yl)benzylidene]-4-[4-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl]-5-oxo-2,5-dihydrofuran-3-olate	LRMIIPGBEJPRFV-OYKKKHCWSA-N	25245780	54675755	chebi_xref->CID25245780;kegg_xref=C02008->CID54675755
cpd01443	2,4-Dioxopentanoate	ISENAISFXYMWIU-UHFFFAOYSA-M	5459760	21919	chebi_xref->CID5459760;kegg_xref=C02132->CID21919
cpd01620	3,3',3'',3'''-[(7S,8S,12S,13S)-3,8,13,17-tetrakis(carboxylatomethyl)-8,13-dimethyl-7,8,12,13,20,24-hexahydroporphyrin-2,7,12,18-tetrayl]tetrapropanoate	MFZGAVZCDXXITC-RYDLPOMNSA-F	25245987	5280516	chebi_xref->CID25245987;kegg_xref=C02463->CID5280516
cpd01624	3,8,13,17-tetrakis(carboxymethyl)-21H,23H-prophine-2,7,12,18...	ZVMKTYCTECBPLO-UJJXFSCMSA-F	131841493	72423	chebi_xref->CID131841493;kegg_xref=C02469->CID72423
cpd01644	(2E,4Z)-2-hydroxyhexa-2,4-dienedioate	QTHJXLFFFTVYJC-UHFFFAOYSA-L	54711929	54675756	chebi_xref->CID54711929;kegg_xref=C02501->CID54675756
cpd01820	(1S,4aS,12aS)-3-carbamoyl-1-(dimethylammonio)-4a,6,7-trihydroxy-11-methyl-4,5-dioxo-1,4,4a,5,12,12a-hexahydrotetracen-2-olate	CXCVEERYMJZMMM-DOCRCCHOSA-N	51527838	54675758	chebi_xref->CID51527838;kegg_xref=C02811->CID54675758
cpd01826	CN-Cbl	RMRCNWBMXRMIRW-UVKKECPRSA-N	70678590	24892734	chebi_xref->CID70678590;kegg_xref=C02823->CID24892734
cpd01828	1-(3-{6-(1H-indol-3-yl)-2-[(2S)-butan-2-yl]-3-oxo-3,7-dihydroimidazo[1,2-a]pyrazin-8-yl}propyl)guanidinium	ZWPWSXGBDMGKKS-ZDUSSCGKSA-O	135926582	135398684	chebi_xref->CID135926582;kegg_xref=C02825->CID135398684
cpd01854	4-{8-benzyl-3-oxo-2-[4-(sulfonatooxy)benzyl]-3,7-dihydroimidazo[1,2-a]pyrazin-6-yl}phenyl sulfate	PTGHKNQEZNRQKY-UHFFFAOYSA-L	135926607	135398685	chebi_xref->CID135926607;kegg_xref=C02894->CID135398685
cpd01856	(1Z)-1-[(5S)-5-{[4-(3-methylbut-2-en-1-yl)-1H-indol-3-yl]methyl}-2,4-dioxopyrrolidin-3-ylidene]ethanolate	MVUXMIXDFMUPLL-INIZCTEOSA-M	136181834	135398686	chebi_xref->CID136181834;kegg_xref=C02899->CID135398686
cpd01870	2'-O-Methyllicodione	AYEXWOVTMNUXLA-UHFFFAOYSA-M	86289305	439850	chebi_xref->CID86289305;kegg_xref=C02922->CID439850
cpd01938	2,4-dihydroxy-5-pyrimidinecarboxylic acid	NIEGKMCCQQIZFR-UHFFFAOYSA-M	6971263	90301	chebi_xref->CID6971263;kegg_xref=C03030->CID90301
cpd01940	(1Z)-1-[(6aR,11aS,11bR)-7,7-dimethyl-9,11-dioxo-2,6a,7,11,11a,11b-hexahydro-6H-pyrrolo[1',2':2,3]isoindolo[4,5,6-cd]indol-10(9H)-ylidene]ethanolate	SZINUGQCTHLQAZ-DQYPLSBCSA-M	136041703	135398689	chebi_xref->CID136041703;kegg_xref=C03032->CID135398689
cpd02023	2-{[iminiumyl(phosphonatoamino)methyl]amino}acetate	PHEPLGMHXVPTHB-UHFFFAOYSA-O	25201830	188984	chebi_xref->CID25201830;kegg_xref=C03166->CID188984
cpd02048	(1S,4aS,11S,12aS)-3-carbamoyl-1-(dimethylazaniumyl)-4a,7,11-trihydroxy-11-methyl-4,5,6-trioxo-1,4,4a,5,6,11,12,12a-octahydrotetracen-2-olate	DUAVZCXHIINBQU-ILGMQVKHSA-N	25202433	54675762	chebi_xref->CID25202433;kegg_xref=C03206->CID54675762
cpd02334	3'-phosphonatoadenosine 5'-{3-[(3R)3-hydroxy-4-{[3-({2-[(5-oxidofuran-2-carbonyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-2,2-dimethyl-4-oxobutyl] diphosphate}	INLPMDVWMSUUGE-CITAKDKDSA-J	135956776	135398697	chebi_xref->CID135956776;kegg_xref=C03724->CID135398697
cpd02509	5-Hydroxybenzimidazolylcob(I)amide	CZOAGDFHXVBGHF-RTTVZNRNSA-N	46931145	24892741	chebi_xref->CID46931145;kegg_xref=C04054->CID24892741
cpd02540	3,5-Dihydroxy-1,4-naphthoquinone	VYGYXAIGQZWAQC-UHFFFAOYSA-M	25202315	440226	chebi_xref->CID25202315;kegg_xref=C04110->CID440226
cpd02572	(2E,4Z)-5-hydroxypenta-2,4-diene-1,2,5-tricarboxylate	WHGVLEMQINVDLH-UHFFFAOYSA-K	54711925	54675765	chebi_xref->CID54711925;kegg_xref=C04186->CID54675765
cpd02720	1-(5-amino-2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-ylamino)-1-deoxy-D-ribitol 5-phosphate	SLULRZPTCAXXIF-DDVDLICKSA-L	45266638	18666812	chebi_xref->CID45266638;kegg_xref=C04454->CID18666812
cpd02731	(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-ketonona-2,4-dienedioate	BTCPFTVUZHVHTH-UHFFFAOYSA-L	54675844	9543133	chebi_xref->CID54675844;kegg_xref=C04479->CID9543133
cpd02732	2-hydroxy-3-(3-oxoprop-1-enyl)but-2-enedioate	FKHGLVLIEVTAPC-UHFFFAOYSA-L	136041704	135398706	chebi_xref->CID136041704;kegg_xref=C04480->CID135398706
cpd02734	(2E,4E)-2-hydroxy-4-(2-oxoethylidene)pent-2-enedioate	AXRIGONNYQSEEC-UHFFFAOYSA-L	25244909	5280688	chebi_xref->CID25244909;kegg_xref=C04484->CID5280688
cpd02744	2-{[iminio(phosphonatoamino)methyl]amino}ethyl methyl phosphate	KNWAMQUNKQMNJO-UHFFFAOYSA-N	25203614	440365	chebi_xref->CID25203614;kegg_xref=C04503->CID440365
cpd02761	(2E,4Z)-2-hydroxy-7-methyl-6-oxoocta-2,4-dienoate	KDJYFFFEAMHFCZ-UHFFFAOYSA-M	54675856	5280696	chebi_xref->CID54675856;kegg_xref=C04535->CID5280696
cpd02828	2-Hydroxy-5-carboxymethylmuconate semialdehyde	LDMRCLZHBLHHFW-UHFFFAOYSA-L	25246117	5280709	chebi_xref->CID25246117;kegg_xref=C04642->CID5280709
cpd02914	(2E,4Z,6S)-6-ammonio-2-hydroxy-4-(2-oxoethylidene)hept-2-enedioate	BNOWTRLCTWLWKQ-LURJTMIESA-M	25245024	14803858	chebi_xref->CID25245024;kegg_xref=C17758->CID14803858
cpd02915	(2E,4Z,7S)-7-ammonio-5-formyl-2-hydroxyocta-2,4-dienedioate	CFEAFUYPNURWCY-GDVGLLTNSA-M	25244757	56928065	chebi_xref->CID25244757;kegg_xref=C04797->CID56928065
cpd02925	(5S,6S)-2,6-dihydroxy-5-(hydroxymethyl)cyclohex-2-en-1-one	PDLUPIIPCGUCAZ-INEUFUBQSA-N	5460156	440494	chebi_xref->CID5460156;kegg_xref=C04815->CID440494
cpd02941	(1<i>E</i>,2<i>Z</i>)-3-hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1 (10),2-dien-4-oate	YMCUGPRWKJDCIM-HQXUMEMQSA-M	54740345	25244777	chebi_xref->CID54740345;kegg_xref=C04844->CID25244777
cpd02978	(2R,3S)-3-(2-amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)-2,3-dihydroxypropyl triphosphate	DAAXQXLWOSUXJM-SRBOSORUSA-K	135398609	135398610	chebi_xref->CID135398609;kegg_xref=C04895->CID135398610
cpd03070	5-Amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinone	TXQZTDQJZIPUIY-UHFFFAOYSA-M	54730538	54675770	chebi_xref->CID54730538;kegg_xref=C05155->CID54675770
cpd03301	(2S)-3-(2-sulfanylidene-2,3-dihydro-1H-imidazol-3-ium-4-yl)-2-(trimethylazaniumyl)propanoate	XZMSDBCWHWGUOR-ZETCQYMHSA-N	124079411	3037043	chebi_xref->CID124079411;kegg_xref=C05570->CID3037043
cpd03418	3,3',3'',3'''-(3,8,13,17-tetramethylporphyrin-2,7,12,18-tetrayl)tetrapropanoate	UYRFVESWKZAVNF-UJJXFSCMSA-J	20849088	114935	chebi_xref->CID20849088;kegg_xref=C05770->CID114935
cpd03420	Precorrin 3 A	QNMLAUDORVFKSV-UJTZVPLDSA-F	25245613	5280811	chebi_xref->CID25245613;kegg_xref=C05772->CID5280811
cpd03422	Cbi	XQRJFEVDQXEIAX-FGSUPGCXSA-O	91820010	46173745	chebi_xref->CID91820010;kegg_xref=C05774->CID46173745
cpd03426	3,3',3'',3'''-[(7S,8S,12S,13S)-3,8,13,17-tetrakis(carboxylatomethyl)-8,13-dimethyl-7,8,12,13-tetrahydroporphyrin-2,7,12,18-tetrayl]tetrapropanoate	BGOACVAUVSDVGE-XLIRECGNSA-F	25245154	196427	chebi_xref->CID25245154;kegg_xref=C05778->CID196427
cpd03470	2-iminobutanedioate	ABZHGLSYGDUSDL-UHFFFAOYSA-M	86289392	796	chebi_xref->CID86289392;kegg_xref=C05840->CID796
cpd03501	1-Benzopyrylium, 3,5,7-trihydroxy-2-(4-hydroxyphenyl)-, chloride	ZLBAOJCHFZWXJL-UHFFFAOYSA-M	90657848	440832	chebi_xref->CID90657848;kegg_xref=C05904->CID440832
cpd03505	3,3',4',5,5',7-Hexahydroxy-2-phenylbenzopyrylium chloride	JEACAEMFMPKWGJ-UHFFFAOYSA-M	25203213	128853	chebi_xref->CID25203213;kegg_xref=C05908->CID128853
cpd03509	(3Z)-Phytochromobilin	DKMLMZVDTGOEGU-AIKFXVFZSA-L	25246013	5280865	chebi_xref->CID25246013;kegg_xref=C05913->CID5280865
cpd03520	H2Dtpp-mP	OYCGLTULCYRTKY-BMFJQBBXSA-K	135398580	135398581	chebi_xref->CID135398580;kegg_xref=C05924->CID135398581
cpd03521	(2R,3S)-3-(2-amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)-2,3-dihydroxypropyl phosphate	ZKGDYPWMLQRLTN-SRBOSORUSA-L	135398607	135398608	chebi_xref->CID135398607;kegg_xref=C05925->CID135398608
cpd03715	(2E,4Z)-2-hydroxy-6-oxohepta-2,4-dienoate	ZGPBGPPKFOOIFB-UHFFFAOYSA-M	54724589	9776837	chebi_xref->CID54724589;kegg_xref=C06210->CID9776837
cpd03761	Precorrin 6A	RIWKCBSDRQKWPZ-JNAYEHBVSA-F	86289389	5280917	chebi_xref->CID86289389;kegg_xref=C06320->CID5280917
cpd03804	(Hydroxyphosphinyl)pyruvate	VHAFWRWGHGSZDL-UHFFFAOYSA-L	21722341	6326961	chebi_xref->CID21722341;kegg_xref=C06368->CID6326961
cpd03833	Precorrin 3B	JZOUCLWQLBVUFS-TWHJZXCLSA-G	86289387	5280929	chebi_xref->CID86289387;kegg_xref=C06406->CID5280929
cpd03834	3,3',3'',3'''-[(2S,3S,7S,17R)-1-acetyl-2,7,12,18-tetrakis(carboxylatomethyl)-2,7,17-trimethyl-18,19-didehydrocorrin-3,8,13,17-tetrayl]tetrapropanoate	WXSCTOWDVYPNMH-WBCCZRPVSA-F	46931085	5280930	chebi_xref->CID46931085;kegg_xref=C06407->CID5280930
cpd03839	Precorrin 5	BTODSUVDYGNBEO-NTVQSSJASA-F	86289388	5280932	chebi_xref->CID86289388;kegg_xref=C06416->CID5280932
cpd03916	Adenosyl cobyrinate a,c diamide	OCNLJCZKGHKJGF-QOCQOLRHSA-J	45266661	23724497	chebi_xref->CID45266661;kegg_xref=C06506->CID23724497
cpd03917	Adenosyl cobyrinate hexaamide	AXZSUSWNAXMBBB-QOCQOLRHSA-N	70678576	23724498	chebi_xref->CID70678576;kegg_xref=C06507->CID23724498
cpd03918	5'-deoxy-5'-adenosylcobinamide	KQXSPGAEBZWHMC-OCUXTBADSA-O	70678548	46173757	chebi_xref->CID70678548;kegg_xref=C06508->CID46173757
cpd03919	Adenosyl cobinamide phosphate	MQCMBMUJJHSGIF-OCUXTBADSA-M	70678575	46173758	chebi_xref->CID70678575;kegg_xref=C06509->CID46173758
cpd03920	Adenosine-GDP-cobinamide	IQTYKHRKNGVJEO-KTPDRMMFSA-M	135398566	53297346	chebi_xref->CID135398566;kegg_xref=C06510->CID53297346
cpd03977	(1S,4aS,11S,11aS,12aS)-3-carbamoyl-1-(dimethylazaniumyl)-4a,5,7,11-tetrahydroxy-11-methyl-4,6-dioxo-1,4,4a,6,11,11a,12,12a-octahydrotetracen-2-olate	OFVLGDICTFRJMM-WESIUVDSSA-N	51580080	54675776	chebi_xref->CID51580080;kegg_xref=C06570->CID54675776
cpd03978	(5S,5aS,6aS,7S,10aS)-9-carbamoyl-4-chloro-7-(dimethylazaniumyl)-5,10a,11-trihydroxy-5-methyl-10,12-dioxo-5,5a,6,6a,7,10,10a,12-octahydrotetracene-1,8-bis(olate)	ZGIPMGGESRKDMZ-GCGNAMEMSA-M	28284151	54675777	chebi_xref->CID28284151;kegg_xref=C06571->CID54675777
cpd03988	(2Z)-2-hydroxy-3-[(1Z)-4-methyl-3-oxopent-1-en-1-yl]but-2-enedioate	MGUSRJSAZCSLJB-UHFFFAOYSA-L	54675853	54675778	chebi_xref->CID54675853;kegg_xref=C06581->CID54675778
cpd04028	(1S,4aS,11S,11aR,12S,12aR)-3-carbamoyl-1-(dimethylazaniumyl)-4a,5,7,11,12-pentahydroxy-11-methyl-4,6-dioxo-1,4,4a,6,11,11a,12,12a-octahydrotetracen-2-olate	IWVCMVBTMGNXQD-PXOLEDIWSA-N	121596244	54675779	chebi_xref->CID121596244;kegg_xref=C06624->CID54675779
cpd04057	(1S,4aS,12aS)-1-azaniumyl-3-carbamoyl-4a,6,7-trihydroxy-11-methyl-4,5-dioxo-1,4,4a,5,12,12a-hexahydrotetracen-2-olate	INUFQOJZVFLXMQ-OWYOPICZSA-N	122198286	54675782	chebi_xref->CID122198286;kegg_xref=C06654->CID54675782
cpd04099	PHO3(2-)	ABLZXFCXXLZCGV-UHFFFAOYSA-M	6326969	3084169	chebi_xref->CID6326969;kegg_xref=C06701->CID3084169
cpd04461	(1S,4aS,11aR,12aS)-3-carbamoyl-10-(dimethylamino)-1-(dimethylazaniumyl)-4a,5,7-trihydroxy-4,6-dioxo-1,4,4a,6,11,11a,12,12a-octahydrotetracen-2-olate	DYKFCLLONBREIL-KVUCHLLUSA-N	51537604	54675783	chebi_xref->CID51537604;kegg_xref=C07225->CID54675783
cpd04551	3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-4-{[3-({2-[(5-oxidothiophene-2-carbonyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-2,2-dimethyl-4-oxobutyl] diphosphate}	QYDJDIIVXSRXNI-ITIYDSSPSA-J	135887848	135398746	chebi_xref->CID135887848;kegg_xref=C07348->CID135398746
cpd04865	(2E,4Z)-2-hydroxy-6-(2-oxidophenyl)-6-oxohexa-2,4-dienoate	WKVKEFHWRJWKCR-UHFFFAOYSA-M	136351794	135398753	chebi_xref->CID136351794;kegg_xref=C07731->CID135398753
cpd04868	(2E,4Z)-2-hydroxy-6-(2-hydroxyphenoxy)-6-oxohexa-2,4-dienoate	WVRXNHUWDPIGMY-UHFFFAOYSA-M	54675846	54675786	chebi_xref->CID54675846;kegg_xref=C07734->CID54675786
cpd05041	(2E,4E)-6-(2-aminophenyl)-2-hydroxy-6-oxohexa-2,4-dienoate	CFMPTLGDADAYRX-UHFFFAOYSA-M	54730541	5281097	chebi_xref->CID54730541;kegg_xref=C08062->CID5281097
cpd05418	(5S)-3-acetyl-5-[(2S)-butan-2-yl]-2,4-dioxopyrrolidin-3-ide	CEIZFXOZIQNICU-XNCJUZBTSA-M	135886630	441580	chebi_xref->CID135886630;kegg_xref=C08511->CID441580
cpd05511	2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)chromenium-5,7-diolate	KBENCCXELYTLKU-GQUPQBGVSA-N	86289383	441667	chebi_xref->CID86289383;kegg_xref=C08604->CID441667
cpd05527	3-{[6-O-(alpha-L-rhamnopyranosyl)-beta-D-glucopyranosyl]oxy}-2-(3,4-dihydroxyphenyl)-7-hydroxychromenium-5-olate	VZTKWCUQLUHDFJ-FXCAAIILSA-N	29232	441674	chebi_xref->CID29232;kegg_xref=C08620->CID441674
cpd05553	2-(3,4-dihydroxyphenyl)-3-(beta-D-galactopyranosyloxy)chromenium-5,7-diolate	KBENCCXELYTLKU-WVXKDWSHSA-N	86289422	441699	chebi_xref->CID86289422;kegg_xref=C08647->CID441699
cpd05622	3,5,7-trihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromenium	OFTYWMYCKBKDFB-UHFFFAOYSA-M	90658177	159287	chebi_xref->CID90658177;kegg_xref=C08716->CID159287
cpd05921	(19E)-17-methoxy-17-oxo-2,16-didehydrocur-19-en-4-ium	UMGIOBCVRLYQOW-SFQJRMLFSA-O	135398013	441976	chebi_xref->CID135398013;kegg_xref=C09025->CID441976
cpd06139	(-)-tabersonine	XUSTZFGBQSSEAX-JOYGSARASA-O	25201472	20485	chebi_xref->CID25201472;kegg_xref=C09244->CID20485
cpd06717	2-Hydroxy-6-oxocyclohexane-1-carbonyl-CoA	NXVDSOGQXFEQHI-UPARZHAISA-J	72551544	9543137	chebi_xref->CID72551544;kegg_xref=C09825->CID9543137
cpd06990	(-)-Usnic acid	ICTZCAHDGHPRQR-GOSISDBHSA-M	25202099	15543	chebi_xref->CID25202099;kegg_xref=C10101->CID15543
cpd07592	3,5-dihydroxy-2-(3-methylbutanoyl)-4,6,6-tris(3-methylbut-2-enyl)cyclohexa-	HAWZEVNVVBVBEO-UHFFFAOYSA-L	25202387	68051	chebi_xref->CID25202387;kegg_xref=C10706->CID68051
cpd08209	(Z,Z)-2-hydroxyhexa-2,4-dienoate	XGNKMQBCAVIQOR-IHWYPQMZSA-M	56927999	11953951	chebi_xref->CID56927999;kegg_xref=C11354->CID11953951
cpd08369	Co-precorrin-3	KTPLCQZQLKZXTI-LPFAUARPSA-G	70678588	2779035	chebi_xref->CID70678588;kegg_xref=C11539->CID2779035
cpd08370	3,3',3'',3'''-{[(2S,3S,7S,11S,17R)-1-(1-hydroxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,17-trimethyl-18,19-didehydrocorrin-3,8,13,17-kappa(4)N(21),N(22),N(23),N(24)]tetrapropanoato(9-)}cobaltate(5-) 1(1),2(1)-delta-lactone	CEUAMGIFALVCDB-QTESGACZSA-G	70678580	23724516	chebi_xref->CID70678580;kegg_xref=C11540->CID23724516
cpd08441	15,16-Dihydrobiliverdin	ZQHDSLZHMAUUQK-ZTYGKHTCSA-L	25243901	443385	chebi_xref->CID25243901;kegg_xref=C11630->CID443385
cpd08454	(5alpha,9beta,12beta,19alpha)-16-hydroxy-3-(methoxycarbonyl)-2,3,6,7-tetradehydroaspidospermidin-9-ium	HOPZWKBQZZDSHF-JOYGSARASA-O	25200666	443326	chebi_xref->CID25200666;kegg_xref=C11643->CID443326
cpd08486	16-Methoxytabersonine	DZRPPMHBDFQTRM-GKTZRJCYSA-O	25201076	443356	chebi_xref->CID25201076;kegg_xref=C11675->CID443356
cpd08806	(1S,4aS,11aR,12aS)-8-[2-(tert-butylammonio)acetamido]-3-carbamoyl-10-(dimethylamino)-1-(dimethylammonio)-4a,5,7-trihydroxy-4,6-dioxo-1,4,4a,6,11,11a,12,12a-octahydrotetracen-2-olate	FPZLLRFZJZRHSY-HJYUBDRYSA-O	122706065	15046	chebi_xref->CID122706065;kegg_xref=C12012->CID15046
cpd08919	3-(beta-D-glucopyranosyloxy)-55,7-dihydroxy-2-(4-hydroxyphenyl)-1-benzopyrylium chloride	NVBLGZSVOCZYSB-GQUPQBGVSA-N	443649	443648	chebi_xref->CID443649;kegg_xref=C12137->CID443648
cpd08920	3-(beta-D-glucopyranosyloxy)-7-hydroxy-2-(3,4,5-trihydroxyphenyl)chromenium-5-olate	FOTVSBOQCPDUFW-PEVLUNPASA-N	165559	443650	chebi_xref->CID165559;kegg_xref=C12138->CID443650
cpd08922	3-(beta-D-glucopyranosyloxy)-7-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromenium-5-olate	CLRPHHQWISAVTG-OXUVVOBNSA-N	443653	443652	chebi_xref->CID443653;kegg_xref=C12140->CID443652
cpd08923	3-(beta-D-glucopyranosyloxy)-7-hydroxy-2-(4-hydroxy-3-methoxyphenyl)chromenium-5-olate	UVVASRPYKPUSTA-OUUKCGNVSA-N	443655	443654	chebi_xref->CID443655;kegg_xref=C12141->CID443654
cpd09132	8-Demethyltetracenomycin C	XCIQCJDABRSRPD-DWSZVYAXSA-N	49787019	92900	chebi_xref->CID49787019;kegg_xref=C12379->CID92900
cpd09168	Nogalonic acid	QDTWEFYUJUHTQY-UHFFFAOYSA-L	90659892	443821	chebi_xref->CID90659892;kegg_xref=C12416->CID443821
cpd09173	Aklanonate	WTCFRKORYWVLAQ-UHFFFAOYSA-L	86289443	9930620	chebi_xref->CID86289443;kegg_xref=C12421->CID9930620
cpd09174	8-hydroxy-6-(2-methoxy-2-oxoethyl)-9,10-dioxo-7-(3-oxopentanoyl)-9,10-dihydroanthracen-1-olate	BQJNFNNZXWQNOB-UHFFFAOYSA-M	86289444	13146158	chebi_xref->CID86289444;kegg_xref=C12422->CID13146158
cpd09255	(2<i>Z</i>,4<i>E</i>,7<i>E</i>)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate	UFMCZIKUXUBKOL-SDRUEKIVSA-L	54734238	45108157	chebi_xref->CID54734238;kegg_xref=C12624->CID45108157
cpd09275	3-{[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy}-7-hydroxy-2-(4-hydroxyphenyl)chromenium-5-olate	PJLJEKUBOITBPI-ASZXTAQUSA-N	443918	443917	chebi_xref->CID443918;kegg_xref=C12644->CID443917
cpd10731	8-Benzyl-2-(4-hydroxybenzyl)-6-(4-hydroxyphenyl)imidazo- [1,2a]pyrazin-3(7H)-one	YHIPILPTUVMWQT-UHFFFAOYSA-N	135445694	77050682	chebi_xref->CID135445694;kegg_xref=C15037->CID77050682
cpd11202	2,6-Dihydroxynicotinate	KWFFKDJAQYNXQM-UHFFFAOYSA-M	135853911	17998958	chebi_xref->CID135853911;kegg_xref=C15523->CID17998958
cpd11249	(4R)-2-acetyl-4-(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)-4-methyl-3-oxocyclohexa-1,5-dien-1-olate	WHLSOCOQLVIMEP-GOSISDBHSA-M	25200701	11954213	chebi_xref->CID25200701;kegg_xref=C15591->CID11954213
