cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles
cpd00056	3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-5-(2-{[oxido(phosphonatooxy)phosphoryl]oxy}ethyl)-1,3-thiazol-3-ium	xref_resolved:chebi_xref=CHEBI:58937->CID15938963(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	AYEKOFBPNLCAJY-UHFFFAOYSA-M	AYEKOFBPNLCAJY-UHFFFAOYSA-L	15938963	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])OP(=O)([O-])[O-]
cpd00062	URIDINE 5'-TRIPHOSPHATE	xref_resolved:chebi_xref=CHEBI:46398->CID7058168(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	PGAVKCOVUIYSFO-XVFCMESISA-K	PGAVKCOVUIYSFO-XVFCMESISA-J	7058168	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
cpd00068	5'-(tetrahydrogen triphosphate) inosine	xref_resolved:chebi_xref=CHEBI:61402->CID135398642(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	HAEJPQIATWHALX-KQYNXXCUSA-K	HAEJPQIATWHALX-KQYNXXCUSA-J	135398642	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
cpd00074	16S	CHEBI:26833	chebi_xref	PROTONATION_DIFF	RWSOTUBLDIXVET-UHFFFAOYSA-M	RWSOTUBLDIXVET-UHFFFAOYSA-N	402	[SH-]	S
cpd00084	(2R)-2-ammonio-3-mercaptopropanoate	xref_resolved:chebi_xref=CHEBI:35235->CID6419722(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	XUJNEKJLAYXESH-REOHCLBHSA-M	XUJNEKJLAYXESH-REOHCLBHSA-N	6419722	[NH3+][C@@H](C[S-])C(=O)[O-]	C([C@@H](C(=O)[O-])[NH3+])S
cpd00090	5'-OO-[(phosphonatooxy)phosphinato]inosine	xref_resolved:chebi_xref=CHEBI:58280->CID135573953(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	JPXZQMKKFWMMGK-KQYNXXCUSA-L	JPXZQMKKFWMMGK-KQYNXXCUSA-K	135573953	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O
cpd00096	5'-O-[(phosphonatooxy)phosphinato]cytidine	xref_resolved:chebi_xref=CHEBI:58069->CID20056867(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	ZWIADYZPOWUWEW-XVFCMESISA-L	ZWIADYZPOWUWEW-XVFCMESISA-K	20056867	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O
cpd00101	5-O-phosphonato-D-ribofuranose	xref_resolved:kegg_xref=C00117->CID439167(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	KTVPXOYAKDPRHY-SOOFDHNKSA-L	KTVPXOYAKDPRHY-SOOFDHNKSA-N	439167	O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O	C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O
cpd00103	5-O-phosphonato-alpha-D-ribofuranosyl diphosphate pentaanion	xref_resolved:chebi_xref=CHEBI:58017->CID20848918(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	PQGCEDQWHSBAJP-TXICZTDVSA-J	PQGCEDQWHSBAJP-TXICZTDVSA-I	20848918	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O	C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]
cpd00113	3-methylbut-3-en-1-yl diphosphate	xref_resolved:chebi_xref=CHEBI:128769->CID15983957(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	NUHSROFQTUXZQQ-UHFFFAOYSA-L	NUHSROFQTUXZQQ-UHFFFAOYSA-K	15983957	C=C(C)CCOP(=O)([O-])OP(=O)([O-])O	CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-]
cpd00115	2'-Deoxyadenosine 5'-triphosphate	xref_resolved:chebi_xref=CHEBI:61404->CID25320183(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	SUYVUBYJARFZHO-RRKCRQDMSA-K	SUYVUBYJARFZHO-RRKCRQDMSA-J	25320183	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
cpd00125	(6R)-5,10-CH2-H4folate	xref_resolved:kegg_xref=C00143->CID135398652(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	QYNUQALWYRSVHF-PZORYLMUSA-L	QYNUQALWYRSVHF-PZORYLMUSA-N	135398652	Nc1nc(=O)c2c([nH]1)NC[C@@H]1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)CN21	C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
cpd00143	2-Oxo-3-phenylpropanoate	xref_resolved:kegg_xref=C00166->CID997(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	BTNMPGBKDVTSJY-UHFFFAOYSA-M	BTNMPGBKDVTSJY-UHFFFAOYSA-N	997	O=C([O-])C(=O)Cc1ccccc1	C1=CC=C(C=C1)CC(=O)C(=O)O
cpd00163	UDP-D-xylose	xref_resolved:kegg_xref=C00190->CID23724459(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	DQQDLYVHOTZLOR-WJCCNOJNSA-L	DQQDLYVHOTZLOR-WJCCNOJNSA-N	23724459	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O
cpd00175	UDP-<i>N</i>-acetyl-D-galactosamine	C00203	kegg_xref	PROTONATION_DIFF	LFTYTUAZOPRMMI-FTFHWYEPSA-L	LFTYTUAZOPRMMI-FTFHWYEPSA-N	23724461	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O	CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
cpd00177	2'-Deoxyadenosine 5'-diphosphate	xref_resolved:chebi_xref=CHEBI:57667->CID21125569(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	DAEAPNUQQAICNR-RRKCRQDMSA-L	DAEAPNUQQAICNR-RRKCRQDMSA-K	21125569	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)([O-])[O-])O1	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])[O-])O
cpd00202	2-Isopentenyl diphosphate	xref_resolved:chebi_xref=CHEBI:57623->CID15983958(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	CBIDRCWHNCKSTO-UHFFFAOYSA-L	CBIDRCWHNCKSTO-UHFFFAOYSA-K	15983958	CC(C)=CCOP(=O)([O-])OP(=O)([O-])O	CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C
cpd00240	2,2',2'',2'''-(ethane-1,2-diyldiammonio)tetraacetate	xref_resolved:chebi_xref=CHEBI:64755->CID5246202(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	KCXVZYZYPLLWCC-UHFFFAOYSA-J	KCXVZYZYPLLWCC-UHFFFAOYSA-L	5246202	O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]	C(C[NH+](CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-]
cpd00241	2'-Deoxyguanosine 5'-triphosphate	xref_resolved:chebi_xref=CHEBI:61429->CID135398598(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	HAAZLUGHYHWQIW-KVQBGUIXSA-K	HAAZLUGHYHWQIW-KVQBGUIXSA-J	135398598	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
cpd00251	ADP-D-ribose	xref_resolved:kegg_xref=C00301->CID445794(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	SRNWOUGRCWSEMX-KEOHHSTQSA-L	SRNWOUGRCWSEMX-KEOHHSTQSA-N	445794	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O)N
cpd00255	Bradykinin	C00306	kegg_xref	PROTONATION_DIFF	QXZGBUJJYSLZLT-FDISYFBBSA-P	QXZGBUJJYSLZLT-FDISYFBBSA-N	439201	NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C(=O)[O-]	C1C[C@H](N(C1)C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)N)C(=O)NCC(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CO)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O
cpd00260	1-Hydroxypropane-1,2,3-tricarboxylic acid	C00311	kegg_xref	PROTONATION_DIFF	ODBLHEXUDAPZAU-UHFFFAOYSA-K	ODBLHEXUDAPZAU-UHFFFAOYSA-N	1198	O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]	C(C(C(C(=O)O)O)C(=O)O)C(=O)O
cpd00272	GDP-L-alpha-fucose	C00325	kegg_xref	PROTONATION_DIFF	LQEBEXMHBLQMDB-JGQUBWHWSA-L	LQEBEXMHBLQMDB-JGQUBWHWSA-N	135398655	C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
cpd00280	<i>aldehydo</i>-D-galacturonate	xref_resolved:kegg_xref=C00333->CID439215(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	AEMOLEFTQBMNLQ-YMDCURPLSA-M	AEMOLEFTQBMNLQ-YMDCURPLSA-N	439215	O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
cpd00283	(2E)-3,7-dimethylocta-2,6-dien-1-yl diphosphate	xref_resolved:chebi_xref=CHEBI:58057->CID19379894(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	GVVPGTZRZFNKDS-JXMROGBWSA-L	GVVPGTZRZFNKDS-JXMROGBWSA-K	19379894	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O	CC(=CCC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)C
cpd00289	(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate	xref_resolved:chebi_xref=CHEBI:58756->CID5497105(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	OINNEUNVOZHBOX-QIRCYJPOSA-L	OINNEUNVOZHBOX-QIRCYJPOSA-K	5497105	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O	CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)/C)/C)C
cpd00290	D-Fructose 1,6-bisphosphate	C00354	kegg_xref	PROTONATION_DIFF	RNBGYGVWRKECFJ-VRPWFDPXSA-J	RNBGYGVWRKECFJ-VRPWFDPXSA-N	172313	O=P([O-])([O-])OC[C@H]1OC(O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O	C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
cpd00295	2'-Deoxyguanosine 5'-diphosphate	xref_resolved:chebi_xref=CHEBI:58595->CID135398594(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	CIKGWCTVFSRMJU-KVQBGUIXSA-L	CIKGWCTVFSRMJU-KVQBGUIXSA-K	135398594	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O
cpd00297	5'-O-[(phosphonatooxy)phosphinato]thymidine	xref_resolved:chebi_xref=CHEBI:58369->CID21124327(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	UJLXYODCHAELLY-XLPZGREQSA-L	UJLXYODCHAELLY-XLPZGREQSA-K	21124327	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O
cpd00300	2,6,8-trihydroxypurine	CHEBI:17775	chebi_xref	PROTONATION_DIFF	LEHOTFFKMJEONL-UHFFFAOYSA-M	LEHOTFFKMJEONL-UHFFFAOYSA-N	1175	O=c1[n-]c2nc(O)nc(O)c2[nH]1	C12=C(NC(=O)N1)NC(=O)NC2=O
cpd00313	2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxo-4-chromen-7-olate	xref_resolved:chebi_xref=CHEBI:57694->CID46906036(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	REFJWTPEDVJJIY-UHFFFAOYSA-L	REFJWTPEDVJJIY-UHFFFAOYSA-M	46906036	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc([O-])c12	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)[O-])O)O
cpd00315	GDP-D-glucose	xref_resolved:kegg_xref=C00394->CID135398656(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	MVMSCBBUIHUTGJ-IKVBDKFJSA-L	MVMSCBBUIHUTGJ-IKVBDKFJSA-N	135398656	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C1=NC2=C(N1C3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N
cpd00347	5,10-Methenyltetrahydrofolate	xref_resolved:kegg_xref=C00445->CID135398657(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	MEANFMOQMXYMCT-ABLWVSNPSA-M	MEANFMOQMXYMCT-ABLWVSNPSA-O	135398657	Nc1nc(=O)c2c([nH]1)NC[C@@H]1C[N+](c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)=CN21	C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)O
cpd00350	(2-trans,6-trans)-farnesyl diphosphate(3-)	xref_resolved:chebi_xref=CHEBI:175763->CID15983959(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	VWFJDQUYCIWHTN-YFVJMOTDSA-L	VWFJDQUYCIWHTN-YFVJMOTDSA-K	15983959	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O	CC(=CCC/C(=C/CC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)/C)C
cpd00356	2'-Deoxycytidine 5'-triphosphate	xref_resolved:chebi_xref=CHEBI:61481->CID25244665(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	RGWHQCVHVJXOKC-SHYZEUOFSA-K	RGWHQCVHVJXOKC-SHYZEUOFSA-J	25244665	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)n1	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
cpd00357	2'-deoxythymidine 5'-triphosphate tetraanion	xref_resolved:chebi_xref=CHEBI:37568->CID11988283(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	NHVNXKFIZYSCEB-XLPZGREQSA-K	NHVNXKFIZYSCEB-XLPZGREQSA-J	11988283	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
cpd00358	2'-Deoxyuridine 5'-triphosphate	xref_resolved:chebi_xref=CHEBI:61555->CID25244408(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	AHCYMLUZIRLXAA-SHYZEUOFSA-K	AHCYMLUZIRLXAA-SHYZEUOFSA-J	25244408	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])O2)c(=O)[nH]1	C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
cpd00384	Antibiotic 6640	C00494	kegg_xref	PROTONATION_DIFF	URWAJWIAIPFPJE-YFMIWBNJSA-S	URWAJWIAIPFPJE-YFMIWBNJSA-N	36119	C[NH2+][C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(C[NH3+])=CC[C@H]3[NH3+])[C@@H]([NH3+])C[C@H]2[NH3+])OC[C@]1(C)O	C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N)N)O
cpd00391	(2R,3R,4S)-2,3,4,5-tetrahydroxypentanoate	xref_resolved:kegg_xref=C00502->CID6602431(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	QXKAIJAYHKCRRA-FLRLBIABSA-M	QXKAIJAYHKCRRA-FLRLBIABSA-N	6602431	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)CO	C([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O
