cpd_id	compound_name	result_type	reason	pubchem_cid	strategy	query	stored_smiles	pubchem_smiles	stored_inchikey	pubchem_inchikey
cpd01271	4-<i>O</i>-(carboxymethyl)rifamycin	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 12 shared stereocenters have different configuration	25245928	xref_resolved	xref_resolved:chebi_xref=CHEBI:58306->CID25245928(STEREO_DIFF)	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)[O-])c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)[O-])OCC(=O)[O-])/C	SQTCRTQCPJICLD-OXOJELPBSA-M	SQTCRTQCPJICLD-KTQDUKAHSA-L
cpd05688	Simalikilactone D	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 12 shared stereocenters have different configuration	441808	kegg_xref	C08783	CC[C@@H](C)C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3C(C)=CC(=O)[C@@H](O)[C@]3(C)[C@@H]3[C@@H](O)[C@H](O)[C@@]4(C)OC[C@@]23[C@@H]14	CC[C@@H](C)C(=O)O[C@@H]1[C@H]2[C@]3([C@H]([C@@H]([C@H]4[C@@]2(CO3)[C@@H](C[C@@H]5[C@@]4([C@@H](C(=O)C=C5C)O)C)OC1=O)O)O)C	OKIKYYZNNZCZRX-IZEUZPKRSA-N	OKIKYYZNNZCZRX-UWGUCYGSSA-N
cpd05883	Tubeimoside I	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 33 shared stereocenters have different configuration	5462420	kegg_xref	C08987	C[C@@H]1O[C@H]2O[C@@H]3[C@@H](OC[C@H](O)[C@@H]3O)OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)C[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@H](OC(=O)C[C@](C)(O)CC(=O)O[C@@H]1[C@@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)[C@H]2O)[C@H](O)[C@H]7O)[C@@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]3(C)CC4	C[C@H]1[C@H]2[C@H]([C@H]([C@@H](O1)O[C@@H]3[C@H]([C@H](CO[C@H]3OC(=O)[C@@]45CC[C@@]6(C(=CC[C@H]7[C@]6(CC[C@@H]8[C@@]7(C[C@@H]([C@@H]([C@@]8(C)CO)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)OC(=O)C[C@](CC(=O)O2)(C)O)O)O)O)C)C)[C@@H]4CC(CC5)(C)C)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O	MCPFEAJYKIXPQF-BPKNMIDHSA-N	MCPFEAJYKIXPQF-DXZAWUHFSA-N
cpd05974	Cotylenin F	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 14 shared stereocenters have different configuration	11953923	kegg_xref	C09078	COC[C@H]1O[C@H](O[C@@H]2C3=C(C(C)C)CC[C@]3(C)/C=C3\[C@@H](CC[C@]3(O)COC)[C@@H](C)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O[C@](C)(CO)[C@H]1CO1	C[C@@H]1[C@@H]\2CC[C@@](/C2=C/[C@]3(CCC(=C3[C@H]([C@@H]1O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC)O[C@](C)(CO)[C@@H]5CO5)O)O)C(C)C)C)(COC)O	ZLOOJZZIGCIITD-LEFVLKLHSA-N	ZLOOJZZIGCIITD-RTZQVEJRSA-N
cpd05038	Rifapentine	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 13 shared stereocenters have different configuration	135403821	kegg_xref	C08059	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CC[NH+](C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H]1C	C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C6CCCC6)/C	WDZCUPBHRAEYDL-BZWMEKERSA-O	WDZCUPBHRAEYDL-GZAUEHORSA-N
cpd08808	Chloroeremomycin	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 22 shared stereocenters have different configuration	91825621	xref_resolved	xref_resolved:chebi_xref=CHEBI:85488->CID91825621(STEREO_DIFF)	C[NH2+][C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)[O-])c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)([NH3+])[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)([NH3+])[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O	C[C@H]1[C@@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H]7C(=O)N[C@@H](C8=C(C(=CC(=C8)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N7)NC(=O)[C@@H]5NC(=O)[C@@H](NC(=O)[C@@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC(=O)[C@@H](CC(C)C)[NH2+]C)CC(=O)N)O)C(=O)[O-])O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(C)[NH3+])Cl)CO)O)O)(C)[NH3+])O	XJHXLMVKYIVZTE-QNFIFJGWSA-P	XJHXLMVKYIVZTE-LOALFDMRSA-P
cpd08827	Chlorobiphenyl-desleucyl-vancomycin	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 17 shared stereocenters have different configuration	16152970	kegg_xref	C12036	C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3c4cc5cc3Oc3ccc(cc3Cl)[C@@H](O)[C@@H]([NH3+])C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]5C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)[O-])c5cc(O)cc(O)c5-c5cc3ccc5O)[C@H](O)c3ccc(c(Cl)c3)O4)O[C@H](CO)[C@@H](O)[C@@H]2O)C[C@](C)([NH2+]Cc2ccc(-c3ccc(Cl)cc3)cc2)[C@@H]1O	C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H]7C(=O)N[C@@H](C8=C(C(=CC(=C8)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N7)NC(=O)[C@@H]5NC(=O)[C@@H](NC(=O)[C@@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)N)CC(=O)N)O)C(=O)O)O)Cl)CO)O)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)O	AAPHCFFPXJQKHX-GLHDJCOUSA-O	AAPHCFFPXJQKHX-XDMXBEBWSA-N
cpd08932	Mycolactone	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 17 shared stereocenters have different configuration	5282079	kegg_xref	C12151	CC(=C\C=C\C(C)=C\[C@H](O)[C@@H](O)C[C@H](C)O)/C=C(C)/C=C/C(=O)O[C@H]1CCCC(=O)O[C@H]([C@@H](C)C/C(C)=C/[C@@H](C)[C@H](O)C[C@@H](C)O)C/C=C(\C)C[C@@H]1C	C[C@H]1C/C(=C/C[C@@H](OC(=O)CCC[C@@H]1OC(=O)/C=C/C(=C/C(=C/C=C/C(=C/[C@@H]([C@H](C[C@H](C)O)O)O)/C)/C)/C)[C@@H](C)C/C(=C/[C@@H](C)[C@@H](C[C@@H](C)O)O)/C)/C	WKTLNJXZVDLRTJ-NVMPMOQHSA-N	WKTLNJXZVDLRTJ-QRRXZRELSA-N
cpd31205	Terpendole G	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 8 shared stereocenters have different configuration	10411534	kegg_xref	C20586	CC(C)(O)[C@@H]1C[C@@H](O)[C@]2(C=O)[C@H](CC[C@@]3(C)[C@@H]2CC[C@H]2Cc4c([nH]c5ccccc45)[C@@]23C)O1	C[C@]12CC[C@H]3[C@]([C@@H]1CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)([C@@H](C[C@H](O3)C(C)(C)O)O)C=O	BKWWGNDKMSPYIS-DGZZXUABSA-N	BKWWGNDKMSPYIS-KYYKPQATSA-N
cpd31298	Chloroorienticin B	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 18 shared stereocenters have different configuration	71768148	xref_resolved	xref_resolved:chebi_xref=CHEBI:75963->CID71768148(STEREO_DIFF)	C[NH2+][C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)[O-])c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)([NH3+])[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Oc2ccc(cc2Cl)[C@H]1O	C[C@H]1[C@@H]([C@@](C[C@@H](O1)O[C@H]2[C@H]3C(=O)N[C@@H](C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)[C@H](C(=O)N3)NC(=O)[C@H]6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)OC1=C(C=C(C=C1)[C@H]([C@H](C(=O)N[C@H](C(=O)N6)CC(=O)N)NC(=O)[C@@H](CC(C)C)[NH2+]C)O)Cl)O)C(=O)[O-])(C)[NH3+])O	ATHQCOUEZPBNLP-JCXNEJHJSA-O	ATHQCOUEZPBNLP-JWYJDYCQSA-O
cpd31421	1,4-dideoxy-1,4-imino-D-mannitol	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 4 shared stereocenters have different configuration	456279	name_lookup	1,4-dideoxy-1,4-imino-D-mannitol	OC[C@@H](O)[C@@H]1[NH2+]C[C@@H](O)[C@H]1O	C1[C@H]([C@H]([C@H](N1)[C@@H](CO)O)O)O	RVNSAAIWCWTCTJ-ARQDHWQXSA-O	RVNSAAIWCWTCTJ-KVTDHHQDSA-N
cpd31515	20-[beta-D-xylopyranosyl-(1->6)-beta-D-glucopyranosyloxy]dammar-24-ene-3beta,12-diol	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 19 shared stereocenters have different configuration	11331683	name_lookup	20-[beta-D-xylopyranosyl-(1->6)-beta-D-glucopyranosyloxy]dammar-24-ene-3beta,12-diol	CC(C)=CCC[C@](C)(O[C@@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C	CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@@H](CO6)O)O)O)O)O)O)C	YNBYFOIDLBTOMW-SICSQIIDSA-N	YNBYFOIDLBTOMW-IPTBNLQOSA-N
cpd31804	beta-D-GlcA-(1->3)-alpha-D-GalNAc-(1->6)-alpha-D-GalNAc-PP-Und	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 25 shared stereocenters have different configuration	122706074	name_lookup	beta-D-GlcA-(1->3)-alpha-D-GalNAc-(1->6)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)[C@H]2NC(C)=O)[C@H](O)[C@@H]1O	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)([O-])OP(=O)([O-])O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)NC(=O)C)O)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C	JENBVMGOXAUBFJ-ILZODKEJSA-K	JENBVMGOXAUBFJ-SMVSCTSASA-K
cpd38538	myricetin 3-O-[(6-O-[(E)-feruloyl]-beta-D-glucosyl)-(1->2)-alpha-L-rhamnoside]	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 11 shared stereocenters have different configuration	138911137	chebi_xref	CHEBI:144446	COc1cc(/C=C/C(=O)OC[C@@H]2O[C@@H](O[C@H]3[C@H](Oc4c(-c5cc(O)c(O)c(O)c5)oc5cc([O-])cc([O-])c5c4=O)O[C@@H](C)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)[O-])O)C4=CC(=C(C(=C4)O)[O-])O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)/C=C/C6=CC(=C(C=C6)O)OC)O)O)O)O)O	FDLCWZWBKKRDLM-VEPGMUERSA-L	FDLCWZWBKKRDLM-SIZJWXLGSA-L
cpd19244	Ignavine	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 10 shared stereocenters have different configuration	71448929	kegg_xref	C17485	C=C1[C@H]2C[C@@H]3C4[NH+]5C[C@@]6(C)[C@H]7[C@H]5CC3([C@@H]1O)[C@@](O)(C2)[C@@]47C[C@@H](OC(=O)c1ccccc1)[C@@H]6O	C[C@]12CN3[C@@H]4[C@H]1[C@@]5(C3[C@H]6C[C@H]7C[C@@]5(C6(C4)[C@@H](C7=C)O)O)C[C@H]([C@@H]2O)OC(=O)C8=CC=CC=C8	FOIZZXKAYVIZQC-YBXLCIIXSA-O	FOIZZXKAYVIZQC-HHNXWBSMSA-N
cpd46970	Rif5 intermediate 3	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 11 shared stereocenters have different configuration	138319136	name_lookup	Rif5 intermediate 3	C/C1=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)C(C(O)O)C(O)O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC1=O)C4=O	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=O)C3=C(C2=O)C(=C(C4=C3C(=O)[C@](O4)(OC(C([C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)O)C)O)C(O)O)O)C)C)O)/C	QEWZZVDALIYXAU-MFQXWKJOSA-N	QEWZZVDALIYXAU-QNOADIDYSA-N
