cpd_id	issue	field	stored	computed	action
cpd10919	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=GBECUEIQVRDUKB	SMILES_conn=IBNYYOYBBXLRRL	flagged
cpd11224	formula_mismatch	Formula	C22H21ClN6O2	C22H19ClN6O2	fixed
cpd11224	charge_mismatch	Charge	0	-2	fixed
cpd15607	formula_mismatch	Formula	C34H34FeN4O6	C34H32FeN4O6	fixed
cpd15607	charge_mismatch	Charge	2	0	fixed
cpd19421	formula_mismatch	Formula	C55H73MgN4O6	C55H72MgN4O6	fixed
cpd19421	charge_mismatch	Charge	1	0	fixed
cpd19631	charge_mismatch	Charge	1	0	fixed
cpd19831	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=YTQVHRVITVLIRD	SMILES_conn=ILPONIIYONRZSH	flagged
cpd20027	charge_mismatch	Charge	1	0	fixed
cpd20150	formula_mismatch	Formula	C12H13N6O7S	C12H12N6O7S	fixed
cpd20150	charge_mismatch	Charge	-1	-2	fixed
cpd20208	formula_mismatch	Formula	C26H38N2O4	2C13H19NO2	fixed
cpd20314	formula_mismatch	Formula	C14H12F3NO4S2	C14H11F3NO4S2	fixed
cpd20314	charge_mismatch	Charge	0	-1	fixed
cpd20553	charge_mismatch	Charge	1	0	fixed
cpd20778	charge_mismatch	Charge	1	0	fixed
cpd20824	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=NIOPGADRXCTGRC	SMILES_conn=QUSYWUQDLYALHA	flagged
cpd22092	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=FCXHZBQOKRZXKS	SMILES_conn=NJBICIUXSOYGRL	flagged
cpd22283	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=HAYXDMNJJFVXCI	SMILES_conn=OIBHTRHWDABMTD	flagged
cpd23052	formula_mismatch	Formula	C34H33FeN4O4	C34H30FeN4O4	fixed
cpd23052	charge_mismatch	Charge	2	-1	fixed
cpd23055	smiles_parse_fail	SMILES	C=CC1=C(C)C2=CC3=C(C)C(=C4C=c5c6CCC(=O)O[Fe+3]789[N]%10C%11=C(C)C(=C%10C=c%10c(C		flagged
cpd23056	formula_mismatch	Formula	C68H66Fe2N8O8	C68H60Fe2N8O8	fixed
cpd23056	charge_mismatch	Charge	4	-2	fixed
cpd23061	smiles_parse_fail	SMILES	O=P(O)(O)O[C@@H]1[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C		flagged
cpd23460	formula_mismatch	Formula	C9H14N3O10P2	C9H12N3O10P2	fixed
cpd23460	charge_mismatch	Charge	-1	-3	fixed
cpd23840	formula_mismatch	Formula	C18H17N4O6S4	C18H16N4O6S4	fixed
cpd23840	charge_mismatch	Charge	0	-1	fixed
cpd23911	charge_mismatch	Charge	0	-1	fixed
cpd24015	formula_mismatch	Formula	C49H56FeN4O6	C49H54FeN4O6	fixed
cpd24015	charge_mismatch	Charge	1	-1	fixed
cpd24016	formula_mismatch	Formula	C49H56FeN4O6	C49H54FeN4O6	fixed
cpd24016	charge_mismatch	Charge	0	-2	fixed
cpd24365	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=ZLUSCZLCHQSJRU	SMILES_conn=MRRXNFUEOHQVPX	flagged
cpd24379	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=IAVISRBOGCXYND	SMILES_conn=WXVHSSIEAWUYFF	flagged
cpd24467	smiles_parse_fail	SMILES	C(CC1(CC(=O)O)C(=O)O[Mo]23(O1)S1[Fe]45[C-4]6789[Fe]%101S2[Fe]6(S[Fe]19S2[Fe]7(S5		flagged
cpd24682	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=LJBDFODJNLIPKO	SMILES_conn=SFYZAEXXXOLSME	flagged
cpd24684	formula_mismatch	Formula	C55H69MgN4O5	C55H68MgN4O5	fixed
cpd24684	charge_mismatch	Charge	1	0	fixed
cpd24686	formula_mismatch	Formula	C55H71MgN4O5	C55H70MgN4O5	fixed
cpd24686	charge_mismatch	Charge	1	0	fixed
cpd24795	formula_mismatch	Formula	C42H37N4NiO16	C42H36N4NiO16	fixed
cpd24795	charge_mismatch	Charge	-7	-8	fixed
cpd24796	formula_mismatch	Formula	C42H41N6NiO14	C42H40N6NiO14	fixed
cpd24796	charge_mismatch	Charge	-5	-6	fixed
cpd24921	smiles_parse_fail	SMILES	Cc1cc(ccc1OC1[C@H]([C@H]([C@H]([C@H](COC(=O)/C=C/c2ccc(c(c2)OC2[C@@H]([C@@H]([C@		flagged
cpd24958	formula_mismatch	Formula	C42H39FeN5O15	C42H38FeN5O15	fixed
cpd24958	charge_mismatch	Charge	-6	-7	fixed
cpd25549	inchi_computed	InChI		InChI=1S/C35H40N4O6.Mg/c1-8-19-14(2)21-13-26-28(18(6)40)16(4)23(37-26)11-22-15(3	fixed
cpd25549	inchikey_computed	InChIKey		IGDPJIYHHFUMJW-ZNBUQQTHSA-K	fixed
cpd25549	formula_mismatch	Formula		C35H37MgN4O6	fixed
cpd25549	charge_mismatch	Charge		-1	fixed
cpd25556	inchi_computed	InChI		InChI=1S/C55H70N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd25556	inchikey_computed	InChIKey		PPWIHDKADHGWTF-PXHBLCGXSA-L	fixed
cpd25556	formula_mismatch	Formula		C55H68MgN4O6	fixed
cpd25556	charge_mismatch	Charge		0	fixed
cpd25557	inchi_computed	InChI		InChI=1S/C55H72N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd25557	inchikey_computed	InChIKey		NEMHWRICTRODRL-GKHNJKAZSA-L	fixed
cpd25557	formula_mismatch	Formula		C55H70MgN4O6	fixed
cpd25557	charge_mismatch	Charge		0	fixed
cpd25558	inchi_computed	InChI		InChI=1S/C55H74N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd25558	inchikey_computed	InChIKey		MNCOKSXFFDJZAQ-OHSIIGEUSA-L	fixed
cpd25558	formula_mismatch	Formula		C55H72MgN4O6	fixed
cpd25558	charge_mismatch	Charge		0	fixed
cpd25955	formula_mismatch	Formula	C10H14N6O12P3	C10H13N6O12P3	fixed
cpd25955	charge_mismatch	Charge	-3	-4	fixed
cpd26110	formula_mismatch	Formula	C16H23IN6O10PS	C16H22IN6O10PS	fixed
cpd26110	charge_mismatch	Charge	-1	-2	fixed
cpd26158	formula_mismatch	Formula	H7N2O8P3	H2N2O8P3	fixed
cpd26158	charge_mismatch	Charge	0	-5	fixed
cpd26316	formula_mismatch	Formula	C15H20N7O9S	C15H19N7O9S	fixed
cpd26316	charge_mismatch	Charge	-1	-2	fixed
cpd26358	formula_mismatch	Formula	H4NO6P2	HNO6P2	fixed
cpd26358	charge_mismatch	Charge	-1	-4	fixed
cpd26529	formula_mismatch	Formula	C14H18N7O9S	C14H17N7O9S	fixed
cpd26529	charge_mismatch	Charge	-1	-2	fixed
cpd27307	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=YEAYMLBNRJYVPB	SMILES_conn=ULFQRIVWGPVOMK	flagged
cpd27392	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=ISVAEKDKOPJTJN	SMILES_conn=AKPGLXYHJUAETG	flagged
cpd31021	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=LULLIKNODDLMDQ	SMILES_conn=NLZFMWRKNOTNGI	flagged
cpd31050	formula_mismatch	Formula	C18H10NNa2O8S2	C18H9NNa2O8S2	fixed
cpd31050	charge_mismatch	Charge	1	0	fixed
cpd31453	inchi_computed	InChI		InChI=1S/C12H13NO9PS2.Ni/c14-8-7(4-21-23(18,19)20)22-10(9(8)15)13-2-5(11(16)24)1	fixed
cpd31453	inchikey_computed	InChIKey		VPJZRNGKIJNFAM-WFFMJNDQSA-M	fixed
cpd31681	formula_mismatch	Formula	C49H59FeN4O5	C49H56FeN4O5	fixed
cpd31681	charge_mismatch	Charge	1	-2	fixed
cpd31691	formula_mismatch	Formula	C49H59FeN4O6	C49H56FeN4O6	fixed
cpd31691	charge_mismatch	Charge	1	-2	fixed
cpd31745	inchi_computed	InChI		InChI=1S/C55H68N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd31745	inchikey_computed	InChIKey		XBMPPCFEZVSZFO-LTRSCUCDSA-L	fixed
cpd31745	formula_mismatch	Formula		C55H66MgN4O6	fixed
cpd31745	charge_mismatch	Charge		0	fixed
cpd31813	formula_mismatch	Formula	C33H32FeN4O5	C33H29FeN4O5	fixed
cpd31813	charge_mismatch	Charge	2	-1	fixed
cpd32094	inchi_computed	InChI		InChI=1S/C55H72N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd32094	inchikey_computed	InChIKey		RXWQIBINZQWNSY-HSXVEEBLSA-L	fixed
cpd32094	formula_mismatch	Formula		C55H70MgN4O6	fixed
cpd32094	charge_mismatch	Charge		0	fixed
cpd32319	formula_mismatch	Formula	C36H35FeN4O8	C36H32FeN4O8	fixed
cpd32319	charge_mismatch	Charge	-1	-4	fixed
cpd32726	formula_mismatch	Formula	C49H59FeN4O5	C49H56FeN4O5	fixed
cpd32726	charge_mismatch	Charge	4	1	fixed
cpd32755	formula_mismatch	Formula	C34H32FeN4O5	C34H30FeN4O5	fixed
cpd32755	charge_mismatch	Charge	0	-2	fixed
cpd33088	inchi_computed	InChI		InChI=1S/C55H74N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd33088	inchikey_computed	InChIKey		PPABQYJNWRXSJZ-OHSIIGEUSA-L	fixed
cpd33088	formula_mismatch	Formula		C55H72MgN4O6	fixed
cpd33088	charge_mismatch	Charge		0	fixed
cpd33420	smiles_parse_fail	SMILES	[Mo]12345[O]6[Mo+2]78(=O)(=O)O[Mo+2]96(=O)(=O)O[Mo+2]6(=O)(=O)(O[Mo+2]%10(=O)(=O		flagged
cpd33606	formula_mismatch	Formula	C34H37FeN4O4	C34H34FeN4O4	fixed
cpd33606	charge_mismatch	Charge	1	-2	fixed
cpd33625	smiles_parse_fail	SMILES	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC[NH2+]C		flagged
cpd33800	formula_mismatch	Formula	C30H29FeN4O4	C30H26FeN4O4	fixed
cpd33800	charge_mismatch	Charge	1	-2	fixed
cpd33914	inchi_computed	InChI		InChI=1S/C35H37N4O6.Mg/c1-8-19-14(2)21-13-26-28(18(6)40)16(4)23(37-26)11-22-15(3	fixed
cpd33914	inchikey_computed	InChIKey		CMFKURMICHSKLB-YBDVQRBLSA-J	fixed
cpd33914	formula_mismatch	Formula		C35H33MgN4O6	fixed
cpd33914	charge_mismatch	Charge		-1	fixed
cpd33944	inchi_computed	InChI		InChI=1S/C55H74N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd33944	inchikey_computed	InChIKey		FHWXDUDVVUPGNZ-KZVOXQDDSA-L	fixed
cpd33944	formula_mismatch	Formula		C55H72MgN4O6	fixed
cpd33944	charge_mismatch	Charge		0	fixed
cpd34001	inchi_computed	InChI		InChI=1S/C35H38N4O6.Mg/c1-8-19-14(2)21-13-26-28(18(6)40)16(4)23(37-26)11-22-15(3	fixed
cpd34001	inchikey_computed	InChIKey		ZPRLIMSKLFOUFQ-UNWOEZKRSA-K	fixed
cpd34001	formula_mismatch	Formula		C35H35MgN4O6	fixed
cpd34001	charge_mismatch	Charge		-1	fixed
cpd34195	smiles_parse_fail	SMILES	[C]12345[Fe]67S8[Fe]91S1[Fe]2(S[Fe]25S5[Fe]3(S7)S3[Fe]4(S9)S2[Fe]53)S6[Fe]81		flagged
cpd34742	formula_mismatch	Formula	C34H30FeN4O10	C34H28FeN4O10	fixed
cpd34742	charge_mismatch	Charge	-2	-4	fixed
cpd34751	inchi_computed	InChI		InChI=1S/C55H70N4O6.Mg/c1-13-39-34(7)41-29-46-48(38(11)60)36(9)43(57-46)27-42-35	fixed
cpd34751	inchikey_computed	InChIKey		OJOINVXGROQJNP-CDXJYBISSA-L	fixed
cpd34751	formula_mismatch	Formula		C55H68MgN4O6	fixed
cpd34751	charge_mismatch	Charge		0	fixed
cpd34761	formula_mismatch	Formula	C35H34FeN4O6	C35H31FeN4O6	fixed
cpd34761	charge_mismatch	Charge	0	-3	fixed
cpd35389	formula_mismatch	Formula	C40H39FeN4O12	C40H38FeN4O12	fixed
cpd35389	charge_mismatch	Charge	-5	-6	fixed
cpd35617	smiles_parse_fail	SMILES	[C]12345[Fe]67S8[Fe]91S1[Fe]2(S[Fe]25S5[Fe]3(S7)S3[Fe]4(S9)S2[Fe]53)S6[Mo-4]81(O		flagged
cpd35760	formula_mismatch	Formula	C49H59FeN4O7	C49H56FeN4O7	fixed
cpd35760	charge_mismatch	Charge	1	-2	fixed
cpd36390	formula_mismatch	Formula	C34H33FeN4O4	C34H30FeN4O4	fixed
cpd36390	charge_mismatch	Charge	3	0	fixed
cpd37283	smiles_parse_fail	SMILES	Cc1cc(ccc1OC1[C@H]([C@H]([C@H]([C@H](COC(=O)/C=C/c2ccc(c(c2)OC2[C@@H]([C@@H]([C@		flagged
cpd38044	formula_mismatch	Formula	C40H39FeN4O12	C40H38FeN4O12	fixed
cpd38044	charge_mismatch	Charge	-5	-6	fixed
cpd38045	formula_mismatch	Formula	C34H30FeN4O10	C34H28FeN4O10	fixed
cpd38045	charge_mismatch	Charge	-2	-4	fixed
cpd38874	formula_mismatch	Formula	C30H28N6O9	C30H26N6O9	fixed
cpd38874	charge_mismatch	Charge	0	-2	fixed
cpd38876	formula_mismatch	Formula	C24H20BrClN6O3	C24H18BrClN6O3	fixed
cpd38876	charge_mismatch	Charge	0	-2	fixed
cpd38877	formula_mismatch	Formula	C30H28BrClN6O9	C30H26BrClN6O9	fixed
cpd38877	charge_mismatch	Charge	0	-2	fixed
cpd40033	formula_mismatch	Formula	C35H30MgN4O5	C35H29MgN4O5	fixed
cpd40033	charge_mismatch	Charge	0	-1	fixed
cpd40087	formula_mismatch	Formula	C35H35MgN4O5	C35H33MgN4O5	fixed
cpd40087	charge_mismatch	Charge	1	-1	fixed
cpd40088	formula_mismatch	Formula	C35H32MgN4O5	C35H30MgN4O5	fixed
cpd40088	charge_mismatch	Charge	0	-2	fixed
cpd40089	formula_mismatch	Formula	C35H35MgN4O4	C35H33MgN4O4	fixed
cpd40089	charge_mismatch	Charge	1	-1	fixed
cpd40110	formula_mismatch	Formula	C55H71MgN4O6	C55H70MgN4O6	fixed
cpd40110	charge_mismatch	Charge	1	0	fixed
cpd40140	formula_mismatch	Formula	C34H34FeN4O6	C34H32FeN4O6	fixed
cpd40140	charge_mismatch	Charge	0	-2	fixed
cpd41191	formula_mismatch	Formula	C35H34MgN4O5	C35H33MgN4O5	fixed
cpd41191	charge_mismatch	Charge	0	-1	fixed
cpd41192	formula_mismatch	Formula	C35H32MgN4O5	C35H31MgN4O5	fixed
cpd41192	charge_mismatch	Charge	0	-1	fixed
cpd41193	formula_mismatch	Formula	C35H32MgN4O5	C35H31MgN4O5	fixed
cpd41193	charge_mismatch	Charge	0	-1	fixed
cpd41194	formula_mismatch	Formula	C35H32MgN4O6	C35H31MgN4O6	fixed
cpd41194	charge_mismatch	Charge	0	-1	fixed
cpd41195	formula_mismatch	Formula	C35H34MgN4O6	C35H33MgN4O6	fixed
cpd41195	charge_mismatch	Charge	0	-1	fixed
cpd41199	formula_mismatch	Formula	C55H73MgN4O6	C55H72MgN4O6	fixed
cpd41199	charge_mismatch	Charge	1	0	fixed
cpd41707	formula_mismatch	Formula	C35H36MgN4O6	C35H35MgN4O6	fixed
cpd41707	charge_mismatch	Charge	0	-1	fixed
cpd41709	formula_mismatch	Formula	C35H34MgN4O6	C35H33MgN4O6	fixed
cpd41709	charge_mismatch	Charge	0	-1	fixed
cpd41740	formula_mismatch	Formula	C33H32MgN4O3	C33H31MgN4O3	fixed
cpd41740	charge_mismatch	Charge	0	-1	fixed
cpd41741	formula_mismatch	Formula	C34H34MgN4O3	C34H33MgN4O3	fixed
cpd41741	charge_mismatch	Charge	0	-1	fixed
cpd41743	formula_mismatch	Formula	C35H36MgN4O3	C35H35MgN4O3	fixed
cpd41743	charge_mismatch	Charge	0	-1	fixed
cpd41744	formula_mismatch	Formula	C36H38MgN4O3	C36H37MgN4O3	fixed
cpd41744	charge_mismatch	Charge	0	-1	fixed
cpd43522	smiles_inchi_connectivity_mismatch	SMILES/InChI	InChI_conn=MGVNICLAQFAOBM	SMILES_conn=IQOPEXDSZLIVAG	flagged
cpd43808	formula_mismatch	Formula	C49H59FeN4O6	C49H56FeN4O6	fixed
cpd43808	charge_mismatch	Charge	3	0	fixed
cpd43809	formula_mismatch	Formula	C49H56FeN4O6	C49H54FeN4O6	fixed
cpd43809	charge_mismatch	Charge	2	0	fixed
cpd44019	smiles_parse_fail	SMILES	CC(=CCCC(=C=CCC(=C=[C](=O)O)C)C)C		flagged
cpd46105	formula_mismatch	Formula	C54H64FeN4O6	C54H62FeN4O6	fixed
cpd46105	charge_mismatch	Charge	0	-2	fixed
cpd46454	formula_mismatch	Formula	C68H66Fe2N8O9	C68H60Fe2N8O9	fixed
cpd46454	charge_mismatch	Charge	2	-4	fixed
cpd46455	formula_mismatch	Formula	C34H34FeN4O6	C34H32FeN4O6	fixed
cpd46455	charge_mismatch	Charge	2	0	fixed
cpd46456	formula_mismatch	Formula	C54H65FeN4O4	C54H62FeN4O4	fixed
cpd46456	charge_mismatch	Charge	1	-2	fixed
cpd46457	formula_mismatch	Formula	C49H57FeN4O4	C49H54FeN4O4	fixed
cpd46457	charge_mismatch	Charge	1	-2	fixed
cpd46458	formula_mismatch	Formula	C54H67FeN4O5	C54H64FeN4O5	fixed
cpd46458	charge_mismatch	Charge	1	-2	fixed
cpd46496	formula_mismatch	Formula	C55H71MgN4O6	C55H70MgN4O6	fixed
cpd46496	charge_mismatch	Charge	1	0	fixed
cpd46646	formula_mismatch	Formula	C52H50N4O20	C52H49N4O20	fixed
cpd46646	charge_mismatch	Charge	0	-1	fixed
cpd46870	smiles_parse_fail	SMILES	F[PH](F)(F)(F)(F)F		flagged
