cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	stored_stereo_defined	stored_stereo_potential	pubchem_stereo_defined	pubchem_stereo_potential
cpd00867	(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl phosphate	xref_resolved:chebi_xref=CHEBI:58433->CID5288642(STEREO_DIFF)	xref_resolved	STEREO_DIFF	INAPMGSXUVUWAF-UOTPTPDRSA-L	INAPMGSXUVUWAF-GCVPSNMTSA-L	5288642	O=P([O-])([O-])O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C([C@@H]([C@@H](C1O)O)O)OP(=O)([O-])[O-])O)O	6	6	4	6
cpd00885	(1R,2S,3r,4R,5S,6s)-cyclohexane-1,2,3,4,5,6-hexayl hexakis(phosphate)	xref_resolved:chebi_xref=CHEBI:58130->CID21584050(STEREO_DIFF)	xref_resolved	STEREO_DIFF	IMQLKJBTEOYOSI-GPIVLXJGSA-B	IMQLKJBTEOYOSI-UHFFFAOYSA-B	21584050	O=P([O-])([O-])O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1OP(=O)([O-])[O-]	C1(C(C(C(C(C1OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-]	6	6	0	6
cpd00898	1D-myo-Inositol 1,4-bisphosphate	xref_resolved:chebi_xref=CHEBI:58282->CID25203530(STEREO_DIFF)	xref_resolved	STEREO_DIFF	PELZSPZCXGTUMR-RTPHHQFDSA-J	PELZSPZCXGTUMR-MBEOBJKWSA-J	25203530	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	[C@H]1([C@H](C([C@H]([C@H](C1OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-])O)O	6	6	4	6
cpd00902	(2R)-2,3-dihydroxypropyl (1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl phosphate	xref_resolved:chebi_xref=CHEBI:58444->CID45480544(STEREO_DIFF)	xref_resolved	STEREO_DIFF	BMVUIWJCUQSHLZ-UJGXJMNGSA-M	BMVUIWJCUQSHLZ-YFZGBAIXSA-M	45480544	O=P([O-])(OC[C@H](O)CO)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	C([C@H](COP(=O)([O-])OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O)O	7	8	5	8
cpd00910	1-O-alpha-D-Galactosyl-D-myo-inositol	xref_resolved:chebi_xref=CHEBI:17505->CID11727586(STEREO_DIFF)	xref_resolved	STEREO_DIFF	VCWMRQDBPZKXKG-DXNLKLAMSA-N	VCWMRQDBPZKXKG-ZNVDUFQESA-N	11727586	OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2[C@H]([C@H](C([C@H]([C@@H]2O)O)O)O)O)O)O)O)O	11	11	9	11
cpd00934	1D-<i>myo</i>-inositol (1,3,4,5)-tetra<i>kis</i>phosphate	xref_resolved:chebi_xref=CHEBI:57895->CID24742076(STEREO_DIFF)	xref_resolved	STEREO_DIFF	CIPFCGZLFXVXBG-CNWJWELYSA-F	CIPFCGZLFXVXBG-FTSGZOCFSA-F	24742076	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O	[C@H]1([C@H](C([C@H]([C@H](C1OP(=O)([O-])[O-])O)OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])O	6	6	4	6
cpd00942	1-Amino-1-deoxy-scyllo-inositol 4-phosphate	xref_resolved:chebi_xref=CHEBI:58325->CID25243876(STEREO_DIFF)	xref_resolved	STEREO_DIFF	AYESCHMRXGYEFV-CDRYSYESSA-M	AYESCHMRXGYEFV-UYSNGIAKSA-M	25243876	[NH3+][C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1[NH3+])O)O)OP(=O)([O-])[O-])O)O	6	6	4	6
cpd00943	1D-<i>myo</i>-inositol 1,3,4,5,6-penta<i>kis</i>phosphate	xref_resolved:chebi_xref=CHEBI:57733->CID23615305(STEREO_DIFF)	xref_resolved	STEREO_DIFF	CTPQAXVNYGZUAJ-KXXVROSKSA-D	CTPQAXVNYGZUAJ-UYSNGIAKSA-D	23615305	O=P([O-])([O-])O[C@@H]1[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@H](O)[C@H](OP(=O)([O-])[O-])[C@H]1OP(=O)([O-])[O-]	[C@H]1([C@H](C([C@H]([C@@H](C1O)OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-]	6	6	4	6
cpd00950	(2R,3S,5R,6S)-4-{[amino(iminio)methyl]amino}-2,3,5,6-tetrahydroxycyclohexyl phosphate	xref_resolved:chebi_xref=CHEBI:57656->CID25244678(STEREO_DIFF)	xref_resolved	STEREO_DIFF	LQSANMIGNWXLNF-CDRYSYESSA-M	LQSANMIGNWXLNF-UYSNGIAKSA-M	25244678	NC(=[NH2+])N[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1[NH+]=C(N)N)O)O)OP(=O)([O-])[O-])O)O	6	6	4	6
cpd01049	(3-endo,8-syn)-3-[(3-hydroxy-2-phenylpropanoyl)oxy]-8-methyl-8-azoniabicyclo[3.2.1]octane	xref_resolved:chebi_xref=CHEBI:57858->CID21608699(STEREO_DIFF)	xref_resolved	STEREO_DIFF	RKUNBYITZUJHSG-SPUOUPEWSA-O	RKUNBYITZUJHSG-PJPHBNEVSA-O	21608699	C[NH+]1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2	C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	3	5	2	5
cpd01102	3-[4-({[trans-4-(azaniumylmethyl)cyclohexyl]carbonyl}oxy)phenyl]propanoate	xref_resolved:chebi_xref=CHEBI:58112->CID25201854(STEREO_DIFF)	xref_resolved	STEREO_DIFF	FHRSHSOEWXUORL-HDJSIYSDSA-N	FHRSHSOEWXUORL-UHFFFAOYSA-N	25201854	[NH3+]C[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)[O-])cc2)CC1	C1CC(CCC1C[NH3+])C(=O)OC2=CC=C(C=C2)CCC(=O)[O-]	2	2	0	2
cpd01271	4-<i>O</i>-(carboxymethyl)rifamycin	xref_resolved:chebi_xref=CHEBI:58306->CID25245928(STEREO_DIFF)	xref_resolved	STEREO_DIFF	SQTCRTQCPJICLD-OXOJELPBSA-M	SQTCRTQCPJICLD-KTQDUKAHSA-L	25245928	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)[O-])c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)[O-])OCC(=O)[O-])/C	12	12	12	12
cpd01274	(-)-Hyoscine	xref_resolved:chebi_xref=CHEBI:16794->CID3000322(STEREO_DIFF)	xref_resolved	STEREO_DIFF	STECJAGHUSJQJN-MSIGHWPWSA-N	STECJAGHUSJQJN-USLFZFAMSA-N	3000322	CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12	CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4	6	6	5	6
cpd01277	Streptamine	C01854	kegg_xref	STEREO_DIFF	ANLMVXSIPASBFL-FAEUDGQSSA-O	ANLMVXSIPASBFL-XGNJAFTASA-N	439590	N[C@@H]1[C@@H](O)[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1O)N)O)O)O)N	6	6	4	6
cpd01396	(3-endo)-8-methyl-8-azoniabicyclo[3.2.1]oct-3-yl (2S)-3-hydroxy-2-phenylpropanoate	xref_resolved:chebi_xref=CHEBI:58164->CID638022(STEREO_DIFF)	xref_resolved	STEREO_DIFF	RKUNBYITZUJHSG-FXUDXRNXSA-O	RKUNBYITZUJHSG-VFSICIBPSA-O	638022	C[NH+]1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2	C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3	4	5	3	5
cpd01476	7,12-diethenyl-3,8,13,17-tetramethylporphyrin-2,18-dipropanoate	xref_resolved:chebi_xref=CHEBI:57306->CID3794562(STEREO_DIFF)	xref_resolved	STEREO_DIFF	ZCFFYALKHPIRKJ-UJJXFSCMSA-L	ZCFFYALKHPIRKJ-UHFFFAOYSA-L	3794562	C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)c(C)c3C=C	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)[O-])C)C(=C3C)CCC(=O)[O-])C=C	0	0	0	0
cpd01707	(1R,3S,4R,5r,6S)-4,5,6-trihydroxycyclohexane-1,3-diaminium	xref_resolved:chebi_xref=CHEBI:65069->CID448760(STEREO_DIFF)	xref_resolved	STEREO_DIFF	DTFAJAKTSMLKAT-JDCCYXBGSA-P	DTFAJAKTSMLKAT-KFJBKXNJSA-P	448760	[NH3+][C@@H]1C[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H]1O	C1[C@H]([C@@H](C([C@@H]([C@H]1[NH3+])O)O)O)[NH3+]	5	5	4	5
cpd01708	2-Deoxystreptidine	C02628	kegg_xref	STEREO_DIFF	PYSUDYHJSLFULD-JDCCYXBGSA-P	PYSUDYHJSLFULD-KFJBKXNJSA-N	439769	NC(=[NH2+])N[C@H]1C[C@@H](NC(N)=[NH2+])[C@H](O)[C@@H](O)[C@@H]1O	C1[C@H]([C@@H](C([C@@H]([C@H]1N=C(N)N)O)O)O)N=C(N)N	5	5	4	5
cpd01836	N-Ethylglycocyamine	C02852	kegg_xref	STEREO_DIFF	CTNBESGEKMCKRZ-AACCOFLISA-N	CTNBESGEKMCKRZ-LXGUWJNJSA-N	439826	CC/N=C/[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CCN=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	5	5	4	5
cpd01845	Protochlorophyllide	C02880	kegg_xref	STEREO_DIFF	QBPCOMNNISRCTC-KKNVGXODSA-K	QBPCOMNNISRCTC-JSSVAETHSA-L	439833	C=Cc1c(C)/c2n3/c1=C\C1=N/C(=C\c4c(C)c5c(n4[Mg]3)/C(=C3\N=C(/C=2)C(C)=C3CCC(=O)[O-])[C@@H](C(=O)OC)C5=O)C(CC)=C1C	CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(=C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)[C@H](C4=O)C(=O)OC)C)C.[Mg+2]	5	5	1	1
cpd02032	Streptamine phosphate	C03177	kegg_xref	STEREO_DIFF	JOZGBZPOJJCPEP-FAEUDGQSSA-N	JOZGBZPOJJCPEP-XGNJAFTASA-N	439934	[NH3+][C@@H]1[C@@H](O)[C@H]([NH3+])[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1O)N)O)OP(=O)(O)O)O)N	6	6	4	6
cpd02035	Zinc protoporphyrin	C03184	kegg_xref	STEREO_DIFF	FUTVBRXUIKZACV-RGGAHWMASA-J	FUTVBRXUIKZACV-UHFFFAOYSA-L	439935	C=CC1=C(C)/C2=C/c3c(C)c(CCC(=O)[O-])c4n3[Zn]n3/c(c(C)c(C=C)/c3=C/C3=N/C(=C\4)C(CCC(=O)[O-])=C3C)=C\C1=N2	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C(=C3CCC(=O)O)C)CCC(=O)O.[Zn+2]	4	4	0	0
cpd02082	4-(aminomethyl)cyclohexane-1-carboxylic acid [4-(2- benzyloxycarbonylethyl)phenyl] ester	xref_resolved:chebi_xref=CHEBI:57790->CID25201006(STEREO_DIFF)	xref_resolved	STEREO_DIFF	LPWHBGUXJFSETQ-XUTJKUGGSA-O	LPWHBGUXJFSETQ-UHFFFAOYSA-O	25201006	[NH3+]C[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)OCc3ccccc3)cc2)CC1	C1CC(CCC1C[NH3+])C(=O)OC2=CC=C(C=C2)CCC(=O)OCC3=CC=CC=C3	2	2	0	2
cpd02136	(1R,2S,3r,4R,5S,6r)-6-methoxycyclohexane-1,2,3,4,5-pentol	CHEBI:15975	chebi_xref	STEREO_DIFF	DSCFFEYYQKSRSV-GWJPIIGYSA-N	DSCFFEYYQKSRSV-MVWKSXLKSA-N	439990	CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O	COC1[C@@H]([C@H](C([C@H]([C@@H]1O)O)O)O)O	6	6	4	6
cpd02168	(1R,2R,3R)-prephytoene diphosphate	xref_resolved:chebi_xref=CHEBI:58011->CID49791971(STEREO_DIFF)	xref_resolved	STEREO_DIFF	RVCNKTPCHZNAAO-QKUGLALCSA-L	RVCNKTPCHZNAAO-UZDKSQMHSA-K	49791971	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@]1(C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C	CC(=CCC/C(=C/CC/C(=C/CC/C(=C/[C@@H]1[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-])/C)/C)/C)C	8	10	8	9
cpd02216	Magnesium protoporphyrin	C03516	kegg_xref	STEREO_DIFF	REJJDEGSUOCEEW-RGGAHWMASA-J	REJJDEGSUOCEEW-UHFFFAOYSA-L	440035	C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Mg]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Mg+2]	4	4	0	0
cpd02230	(1S,2R,3S,4S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl phosphate	xref_resolved:chebi_xref=CHEBI:58469->CID25200523(STEREO_DIFF)	xref_resolved	STEREO_DIFF	INAPMGSXUVUWAF-CNWJWELYSA-L	INAPMGSXUVUWAF-GFWFORPUSA-L	25200523	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	[C@H]1([C@H](C([C@H]([C@H](C1O)O)O)OP(=O)([O-])[O-])O)O	6	6	4	6
cpd02296	(-)-bornesitol	CHEBI:18427	chebi_xref	STEREO_DIFF	DSCFFEYYQKSRSV-AGZHHQKVSA-N	DSCFFEYYQKSRSV-DQUUFWEPSA-N	440078	CO[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	COC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O	6	6	4	6
cpd02297	(1S,2R,3R,4S,5S,6R)-6-methoxycyclohexane-1,2,3,4,5-pentol	CHEBI:28310	chebi_xref	STEREO_DIFF	DSCFFEYYQKSRSV-ABXOWTNVSA-N	DSCFFEYYQKSRSV-WYANEKAJSA-N	440079	CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O	COC1[C@H]([C@H](C([C@H]([C@@H]1O)O)O)O)O	6	6	4	6
cpd02360	4-(Dimethylamino)azobenzene	C03764	kegg_xref	STEREO_DIFF	JCYPECIVGRXBMO-FOCLMDBBSA-N	JCYPECIVGRXBMO-UHFFFAOYSA-N	6053	CN(C)c1ccc(/N=N/c2ccccc2)cc1	CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2	1	1	0	1
cpd02370	2-amino-2-deoxy-1-O-phosphono-D-galactopyranose	xref_resolved:chebi_xref=CHEBI:142399->CID135398031(STEREO_DIFF)	xref_resolved	STEREO_DIFF	YMJBYRVFGYXULK-DVKNGEFBSA-M	YMJBYRVFGYXULK-VFUOTHLCSA-M	135398031	[NH3+][C@H]1[C@H](OP(=O)([O-])[O-])O[C@H](CO)[C@H](O)[C@@H]1O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])[NH3+])O)O)O	5	5	5	5
cpd02388	2-Deoxystreptamine phospahte	C03828	kegg_xref	STEREO_DIFF	LUFBHSYJRTVRIJ-JDCCYXBGSA-N	LUFBHSYJRTVRIJ-KFJBKXNJSA-N	440133	[NH3+][C@@H]1C[C@H]([NH3+])[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@H]1O	C1[C@H]([C@@H](C([C@@H]([C@H]1N)O)OP(=O)(O)O)O)N	5	5	4	5
cpd02397	(+)-pinitol	CHEBI:28548	chebi_xref	STEREO_DIFF	DSCFFEYYQKSRSV-KLJZZCKASA-N	DSCFFEYYQKSRSV-FEPQRWDDSA-N	164619	CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O	COC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O	6	6	4	6
cpd02412	1D-1-O-(indol-3-yl)acetyl-myo-inositol	xref_resolved:chebi_xref=CHEBI:15711->CID440152(STEREO_DIFF)	xref_resolved	STEREO_DIFF	XUACNUJFOIKYPQ-HUSLANRSSA-N	XUACNUJFOIKYPQ-ONKIVUJISA-N	440152	O=C(Cc1c[nH]c2ccccc12)O[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	C1=CC=C2C(=C1)C(=CN2)CC(=O)OC3[C@@H]([C@H](C([C@H]([C@H]3O)O)O)O)O	6	6	4	6
cpd02484	(1R,2S,3R,4R,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl phosphate	xref_resolved:chebi_xref=CHEBI:58401->CID5288700(STEREO_DIFF)	xref_resolved	STEREO_DIFF	INAPMGSXUVUWAF-PTQMNWPWSA-L	INAPMGSXUVUWAF-LXOASSSBSA-L	5288700	O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O	[C@H]1([C@@H](C([C@H]([C@@H](C1O)O)O)OP(=O)([O-])[O-])O)O	6	6	4	6
cpd02512	1D-<i>myo</i>-inositol (1,3)-bisphosphate	xref_resolved:chebi_xref=CHEBI:83242->CID25201139(STEREO_DIFF)	xref_resolved	STEREO_DIFF	PUVHMWJJTITUGO-FICORBCRSA-J	PUVHMWJJTITUGO-WJPCITMWSA-J	25201139	O=P([O-])([O-])O[C@@H]1[C@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1O)O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-])O	6	6	4	6
cpd02624	1-Guanidino-1-deoxy-scyllo-inositol	xref_resolved:chebi_xref=CHEBI:58016->CID25202575(STEREO_DIFF)	xref_resolved	STEREO_DIFF	LXQDZCCPYLOHOJ-CDRYSYESSA-O	LXQDZCCPYLOHOJ-UYSNGIAKSA-O	25202575	NC(=[NH2+])N[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1[NH+]=C(N)N)O)O)O)O)O	6	6	4	6
cpd02633	1-[4-(dimethylamino)phenyl]-2-phenyldiazene 2-oxide	CHEBI:17467	chebi_xref	STEREO_DIFF	AVLLFBZLCFQWSX-ICFOKQHNSA-N	AVLLFBZLCFQWSX-UHFFFAOYSA-N	584437	CN(C)c1ccc(/N=[N+](\[O-])c2ccccc2)cc1	CN(C)C1=CC=C(C=C1)N=[N+](C2=CC=CC=C2)[O-]	1	1	0	1
cpd02665	(R)-2-Methylimino-1-phenylpropan-1-ol	C04351	kegg_xref	STEREO_DIFF	WJOBFSVTSCWIDG-NGPGYTDTSA-N	WJOBFSVTSCWIDG-JTQLQIEISA-N	656502	C/N=C(\C)[C@H](O)c1ccccc1	CC(=NC)[C@@H](C1=CC=CC=C1)O	2	2	1	2
cpd02672	(2Z,5Z)-4-(carboxylatomethylidene)hepta-2,5-dienedioate	xref_resolved:chebi_xref=CHEBI:57713->CID25246283(STEREO_DIFF)	xref_resolved	STEREO_DIFF	WKDXBDTUVVLFQV-VFJABLNZSA-K	WKDXBDTUVVLFQV-CCAGOZQPSA-K	25246283	O=C([O-])/C=C\C(=C/C(=O)[O-])\C=C\C(=O)[O-]	C(=C\C(=O)[O-])\C(=CC(=O)[O-])/C=C\C(=O)[O-]	3	3	2	2
