ID	DATABASE	MNX
C00026	KEGG	MNXM20
2-KETOGLUTARATE	MetaCyc	MNXM20
cpd00022	SEED	MNXM21
C00024	KEGG	MNXM21
ACETYL-COA	MetaCyc	MNXM21
cpd00025	SEED	MNXM22
D00008	KEGG	MNXM22
C00027	KEGG	MNXM22
HYDROGEN-PEROXIDE	MetaCyc	MNXM22
cpd00020	SEED	MNXM23
C00022	KEGG	MNXM23
PYRUVATE	MetaCyc	MNXM23
cpd11610	SEED	MNXM24
C00030	KEGG	MNXM24
cpd00036	SEED	MNXM25
C00042	KEGG	MNXM25
SUC	MetaCyc	MNXM25
cpd00029	SEED	MNXM26
C00033	KEGG	MNXM26
D00010	KEGG	MNXM26
ACET	MetaCyc	MNXM26
cpd00971	SEED	MNXM27
C01330	KEGG	MNXM27
NA+	MetaCyc	MNXM27
cpd00033	SEED	MNXM29
D00011	KEGG	MNXM29
C00037	KEGG	MNXM29
GLY	MetaCyc	MNXM29
cpd00031	SEED	MNXM30
C00035	KEGG	MNXM30
G10620	KEGG	MNXM30
GDP	MetaCyc	MNXM30
cpd00046	SEED	MNXM31
C00055	KEGG	MNXM31
G10621	KEGG	MNXM31
CMP	MetaCyc	MNXM31
cpd01003	SEED	MNXM32
cpd00035	SEED	MNXM32
C01401	KEGG	MNXM32
C00041	KEGG	MNXM32
D00012	KEGG	MNXM32
L-ALPHA-ALANINE	MetaCyc	MNXM32
cpd00015	SEED	MNXM33
D00005	KEGG	MNXM33
C00016	KEGG	MNXM33
FAD	MetaCyc	MNXM33
cpd00350	SEED	MNXM34
C00448	KEGG	MNXM34
FARNESYL-PP	MetaCyc	MNXM34
cpd11609	SEED	MNXM35
C16722	KEGG	MNXM35
cpd26978	SEED	MNXM36
Donor-H2	MetaCyc	MNXM36
cpd00253	SEED	MNXM37
cpd00053	SEED	MNXM37
C00064	KEGG	MNXM37
D00015	KEGG	MNXM37
C00303	KEGG	MNXM37
GLN	MetaCyc	MNXM37
cpd00982	SEED	MNXM38
C01352	KEGG	MNXM38
FADH2	MetaCyc	MNXM38
cpd00047	SEED	MNXM39
C00058	KEGG	MNXM39
FORMATE	MetaCyc	MNXM39
cpd00070	SEED	MNXM40
C00083	KEGG	MNXM40
MALONYL-COA	MetaCyc	MNXM40
cpd26821	SEED	MNXM41
cpd00027	SEED	MNXM41
D00009	KEGG	MNXM41
C00031	KEGG	MNXM41
D-Glucose	MetaCyc	MNXM41
cpd00041	SEED	MNXM42
cpd19181	SEED	MNXM42
D00013	KEGG	MNXM42
C16433	KEGG	MNXM42
C00049	KEGG	MNXM42
L-ASPARTATE	MetaCyc	MNXM42
cpd00099	SEED	MNXM43
C01327	KEGG	MNXM43
D02057	KEGG	MNXM43
C00698	KEGG	MNXM43
HCL	MetaCyc	MNXM43
CL-	MetaCyc	MNXM43
cpd11611	SEED	MNXM44
cpd27059	SEED	MNXM44
C00040	KEGG	MNXM44
ACYL-COA	MetaCyc	MNXM44
cpd00045	SEED	MNXM45
C00054	KEGG	MNXM45
3-5-ADP	MetaCyc	MNXM45
cpd00032	SEED	MNXM46
C00036	KEGG	MNXM46
OXALACETIC_ACID	MetaCyc	MNXM46
cpd00037	SEED	MNXM47
C00043	KEGG	MNXM47
G10610	KEGG	MNXM47
UDP-N-ACETYL-D-GLUCOSAMINE	MetaCyc	MNXM47
cpd00044	SEED	MNXM49
C00053	KEGG	MNXM49
PAPS	MetaCyc	MNXM49
cpd00038	SEED	MNXM51
C00044	KEGG	MNXM51
GTP	MetaCyc	MNXM51
cpd00026	SEED	MNXM52
cpd28293	SEED	MNXM52
G10608	KEGG	MNXM52
C00029	KEGG	MNXM52
CPD-12575	MetaCyc	MNXM52
cpd00054	SEED	MNXM53
cpd30743	SEED	MNXM53
C00065	KEGG	MNXM53
D00016	KEGG	MNXM53
C00716	KEGG	MNXM53
SER	MetaCyc	MNXM53
Serines	MetaCyc	MNXM53
cpd11622	SEED	MNXM54
C00145	KEGG	MNXM54
Thiols	MetaCyc	MNXM54
cpd00084	SEED	MNXM55
cpd00547	SEED	MNXM55
C00097	KEGG	MNXM55
D00026	KEGG	MNXM55
C00736	KEGG	MNXM55
CYS	MetaCyc	MNXM55
cpd00055	SEED	MNXM56
C00067	KEGG	MNXM56
D00017	KEGG	MNXM56
FORMALDEHYDE	MetaCyc	MNXM56
cpd00042	SEED	MNXM57
C00051	KEGG	MNXM57
D00014	KEGG	MNXM57
GLUTATHIONE	MetaCyc	MNXM57
cpd00048	SEED	MNXM58
cpd29301	SEED	MNXM58
D05963	KEGG	MNXM58
C00059	KEGG	MNXM58
HSO4	MetaCyc	MNXM58
SULFATE	MetaCyc	MNXM58
cpd26855	SEED	MNXM59
cpd11423	SEED	MNXM59
cpd19004	SEED	MNXM59
C00165	KEGG	MNXM59
C00641	KEGG	MNXM59
DIACYLGLYCEROL	MetaCyc	MNXM59
cpd00242	SEED	MNXM60
C00288	KEGG	MNXM60
HCO3	MetaCyc	MNXM60
cpd30746	SEED	MNXM61
cpd00060	SEED	MNXM61
D00019	KEGG	MNXM61
C01733	KEGG	MNXM61
C00073	KEGG	MNXM61
D04983	KEGG	MNXM61
MET	MetaCyc	MNXM61
cpd11822	SEED	MNXM62
C01194	KEGG	MNXM62
1-PHOSPHATIDYL-MYO-INOSITOL	MetaCyc	MNXM62
cpd00052	SEED	MNXM63
C00063	KEGG	MNXM63
CTP	MetaCyc	MNXM63
cpd00080	SEED	MNXM66
C00093	KEGG	MNXM66
GLYCEROL-3P	MetaCyc	MNXM66
cpd12582	SEED	MNXM67
C04637	KEGG	MNXM67
PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA	MetaCyc	MNXM67
cpd00040	SEED	MNXM69
C00048	KEGG	MNXM69
GLYOX	MetaCyc	MNXM69
cpd19021	SEED	MNXM70
cpd00051	SEED	MNXM70
C00062	KEGG	MNXM70
D02982	KEGG	MNXM70
C02385	KEGG	MNXM70
ARG	MetaCyc	MNXM70
cpd27100	SEED	MNXM71
cpd11911	SEED	MNXM71
C01640	KEGG	MNXM71
GLN-tRNAs	MetaCyc	MNXM71
cpd19000	SEED	MNXM72
cpd00049	SEED	MNXM72
cpd12094	SEED	MNXM72
C02403	KEGG	MNXM72
C00162	KEGG	MNXM72
C00060	KEGG	MNXM72
Fatty-Acids	MetaCyc	MNXM72
Monocarboxylates	MetaCyc	MNXM72
Carboxylates	MetaCyc	MNXM72
cpd00061	SEED	MNXM73
C00074	KEGG	MNXM73
PHOSPHO-ENOL-PYRUVATE	MetaCyc	MNXM73
cpd00102	SEED	MNXM74
cpd19005	SEED	MNXM74
C00661	KEGG	MNXM74
C00118	KEGG	MNXM74
GAP	MetaCyc	MNXM74
cpd00071	SEED	MNXM75
C00084	KEGG	MNXM75
ACETALD	MetaCyc	MNXM75
cpd00069	SEED	MNXM76
cpd30745	SEED	MNXM76
C01536	KEGG	MNXM76
C00082	KEGG	MNXM76
D00022	KEGG	MNXM76
TYR	MetaCyc	MNXM76
cpd00095	SEED	MNXM77
C00111	KEGG	MNXM77
DIHYDROXY-ACETONE-PHOSPHATE	MetaCyc	MNXM77
cpd00039	SEED	MNXM78
cpd19182	SEED	MNXM78
D02304	KEGG	MNXM78
C16440	KEGG	MNXM78
C00047	KEGG	MNXM78
LYS	MetaCyc	MNXM78
cpd29254	SEED	MNXM79
THF	MetaCyc	MNXM79
cpd00091	SEED	MNXM80
C00105	KEGG	MNXM80
UMP	MetaCyc	MNXM80
cpd00083	SEED	MNXM82
G10614	KEGG	MNXM82
C00096	KEGG	MNXM82
GDP-MANNOSE	MetaCyc	MNXM82
cpd00113	SEED	MNXM83
C00129	KEGG	MNXM83
DELTA3-ISOPENTENYL-PP	MetaCyc	MNXM83
cpd11734	SEED	MNXM85
C00717	KEGG	MNXM85
Sugar-alcohols	MetaCyc	MNXM85
cpd00086	SEED	MNXM86
C00100	KEGG	MNXM86
PROPIONYL-COA	MetaCyc	MNXM86
cpd00144	SEED	MNXM87
C00167	KEGG	MNXM87
G10612	KEGG	MNXM87
UDP-GLUCURONATE	MetaCyc	MNXM87
cpd00134	SEED	MNXM88
C00154	KEGG	MNXM88
PALMITYL-COA	MetaCyc	MNXM88
cpd00074	SEED	MNXM89
C00087	KEGG	MNXM89
D00024	KEGG	MNXM89
Elemental-Sulfur	MetaCyc	MNXM89
cpd00098	SEED	MNXM90
D07690	KEGG	MNXM90
C00114	KEGG	MNXM90
CHOLINE	MetaCyc	MNXM90
cpd00103	SEED	MNXM91
C00119	KEGG	MNXM91
PRPP	MetaCyc	MNXM91
cpd00078	SEED	MNXM92
C00091	KEGG	MNXM92
SUC-COA	MetaCyc	MNXM92
cpd00106	SEED	MNXM93
D02308	KEGG	MNXM93
C00122	KEGG	MNXM93
FUM	MetaCyc	MNXM93
cpd00065	SEED	MNXM94
cpd19007	SEED	MNXM94
C00078	KEGG	MNXM94
C00806	KEGG	MNXM94
D00020	KEGG	MNXM94
TRP	MetaCyc	MNXM94
cpd00205	SEED	MNXM95
D08403	KEGG	MNXM95
C00238	KEGG	MNXM95
K+	MetaCyc	MNXM95
cpd01400	SEED	MNXM97
cpd00066	SEED	MNXM97
C00079	KEGG	MNXM97
C02057	KEGG	MNXM97
D00021	KEGG	MNXM97
PHE	MetaCyc	MNXM97
cpd00130	SEED	MNXM98
C00149	KEGG	MNXM98
MAL	MetaCyc	MNXM98
cpd19001	SEED	MNXM99
C00267	KEGG	MNXM99
ALPHA-GLUCOSE	MetaCyc	MNXM99
cpd00283	SEED	MNXM100
C00341	KEGG	MNXM100
GERANYL-PP	MetaCyc	MNXM100
D08303	KEGG	MNXM101
cpd12572	SEED	MNXM102
C04549	KEGG	MNXM102
CPD-177	MetaCyc	MNXM102
cpd00160	SEED	MNXM103
C00187	KEGG	MNXM103
D00040	KEGG	MNXM103
CHOLESTEROL	MetaCyc	MNXM103
N-Acylsphingosine	MetaCyc	MNXM104
cpd00190	SEED	MNXM105
C00221	KEGG	MNXM105
GLC	MetaCyc	MNXM105
cpd12802	SEED	MNXM106
C05981	KEGG	MNXM106
PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE	MetaCyc	MNXM106
cpd00075	SEED	MNXM107
C00088	KEGG	MNXM107
NITRITE	MetaCyc	MNXM107
cpd00214	SEED	MNXM108
D05341	KEGG	MNXM108
C00249	KEGG	MNXM108
PALMITATE	MetaCyc	MNXM108
cpd10515	SEED	MNXM111
C14818	KEGG	MNXM111
FE+2	MetaCyc	MNXM111
cpd00709	SEED	MNXM112
C00962	KEGG	MNXM112
GALACTOSE	MetaCyc	MNXM112
cpd00126	SEED	MNXM113
C00144	KEGG	MNXM113
GMP	MetaCyc	MNXM113
cpd00129	SEED	MNXM114
cpd15140	SEED	MNXM114
D00035	KEGG	MNXM114
C00148	KEGG	MNXM114
C16435	KEGG	MNXM114
PRO	MetaCyc	MNXM114
cpd11456	SEED	MNXM115
C00350	KEGG	MNXM115
cpd00101	SEED	MNXM116
C00117	KEGG	MNXM116
CPD-15317	MetaCyc	MNXM116
RIBOSE-5P	MetaCyc	MNXM116
cpd00073	SEED	MNXM117
C00086	KEGG	MNXM117
D00023	KEGG	MNXM117
UREA	MetaCyc	MNXM117
cpd00118	SEED	MNXM118
C00134	KEGG	MNXM118
PUTRESCINE	MetaCyc	MNXM118
cpd00050	SEED	MNXM119
C00061	KEGG	MNXM119
FMN	MetaCyc	MNXM119
cpd00062	SEED	MNXM121
C00075	KEGG	MNXM121
UTP	MetaCyc	MNXM121
cpd22880	SEED	MNXM122
C01277	KEGG	MNXM122
CPD-1108	MetaCyc	MNXM122
cpd00135	SEED	MNXM123
cpd19034	SEED	MNXM123
C05330	KEGG	MNXM123
cpd00264	SEED	MNXM124
C00315	KEGG	MNXM124
SPERMIDINE	MetaCyc	MNXM124
cpd00114	SEED	MNXM125
C00130	KEGG	MNXM125
IMP	MetaCyc	MNXM125
C00197	KEGG	MNXM126
G3P	MetaCyc	MNXM126
cpd00121	SEED	MNXM127
C00137	KEGG	MNXM127
D08079	KEGG	MNXM127
MYO-INOSITOL	MetaCyc	MNXM127
cpd00063	SEED	MNXM128
cpd29674	SEED	MNXM128
C00076	KEGG	MNXM128
CA+2	MetaCyc	MNXM128
cpd00059	SEED	MNXM129
C00072	KEGG	MNXM129
D00018	KEGG	MNXM129
C20364	KEGG	MNXM129
ASCORBATE	MetaCyc	MNXM129
cpd00776	SEED	MNXM130
C01054	KEGG	MNXM130
EPOXYSQUALENE	MetaCyc	MNXM130
cpd00137	SEED	MNXM131
D00037	KEGG	MNXM131
C00158	KEGG	MNXM131
CIT	MetaCyc	MNXM131
cpd00202	SEED	MNXM132
C00235	KEGG	MNXM132
CPD-4211	MetaCyc	MNXM132
cpd00279	SEED	MNXM133
C00332	KEGG	MNXM133
ACETOACETYL-COA	MetaCyc	MNXM133
cpd00572	SEED	MNXM134
cpd00119	SEED	MNXM134
C00768	KEGG	MNXM134
C00135	KEGG	MNXM134
D00032	KEGG	MNXM134
HIS	MetaCyc	MNXM134
cpd00188	SEED	MNXM135
C00219	KEGG	MNXM135
ARACHIDONIC_ACID	MetaCyc	MNXM135
cpd27638	SEED	MNXM137
NAD-P-OR-NOP	MetaCyc	MNXM137
cpd00146	SEED	MNXM138
C00169	KEGG	MNXM138
CARBAMOYL-P	MetaCyc	MNXM138
cpd00289	SEED	MNXM139
C00353	KEGG	MNXM139
GERANYLGERANYL-PP	MetaCyc	MNXM139
cpd15143	SEED	MNXM140
cpd00107	SEED	MNXM140
C00123	KEGG	MNXM140
C16439	KEGG	MNXM140
D00030	KEGG	MNXM140
LEU	MetaCyc	MNXM140
cpd00112	SEED	MNXM141
G10616	KEGG	MNXM141
C00128	KEGG	MNXM141
CMP-N-ACETYL-NEURAMINATE	MetaCyc	MNXM141
cpd00161	SEED	MNXM142
C00188	KEGG	MNXM142
D00041	KEGG	MNXM142
THR	MetaCyc	MNXM142
cpd00122	SEED	MNXM143
cpd27608	SEED	MNXM143
C00140	KEGG	MNXM143
N-acetyl-D-glucosamine	MetaCyc	MNXM143
cpd00085	SEED	MNXM144
C00099	KEGG	MNXM144
D07561	KEGG	MNXM144
B-ALANINE	MetaCyc	MNXM144
cpd00171	SEED	MNXM145
C00199	KEGG	MNXM145
RIBULOSE-5P	MetaCyc	MNXM145
CPD-14054	MetaCyc	MNXM146
cpd00132	SEED	MNXM147
cpd15142	SEED	MNXM147
C16438	KEGG	MNXM147
C00152	KEGG	MNXM147
ASN	MetaCyc	MNXM147
cpd27735	SEED	MNXM148
cpd11420	SEED	MNXM148
cpd29682	SEED	MNXM148
C00343	KEGG	MNXM148
Ox-Thioredoxin	MetaCyc	MNXM148
cpd00034	SEED	MNXM149
C00038	KEGG	MNXM149
ZN+2	MetaCyc	MNXM149
cpd00147	SEED	MNXM150
C00170	KEGG	MNXM150
5-METHYLTHIOADENOSINE	MetaCyc	MNXM150
cpd00111	SEED	MNXM151
C00127	KEGG	MNXM151
D00031	KEGG	MNXM151
OXIDIZED-GLUTATHIONE	MetaCyc	MNXM151
cpd00297	SEED	MNXM152
C00363	KEGG	MNXM152
TDP	MetaCyc	MNXM152
cpd00868	SEED	MNXM153
C01179	KEGG	MNXM153
P-HYDROXY-PHENYLPYRUVATE	MetaCyc	MNXM153
cpd00142	SEED	MNXM154
C00164	KEGG	MNXM154
3-KETOBUTYRATE	MetaCyc	MNXM154
cpd16831	SEED	MNXM155
cpd00117	SEED	MNXM156
C00133	KEGG	MNXM156
D-ALANINE	MetaCyc	MNXM156
cpd00116	SEED	MNXM157
C00132	KEGG	MNXM157
D02309	KEGG	MNXM157
METOH	MetaCyc	MNXM157
cpd00092	SEED	MNXM158
D00027	KEGG	MNXM158
C00106	KEGG	MNXM158
URACIL	MetaCyc	MNXM158
cpd00094	SEED	MNXM159
C00109	KEGG	MNXM159
2-OXOBUTANOATE	MetaCyc	MNXM159
cpd00079	SEED	MNXM160
cpd26836	SEED	MNXM160
C00092	KEGG	MNXM160
D-glucopyranose-6-phosphate	MetaCyc	MNXM160
cpd00016	SEED	MNXM161
C00018	KEGG	MNXM161
PYRIDOXAL_PHOSPHATE	MetaCyc	MNXM161
cpd00353	SEED	MNXM162
C00451	KEGG	MNXM162
THREO-DS-ISO-CITRATE	MetaCyc	MNXM162
cpd12742	SEED	MNXM163
cpd00534	SEED	MNXM163
C00708	KEGG	MNXM163
C05590	KEGG	MNXM163
CPD-387	MetaCyc	MNXM163
cpd00136	SEED	MNXM164
C00156	KEGG	MNXM164
4-hydroxybenzoate	MetaCyc	MNXM164
cpd00179	SEED	MNXM165
cpd00665	SEED	MNXM165
C00208	KEGG	MNXM165
D00044	KEGG	MNXM165
G00275	KEGG	MNXM165
C00897	KEGG	MNXM165
ALPHA-MALTOSE	MetaCyc	MNXM165
MALTOSE	MetaCyc	MNXM165
cpd27501	SEED	MNXM166
C00828	KEGG	MNXM166
Menaquinones	MetaCyc	MNXM166
cpd00076	SEED	MNXM167
C00089	KEGG	MNXM167
G00370	KEGG	MNXM167
D00025	KEGG	MNXM167
SUCROSE	MetaCyc	MNXM167
cpd22238	SEED	MNXM168
cpd00128	SEED	MNXM168
D00034	KEGG	MNXM168
C00147	KEGG	MNXM168
ADENINE-RING	MetaCyc	MNXM168
ADENINE	MetaCyc	MNXM168
cpd11620	SEED	MNXM169
C00138	KEGG	MNXM169
Reduced-ferredoxins	MetaCyc	MNXM169
cpd13384	SEED	MNXM170
C11556	KEGG	MNXM170
1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH	MetaCyc	MNXM170
cpd00199	SEED	MNXM172
C00232	KEGG	MNXM172
SUCC-S-ALD	MetaCyc	MNXM172
C00318	KEGG	MNXM173
D02176	KEGG	MNXM173
CARNITINE	MetaCyc	MNXM173
cpd00309	SEED	MNXM174
C00385	KEGG	MNXM174
XANTHINE	MetaCyc	MNXM174
Fructofuranose	MetaCyc	MNXM175
cpd28301	SEED	MNXM176
C00399	KEGG	MNXM176
Ubiquinones	MetaCyc	MNXM176
cpd11621	SEED	MNXM178
C00139	KEGG	MNXM178
Oxidized-ferredoxins	MetaCyc	MNXM178
cpd00159	SEED	MNXM179
C00186	KEGG	MNXM179
L-LACTATE	MetaCyc	MNXM179
cpd02601	SEED	MNXM180
C04230	KEGG	MNXM180
2-Lysophosphatidylcholines	MetaCyc	MNXM180
cpd00077	SEED	MNXM181
C15571	KEGG	MNXM181
C00090	KEGG	MNXM181
CATECHOL	MetaCyc	MNXM181
Catechols	MetaCyc	MNXM181
cpd27437	SEED	MNXM182
cpd00138	SEED	MNXM182
C00159	KEGG	MNXM182
MANNOSE	MetaCyc	MNXM182
C00143	KEGG	MNXM183
METHYLENE-THF	MetaCyc	MNXM183
cpd11492	SEED	MNXM184
C01209	KEGG	MNXM184
MALONYL-ACP	MetaCyc	MNXM184
cpd11650	SEED	MNXM185
C00339	KEGG	MNXM185
Long-chain-alcohols	MetaCyc	MNXM185
cpd00198	SEED	MNXM186
C00231	KEGG	MNXM186
XYLULOSE-5-PHOSPHATE	MetaCyc	MNXM186
cpd00285	SEED	MNXM187
C00346	KEGG	MNXM187
PHOSPHORYL-ETHANOLAMINE	MetaCyc	MNXM187
cpd00093	SEED	MNXM188
C00108	KEGG	MNXM188
ANTHRANILATE	MetaCyc	MNXM188
C00258	KEGG	MNXM189
GLYCERATE	MetaCyc	MNXM189
cpd15561	SEED	MNXM191
cpd29608	SEED	MNXM191
CPD-9956	MetaCyc	MNXM191
cpd00281	SEED	MNXM192
D00058	KEGG	MNXM192
C00334	KEGG	MNXM192
4-AMINO-BUTYRATE	MetaCyc	MNXM192
cpd23744	SEED	MNXM193
CPD-13118	MetaCyc	MNXM193
cpd00873	SEED	MNXM194
C01185	KEGG	MNXM194
NICOTINATE_NUCLEOTIDE	MetaCyc	MNXM194
cpd11640	SEED	MNXM195
C00282	KEGG	MNXM195
HYDROGEN-MOLECULE	MetaCyc	MNXM195
cpd10516	SEED	MNXM196
C14819	KEGG	MNXM196
FE+3	MetaCyc	MNXM196
cpd00292	SEED	MNXM197
C00356	KEGG	MNXM197
3-HYDROXY-3-METHYL-GLUTARYL-COA	MetaCyc	MNXM197
cpd00794	SEED	MNXM198
G00293	KEGG	MNXM198
C01083	KEGG	MNXM198
TREHALOSE	MetaCyc	MNXM198
cpd00156	SEED	MNXM199
cpd15141	SEED	MNXM199
C00183	KEGG	MNXM199
D00039	KEGG	MNXM199
C16436	KEGG	MNXM199
VAL	MetaCyc	MNXM199
cpd29653	SEED	MNXM200
C01245	KEGG	MNXM200
INOSITOL-1-4-5-TRISPHOSPHATE	MetaCyc	MNXM200
cpd11427	SEED	MNXM201
cpd22517	SEED	MNXM201
C00269	KEGG	MNXM201
CDPDIACYLGLYCEROL	MetaCyc	MNXM201
cpd28300	SEED	MNXM202
C00390	KEGG	MNXM202
Ubiquinols	MetaCyc	MNXM202
cpd00267	SEED	MNXM203
C00319	KEGG	MNXM203
SPHINGOSINE	MetaCyc	MNXM203
cpd00197	SEED	MNXM204
C00230	KEGG	MNXM204
3-4-DIHYDROXYBENZOATE	MetaCyc	MNXM204
cpd02357	SEED	MNXM205
D07870	KEGG	MNXM205
C03758	KEGG	MNXM205
DOPAMINE	MetaCyc	MNXM205
cpd00209	SEED	MNXM207
C00244	KEGG	MNXM207
D02313	KEGG	MNXM207
NITRATE	MetaCyc	MNXM207
CPD-15028	MetaCyc	MNXM207
cpd01270	SEED	MNXM208
C01847	KEGG	MNXM208
FMNH2	MetaCyc	MNXM208
cpd13383	SEED	MNXM209
C11554	KEGG	MNXM209
1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH	MetaCyc	MNXM209
cpd01784	SEED	MNXM210
C02763	KEGG	MNXM210
ENOL-PHENYLPYRUVATE	MetaCyc	MNXM210
D07706	KEGG	MNXM211
C00327	KEGG	MNXM211
L-CITRULLINE	MetaCyc	MNXM211
cpd00182	SEED	MNXM212
D00045	KEGG	MNXM212
C00212	KEGG	MNXM212
ADENOSINE	MetaCyc	MNXM212
cpd00226	SEED	MNXM213
C00262	KEGG	MNXM213
HYPOXANTHINE	MetaCyc	MNXM213
cpd00650	SEED	MNXM214
C00877	KEGG	MNXM214
CROTONYL-COA	MetaCyc	MNXM214
cpd19006	SEED	MNXM215
C00668	KEGG	MNXM215
ALPHA-GLC-6-P	MetaCyc	MNXM215
cpd00133	SEED	MNXM216
C00153	KEGG	MNXM216
D00036	KEGG	MNXM216
NIACINAMIDE	MetaCyc	MNXM216
cpd00153	SEED	MNXM217
D00038	KEGG	MNXM217
C00180	KEGG	MNXM217
BENZOATE	MetaCyc	MNXM217
cpd00162	SEED	MNXM218
C00189	KEGG	MNXM218
D05074	KEGG	MNXM218
ETHANOL-AMINE	MetaCyc	MNXM218
cpd01046	SEED	MNXM219
cpd00096	SEED	MNXM220
C00112	KEGG	MNXM220
CDP	MetaCyc	MNXM220
cpd11455	SEED	MNXM221
cpd29687	SEED	MNXM221
C02737	KEGG	MNXM221
L-1-PHOSPHATIDYL-SERINE	MetaCyc	MNXM221
cpd00139	SEED	MNXM222
C00160	KEGG	MNXM222
GLYCOLLATE	MetaCyc	MNXM222
cpd15499	SEED	MNXM223
REDUCED-MENAQUINONE	MetaCyc	MNXM223
cpd01695	SEED	MNXM224
C02593	KEGG	MNXM224
TETRADECANOYL-COA	MetaCyc	MNXM224
cpd28166	SEED	MNXM226
Saturated-2-Lysophosphatidates	MetaCyc	MNXM226
cpd27569	SEED	MNXM227
cpd00232	SEED	MNXM227
C00270	KEGG	MNXM227
N-ACETYLNEURAMINATE	MetaCyc	MNXM227
C00533	KEGG	MNXM228
D00074	KEGG	MNXM228
NITRIC-OXIDE	MetaCyc	MNXM228
cpd00457	SEED	MNXM229
C00588	KEGG	MNXM229
PHOSPHORYL-CHOLINE	MetaCyc	MNXM229
cpd26784	SEED	MNXM230
Cytochromes-C-Oxidized	MetaCyc	MNXM230
cpd00322	SEED	MNXM231
C00407	KEGG	MNXM231
D00065	KEGG	MNXM231
ILE	MetaCyc	MNXM231
cpd15560	SEED	MNXM232
C17569	KEGG	MNXM232
UBIQUINONE-8	MetaCyc	MNXM232
cpd00120	SEED	MNXM233
C00136	KEGG	MNXM233
BUTYRYL-COA	MetaCyc	MNXM233
cpd00299	SEED	MNXM234
C00365	KEGG	MNXM234
DUMP	MetaCyc	MNXM234
cpd00247	SEED	MNXM235
C00295	KEGG	MNXM235
D00055	KEGG	MNXM235
OROTATE	MetaCyc	MNXM235
cpd01080	SEED	MNXM236
D00119	KEGG	MNXM236
C01530	KEGG	MNXM236
STEARIC_ACID	MetaCyc	MNXM236
cpd00201	SEED	MNXM237
C00234	KEGG	MNXM237
10-FORMYL-THF	MetaCyc	MNXM237
cpd00123	SEED	MNXM238
C00141	KEGG	MNXM238
2-KETO-ISOVALERATE	MetaCyc	MNXM238
cpd00237	SEED	MNXM239
C00280	KEGG	MNXM239
D00051	KEGG	MNXM239
ANDROST4ENE	MetaCyc	MNXM239
cpd00401	SEED	MNXM240
C00512	KEGG	MNXM240
