ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
C16HACP	3-hydroxyhexadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01476	3-hydroxyhexadecanoyl-[acyl-carrier protein]
C16HCOAm	3-hydroxyhexadecanoyl-CoA	Mitochondrion	Y	fcpd01477	3-hydroxyhexadecanoyl-CoA
C16OACP	3-oxohexadecanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11485	3-oxohexadecanoyl-acp
C16OCOAm	3-oxohexadecanoyl-CoA	Mitochondrion	Y	cpd03114	3-Oxopalmitoyl-CoA
C170	Heptadecanoate	Cytosol	Y	cpd24916	heptadecanoate
C170ACP	Heptadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01478	Heptadecanoic acid-[acyl-carrier protein]
C170CAR	Heptadecanoyl-carnitine	Cytosol	Y	fcpd01258	heptadecanoylcarnitine
C170CARm	Heptadecanoyl-carnitine	Mitochondrion	Y	fcpd01258	heptadecanoylcarnitine
C170COA	Heptadecanoyl-CoA	Cytosol	Y	cpd32507	heptadecanoyl-CoA
C170COAm	Heptadecanoyl-CoA	Mitochondrion	Y	cpd32507	heptadecanoyl-CoA
C170_input	Input/Output_of_Heptadecanoate._Artificial_metabolite	System_input	N	fcpd02018	
C170e	Heptadecanoate	Extracellular_space	Y	cpd24916	heptadecanoate
C171	Heptadecenoate	Cytosol	Y	fcpd01259	heptadecenoate
C171ACP	Heptadecenoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01480	Heptadecenoyl-[acyl-carrier protein]
C171CAR	Heptadecenoyl-carnitine	Cytosol	Y	fcpd01481	Heptadecenoyl-carnitine
C171CARm	Heptadecenoyl-carnitine	Mitochondrion	Y	fcpd01481	Heptadecenoyl-carnitine
C171COA	Heptadecenoyl-CoA	Cytosol	Y	fcpd01261	heptadecenoyl-CoA
C171COAm	Heptadecenoyl-CoA	Mitochondrion	Y	fcpd01261	heptadecenoyl-CoA
