# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd22665	no_groups			0	C27H30N6O5S	-CH3:3|-CH2-:2|>CH-:1|unlabeled atoms:28|ring =CH-:2|ring -O-:2|ring -CH2-:1|aromatic ring =C<:1|aromatic ring =CH-:5|ring -S-:1|Origin:1|OCCC:2|heteroaromatic:2|0	Formation energy not estimated due to the presence of 28 atoms that could not be assigned to any of the existing set of structural groups.
cpd22666	no_groups			0	C27H32N6O6S	-CH3:3|-CH2-:3|>CH-:1|unlabeled atoms:30|ring =CH-:2|ring -O-:1|-OH:1|aromatic ring =C<:1|aromatic ring =CH-:5|ring -S-:1|Origin:1|OCCC:2|heteroaromatic:2|0	Formation energy not estimated due to the presence of 30 atoms that could not be assigned to any of the existing set of structural groups.
cpd22667	no_groups			0	C19H20N6O4S2	-CH3:4|ring =C<:1|ring -O-:1|unlabeled atoms:27|ring =CH-:2|ring -S-:2|Origin:1|OCCC:3|heteroaromatic:3|0	Formation energy not estimated due to the presence of 27 atoms that could not be assigned to any of the existing set of structural groups.
cpd22668	no_groups			0	C20H22N6O4S3	-CH3:3|-S-:1|-CH2-:2|unlabeled atoms:28|ring =CH-:2|ring -S-:2|ring -O-:1|ring =C<:1|Origin:1|OCCC:3|heteroaromatic:3|0	Formation energy not estimated due to the presence of 28 atoms that could not be assigned to any of the existing set of structural groups.
cpd22669	no_groups			0	C30H49N5O6S	-CH3:10|-CH2-:3|unlabeled atoms:33|ring =CH-:1|ring -S-:1|>CH-:3|Origin:1|OCCC:1|heteroaromatic:1|0	Formation energy not estimated due to the presence of 33 atoms that could not be assigned to any of the existing set of structural groups.
cpd22670	ok	-37.78	7.9948	0	C43H72N6O6S	-CH3:12|-CH2-:4|>CH-:10|>C=O:4|ring -CH2-:3|ring -CH<:1|-O-:2|aromatic ring =C<:1|aromatic ring =CH-:5|ring =C<:1|ring =N-:1|ring =CH-:2|ring -S-:1|-NH<:2|amide:3|ring -N<:1|-NH-:2|Origin:1|heteroaromatic:1|2	No special notes for this compound.
cpd22671	no_groups			0	C45H69N8O14Cl	-CH3:10|-CH2-:4|>C=O:3|>CH-:6|unlabeled atoms:35|ring -CH2-:2|ring -CH<:1|-OH:4|aromatic ring =C<:3|aromatic ring =CH-:3|tertiary -Cl:1|amide:3|-NH-:3|Origin:1|0	Formation energy not estimated due to the presence of 35 atoms that could not be assigned to any of the existing set of structural groups.
cpd22672	no_groups			0	C42H60N7O8	-CH3:6|-CH2-:5|>CH-:3|unlabeled atoms:41|>C=O:1|-COO:1|aromatic ring =C<:2|aromatic ring =CH-:10|amide:2|-NH-:2|Origin:1|-1	Formation energy not estimated due to the presence of 41 atoms that could not be assigned to any of the existing set of structural groups.
cpd22673	unknown_group			0	C15H5O2R9	RW:9|aromatic ring =C<:10|ring -CH<:2|ring -O-:1|two fused rings >C=:2|ring -CH2-:1|-OH:1|Origin:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:9|
cpd22674	ok	-290.27	24.254	0	C97H139N19O17	-CH3:18|>CH-:22|-CH2-:11|>C=O:15|-CH=O:1|ring =C<:3|ring =CH-:3|ring -NH-:3|two fused rings >C=:6|aromatic ring =CH-:17|aromatic ring =C<:1|-OH:1|amide:16|-NH-:16|Origin:1|heteroaromatic:3|0	No special notes for this compound.
cpd22675	ok	-329.75	24.228	0	C97H139N19O18	-CH3:18|>CH-:22|-CH2-:11|>C=O:15|-CH=O:1|ring =C<:3|ring =CH-:3|ring -NH-:3|two fused rings >C=:6|aromatic ring =CH-:16|aromatic ring =C<:2|-OH:2|amide:16|-NH-:16|Origin:1|heteroaromatic:3|0	No special notes for this compound.
cpd22676	ok	-101.36	9.3385	0	C14H10N3O5S	-CH3:1|ring -N<:1|two fused rings >C=:2|ring =CH-:3|ring >C=:1|=NH2:1|ring =N-:1|two fused rings >C=:2|aromatic ring =C<:2|-COO:1|aromatic ring =CH-:2|-SO3:1|Origin:1|OCCC:1|CCCN:4|CCNC:1|-1	No special notes for this compound.
cpd22677	no_groups			0	C6H4NO5S	unlabeled atoms:2|-Oneg:1|aromatic ring =C<:2|aromatic ring =CH-:4|-SO3:1|Origin:1|-1	Formation energy not estimated due to the presence of 2 atoms that could not be assigned to any of the existing set of structural groups.
cpd22678	ok	-213.88	3.3996	0	C6H4O6S2	-SO3:2|aromatic ring =C<:2|aromatic ring =CH-:4|Origin:1|-2	No special notes for this compound.
cpd22679	ok	-170.18	2.2922	0	C10H10O5S	-CH3:1|-CH2-:1|>CH-:1|-COO:1|aromatic ring =C<:2|aromatic ring =CH-:4|-SO3:1|Origin:1|-2	No special notes for this compound.
cpd22680	ok	-244.26	2.9702	0	C2H4O6S2	-SO3:2|-CH2-:2|Origin:1|-2	No special notes for this compound.
cpd22681	ok	22.69	2.7016	0	C6H8NSCl	-CH3:1|ring =C<:2|ring =N-:1|ring =CH-:1|ring -S-:1|-CH2-:2|primary -Cl:1|Origin:1|heteroaromatic:1|0	No special notes for this compound.
cpd22682	ok	-124.16	1.5315	0	C3H7O3S	-CH3:1|-CH2-:2|-SO3:1|Origin:1|-1	No special notes for this compound.
cpd22683	no_groups			0	C13H17N3O10	-CH3:1|aromatic ring =C<:4|-NH-:1|-O-:1|ring -CH<:5|ring -O-:1|-CH2-:1|-OH:4|aromatic ring =CH-:2|unlabeled atoms:4|-Oneg:2|Origin:1|0	Formation energy not estimated due to the presence of 4 atoms that could not be assigned to any of the existing set of structural groups.
cpd22684	no_groups			0	C13H17N3O10	-CH3:1|aromatic ring =C<:5|unlabeled atoms:4|-Oneg:2|aromatic ring =CH-:1|ring -CH<:5|ring -O-:1|-CH2-:1|-OH:5|-NH-:1|Origin:1|0	Formation energy not estimated due to the presence of 4 atoms that could not be assigned to any of the existing set of structural groups.
cpd22685	no_groups			0	C7H5N3O5	-CH3:1|aromatic ring =C<:4|=N-:1|unlabeled atoms:5|aromatic ring =CH-:2|-Oneg:2|Origin:1|0	Formation energy not estimated due to the presence of 5 atoms that could not be assigned to any of the existing set of structural groups.
cpd22686	no_groups			0	C13H17N3O9	-CH3:1|aromatic ring =C<:4|-NH-:1|ring -CH<:5|ring -O-:1|-CH2-:1|-OH:4|aromatic ring =CH-:2|unlabeled atoms:4|-Oneg:2|Origin:1|0	Formation energy not estimated due to the presence of 4 atoms that could not be assigned to any of the existing set of structural groups.
cpd22687	no_groups			0	C7H5N3O5	-CH3:1|aromatic ring =C<:4|unlabeled atoms:5|-Oneg:2|aromatic ring =CH-:2|=N-:1|Origin:1|0	Formation energy not estimated due to the presence of 5 atoms that could not be assigned to any of the existing set of structural groups.
cpd22688	no_groups			0	C13H17N3O9	-CH3:1|aromatic ring =C<:4|unlabeled atoms:4|-Oneg:2|aromatic ring =CH-:2|-NH-:1|ring -CH<:5|ring -O-:1|-CH2-:1|-OH:4|Origin:1|0	Formation energy not estimated due to the presence of 4 atoms that could not be assigned to any of the existing set of structural groups.
cpd22689	no_groups			0	C13H17N3O10	-CH3:1|aromatic ring =C<:5|unlabeled atoms:4|-Oneg:2|aromatic ring =CH-:1|-NH-:1|-OH:5|ring -CH<:5|ring -O-:1|-CH2-:1|Origin:1|0	Formation energy not estimated due to the presence of 4 atoms that could not be assigned to any of the existing set of structural groups.
cpd22690	no_groups			0	C13H17N3O10	-CH3:1|aromatic ring =C<:4|unlabeled atoms:4|-Oneg:2|aromatic ring =CH-:2|-NH-:1|-O-:1|ring -CH<:5|ring -O-:1|-CH2-:1|-OH:4|Origin:1|0	Formation energy not estimated due to the presence of 4 atoms that could not be assigned to any of the existing set of structural groups.
cpd22691	unknown_group			0	C44H64N4O33R2	RW:2|-O-:5|>CH-:8|-CH2-:4|-OH:12|ring -CH<:12|ring -O-:4|ring >C<:4|-COO:4|ring -CH2-:4|>C=O:4|-CH3:4|amide:4|-NH-:4|Origin:1|-4	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:2|
cpd22692	unknown_group			0	C46H66N4O34R2	RW:2|-O-:5|>CH-:8|-CH2-:4|-OH:11|-O-CO-:1|-CH3:5|ring -CH<:12|ring -O-:4|ring >C<:4|-COO:4|ring -CH2-:4|>C=O:4|amide:4|-NH-:4|Origin:1|-4	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:2|
cpd22693	ok	-2.77	1.3024	0	C2H6S	-CH3:1|-CH2-:1|-SH:1|Origin:1|0	No special notes for this compound.
cpd22694	ok	-111.16	1.6024	0	C5H9O3S	-CH3:1|-S-:1|-CH2-:2|>CH-:1|-OH:1|-COO:1|Origin:1|-1	No special notes for this compound.
cpd22695	ok	-101.68	4.1629	0	C6H12O3S	-CH3:2|-S<:1|-CH2-:2|>CH-:1|-OH:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd22696	ok	13.21	4.1751	0	C5H15NS	-CH3:2|-S<:1|-CH2-:3|-NH3:1|Origin:1|2	No special notes for this compound.
cpd22697	ok	-12.56	4.151	0	C5H11OS	-CH3:2|-S<:1|-CH2-:2|-CH=O:1|Origin:1|1	No special notes for this compound.
cpd22698	ok	-764.34	8.2446	0	C26H42N7O17P3S2	-CH3:4|-S<:1|-CH2-:8|>C=O:3|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-2	No special notes for this compound.
cpd22699	ok	-62.31	13.734	0	C27H46O3	-CH3:5|>CH-:3|-OH:3|-CH2-:2|ring -CH<:3|ring -CH2-:7|two fused rings >CH-:3|ring =CH-:1|two fused rings >C=:1|two fused rings >C<:2|Origin:1|0	No special notes for this compound.
cpd22700	ok	-617.28	11.348	0	C22H38O19	-OH:12|ring -CH<:18|-O-:3|ring -O-:4|-CH2-:2|ring -CH2-:2|Origin:1|0	No special notes for this compound.
cpd22701	ok	-33.88	3.0526	0	C8H9NO2	-OH:2|ring -CH<:2|two fused rings >C=:2|aromatic ring =CH-:4|ring -NH-:1|Origin:1|0	No special notes for this compound.
cpd22702	ok	35.88	6.3575	0	C16H10N2O2	ring >C=O:2|ring =C<:2|ring -NH-:2|two fused rings >C=:4|aromatic ring =CH-:8|Origin:1|OCCC:4|0	No special notes for this compound.
cpd22703	ok	-297.49	6.1286	0	C32H64NO8P	-CH3:5|-CH2-:24|-O-CO-:2|>CH-:1|-OPO3-:1|>N<:1|Origin:1|0	No special notes for this compound.
cpd22704	ok	-165.99	14.211	0	C24H39O5	-CH3:3|>CH-:1|-CH2-:2|-COO:1|ring -CH<:4|ring -CH2-:7|two fused rings >CH-:4|-OH:3|two fused rings >C<:2|Origin:1|-1	No special notes for this compound.
cpd22705	ok	-263.56	19.88	0	C29H44O9	-CH3:2|two fused rings >C<:3|ring -CH2-:10|ring -CH<:7|-O-:1|ring -O-:1|-CH2-:1|-OH:5|two fused rings >CH-:3|ring =C<:1|ring =CH-:1|ring -O-CO-:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22706	ok	-105.08	19.533	0	C23H34O4	-CH3:2|two fused rings >C<:3|ring -CH2-:10|ring -CH<:2|-OH:2|two fused rings >CH-:3|ring =C<:1|ring =CH-:1|ring -O-CO-:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22707	ok	-227.33	19.871	0	C29H44O8	-CH3:3|ring -CH<:7|ring -O-:1|-O-:1|ring -CH2-:10|two fused rings >C<:3|two fused rings >CH-:3|ring =C<:1|ring =CH-:1|ring -O-CO-:1|-OH:4|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22708	ok	-385.81	20.651	0	C35H54O13	-CH3:3|ring -CH<:12|ring -O-:2|-O-:2|ring -CH2-:10|two fused rings >C<:3|two fused rings >CH-:3|ring =C<:1|ring =CH-:1|ring -O-CO-:1|-OH:7|-CH2-:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22709	ok	-227.33	19.871	0	C29H44O8	-CH3:3|ring -CH<:7|ring -O-:1|-O-:1|ring -CH2-:10|two fused rings >C<:3|two fused rings >CH-:3|ring =C<:1|ring =CH-:1|ring -O-CO-:1|-OH:4|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22710	ok	-425.65	20.675	0	C35H54O14	-CH3:3|ring -CH<:13|ring -O-:2|-O-:2|ring -CH2-:9|-OH:8|two fused rings >C<:3|two fused rings >CH-:3|ring =C<:1|ring =CH-:1|ring -O-CO-:1|-CH2-:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22711	ok	-726.32	6.1796	0	C15H22N2O16P2	-CH3:1|ring -CH<:9|ring -O-:2|-OPO3-:1|-OPO2-:1|-CH2-:1|ring =CH-:2|ring >C=O:2|-OH:5|amide:2|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-2	No special notes for this compound.
cpd22712	ok	-726.32	6.1796	0	C15H22N2O16P2	-CH3:1|ring -CH<:9|ring -O-:2|-OPO3-:1|-OPO2-:1|-CH2-:1|ring =CH-:2|ring >C=O:2|-OH:5|amide:2|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-2	No special notes for this compound.
cpd22713	ok	-19.68	3.2304	0	C11H11NO2	-CH3:1|-O-CO-:1|-CH2-:1|ring =C<:1|ring =CH-:1|ring -NH-:1|two fused rings >C=:2|aromatic ring =CH-:4|Origin:1|heteroaromatic:1|0	No special notes for this compound.
cpd22714	ok	20.21	5.9902	0	C19H12O2	ring >C=O:1|ring =CH-:1|ring =C<:1|aromatic ring =C<:1|aromatic ring =CH-:11|ring -O-:1|two fused rings >C=:2|two fused aromatic rings >C=:2|Origin:1|OCCC:2|CCCC:1|0	No special notes for this compound.
cpd22715	ok	-346.79	0.99447	0	C5H8O7P	-CH3:1|>C=O:2|>CH-:1|-OH:1|-CH2-:1|-OPO3:1|Origin:1|OCCO:1|-1	No special notes for this compound.
cpd22716	ok	-173.08	19.229	0	C28H47O5	-CH3:5|>CH-:2|-CH2-:3|ring -CH<:4|ring -CH2-:7|two fused rings >CH-:3|-OH:3|two fused rings >C<:3|-COO:1|Origin:1|-1	No special notes for this compound.
cpd22717	ok	-167.61	14.207	0	C23H37O5	-CH3:3|>CH-:1|-CH2-:1|-COO:1|ring -CH<:4|ring -CH2-:7|two fused rings >CH-:4|-OH:3|two fused rings >C<:2|Origin:1|-1	No special notes for this compound.
cpd22718	ok	-785.39	16.169	0	C45H71N7O18P3S	-CH3:5|>CH-:2|-CH2-:8|>C=O:3|-OH:3|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:6|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|ring -CH2-:9|two fused rings >CH-:4|two fused rings >C<:2|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd22719	ok	-128.38	1.536	0	CH5NO3S	-NH3:1|-CH2-:1|-SO3:1|Origin:1|0	No special notes for this compound.
cpd22720	ok	-163.63	1.5064	0	CH3O4S	-SO3:1|-CH2-:1|-OH:1|Origin:1|-1	No special notes for this compound.
cpd22721	ok	38.76	14.073	0	C28H46O	-CH3:6|>CH-:3|-CH2-:2|ring -CH<:2|ring -CH2-:8|ring =CH-:1|two fused rings >C=:3|two fused rings >C<:2|-OH:1|two fused rings >CH-:1|Origin:1|CCCC:1|0	No special notes for this compound.
cpd22722	ok	-97.89	2.304	0	C7H4O3Cl	-COO:1|aromatic ring =C<:3|aromatic ring =CH-:3|tertiary -Cl:1|-OH:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22723	ok	72.04	14.948	0	C27H44O2	=CH2:1|ring >C=:3|=CH-:2|ring -CH2-:7|two fused rings >C<:1|-CH3:4|ring -CH<:3|>CH-:2|-CH2-:3|two fused rings >CH-:1|-OH:2|Origin:1|CCCC:2|0	No special notes for this compound.
cpd22724	no_groups			0	C16H21N5O17P2	-NH2:1|ring =C<:1|ring =N-:2|two fused rings >C=:2|ring =CH-:1|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO3-:1|unlabeled atoms:2|-Oneg:1|-O-CO-:1|>CH-:4|-OH:6|-CH=O:1|ring >C=O:1|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-2	Formation energy not estimated due to the presence of 2 atoms that could not be assigned to any of the existing set of structural groups.
cpd22725	ok	-79.88	14.326	0	C27H48O3	-CH3:4|>CH-:2|-CH2-:4|-OH:3|ring -CH<:3|ring -CH2-:8|two fused rings >CH-:4|two fused rings >C<:2|Origin:1|0	No special notes for this compound.
cpd22726	ok	-70.40	14.311	0	C27H46O3	-CH3:4|>CH-:2|-CH2-:3|-CH=O:1|ring -CH<:3|ring -CH2-:8|two fused rings >CH-:4|-OH:2|two fused rings >C<:2|Origin:1|0	No special notes for this compound.
cpd22727	ok	-801.93	16.179	0	C48H75N7O19P3S	-CH3:6|=C<:1|=CH-:1|-CH2-:8|>CH-:2|ring -CH<:7|ring -CH2-:8|two fused rings >CH-:4|-OH:4|two fused rings >C<:2|>C=O:3|>C<:1|-OPO3-:1|-OPO2-:1|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|OCCC:1|heteroaromatic:2|-3	No special notes for this compound.
cpd22728	ok	-860.22	16.198	0	C48H77N7O20P3S	-CH3:6|>CH-:4|-CH2-:8|-OH:5|>C=O:3|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:7|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|ring -CH2-:8|two fused rings >CH-:4|two fused rings >C<:2|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd22729	ok	-852.20	16.188	0	C48H75N7O20P3S	-CH3:6|>CH-:3|>C=O:4|-CH2-:8|ring -CH<:7|ring -CH2-:8|two fused rings >CH-:4|-OH:4|two fused rings >C<:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd22730	ok	-8.47	1.6165	0	C8H10O	-CH3:1|>CH-:1|-OH:1|aromatic ring =C<:1|aromatic ring =CH-:5|Origin:1|0	No special notes for this compound.
cpd22731	ok	-47.95	1.8037	0	C8H10O2	-CH3:1|>CH-:1|-OH:2|aromatic ring =C<:2|aromatic ring =CH-:4|Origin:1|0	No special notes for this compound.
cpd22732	ok	-119.31	1.8335	0	C9H7O4	-COO:1|-CH2-:1|>C=O:1|aromatic ring =C<:2|aromatic ring =CH-:4|-OH:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22733	ok	-818.39	7.3787	0	C30H39N7O19P3S	-CH3:2|>C<:1|-CH2-:7|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OH:3|-OPO3:1|>CH-:1|>C=O:4|aromatic ring =C<:2|aromatic ring =CH-:4|amide:2|-NH-:2|-S-:1|thioester:1|Origin:1|OCCC:1|heteroaromatic:2|-3	No special notes for this compound.
cpd22734	ok	-34.74	2.281	0	C9H12O2	-CH3:2|-CH2-:1|aromatic ring =C<:3|aromatic ring =CH-:3|-OH:1|-O-:1|Origin:1|0	No special notes for this compound.
cpd22735	ok	-52.58	2.8324	0	C6H6O2Cl2	-OH:2|ring -CH<:2|ring =CH-:2|ring =C<:2|tertiary -Cl:2|Origin:1|CCCC:1|0	No special notes for this compound.
cpd22736	ok	-50.66	2.9205	0	C6H6O2Cl2	-OH:2|ring -CH<:2|ring =CH-:2|ring =C<:2|tertiary -Cl:2|Origin:1|CCCC:1|BinaryVicinalCl:1|DistinctVicinalCl:1|0	No special notes for this compound.
cpd22737	ok	-129.21	2.495	0	C7H6O4Cl	-COO:1|ring >C<:1|-OH:2|ring =CH-:3|ring =C<:1|tertiary -Cl:1|ring -CH<:1|Origin:1|CCCC:1|-1	No special notes for this compound.
cpd22738	ok	-129.21	2.495	0	C7H6O4Cl	-COO:1|ring >C<:1|-OH:2|ring =CH-:3|ring =C<:1|tertiary -Cl:1|ring -CH<:1|Origin:1|CCCC:1|-1	No special notes for this compound.
cpd22739	unknown_group			0	C7H12NO9PR	RW:1|>C=O:1|-NH-:1|ring -CH<:5|-OH:3|-CH2-:1|-OPO3:1|ring -O-:1|Origin:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:1|
cpd22740	ok	11.98	4.4741	0	C6H2Cl4	tertiary -Cl:4|aromatic ring =C<:4|aromatic ring =CH-:2|Origin:1|BinaryVicinalCl:2|DistinctVicinalCl:2|0	No special notes for this compound.
cpd22741	ok	-57.93	4.5094	0	C6H4O2Cl4	-OH:2|ring -CH<:1|ring =C<:3|tertiary -Cl:4|ring =CH-:1|ring >C<:1|Origin:1|CCCC:1|BinaryVicinalCl:2|DistinctVicinalCl:2|0	No special notes for this compound.
cpd22742	ok	-50.66	2.9205	0	C6H6O2Cl2	-OH:2|ring -CH<:2|ring =CH-:2|ring =C<:2|tertiary -Cl:2|Origin:1|CCCC:1|BinaryVicinalCl:1|DistinctVicinalCl:1|0	No special notes for this compound.
cpd22743	ok	-58.18	3.1942	0	C6H4O2Cl2	-OH:2|aromatic ring =C<:4|aromatic ring =CH-:2|tertiary -Cl:2|Origin:1|BinaryVicinalCl:1|DistinctVicinalCl:1|0	No special notes for this compound.
cpd22744	ok	-52.88	3.899	0	C6H5O2Cl3	-OH:2|ring -CH<:2|ring =C<:3|tertiary -Cl:3|ring =CH-:1|Origin:1|CCCC:1|BinaryVicinalCl:2|DistinctVicinalCl:2|0	No special notes for this compound.
cpd22745	ok	-61.62	4.3093	0	C6H3O2Cl3	-OH:2|aromatic ring =C<:5|aromatic ring =CH-:1|tertiary -Cl:3|Origin:1|BinaryVicinalCl:2|DistinctVicinalCl:2|0	No special notes for this compound.
cpd22746	ok	-129.96	2.9322	0	C6H2O4Cl2	-COO:2|=CH-:2|=C<:2|tertiary -Cl:2|Origin:1|OCCC:2|CCCC:1|BinaryVicinalCl:1|DistinctVicinalCl:1|-2	No special notes for this compound.
cpd22747	ok	-104.68	5.0176	0	C6H2O4Cl	ring -O-CO-:1|ring =CH-:2|ring >C=:1|=C<:1|tertiary -Cl:1|-COO:1|Origin:1|OCCC:2|CCCC:1|-1	No special notes for this compound.
cpd22748	ok	-177.22	1.9285	0	C6H3O5Cl	-COO:2|=CH-:2|>C=O:1|>CH-:1|secondary -Cl:1|Origin:1|OCCC:2|-2	No special notes for this compound.
cpd22749	ok	-139.01	2.4189	0	C6H4O4Cl	ring -O-CO-:1|ring =CH-:2|ring -CH<:1|>CH-:1|secondary -Cl:1|-COO:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22750	ok	-136.41	2.1341	0	C6H4O4Cl	-COO:1|-CH2-:1|ring -CH<:1|ring =CH-:1|ring =C<:1|tertiary -Cl:1|ring -O-CO-:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22751	ok	-177.52	2.6682	0	C6H2O5Cl2	-COO:2|-CH2-:1|>C=O:1|=C<:2|tertiary -Cl:2|Origin:1|OCCC:2|BinaryVicinalCl:1|DistinctVicinalCl:1|-2	No special notes for this compound.
cpd22752	ok	-128.15	2.4498	0	C7H5O4Cl	-CH3:1|=C<:2|=CH-:2|-COO:2|tertiary -Cl:1|Origin:1|OCCC:2|CCCC:1|-2	No special notes for this compound.
cpd22753	ok	-137.73	2.263	0	C7H6O4Cl	-CH3:1|ring >C<:1|-CH2-:1|-COO:1|ring =CH-:1|ring =C<:1|tertiary -Cl:1|ring -O-CO-:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22754	ok	-139.42	2.3222	0	C7H6O4Cl	-CH3:1|ring =C<:1|ring =CH-:1|ring -O-CO-:1|ring -CH<:1|>CH-:1|secondary -Cl:1|-COO:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22755	ok	-128.15	2.4498	0	C7H5O4Cl	-CH3:1|=C<:2|=CH-:2|tertiary -Cl:1|-COO:2|Origin:1|OCCC:2|CCCC:1|-2	No special notes for this compound.
cpd22756	ok	-80.07	2.3997	0	C9H8O3Cl	-CH3:1|aromatic ring =C<:3|aromatic ring =CH-:3|-O-:1|-CH2-:1|-COO:1|tertiary -Cl:1|Origin:1|-1	No special notes for this compound.
cpd22757	ok	-56.37	2.758	0	C7H7O2Cl	-CH3:1|aromatic ring =C<:4|aromatic ring =CH-:2|-OH:2|tertiary -Cl:1|Origin:1|0	No special notes for this compound.
cpd22758	ok	-100.61	4.8599	0	C7H5O4	-CH3:1|ring =C<:1|ring =CH-:1|ring >C=:1|=CH-:1|-COO:1|ring -O-CO-:1|Origin:1|OCCC:2|CCCC:1|-1	No special notes for this compound.
cpd22759	ok	-137.73	2.263	0	C7H6O4Cl	-CH3:1|ring =C<:1|ring =CH-:1|ring >C<:1|tertiary -Cl:1|-CH2-:1|-COO:1|ring -O-CO-:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22760	ok	-100.61	4.8599	0	C7H5O4	-CH3:1|ring =C<:1|ring =CH-:1|ring >C=:1|=CH-:1|-COO:1|ring -O-CO-:1|Origin:1|OCCC:2|CCCC:1|-1	No special notes for this compound.
cpd22761	ok	22.59	1.9021	0	C7H7Cl	-CH3:1|aromatic ring =C<:2|aromatic ring =CH-:4|tertiary -Cl:1|Origin:1|0	No special notes for this compound.
cpd22762	ok	-48.85	2.4358	0	C7H9O2Cl	-CH3:1|ring =C<:2|ring =CH-:2|tertiary -Cl:1|ring -CH<:2|-OH:2|Origin:1|CCCC:1|0	No special notes for this compound.
cpd22763	ok	-123.67	2.1442	0	C7H6O4	-CH3:1|=C<:1|=CH-:3|-COO:2|Origin:1|OCCC:2|CCCC:1|-2	No special notes for this compound.
cpd22764	ok	-13.64	1.9143	0	C7H7OCl	-OH:1|-CH2-:1|aromatic ring =C<:2|aromatic ring =CH-:4|tertiary -Cl:1|Origin:1|0	No special notes for this compound.
cpd22765	ok	-5.71	1.9769	0	C7H5OCl	-CH=O:1|aromatic ring =C<:2|aromatic ring =CH-:4|tertiary -Cl:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd22766	ok	-18.91	4.0695	0	C6H14N2O2	-CH3:3|>N<:1|-NH-:1|-CH2-:2|-COO:1|Origin:1|0	No special notes for this compound.
cpd22767	ok	158.91	5.5009	0	C30H50	=CH2:1|=CH-:7|>C<:1|-CH3:8|>CH-:1|-CH2-:8|=C<:4|Origin:1|Hydrocarbon:1|0	No special notes for this compound.
cpd22768	ok	-97.89	2.304	0	C7H4O3Cl	-COO:1|aromatic ring =C<:3|aromatic ring =CH-:3|tertiary -Cl:1|-OH:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd22769	ok	-94.16	2.1549	0	C8H7O3	-CH3:1|aromatic ring =C<:3|aromatic ring =CH-:3|-OH:1|-COO:1|Origin:1|OCCC:1|-1	No special notes for this compound.
