# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd00045	ok	-470.35	6.076	0	C10H13N5O10P2	-NH2:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO3:2|-OH:1|Origin:1|heteroaromatic:2|-2	No special notes for this compound.
cpd00046	ok	-345.38	3.8309	0	C9H13N3O8P	-NH2:1|ring =C<:1|ring =CH-:2|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO3:1|-OH:2|ring >C=O:1|ring =N-:1|amide:1|ring -N<:1|Origin:1|OCNC:1|CCCN:1|-1	No special notes for this compound.
cpd00047	ok	-83.90	1	0	CHO2	formate:1|-1	No special notes for this compound.
cpd00048	ok	-177.97	1	0	O4S	sulfate:1|-2	No special notes for this compound.
cpd00049	unknown_group			0	CO2R	RW:1|-COO:1|Origin:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:1|
cpd00050	ok	-337.52	5.7801	0	C17H20N4O9P	-CH3:2|aromatic ring =C<:2|aromatic ring =CH-:2|two fused rings >C=:2|ring =N-:2|two fused rings >C=:2|ring >C=O:2|ring -N<:1|-CH2-:2|>CH-:3|-OH:3|-OPO3:1|amide:1|ring -NH-:1|Origin:1|OCCN:1|OCNC:1|CCNC:1|-1	No special notes for this compound.
cpd00051	ok	-73.77	3.1257	0	C6H15N4O2	-NH2:1|=C<:1|=NH2:1|-NH-:1|-CH2-:3|>CH-:1|-NH3:1|-COO:1|Origin:1|1	No special notes for this compound.
cpd00052	ok	-761.38	3.8618	0	C9H13N3O14P3	-NH2:1|ring =C<:1|ring =CH-:2|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:2|-OPO3:1|-OH:2|ring >C=O:1|ring =N-:1|amide:1|ring -N<:1|Origin:1|OCNC:1|CCCN:1|-3	No special notes for this compound.
cpd00053	ok	-121.69	1.2133	0	C5H10N2O3	>C=O:1|-CH2-:2|>CH-:1|-NH3:1|-COO:1|amide:1|-NH2:1|Origin:1|0	No special notes for this compound.
cpd00054	ok	-124.15	0.62524	0	C3H7NO3	-NH3:1|>CH-:1|-CH2-:1|-OH:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd00055	ok	-31.20	1	0	CH2O	formaldehyde:1|0	No special notes for this compound.
cpd00056	ok	-368.32	5.1399	0	C12H17N4O7P2S	-CH3:2|ring =C<:5|ring =N-:2|ring =CH-:2|-CH2-:3|dbl sgl ring =N<:1|ring -S-:1|-OPO2-:1|-OPO3:1|-NH2:1|Origin:1|heteroaromatic:2|-1	No special notes for this compound.
cpd00057	unknown_group			0	HOR	RW:1|-OH:1|Origin:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:1|
cpd00058	unknown_group			0	Cu	Cu2+:1|2	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Cu2+:1|
