ID	Action	Alias	Source	Notes
rxn39216	Add	MOF_108	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39217	Add	MOF_109	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39218	Add	MOF_110	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39219	Add	MOF_111	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39220	Add	MOF_112	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39221	Add	MOF_113	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39222	Add	MOF_114	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39223	Add	MOF_115	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39224	Add	MOF_116	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39225	Add	MOF_117	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39226	Add	MOF_118	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39227	Add	MOF_119	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39228	Add	MOF_120	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39229	Add	MOF_121	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39230	Add	MOF_122	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39231	Add	MOF_123	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39232	Add	MOF_124	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39233	Add	MOF_125	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39234	Add	MOF_126	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39235	Add	MOF_127	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39236	Add	MOF_128	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39237	Add	MOF_129	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39238	Add	MOF_130	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39239	Add	MOF_131	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39240	Add	MOF_132	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
