rxnid	compartment	direction	gfdir	type	basecost	forward_cost	reverse_cost	complexes
rxn02933	c	=		conditional	2	0	0	mscpx.382
rxn08202	c	>		conditional	4	0	0.0687	mscpx.383
rxn00100	c	>		conditional	2	0	0.55	mscpx.385|mscpx.384
rxn01018	c	>		conditional	2	0	0.1016	mscpx.387|mscpx.386
rxn05656	c	>		conditional	5	0	0.3183	mscpx.232
rxn05204	c	=		conditional	5	0	0	mscpx.219
rxn00806	c	=		conditional	2	0	0	mscpx.388
rxn02834	c	>		conditional	2	0	0.1757	mscpx.389
rxn10121	c	=		conditional	5	0	0	mscpx.392|mscpx.393|mscpx.390|mscpx.391|mscpx.394
rxn00656	c	=		conditional	2	0	0	mscpx.395
rxn05622	c	>		conditional	5	0	0.3183	mscpx.396
rxn01830	c	>		conditional	2	0	0.4277	mscpx.397
rxn05334	c	=		conditional	2	0	0	mscpx.93|mscpx.94
rxn01053	c	=		conditional	2	0	0	mscpx.398|mscpx.400|mscpx.399|mscpx.401
rxn02341	c	>		conditional	2	0	0.691	mscpx.402
rxn06022	c	>		conditional	2	0	0.5187	mscpx.403
rxn09310	c	>		conditional	4	0	-2.7973	mscpx.404
rxn03175	c	=		conditional	2	0	0	mscpx.405
rxn00829	c	>		conditional	2	0	0.2196	mscpx.406
rxn00157	c	=		conditional	2	0	0	mscpx.407|mscpx.408
rxn09157	c	=		conditional	4	0	0	mscpx.195
rxn00990	c	=		conditional	2	0	0	mscpx.100
rxn10152	c	=		conditional	5	0	0	mscpx.409
rxn10945	c	=		conditional	7	0	0	mscpx.410
rxn10292	c	=		conditional	4	0	0	mscpx.122
rxn08978	c	>		conditional	4	0	-1.1529	mscpx.309
rxn05500	c	=		conditional	5	0	0	mscpx.411
rxn01518	c	=		conditional	2	0	0	mscpx.412
rxn05649	c	=		conditional	5	0	0	mscpx.413|mscpx.414
rxn10219	c	>		conditional	4	0	0.6386	mscpx.16
rxn00786	c	=		conditional	2	0	0	mscpx.417|mscpx.415|mscpx.416
rxn03034	c	=		conditional	2	0	0	mscpx.295|mscpx.293|mscpx.294
rxn09128	c	=		conditional	4	0	0	mscpx.195
rxn01223	c	=		conditional	2	0	0	mscpx.419
rxn01438	c	>		conditional	2	0	-8.58267	mscpx.420
rxn02318	c	=		conditional	2	0	0	mscpx.421|mscpx.422
rxn00607	c	>		conditional	2	0	0.6887	mscpx.423
rxn04020	c	=		conditional	3	0	0	mscpx.424
rxn10320	c	>		conditional	4	0	-16.616	mscpx.36
rxn05354	c	<		conditional	2	2.655	0	mscpx.89
rxn00074	c	=		conditional	3	0	0	mscpx.425
rxn00408	c	>		conditional	1	0	0.3183	mscpx.426
rxn01637	c	=		conditional	2	0	0	mscpx.428|mscpx.427
rxn05158	c	>		conditional	5	0	0.3183	mscpx.431|mscpx.432|mscpx.430|mscpx.429
rxn00605	c	=		conditional	2	0	0	mscpx.433
rxn00379	c	=		conditional	2	0	0	mscpx.434|mscpx.435|mscpx.436
rxn08803	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn09674	c	=		conditional	6	0	0	mscpx.438|mscpx.437
rxn00689	c	>		conditional	2	0	0.3646	mscpx.440|mscpx.439
rxn05164	c	>		conditional	6	0	0.3183	mscpx.441|mscpx.444|mscpx.443|mscpx.442
rxn03953	c	=		conditional	3	0	0	mscpx.43
rxn01122	c	>		conditional	2	0	0.1833	mscpx.445
rxn04602	c	>		conditional	2	0	-8.58267	mscpx.446
rxn09944	c	=		conditional	4	0	0	mscpx.1735
rxn12640	c	=		conditional	4	0	0	mscpx.51|mscpx.47|mscpx.49|mscpx.52|mscpx.48|mscpx.50|mscpx.45|mscpx.46
rxn10206	c	>		conditional	4	0	0.6386	mscpx.447|mscpx.11
rxn00567	c	=		conditional	3	0	0	mscpx.448
rxn04928	c	>		conditional	2	0	0.691	mscpx.449
rxn10865	c	=		conditional	5	0	0	mscpx.452|mscpx.450|mscpx.451
rxn09142	c	=		conditional	4	0	0	mscpx.195
rxn05376	c	=		conditional	4	0	0	mscpx.147
rxn05342	c	=		conditional	2	0	0	mscpx.147
rxn06510	c	=		conditional	2	0	0	mscpx.454|mscpx.453
rxn02313	c	=		conditional	2	0	0	mscpx.455
rxn05596	c	=		conditional	6	0	0	mscpx.458|mscpx.460|mscpx.459|mscpx.457|mscpx.456|mscpx.462|mscpx.461
rxn03511	c	=		conditional	2	0	0	mscpx.463
rxn10278	c	=		conditional	4	0	0	mscpx.202
rxn01489	c	>		conditional	3	0	-0.78	mscpx.208
rxn02866	c	<		conditional	2	2.144	0	mscpx.464
rxn05733	c	>		conditional	2	0	-0.3986	mscpx.259
rxn05350	c	>		conditional	2	0	1.2156	mscpx.244|mscpx.289
rxn00720	c	=		conditional	2	0	0	mscpx.465
rxn07430	c	>		conditional	2	0	0.313	mscpx.466
rxn00262	c	>		conditional	2	0	-1.30227	mscpx.467
rxn02404	c	>		conditional	2	0	0.7683	mscpx.468
rxn10255	c	=		conditional	4	0	0	mscpx.181
rxn10114	c	>		conditional	5	0	-1.053	mscpx.469
rxn02166	c	>		conditional	2	0	0.7683	mscpx.470
rxn00704	c	=		conditional	2	0	0	mscpx.472
rxn00183	c	>		conditional	2	0	0.0196999999999999	mscpx.185
rxn04750	c	=		conditional	2	0	0	mscpx.382
rxn02569	c	=		conditional	3	0	0	mscpx.473
rxn00710	c	>		conditional	2	0	0.868	mscpx.474
rxn02762	c	>		conditional	2	0	0.2267	mscpx.475
rxn05539	c	>		conditional	5	0	0.3183	mscpx.66|mscpx.61|mscpx.64|mscpx.65|mscpx.60|mscpx.59|mscpx.68|mscpx.67|mscpx.58|mscpx.62|mscpx.63
rxn05437	c	>		conditional	4	0	-0.655	mscpx.149
rxn00194	c	>		conditional	2	0	0.691	mscpx.480|mscpx.479|mscpx.476|mscpx.478
rxn02775	c	=		conditional	3	0	0	mscpx.482
rxn05463	c	>		conditional	4	0	-0.655	mscpx.89
rxn00449	c	=		conditional	2	0	0	mscpx.483
rxn07589	c	=		conditional	3	0	0	mscpx.484
rxn10117	c	>		conditional	5	0	-1.87755	mscpx.485
rxn10280	c	=		conditional	4	0	0	mscpx.202
rxn08333	c	>		conditional	4	0	-0.701	mscpx.486
rxn00717	c	>		conditional	2	0	0.4857	mscpx.487
rxn08713	c	=		conditional	4	0	0	mscpx.488
rxn00120	c	>		conditional	1	0	0.3183	mscpx.489|mscpx.426
rxn01833	c	>		conditional	2	0	-1.15627	mscpx.490|mscpx.492
rxn01642	c	>		conditional	2	0	-0.4183	mscpx.493
rxn00545	c	=		conditional	2	0	0	mscpx.495|mscpx.494
rxn01991	c	=		conditional	2	0	0	mscpx.496
rxn10308	c	=		conditional	4	0	0	mscpx.497
rxn08840	c	>		conditional	4	0	0.7197	mscpx.35|mscpx.34
rxn05249	c	>		conditional	4	0	0.5704	mscpx.498
rxn02897	c	=		conditional	2	0	0	mscpx.500
rxn01649	c	=		conditional	2	0	0	mscpx.288|mscpx.287
rxn00203	c	>		conditional	2	0	0.591	mscpx.502
rxn09107	c	>		conditional	4	0	0.7683	mscpx.172|mscpx.171
rxn03409	c	>		conditional	4	0	0.7906	mscpx.316
rxn12147	c	>		conditional	1	0	0.0557000000000001	mscpx.504
rxn00525	c	>		conditional	2	0	-0.612	mscpx.505
rxn05184	c	>		conditional	5	0	0.3183	mscpx.507|mscpx.506
rxn00330	c	<		conditional	2	1.8967	0	mscpx.508|mscpx.509
rxn04152	c	=		conditional	3	0	0	mscpx.510
rxn03916	c	=		conditional	2	0	0	mscpx.511
rxn03931	c	>		conditional	3	0	-0.0903	mscpx.504
rxn08203	c	>		conditional	4	0	0.0687	mscpx.383
rxn03856	c	=		conditional	2	0	0	mscpx.512
rxn04674	c	>		conditional	2	0	-0.942	mscpx.514|mscpx.513
rxn01301	c	=		conditional	2	0	0	mscpx.146
rxn07191	c	=		conditional	13	0	0	mscpx.516
rxn05396	c	>		conditional	4	0	1.2156	mscpx.244|mscpx.243
rxn01943	c	>		conditional	1	0	0.0196999999999999	mscpx.518
rxn04046	c	=		conditional	5	0	0	mscpx.482
rxn13782	c	>		conditional	5	0	2.5	mscpx.519
rxn10334	c	=		conditional	4	0	0	mscpx.301
rxn01383	c	=		conditional	2	0	0	mscpx.543
rxn00910	c	=		conditional	2	0	0	mscpx.544
rxn03407	c	>		conditional	2	0	0.7906	mscpx.316
rxn02286	c	>		conditional	2	0	0.3646	mscpx.545
rxn03159	c	=		conditional	2	0	0	mscpx.546
rxn06675	c	=		conditional	2	0	0	mscpx.53|mscpx.54
rxn05363	c	>		conditional	4	0	1.2156	mscpx.244|mscpx.243
rxn01682	c	=		conditional	2	0	0	mscpx.547
rxn02474	c	=		conditional	2	0	0	mscpx.548|mscpx.549
rxn05324	c	<		conditional	2	2.655	0	mscpx.149
rxn05117	c	>		conditional	2	0	-1.164	mscpx.550
rxn09161	c	=		conditional	4	0	0	mscpx.195
rxn01292	c	=		conditional	2	0	0	mscpx.551
rxn05563	c	=		conditional	6	0	0	mscpx.552
rxn10302	c	=		conditional	4	0	0	mscpx.131
rxn01709	c	>		conditional	2	0	0.0833	mscpx.554|mscpx.553|mscpx.555
rxn10311	c	=		conditional	4	0	0	mscpx.497
rxn01486	c	>		conditional	2	0	-0.3	mscpx.559|mscpx.2|mscpx.1|mscpx.558|mscpx.557|mscpx.556
rxn05464	c	>		conditional	4	0	-0.655	mscpx.149
rxn08822	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn01222	c	>		conditional	1	0	0.1757	mscpx.561
rxn05359	c	>		conditional	4	0	1.2156	mscpx.244|mscpx.243
rxn00898	c	>		conditional	2	0	0.3253	mscpx.562
rxn10203	c	>		conditional	4	0	0.6386	mscpx.447|mscpx.11
rxn01523	c	=		conditional	2	0	0	mscpx.563
rxn01069	c	>		conditional	2	0	0.5873	mscpx.564
rxn05105	c	=		conditional	2	0	0	mscpx.566|mscpx.565
rxn05322	c	<		conditional	2	2.655	0	mscpx.149
rxn02113	c	>		conditional	2	0	0.833	mscpx.567
rxn05416	c	>		conditional	4	0	-0.655	mscpx.89
rxn00117	c	=		conditional	2	0	0	mscpx.356
rxn07435	c	=		conditional	2	0	0	mscpx.466
rxn01396	c	=		conditional	2	0	0	mscpx.74
