Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
BiGG	reactions	ETR1_4	rxn30114	rxn05356
BiGG	reactions	ETR1_5	rxn30115	rxn05355
BiGG	reactions	ETR1_6	rxn30116	rxn05351
BiGG	reactions	ETR1_7	rxn30117	rxn05354
BiGG	reactions	F1PK	rxn30019	rxn01492
BiGG	reactions	FA140ACPH	rxn21082	rxn08434
BiGG	reactions	FA140ACPHi	rxn21082	rxn08434
BiGG	reactions	FA140ACPtm	rxn39076	rxn09762
BiGG	reactions	FA182ACPH	rxn09454	rxn13267
BiGG	reactions	FACOAL100p	rxn39077	rxn09453
BiGG	reactions	FACOAL120p	rxn39078	rxn09452
BiGG	reactions	FACOAL140p	rxn30375	rxn05736
BiGG	reactions	FACOAL141p	rxn39079	rxn09451
BiGG	reactions	FACOAL160p	rxn30377	rxn00947
BiGG	reactions	FACOAL161p	rxn39080	rxn09450
BiGG	reactions	FACOAL182	rxn09447	rxn13271
BiGG	reactions	FACOAL80p	rxn39081	rxn09444
BiGG	reactions	FALDH2	rxn04792	rxn08460
BiGG	reactions	FALGTHLs	rxn04791	rxn08463
BiGG	reactions	FAMPL1	rxn10654	rxn13462
BiGG	reactions	FAMPL2	rxn10661	rxn13464
BiGG	reactions	FAMPL3	rxn10651	rxn13465
BiGG	reactions	FAMPL4	rxn10644	rxn13466
BiGG	reactions	FAMPL5	rxn10634	rxn13467
BiGG	reactions	FAO4	rxn10074	rxn10074|rxn13472
BiGG	reactions	FAS1_1_2	rxn30122	rxn12921
BiGG	reactions	FAS1_8_2	rxn39060	rxn12922
BiGG	reactions	FAS1_8_f	rxn09456	rxn12937
BiGG	reactions	FASm2201	rxn10766	rxn13473
BiGG	reactions	FASm2401	rxn10717	rxn13474
BiGG	reactions	FASm2402	rxn10712	rxn13475
BiGG	reactions	FASm2602	rxn10739	rxn13476
BiGG	reactions	FBA1	rxn30127	rxn00786
BiGG	reactions	FCLTm	rxn30378	rxn00224
BiGG	reactions	FDMO4	rxn05737	rxn08470
BiGG	reactions	FECOSTESTH_SCe	rxn39082	rxn13288
BiGG	reactions	FEROpp	rxn25990	rxn00056
BiGG	reactions	FFSD	rxn30018	rxn02760
BiGG	reactions	FFSDr	rxn30018	rxn02760
BiGG	reactions	FHLe	rxn30547	rxn08518
BiGG	reactions	FMETTRSm	rxn30128	rxn06538
BiGG	reactions	FMN1_2	rxn20779	rxn00392
BiGG	reactions	FMNATm	rxn30210	rxn00122
BiGG	reactions	FMT1	rxn30128	rxn06538
BiGG	reactions	FOL3	rxn30129	rxn00689
BiGG	reactions	FOLD3m	rxn30380	rxn02201
BiGG	reactions	FRDm	rxn30176	rxn00288
BiGG	reactions	FRUK	rxn30019	rxn01492
BiGG	reactions	FSP2_1	rxn30130	rxn00022
BiGG	reactions	FTHFCLm	rxn18967	rxn01653
BiGG	reactions	FTHFLmi	rxn30159	rxn00690
BiGG	reactions	FUM1_1	rxn19740	rxn00799
BiGG	reactions	FUMm	rxn19740	rxn00799
BiGG	reactions	G16MTg	rxn39083	rxn09506
BiGG	reactions	G1PACT	rxn30020	rxn03638
BiGG	reactions	G1PDH	rxn15545	rxn00611
BiGG	reactions	G1PPpp	rxn29957	rxn00221
BiGG	reactions	G2PPpp	rxn29963	rxn00766
BiGG	reactions	G3PD1irm	rxn30381	rxn00611
BiGG	reactions	G3PDm	rxn28327	rxn00616
BiGG	reactions	G5SADrm	rxn30382	rxn02374
BiGG	reactions	G6PDA	rxn30021	rxn00552
BiGG	reactions	G6PDH2er	rxn30383	rxn00604
BiGG	reactions	G6PI	rxn30181	rxn01977
BiGG	reactions	G6PI3	rxn30182	rxn02380
BiGG	reactions	GBEZ	rxn09399	rxn13295|rxn13710
BiGG	reactions	GCC2bim	rxn39084	rxn09498
BiGG	reactions	GCC2cm	rxn27792	rxn01241
BiGG	reactions	GCCam	rxn30384	rxn06377
BiGG	reactions	GCCb	rxn30312	rxn06600
BiGG	reactions	GCCbim	rxn30385	rxn06600
BiGG	reactions	GCCcm	rxn30386	rxn06493
BiGG	reactions	GGLUPTS	rxn05123	rxn08604
BiGG	reactions	GGPTRCS	rxn05123	rxn08604
BiGG	reactions	GHMT2rm	rxn19870	rxn00692
BiGG	reactions	GLCGSD	rxn10533	rxn10533|rxn13297
BiGG	reactions	GLCP	rxn13299	rxn05740|rxn13299
BiGG	reactions	GLCS1	rxn08615	rxn08615|rxn13643
BiGG	reactions	GLCS2	rxn09398	rxn09398|rxn13300
BiGG	reactions	GLNS	rxn30022	rxn00187
BiGG	reactions	GLNSP2	rxn30313	rxn03407
BiGG	reactions	GLO4	rxn30133	rxn12983
