reaction	atom_mapping_confidence
rxn00669	clean
rxn00670	clean
rxn00671	salvaged
rxn00672	salvaged
rxn00673	clean
rxn00674	salvaged
rxn00675	clean
rxn00676	salvaged
rxn00677	clean
rxn00678	salvaged
rxn00679	clean
rxn00680	clean
rxn00681	salvaged
rxn00682	clean
rxn00684	clean
rxn00685	clean
rxn00686	clean
rxn00687	clean
rxn00688	clean
rxn00690	clean
rxn00691	clean
rxn00692	clean
rxn00693	clean
rxn00695	salvaged
rxn00697	clean
rxn00698	clean
rxn00699	clean
rxn00700	clean
rxn00701	clean
rxn00702	clean
rxn00703	clean
rxn00704	clean
rxn00706	clean
rxn00707	clean
rxn00708	clean
rxn00709	clean
rxn00710	salvaged
rxn00711	clean
rxn00712	clean
rxn00713	clean
rxn00714	clean
rxn00715	clean
rxn00716	salvaged
rxn00717	clean
rxn00718	clean
rxn00719	clean
rxn00720	clean
rxn00721	salvaged
rxn00722	clean
rxn00723	salvaged
rxn00724	clean
rxn00725	clean
rxn00726	clean
rxn00727	clean
rxn00728	clean
rxn00729	clean
rxn00730	salvaged
rxn00731	salvaged
rxn00732	salvaged
rxn00735	salvaged
rxn00736	salvaged
rxn00737	clean
rxn00738	clean
rxn00739	clean
rxn00740	clean
rxn00741	clean
rxn00742	clean
rxn00743	clean
rxn00744	clean
rxn00745	clean
rxn00746	clean
rxn00747	clean
rxn00748	clean
rxn00749	clean
rxn00750	clean
rxn00751	clean
rxn00752	clean
rxn00753	clean
rxn00754	clean
rxn00755	clean
rxn00756	clean
rxn00757	salvaged
rxn00758	clean
rxn00759	salvaged
rxn00760	salvaged
rxn00762	clean
rxn00763	clean
rxn00764	clean
rxn00765	clean
rxn00766	clean
rxn00767	clean
rxn00768	clean
rxn00769	clean
rxn00770	clean
rxn00771	clean
rxn00772	clean
rxn00773	clean
rxn00774	clean
rxn00775	clean
rxn00776	clean
rxn00777	clean
rxn00778	clean
rxn00779	clean
rxn00780	clean
rxn00781	clean
rxn00782	clean
rxn00783	clean
rxn00784	clean
rxn00785	clean
rxn00786	clean
rxn00787	clean
rxn00789	clean
rxn00790	clean
rxn00791	clean
rxn00792	clean
rxn00793	salvaged
rxn00794	clean
rxn00795	clean
rxn00796	clean
rxn00797	clean
rxn00798	clean
rxn00799	clean
rxn00800	clean
rxn00801	clean
rxn00802	salvaged
rxn00803	clean
rxn00804	clean
rxn00805	clean
rxn00806	clean
rxn00807	clean
rxn00808	clean
rxn00809	clean
rxn00810	clean
rxn00811	clean
rxn00812	clean
rxn00813	clean
rxn00814	clean
rxn00815	clean
rxn00816	clean
rxn00817	clean
rxn00818	clean
rxn00819	clean
rxn00820	salvaged
rxn00821	salvaged
rxn00822	salvaged
rxn00824	salvaged
rxn00826	salvaged
rxn00827	clean
rxn00829	clean
rxn00830	clean
rxn00831	clean
rxn00832	clean
rxn00833	clean
rxn00834	clean
rxn00835	clean
rxn00836	clean
rxn00837	clean
rxn00838	salvaged
rxn00839	clean
rxn00840	clean
rxn00841	clean
rxn00842	clean
rxn00843	clean
rxn00844	clean
rxn00845	clean
rxn00846	clean
rxn00847	salvaged
rxn00848	clean
rxn00849	clean
rxn00850	clean
rxn00851	clean
rxn00852	clean
rxn00853	clean
rxn00854	clean
rxn00855	clean
rxn00856	clean
rxn00857	clean
rxn00858	clean
rxn00859	clean
rxn00860	clean
rxn00861	clean
rxn00862	clean
rxn00863	clean
rxn00864	salvaged
rxn00865	clean
rxn00866	salvaged
rxn00867	clean
rxn00868	clean
rxn00869	clean
rxn00870	clean
rxn00871	clean
rxn00872	clean
rxn00873	salvaged
rxn00874	clean
rxn00875	clean
rxn00876	clean
rxn00877	clean
rxn00878	clean
rxn00879	clean
rxn00880	clean
rxn00881	clean
rxn00882	clean
rxn00883	clean
rxn00884	clean
rxn00885	clean
rxn00886	clean
rxn00887	clean
rxn00888	clean
rxn00889	clean
rxn00890	clean
rxn00891	clean
rxn00892	clean
rxn00893	clean
rxn00894	clean
rxn00895	clean
rxn00896	clean
rxn00897	clean
rxn00898	clean
rxn00899	salvaged
rxn00900	salvaged
rxn00901	clean
rxn00902	clean
rxn00903	clean
rxn00904	clean
rxn00905	clean
rxn00906	clean
rxn00907	clean
rxn00908	clean
rxn00909	clean
rxn00910	clean
rxn00911	clean
rxn00912	clean
rxn00913	clean
rxn00914	clean
rxn00915	clean
rxn00916	salvaged
rxn00917	salvaged
rxn00918	clean
rxn00919	clean
rxn00920	clean
rxn00921	salvaged
rxn00922	clean
rxn00923	clean
rxn00924	clean
rxn00925	clean
rxn00926	clean
rxn00927	clean
rxn00928	clean
rxn00929	clean
rxn00930	clean
rxn00931	clean
rxn00932	clean
rxn00933	clean
rxn00934	clean
rxn00935	clean
rxn00936	clean
rxn00937	clean
rxn00938	clean
rxn00939	clean
rxn00940	clean
rxn00941	clean
rxn00942	clean
rxn00943	clean
rxn00944	clean
rxn00945	clean
rxn00946	clean
rxn00947	salvaged
rxn00948	salvaged
rxn00949	clean
rxn00950	clean
rxn00952	clean
rxn00953	clean
rxn00955	clean
rxn00956	salvaged
rxn00957	clean
rxn00958	clean
rxn00959	clean
rxn00960	clean
rxn00961	salvaged
rxn00962	clean
rxn00963	salvaged
rxn00964	salvaged
rxn00965	clean
rxn00966	clean
rxn00967	clean
rxn00968	clean
rxn00969	salvaged
rxn00970	clean
rxn00971	clean
rxn00972	salvaged
rxn00973	clean
rxn00974	clean
rxn00975	clean
rxn00976	clean
rxn00977	clean
rxn00978	clean
rxn00979	clean
rxn00980	clean
rxn00981	clean
rxn00982	salvaged
rxn00983	salvaged
rxn00984	salvaged
rxn00985	clean
rxn00986	clean
rxn00987	clean
rxn00988	salvaged
rxn00989	clean
rxn00990	clean
rxn00991	clean
rxn00992	clean
rxn00993	clean
rxn00994	clean
rxn00995	salvaged
rxn00996	clean
rxn00997	clean
rxn00998	clean
rxn00999	clean
rxn01000	clean
rxn01001	clean
rxn01002	clean
rxn01003	salvaged
rxn01004	clean
rxn01005	clean
rxn01007	salvaged
rxn01008	clean
rxn01009	clean
rxn01010	clean
rxn01011	clean
rxn01012	salvaged
rxn01013	clean
rxn01014	salvaged
rxn01015	clean
rxn01016	clean
rxn01017	clean
rxn01018	clean
rxn01019	clean
rxn01020	salvaged
rxn01021	clean
rxn01022	clean
rxn01023	clean
rxn01024	clean
rxn01025	clean
rxn01026	salvaged
rxn01027	clean
rxn01028	clean
rxn01029	clean
rxn01030	clean
rxn01031	clean
rxn01032	clean
rxn01033	clean
rxn01034	clean
rxn01035	salvaged
rxn01036	salvaged
rxn01037	clean
rxn01038	clean
rxn01039	clean
rxn01040	salvaged
rxn01041	clean
rxn01042	clean
rxn01043	clean
rxn01044	clean
rxn01045	clean
rxn01046	salvaged
rxn01047	salvaged
rxn01048	clean
rxn01049	clean
rxn01050	clean
rxn01051	clean
rxn01052	clean
rxn01053	clean
rxn01054	salvaged
rxn01055	clean
rxn01056	clean
rxn01057	clean
rxn01058	clean
rxn01060	clean
rxn01061	clean
rxn01062	clean
rxn01063	clean
rxn01064	clean
rxn01065	clean
rxn01066	salvaged
rxn01067	clean
rxn01068	clean
rxn01069	clean
rxn01070	clean
rxn01071	clean
rxn01072	clean
rxn01073	clean
rxn01074	clean
rxn01075	clean
rxn01076	clean
rxn01078	salvaged
rxn01079	clean
rxn01080	clean
rxn01081	clean
rxn01082	clean
rxn01083	clean
rxn01084	salvaged
rxn01087	salvaged
rxn01088	salvaged
rxn01089	salvaged
rxn01090	salvaged
rxn01091	salvaged
rxn01092	salvaged
rxn01093	clean
rxn01094	clean
rxn01095	salvaged
rxn01096	clean
rxn01097	clean
rxn01098	clean
rxn01099	clean
rxn01100	clean
rxn01101	clean
rxn01102	clean
rxn01103	clean
rxn01104	clean
rxn01105	clean
rxn01106	clean
rxn01107	clean
rxn01108	clean
rxn01109	clean
rxn01110	clean
rxn01111	clean
rxn01112	clean
rxn01113	clean
rxn01114	clean
rxn01115	salvaged
rxn01116	clean
rxn01117	clean
rxn01118	clean
rxn01119	clean
rxn01121	clean
rxn01122	clean
rxn01123	clean
rxn01124	clean
rxn01125	clean
rxn01126	clean
rxn01127	clean
rxn01128	clean
rxn01129	clean
rxn01130	clean
rxn01131	clean
rxn01132	clean
rxn01133	clean
rxn01134	clean
rxn01135	salvaged
rxn01136	clean
rxn01137	clean
rxn01138	clean
rxn01139	clean
rxn01140	clean
rxn01141	clean
rxn01142	clean
rxn01143	clean
rxn01144	salvaged
rxn01145	clean
rxn01146	clean
rxn01147	salvaged
rxn01148	clean
rxn01149	clean
rxn01150	clean
rxn01151	clean
rxn01152	clean
rxn01153	clean
rxn01154	clean
rxn01156	clean
rxn01157	clean
rxn01158	salvaged
rxn01159	salvaged
rxn01160	clean
rxn01161	salvaged
rxn01162	clean
rxn01163	clean
rxn01164	clean
rxn01165	clean
rxn01166	clean
rxn01167	clean
rxn01168	salvaged
rxn01169	clean
rxn01170	clean
rxn01171	clean
rxn01172	clean
rxn01173	clean
rxn01174	clean
rxn01175	salvaged
rxn01176	clean
rxn01177	clean
rxn01179	salvaged
rxn01180	salvaged
rxn01181	clean
rxn01182	salvaged
rxn01183	clean
rxn01184	clean
rxn01185	clean
rxn01186	clean
rxn01187	clean
rxn01188	clean
rxn01189	clean
rxn01190	salvaged
rxn01191	salvaged
rxn01192	salvaged
rxn01193	clean
rxn01194	salvaged
rxn01195	salvaged
rxn01196	salvaged
rxn01197	clean
rxn01198	salvaged
rxn01199	clean
rxn01200	clean
rxn01201	clean
rxn01202	clean
rxn01203	clean
rxn01204	clean
rxn01205	clean
rxn01206	clean
rxn01207	salvaged
rxn01208	salvaged
rxn01209	clean
rxn01210	clean
rxn01211	clean
rxn01212	clean
rxn01213	clean
rxn01214	clean
rxn01216	clean
rxn01217	clean
rxn01218	clean
rxn01219	clean
rxn01220	clean
rxn01221	clean
rxn01222	clean
rxn01223	clean
rxn01224	clean
rxn01225	clean
rxn01226	clean
rxn01228	clean
rxn01229	clean
rxn01230	clean
rxn01231	salvaged
rxn01232	clean
rxn01233	clean
rxn01234	clean
rxn01235	salvaged
rxn01236	clean
rxn01237	clean
rxn01238	salvaged
rxn01239	clean
rxn01240	clean
rxn01241	clean
rxn01242	clean
rxn01243	salvaged
rxn01244	salvaged
rxn01245	salvaged
rxn01246	clean
rxn01247	clean
rxn01248	clean
rxn01249	clean
rxn01250	salvaged
rxn01251	clean
rxn01252	clean
rxn01253	clean
rxn01254	clean
rxn01255	clean
rxn01256	clean
rxn01257	clean
rxn01258	clean
rxn01259	clean
rxn01261	clean
rxn01262	clean
rxn01263	clean
rxn01264	clean
rxn01265	clean
rxn01266	salvaged
rxn01267	salvaged
rxn01268	salvaged
rxn01269	salvaged
rxn01270	clean
