ID	DATABASE	RHEA
1.14.12.18-RXN	MetaCyc	18166
1.14.12.1-RXN	MetaCyc	11077|11073
1.14.12.4-RXN	MetaCyc	10865|10861
1.14.12.9-RXN	MetaCyc	14692
1.14.13.101-RXN	MetaCyc	11421
1.14.13.103-RXN	MetaCyc	11733
1.14.13.104-RXN	MetaCyc	25659
1.14.13.10-RXN	MetaCyc	16918
1.14.13.117-RXN	MetaCyc	28603
1.14.13.118-RXN	MetaCyc	28607
1.14.13.18-RXN	MetaCyc	15162|15160
1.14.13.33-RXN	MetaCyc	19474|19478
1.14.13.35-RXN	MetaCyc	21239
1.14.13.36-RXN	MetaCyc	16266
1.14.13.37-RXN	MetaCyc	23685
1.14.13.42-RXN	MetaCyc	23743|50733
1.14.13.55-RXN	MetaCyc	22645
1.14.13.56-RXN	MetaCyc	10529
1.14.13.57-RXN	MetaCyc	10157
1.14.13.58-RXN	MetaCyc	23217
1.14.13.59-RXN	MetaCyc	23229
1.14.13.60-RXN	MetaCyc	19042
1.14.13.61-RXN	MetaCyc	22083
1.14.13.62-RXN	MetaCyc	19328
1.14.13.63-RXN	MetaCyc	22205|22209
1.14.13.64-RXN	MetaCyc	16386|16390
1.14.13.66-RXN	MetaCyc	10651
1.14.13.67-RXN	MetaCyc	20150
1.14.13.68-RXN	MetaCyc	18402
1.14.13.70-RXN	MetaCyc	14918
1.14.13.71-RXN	MetaCyc	16650
1.14.13.72-RXN	MetaCyc	55225
1.14.13.73-RXN	MetaCyc	14134
1.14.13.74-RXN	MetaCyc	11453
1.14.13.75-RXN	MetaCyc	17258
1.14.13.76-RXN	MetaCyc	15242
1.14.13.79-RXN	MetaCyc	19242
1.14.13.84-RXN	MetaCyc	22917
1.14.13.87-RXN	MetaCyc	15698
1.14.13.8-RXN	MetaCyc	24469
1.14.13.91-RXN	MetaCyc	14238
1.14.13.92-RXN	MetaCyc	10125
1.14.13.93-RXN	MetaCyc	12898
1.14.13.94-RXN	MetaCyc	18858
1.14.13.95-RXN	MetaCyc	46753
1.14.13.96-RXN	MetaCyc	15262
1.14.13.98-RXN	MetaCyc	22717
1.14.13.99-RXN	MetaCyc	46125
1.14.15.6-RXN	MetaCyc	35740
1.14.16.3-RXN	MetaCyc	21169
1.14.18.2-RXN	MetaCyc	16146
1.14.19.1-RXN	MetaCyc	19722
1.14.19.3-RXN	MetaCyc	47141
1.14.19.5-RXN	MetaCyc	25853
1.14.20.1-RXN	MetaCyc	20749
1.14.21.2-RXN	MetaCyc	20486
1.14.21.6-RXN	MetaCyc	46559
1.14.99.12-RXN	MetaCyc	22699
1.14.99.20-RXN	MetaCyc	16746
1.14.99.21-RXN	MetaCyc	12678
1.14.99.30-RXN	MetaCyc	15702
1.14.99.33-RXN	MetaCyc	46553
1.14.99.35-RXN	MetaCyc	18930
1.14.99.37-RXN	MetaCyc	14050
1.14.99.38-RXN	MetaCyc	21105
1.15.1.2-RXN	MetaCyc	21327
1.17.1.1-RXN	MetaCyc	19659|19655
1.17.4.2-RXN	MetaCyc	12704
1.17.5.1-RXN	MetaCyc	15708
1.17.99.1-RXN	MetaCyc	15142
1.17.99.3-RXN	MetaCyc	15736
1.18.1.2-RXN	MetaCyc	20126
1.2.1.13-RXN	MetaCyc	10298
1.2.1.18-RXN	MetaCyc	22991
1.2.1.25-RXN	MetaCyc	13998
1.2.1.27-RXN	MetaCyc	20805
1.2.1.2-RXN	MetaCyc	15988
1.2.1.31-RXN	MetaCyc	12305|12309
1.2.1.32-RXN	MetaCyc	14470
1.2.1.40-RXN	MetaCyc	24585|34628
1.2.1.42-RXN	MetaCyc	19708
1.2.1.45-RXN	MetaCyc	10889|29588
1.2.1.47-RXN	MetaCyc	17986
1.2.1.53-RXN	MetaCyc	17274
1.2.1.54-RXN	MetaCyc	14382
1.2.1.55-RXN	MetaCyc	24355
1.2.1.56-RXN	MetaCyc	18272
1.2.1.58-RXN	MetaCyc	10375
1.2.1.61-RXN	MetaCyc	22421
1.2.1.65-RXN	MetaCyc	18538
1.2.1.66-RXN	MetaCyc	28503
1.2.1.67-RXN	MetaCyc	13310
1.2.1.9-RXN	MetaCyc	14670
1.2.2.3-RXN	MetaCyc	15192
1.2.2.4-RXN	MetaCyc	13984
1.2.3.13-RXN	MetaCyc	17198
1.2.3.14-RXN	MetaCyc	20530
1.2.3.3-RXN	MetaCyc	20849
1.2.4.4-RXN	MetaCyc	13460
1.2.7.4-RXN	MetaCyc	21043
1.2.7.5-RXN	MetaCyc	16424
1.2.7.6-RXN	MetaCyc	24151
1.2.7.7-RXN	MetaCyc	11715
1.2.7.8-RXN	MetaCyc	12648
1.2.99.3-RXN	MetaCyc	13884
1.20.1.1-RXN	MetaCyc	13174
1.20.4.2-RXN	MetaCyc	15970
1.20.98.1-RXN	MetaCyc	18702
1.20.99.1-RXN	MetaCyc	18452
1.21.3.1-RXN	MetaCyc	22429
1.21.4.1-RXN	MetaCyc	12739
1.21.4.3-RXN	MetaCyc	12828
1.21.4.4-RXN	MetaCyc	11851
1.3.1.18-RXN	MetaCyc	22248
1.3.1.19-RXN	MetaCyc	15458
1.3.1.20-RXN	MetaCyc	16732
1.3.1.25-RXN	MetaCyc	11561
1.3.1.29-RXN	MetaCyc	11833
1.3.1.2-RXN	MetaCyc	18096
1.3.1.49-RXN	MetaCyc	16256
1.3.1.52-RXN	MetaCyc	24535
1.3.1.53-RXN	MetaCyc	10747
1.3.1.54-RXN	MetaCyc	23411
1.3.1.56-RXN	MetaCyc	17034
1.3.1.60-RXN	MetaCyc	24191
1.3.1.62-RXN	MetaCyc	19666
1.3.1.63-RXN	MetaCyc	23078
1.3.1.64-RXN	MetaCyc	13840
1.3.1.66-RXN	MetaCyc	18104
1.3.1.67-RXN	MetaCyc	24227|24231
1.3.1.68-RXN	MetaCyc	15660
1.3.1.70-RXN	MetaCyc	18563
1.3.1.71-RXN	MetaCyc	18503
1.3.1.72-RXN	MetaCyc	13687
1.3.1.9-RXN	MetaCyc	10242
1.3.3.11-RXN	MetaCyc	10695
1.3.3.12-RXN	MetaCyc	20620
1.3.3.9-RXN	MetaCyc	20586
1.3.7.2-RXN	MetaCyc	10170
1.3.7.3-RXN	MetaCyc	22094
1.3.7.4-RXN	MetaCyc	16379
1.3.7.5-RXN	MetaCyc	15311
1.3.99.15-RXN	MetaCyc	30202|19100
1.3.99.16-RXN	MetaCyc	11591
1.3.99.17-RXN	MetaCyc	17752
