ID	NAMES	FORMULA	CHARGE	MASS
G00045	IV2Fuc,III4Fuc-Lc4Cer|IV2-a-Fuc,III4-a-Fuc-Lc4Cer|Leb glycolipid	null	10000000	10000000
G00046	Fuc-Lc4Cer|III4-a-Fuc-Lc4Cer|Lea glycolipid	null	10000000	10000000
G00047	3'-isoLM1|IV3-a-Neu5Ac-Lc4Cer|sLc4Cer	null	10000000	10000000
G00048	Fuc-3'-isoLM1|IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer	null	10000000	10000000
G00050	Paragloboside|Lactoneotetraosylceramide|Lacto-N-neotetraosylceramide|Neolactotetraosylceramide|LA1|nLcCer	null	10000000	10000000
G00051	nLc5Cer	null	10000000	10000000
G00052	Type II B antigen	null	10000000	10000000
G00053	(Gal)2(GalNAc)1(Glc)1(GlcNAc)1(Cer)1	null	10000000	10000000
G00054	Type II A antigen	null	10000000	10000000
G00055	IV2Fuc-nLc4Cer|IV2-a-Fuc-nLc4Cer|Type IIH glycolipid	null	10000000	10000000
G00056	III3,IV2Fuc-nLc4Cer|IV2-a-Fuc,III3-a-Fuc-nLc4Cer|Ley glycolipid	null	10000000	10000000
G00057	(Gal)3(GalNAc)1(Glc)1(GlcNAc)1(LFuc)1(Cer)1	null	10000000	10000000
G00058	Type IIIH glycolipid	null	10000000	10000000
G00059	Type IIIA glycolipid	null	10000000	10000000
G00060	III3Fuc-nLc4Cer|III3-a-Fuc-nLc4Cer|Lacto-N-fucopentaosyl III ceramide|LNF III cer|SSEA-1	null	10000000	10000000
G00061	Sialyl-6-paragloboside|6'-LM1|IV6-a-Neu5Ac-nLc4Cer	null	10000000	10000000
G00062	Sialyl-3-paragloboside|3'-LM1|IV3-a-Neu5Ac-nLc4Cer|snLc4Cer	null	10000000	10000000
G00063	IV3NeuAc,III3Fuc-nLc4Cer|IV3-a-NeuAc,III3-a-Fuc-nLc4Cer	null	10000000	10000000
G00064	3',8'-LD1	null	10000000	10000000
G00065	(Gal)2(Glc)1(GlcNAc)1(Neu5Ac)3(Cer)1	null	10000000	10000000
G00066	nLc5Cer	null	10000000	10000000
G00067	nLc6Cer|i-antigen	null	10000000	10000000
G00068	nLc7Cer	null	10000000	10000000
G00069	nLc8Cer	null	10000000	10000000
G00071	VI2Fuc-nLc6	null	10000000	10000000
G00072	(Gal)3(GalNAc)1(Glc)1(GlcNAc)2(LFuc)1(Cer)1	null	10000000	10000000
G00073	(Gal)4(GalNAc)1(Glc)1(GlcNAc)2(LFuc)1(Cer)1	null	10000000	10000000
G00074	(Gal)4(GalNAc)1(Glc)1(GlcNAc)2(LFuc)2(Cer)1	null	10000000	10000000
G00075	Type IIIAb	null	10000000	10000000
G00076	III3Fuc-nLc6Cer	null	10000000	10000000
G00077	(Gal)3(Glc)1(GlcNAc)3(Cer)1	null	10000000	10000000
G00078	iso-nLc8Cer|LacNAc-Lc6Cer|I-antigen|Lactoisooctaosylceramide	null	10000000	10000000
G00079	(Gal)4(Glc)1(GlcNAc)3(LFuc)2(Cer)1	null	10000000	10000000
G00080	(Gal)6(Glc)1(GlcNAc)3(LFuc)2(Cer)1	null	10000000	10000000
G00081	(Gal)3(Glc)1(GlcNAc)2(LFuc)2(Cer)1	null	10000000	10000000
G00082	(Gal)3(Glc)1(GlcNAc)2(LFuc)3(Cer)1	null	10000000	10000000
G00083	(Gal)4(Glc)1(GlcNAc)2(LFuc)1(Cer)1	null	10000000	10000000
G00084	(Gal)4(Glc)1(GlcNAc)3(LFuc)1(Cer)1	null	10000000	10000000
G00085	(Gal)4(Glc)1(GlcNAc)3(LFuc)2(Cer)1	null	10000000	10000000
G00086	(Gal)4(Glc)1(GlcNAc)3(LFuc)3(Cer)1	null	10000000	10000000
G00087	VI6NeuAc-nLc6Cer	null	10000000	10000000
G00088	VI3NeuAc-nLc6Cer	null	10000000	10000000
G00089	V3Fuc-nLc6Cer	null	10000000	10000000
G00090	V3Fuc,III3Fuc-nLc6Cer	null	10000000	10000000
G00091	(Gal)3(Glc)1(GlcNAc)2(LFuc)1(Neu5Ac)1(Cer)1	null	10000000	10000000
G00092	Lactosylceramide|CDw17|LacCer	null	10000000	10000000
G00093	Globotriaosylceramide|Gb3Cer|Pk antigen|CD77	null	10000000	10000000
G00094	Globoside|Gb4Cer|P antigen	null	10000000	10000000
G00095	IV3GalNAca-Gb4Cer	null	10000000	10000000
G00096	IV3GalNAcb-Gb4Cer	null	10000000	10000000
G00097	Galactosylgloboside|SSEA-3|Gb5Cer	null	10000000	10000000
G00098	Monosialylgalactosylgloboside|MSGG|Monosialyl-Gb5|SSEA-4|V3NeuAc-Gb5Cer	null	10000000	10000000
G00099	Globo-H	null	10000000	10000000
G00100	V3(NeuAc)2-Gb5Cer	null	10000000	10000000
G00101	(Gal)3(GalNAc)1(Glc)1(Neu5Ac)2(Cer)1	null	10000000	10000000
G00102	(Gal)3(GalNAc)1(Glc)1(GlcNAc)1(Cer)1	null	10000000	10000000
G00103	(Gal)4(GalNAc)1(Glc)1(GlcNAc)1(Cer)1	null	10000000	10000000
G00104	(Gal)4(GalNAc)1(Glc)1(GlcNAc)1(LFuc)1(Cer)1	null	10000000	10000000
G00105	GalGb3Cer	null	10000000	10000000
G00106	(Gal)4(Glc)1(Cer)1	null	10000000	10000000
G00107	(Gal)5(Glc)1(Cer)1	null	10000000	10000000
G00108	GM3|Hematoside	null	10000000	10000000
G00109	GM2|Ganglioside	null	10000000	10000000
G00110	GM1	null	10000000	10000000
G00111	GD1a	null	10000000	10000000
G00112	GT1a	null	10000000	10000000
G00113	GD3|CD60a	null	10000000	10000000
G00114	GD2	null	10000000	10000000
G00115	GD1b	null	10000000	10000000
G00116	GT1b	null	10000000	10000000
G00117	GQ1b	null	10000000	10000000
G00118	GT3	null	10000000	10000000
G00119	GT2	null	10000000	10000000
G00120	GT1c	null	10000000	10000000
G00121	GQ1c	null	10000000	10000000
G00122	GP1c	null	10000000	10000000
G00123	GA2	null	10000000	10000000
G00124	GA1	null	10000000	10000000
G00125	GM1b	null	10000000	10000000
G00126	GD1c	null	10000000	10000000
G00127	GD1a	null	10000000	10000000
G00128	GT1aalpha	null	10000000	10000000
G00129	GQ1balpha	null	10000000	10000000
G00130	GM2alpha	null	10000000	10000000
G00131	GM1alpha|III6NeuAc-Gg4Cer	null	10000000	10000000
G00132	GD1beta	null	10000000	10000000
G00140	(GlcN)1(Ino(acyl)-P)1(Man)4(EtN)1(P)1	null	10000000	10000000
G00141	(GlcN)1(Ino(acyl)-P)1(Man)4(EtN)2(P)2	null	10000000	10000000
G00142	(GlcN)1(Ino(acyl)-P)1(Man)4(EtN)3(P)3(protein)1	null	10000000	10000000
G00143	(GlcNAc)1(Ino-P)1	null	10000000	10000000
G00144	(GlcN)1(Ino-P)1	null	10000000	10000000
G00145	(GlcN)1(Ino(acyl)-P)1	null	10000000	10000000
G00146	(GlcN)1(Ino(acyl)-P)1(Man)1	null	10000000	10000000
G00147	(GlcN)1(Ino(acyl)-P)1(Man)1(EtN)1(P)1	null	10000000	10000000
G00148	(GlcN)1(Ino(acyl)-P)1(Man)2(EtN)1(P)1	null	10000000	10000000
G00149	(GlcN)1(Ino(acyl)-P)1(Man)3(EtN)1(P)1	null	10000000	10000000
G00151	(GlcN)1(Ino(acyl)-P)1(Man)4(EtN)3(P)3	null	10000000	10000000
G00152	(GlcN)1(Man)4(EtN)3(P)3(protein)1(Ino-P)1	null	10000000	10000000
G00154	(Xyl)1(Ser)1	null	10000000	10000000
G00155	(Gal)1(Xyl)1(Ser)1	null	10000000	10000000
G00156	(Gal)2(Xyl)1(Ser)1	null	10000000	10000000
G00157	(Gal)2(GlcA)1(Xyl)1(Ser)1	null	10000000	10000000
G00158	(Gal)2(GalNAc)1(GlcA)1(Xyl)1(Ser)1	null	10000000	10000000
G00159	(Gal)2(GalNAc)1(GlcA)2(Xyl)1(Ser)1	null	10000000	10000000
G00160	(Gal)2(GalNAc)2(GlcA)2(Xyl)1(Ser)1	null	10000000	10000000
G00161	(Gal)2(GalNAc)3(GlcA)3(Xyl)1(Ser)1	null	10000000	10000000
G00162	(Gal)2(GlcA)1(GlcNAc)1(Xyl)1(Ser)1	null	10000000	10000000
G00163	(Gal)2(GlcA)2(GlcNAc)1(Xyl)1(Ser)1	null	10000000	10000000
G00164	(Gal)2(GlcA)2(GlcNAc)2(Xyl)1(Ser)1	null	10000000	10000000
G00165	(Gal)2(GlcA)3(GlcNAc)2(Xyl)1(Ser)1	null	10000000	10000000
G00166	Fucosyl-GM1	null	10000000	10000000
G00167	N-Acetylgalactosaminyl GM1b|GalNAc-GM1b	null	10000000	10000000
G00168	N-Acetylgalactosaminyl GD1a|GalNAc-GD1a	null	10000000	10000000
G00169	9-O-Acetylated GD3|9-O-Acetyl-GD3|9-O-Ac-GD3|CD60b	null	10000000	10000000
G00170	9-O-Acetylated GT3|9-O-Ac-GT3	null	10000000	10000000
G00171	(Glc)2(GlcNAc)2(Man)9(Asn)1	null	10000000	10000000
G00172	(Man)4	null	10000000	10000000
G00174	(Gal)2(Glc)1(GlcNAc)2(Cer)1	null	10000000	10000000
G00176	(Gal)1(GalNAc)1(Glc)1(Neu5Ac)1(Cer)1	null	10000000	10000000
G00177	(GlcNAc)1(ManNAc)1(PP-Und)1	null	10000000	10000000
G00178	(GlcNAc)4(LFuc)1(Man)3(Asn)1	null	10000000	10000000
G00179	(GlcNAc)4(Man)3(Xyl)1(Asn)1	null	10000000	10000000
G00180	(Gal)2(GalNAc)2(GlcA)3(Xyl)1	null	10000000	10000000
G00181	Disialosylglobopentaosylceramide|Disialosyl Gb5|V3NeuAcIV6NeuAc-Gb5Cer|Disialosylgalactosylgloboside	null	10000000	10000000
G00182	7-O-Acetyl-GD3|7-O-Ac-GD3|CD60c|GD3-7OAc	null	10000000	10000000
G00183	9-O-Acetyl-GD2|9-O-Ac-GD2	null	10000000	10000000
G00184	9-O-Acetyl-GT2|9-O-Ac-GT2	null	10000000	10000000
G00185	9-O-Ac-GD1a	null	10000000	10000000
G00186	9-O-Ac-GT1b	null	10000000	10000000
G00187	9-O-Ac-GQ1b	null	10000000	10000000
G00188	9-O-Ac-nLD1	null	10000000	10000000
G00189	GalNAcDSLc4|IV4GalNAc,IV3NeuAc,III6NeuAc-Lc4cer	null	10000000	10000000
G00190	Disialosyl Lc4Cer|DSLc4|IV3NeuAc,III6NeuAc-Lc4Cer	null	10000000	10000000
G00192	(Gal)5(Glc)1(GlcNAc)4(LFuc)2(Neu5Ac)1(Cer)1	null	10000000	10000000
G00193	(Gal)6(Glc)1(GlcNAc)5(LFuc)2(Neu5Ac)1(Cer)1	null	10000000	10000000
G00194	(Gal)6(Glc)1(GlcNAc)5(LFuc)2(Neu5Ac)1(Cer)1	null	10000000	10000000
G00195	(Gal)3(Glc)1(GlcNAc)2(LFuc)2(Neu5Ac)1(Cer)1	null	10000000	10000000
G00196	VIII3NeuAc,V3Fuc-nLc8Cer|CD65s	null	10000000	10000000
G00197	X3NeuAc,VII3Fuc-nLc10Cer, |CD65	null	10000000	10000000
G00198	(Gal)1(GlcNAc)2(Man)4(Neu5Ac)1	null	10000000	10000000
G00199	(Gal)2(GlcNAc)4(Man)3(Asn)1	null	10000000	10000000
G00200	(Gal)1(GlcNAc)2(Man)5(Neu5Ac)1	null	10000000	10000000
G00202	(Gal)2(GlcNAc)4(LFuc)1(Man)3(Neu5Ac)1(Asn)1	null	10000000	10000000
G00203	(Gal)2(GlcNAc)4(Man)3(Neu5Ac)1(Asn)1	null	10000000	10000000
G00204	(Gal)2(GlcNAc)4(LFuc)1(Man)3(Neu5Ac)1(Asn)1	null	10000000	10000000
G00205	(Gal)2(GlcNAc)4(Man)3(Neu5Ac)1(Asn)1	null	10000000	10000000
G00206	(Gal)2(GlcNAc)4(LFuc)1(Man)3(Neu5Ac)2	null	10000000	10000000
G00207	(Gal)2(GlcNAc)4(Man)3(Neu5Ac)2	null	10000000	10000000
G00208	(Gal)1(GalNAc)1(GlcNAc)1(Neu5Ac)1(Ser/Thr)1	null	10000000	10000000
G00209	(Gal)1(GalNAc)1(GlcNAc)2	null	10000000	10000000
G00210	(Gal)1(GalNAc)1(GlcNAc)3	null	10000000	10000000
G00211	(Gal)2(GalNAc)1(GlcNAc)3	null	10000000	10000000
G00212	(Gal)4(GalNAc)1(GlcNAc)3(Ser/Thr)1	null	10000000	10000000
G00214	(Gal)2(GalNAc)1(GlcNAc)2	null	10000000	10000000
G00216	(Gal)3(GalNAc)1(GlcNAc)3	null	10000000	10000000
G00217	(Gal)3(GalNAc)1(GlcNAc)4	null	10000000	10000000
G00218	(Gal)5(GalNAc)1(GlcNAc)4	null	10000000	10000000
G00219	(Gal)2(GalNAc)1(GlcNAc)1(LFuc)2(Ser/Thr)1	null	10000000	10000000
G00221	(Gal)2(GalNAc)1(GlcNAc)1(Neu5Ac)2(Ser/Thr)1	null	10000000	10000000
G00222	(Gal)2(GalNAc)1(GlcNAc)1(Neu5Ac)1(Ser/Thr)1	null	10000000	10000000
G00224	(Gal)1(GalNAc)2(LFuc)1(Ser/Thr)1	null	10000000	10000000
G00225	Sialyl-Tn (Gc)	null	10000000	10000000
G00226	(Gal)1(GalNAc)1(Neu5Gc)1(Ser/Thr)1	null	10000000	10000000
G00227	(Gal)1(GalNAc)1(LFuc)1(Neu5Gc)1(Ser/Thr)1	null	10000000	10000000
G00229	(Glc)1(Xyl)2	null	10000000	10000000
G00231	(GlcNAc)2(Man)4(Asn)1	null	10000000	10000000
G00232	(GlcNAc)2(Man)7(Asn)1	null	10000000	10000000
G00233	(GlcNAc)2(Man)13	null	10000000	10000000
G00234	(Gal)2(GalNAc)1(GlcNAc)1(LFuc)1(Neu5Ac)2	null	10000000	10000000
G00235	(Gal)4(GalNAc)1(GlcNAc)3(LFuc)3(Neu5Ac)1	null	10000000	10000000
G00237	(Gal)1(GlcNAc)2	null	10000000	10000000
G00238	(Gal)2(GlcNAc)2(Ser/Thr)1	null	10000000	10000000
G00239	(Gal)2(GlcNAc)2(Neu5Ac)1(Ser/Thr)1	null	10000000	10000000
G00240	(Gal)2(GlcNAc)2(LFuc)1(Neu5Ac)1(Ser/Thr)1	null	10000000	10000000
G00241	(Gal)2(GlcNAc)2(LFuc)1(Ser/Thr)1	null	10000000	10000000
G00242	sialyl Lewis x antigen	null	10000000	10000000
G00243	Lewis x antigen|Tetraantennary neutral lactosaminoglycan|3-Fucosyllactosamine|3-FL	null	10000000	10000000
G00244	Chitin|Chito-oligosaccharide|Chitotriitol	null	10000000	10000000
G00245	(GlcNAc)2(Man)6	null	10000000	10000000
G00246	N-Acetyllactosamine	null	10000000	10000000
G00247	Chacotriose|Chacotrioside	null	10000000	10000000
G00248	F-gitogenin|F-gitonin|Agigenin|Aginoside|Lycotetraose	null	10000000	10000000
G00249	Raffinose	null	10000000	10000000
G00250	Lewis a antigen	null	10000000	10000000
G00251	PA6|HpxB1	null	10000000	10000000
G00253	(Gal)1(GlcNAc)1(Neu5Ac)1	null	10000000	10000000
G00254	Blood group substance H (II)	null	10000000	10000000
G00255	(Gal)1(GlcNAc)1(Neu5Ac)1	null	10000000	10000000
G00256	Lewis y antigen	null	10000000	10000000
G00257	sialyl Lewis a antigen	null	10000000	10000000
G00258	GM3-NeuGc	null	10000000	10000000
G00259	Digitoxin|Gitoxin|Gitaloxin|Digitalis|Digoxin|Gitoxin	null	10000000	10000000
G00260	BI6F	null	10000000	10000000
G00261	(Gal)1(GalNAc)1(Neu5Ac)1	null	10000000	10000000
G00262	Ginsenoside|Anatolioside|Brownioside|Foliumin|Naringin|Phlomisoside	null	10000000	10000000
G00263	IV2Fuc,III4Fuc-Lc4-Cer|Lewis b antigen	null	10000000	10000000
G00264	Abrisaponin |Kaikosaponin III|Robinioside E|Saponin Bb|Saponin Be |Sophoraflavoside II|Soyasaponin|Subproside I	null	10000000	10000000
G00265	6'-Sialyllactose|6'-SL	null	10000000	10000000
G00266	Blood group substance A	null	10000000	10000000
G00267	solanine|solasonine|solatriose	null	10000000	10000000
G00268	2'-Fucosyllactose|2'-FucLac|2'-FL	null	10000000	10000000
G00269	(Gal)1(GalNAc)1(Neu5Ac)2	null	10000000	10000000
G00270	Verbascoside|Acteoside|Campneoside II|Cistanoside F|Decaffeoyl acteoside|Leucosceptoside A|lipedoside A|lipedoside B|Orobanchoside|Osmanthuside B	null	10000000	10000000
G00271	Blood group substance B	null	10000000	10000000
G00272	(GlcNAc)2(Man)8	null	10000000	10000000
G00273	Gentiobiose|Gycomoside 1|Amygdalin|Andirobicin C gentiobioside|Bruceacanthinoside|Bruceolline|Clinoposaponin X|Fevicordin F gentiobioside	null	10000000	10000000
G00274	(Gal)2(GlcNAc)4(Man)3	null	10000000	10000000
G00275	Maltose|Maltitol	null	10000000	10000000
G00276	Oligogalacturonan|Polygalacturonic acid	null	10000000	10000000
G00277	Maltosaccharide|Panose	null	10000000	10000000
G00278	Stachyose	null	10000000	10000000
G00279	Xylan|Xylosaccharide	null	10000000	10000000
G00280	glycopeptide 3|Maltotriose	null	10000000	10000000
G00281	Gal4,4,4TRI	null	10000000	10000000
G00282	Ginsenoside|asteryunnanoside|cabenoside B|hosenkoside J|majonoside|phlomisoside II|reinioside A|sophorose	null	10000000	10000000
G00283	Rutin|Rutinoside|Hesperidin|Mabioside|Nicotiflorin|Rutinose	null	10000000	10000000
G00284	Lacto-N-biose	null	10000000	10000000
G00285	(Gal)1(GlcNAc)1(LFuc)1	null	10000000	10000000
G00286	(GlcNAc)2(LFuc)1(Man)3	null	10000000	10000000
G00287	Mannotriose	null	10000000	10000000
G00288	LA|Lipid A	null	10000000	10000000
G00289	Cellobiose|Glucoscilliroside	null	10000000	10000000
G00291	(Gal)1(LFuc)1	null	10000000	10000000
G00292	(GlcNAc)4(Man)5	null	10000000	10000000
G00293	Trehalose	null	10000000	10000000
G00294	IV3SO4GlcA-nLc4-Cer|LK1	null	10000000	10000000
G00295	(GlcNAc)2(LFuc)1(Man)3(Xyl)1	null	10000000	10000000
G00296	(Gal)2(GlcNAc)1	null	10000000	10000000
G00298	Nephritogenic glycopeptide|Nephritogenoside	null	10000000	10000000
G00299	(Gal)1(Neu5Ac)1	null	10000000	10000000
G00300	(GlcNAc)1(Man)5	null	10000000	10000000
G00301	Glycyrrhizin |Licorice-saponin |Yunganoside	null	10000000	10000000
G00302	(Gal)4(GlcNAc)6(Man)3	null	10000000	10000000
G00304	Linear B type 2 trisaccharide	null	10000000	10000000
G00305	Gentiosaccharide|Gentiotriose|Glucan	null	10000000	10000000
G00306	(Gal)1(GalNAc)1(GlcNAc)1	null	10000000	10000000
G00307	Acetyl-gitoxin|Pengitoxin	null	10000000	10000000
G00308	Gracillin	null	10000000	10000000
G00309	(GlcNAc)1(Man)3	null	10000000	10000000
G00310	(Gal)2(GlcNAc)5(LFuc)1(Man)3	null	10000000	10000000
G00311	(GlcNAc)2(Man)3	null	10000000	10000000
G00312	(GlcNAc)2(Man)7	null	10000000	10000000
G00313	3-Fucosyllactose|3-FucLac|3-FL	null	10000000	10000000
G00314	(Gal)2(GlcNAc)3(Man)3	null	10000000	10000000
G00315	(GlcNAc)2(Man)5	null	10000000	10000000
G00316	Alginate|Alginic acid	null	10000000	10000000
G00317	GM4	null	10000000	10000000
G00318	Cellotriose|Cellosaccharide	null	10000000	10000000
G00319	(GlcNAc)1(Man)2	null	10000000	10000000
G00320	(Gal)1(GalNAc)1(LFuc)1	null	10000000	10000000
G00321	(Gal)2(GlcNAc)4(LFuc)1(Man)3(Neu5Ac)2	null	10000000	10000000
G00322	Primeveroside|Alangionoside |Chikusetsusaponin Ia|Epilucumin|Neohancoside	null	10000000	10000000
G00323	(GlcNAc)4	null	10000000	10000000
G00324	(Man)2	null	10000000	10000000
G00325	(Glc)2(LRha)1	null	10000000	10000000
G00326	(GlcNAc)1(Man)9	null	10000000	10000000
G00327	(Gal)4(GlcNAc)6(LFuc)1(Man)3(Neu5Ac)4	null	10000000	10000000
G00330	(GlcNAc)6(Man)3	null	10000000	10000000
G00331	(Gal)2(GlcNAc)4(LFuc)1(Man)3(Neu5Ac)1	null	10000000	10000000
G00332	3'-LM1-NeuGc	null	10000000	10000000
G00333	(Gal)1(GlcNAc)1(Man)1	null	10000000	10000000
G00334	(Gal)2(GlcNAc)1	null	10000000	10000000
G00335	Lactodifucotetraose|LDFT|LD	null	10000000	10000000
G00336	(Gal)2(GalNAc)1(GlcNAc)1(Neu5Ac)2	null	10000000	10000000
G00337	Commersonine|Eruboside B	null	10000000	10000000
G00338	Heparin|Heparan sulfate	null	10000000	10000000
G00339	1-Kestose	null	10000000	10000000
G00340	(Gal)3(GlcNAc)5(LFuc)1(Man)3	null	10000000	10000000
G00341	(GlcNAc)2(Man)8	null	10000000	10000000
G00342	GM2-NeuGc	null	10000000	10000000
G00343	Maltopentaose	null	10000000	10000000
G00345	(Gal)2(GlcNAc)2(Man)3	null	10000000	10000000
G00346	Mannotriose	null	10000000	10000000
G00347	Formosanin-C	null	10000000	10000000
G00349	Saikosaponin	null	10000000	10000000
G00350	(Gal)1(GalNAc)1(Glc)1(LFuc)1	null	10000000	10000000
G00351	Saikosaponin	null	10000000	10000000
G00352	(Gal)1(GlcNAc)5(Man)5	null	10000000	10000000
G00353	Chondroitin 4-sulfate|delta-Di-4S|DS-18	null	10000000	10000000
G00354	(Gal)3(GlcNAc)5(LFuc)1(Man)3	null	10000000	10000000
G00355	(Gal)2(GalNAc)1(GlcNAc)1(Neu5Ac)1	null	10000000	10000000
G00356	P1|galabiose	null	10000000	10000000
G00357	Laminaribiose|Laminariobiose|3-O-beta-D-Glucopyranosyl-D-glucose	null	10000000	10000000
G00358	(Gal)1(GalNAc)1(GlcNAc)1(LFuc)1	null	10000000	10000000
G00359	(Gal)2(Glc)1	null	10000000	10000000
G00360	(Gal)1(LRha)1(Man)1	null	10000000	10000000
G00362	(Gal)3(GlcNAc)5(LFuc)1(Man)3(Neu5Ac)3	null	10000000	10000000
G00364	(GlcNAc)1(Man)8	null	10000000	10000000
G00365	(Gal)1(GlcNAc)3(LFuc)1(Man)3	null	10000000	10000000
G00366	(Gal)2(GlcNAc)2(Man)1	null	10000000	10000000
G00367	Chondroitin 6-sulfate |delta-Di-6S	null	10000000	10000000
G00368	(Gal)4(GlcNAc)6(LFuc)1(Man)3	null	10000000	10000000
G00369	(Gal)3(GlcNAc)4(Man)3	null	10000000	10000000
G00370	Neohancoside D|Reiniose|Sucrose	null	10000000	10000000
G00371	b1-Tomatine|Lycotriose	null	10000000	10000000
G00372	(LAraf)1(Xyl)2	null	10000000	10000000
G00373	Licorice-saponin L3|Saponin B|Soyasaponin|Subproside II	null	10000000	10000000
G00374	(GlcNAc)2(Man)9	null	10000000	10000000
G00375	DS-18|delta-Di-OS	null	10000000	10000000
G00376	GM1-NeuGc	null	10000000	10000000
G00377	(Gal)2	null	10000000	10000000
G00378	(Gal)1(GalNAc)1(Neu5Ac)1	null	10000000	10000000
G00379	(GlcNAc)6	null	10000000	10000000
G00380	(GlcNAc)1(LFuc)1	null	10000000	10000000
G00381	(GlcNAc)5(Man)5	null	10000000	10000000
G00382	(Gal)3(GlcNAc)2	null	10000000	10000000
G00383	Lichenan	null	10000000	10000000
G00385	(GlcNAc)2(LFuc)1(Man)2	null	10000000	10000000
G00386	3'-Galactosyllactose	null	10000000	10000000
G00387	(Gal)1(GlcNAc)1(Man)1	null	10000000	10000000
G00388	(GlcNAc)4(Man)3	null	10000000	10000000
G00389	Isopanose|Maltosaccharide	null	10000000	10000000
G00390	HNK-1 glycolipid|HexLK1|IV3SO4GlcA-nLc6-Cer|SGGL-2	null	10000000	10000000
G00391	LS-Tetrasaccharide b|LST b	null	10000000	10000000
G00392	iGb4-Cer |iso-Gb4-Cer	null	10000000	10000000
G00393	PA5	null	10000000	10000000
G00394	(Gal)3(GlcNAc)5(Man)3(Neu5Ac)3	null	10000000	10000000
G00395	Lc4|r-Lactotetraose-HSA|Lacto-N-tetraose|LNT	null	10000000	10000000
G00396	delta DiH-2,N,6triS|delta-Di-HS-triS|delta-DiH-(2,6,N)triS	null	10000000	10000000
G00397	(Gal)2(GlcNAc)2(Man)1	null	10000000	10000000
G00398	(GlcN)2(L4-en-thrHexA)1(LIdoA)1(S)6	null	10000000	10000000
G00399	(Gal)1(GlcNAc)2	null	10000000	10000000
G00400	(Gal)1(GlcNAc)4(LFuc)1(Man)3	null	10000000	10000000
G00402	Dextran|Glucan|Nigerosaccharide|Nigeran	null	10000000	10000000
