ModelSEED ID	External ID	External Name
R01392	rn00630	Glyoxylate and dicarboxylate metabolism
R01393	rn00630	Glyoxylate and dicarboxylate metabolism
R01394	rn00630	Glyoxylate and dicarboxylate metabolism
R01395	rn00910	Nitrogen metabolism
R01397	rn00240	Pyrimidine metabolism
R01397	rn00250	Alanine, aspartate and glutamate metabolism
R01398	rn00330	Arginine and proline metabolism
R01398	rn01110	Biosynthesis of secondary metabolites
R01398	rn01230	Biosynthesis of amino acids
R01401	rn00270	Cysteine and methionine metabolism
R01402	rn00270	Cysteine and methionine metabolism
R01406	rn00071	Fatty acid degradation
R01408	rn00460	Cyanoamino acid metabolism
R01410	rn00460	Cyanoamino acid metabolism
R01411	rn00240	Pyrimidine metabolism
R01413	rn00240	Pyrimidine metabolism
R01414	rn00240	Pyrimidine metabolism
R01415	rn00240	Pyrimidine metabolism
R01416	rn00330	Arginine and proline metabolism
R01419	rn00623	Toluene degradation
R01419	rn00627	Aminobenzoate degradation
R01419	rn01220	Degradation of aromatic compounds
R01420	rn00623	Toluene degradation
R01420	rn00627	Aminobenzoate degradation
R01421	rn00627	Aminobenzoate degradation
R01422	rn00362	Benzoate degradation
R01422	rn00627	Aminobenzoate degradation
R01423	rn00230	Purine metabolism
R01424	rn00360	Phenylalanine metabolism
R01426	rn00360	Phenylalanine metabolism
R01426	rn01110	Biosynthesis of secondary metabolites
R01427	rn00362	Benzoate degradation
R01427	rn01220	Degradation of aromatic compounds
R01429	rn00040	Pentose and glucuronate interconversions
R01430	rn00040	Pentose and glucuronate interconversions
R01431	rn00040	Pentose and glucuronate interconversions
R01432	rn00040	Pentose and glucuronate interconversions
R01433	rn00500	Starch and sucrose metabolism
R01433	rn00520	Amino sugar and nucleotide sugar metabolism
R01434	rn00280	Valine, leucine and isoleucine degradation
R01434	rn00290	Valine, leucine and isoleucine biosynthesis
R01434	rn01110	Biosynthesis of secondary metabolites
R01440	rn00680	Methane metabolism
R01440	rn01200	Carbon metabolism
R01444	rn00500	Starch and sucrose metabolism
R01446	rn00620	Pyruvate metabolism
R01447	rn00620	Pyruvate metabolism
R01449	rn00640	Propanoate metabolism
R01450	rn00620	Pyruvate metabolism
R01451	rn00100	Steroid biosynthesis
R01454	rn00140	Steroid hormone biosynthesis
R01456	rn00100	Steroid biosynthesis
R01456	rn00981	Insect hormone biosynthesis
R01456	rn01110	Biosynthesis of secondary metabolites
R01457	rn00100	Steroid biosynthesis
R01459	rn00984	Steroid degradation
R01461	rn00100	Steroid biosynthesis
R01462	rn00100	Steroid biosynthesis
R01463	rn00120	Primary bile acid biosynthesis
R01465	rn00260	Glycine, serine and threonine metabolism
R01466	rn00260	Glycine, serine and threonine metabolism
R01466	rn01230	Biosynthesis of amino acids
R01468	rn00564	Glycerophospholipid metabolism
R01470	rn00564	Glycerophospholipid metabolism
R01471	rn00520	Amino sugar and nucleotide sugar metabolism
R01473	rn00520	Amino sugar and nucleotide sugar metabolism
R01473	rn01110	Biosynthesis of secondary metabolites
R01476	rn00040	Pentose and glucuronate interconversions
R01476	rn00053	Ascorbate and aldarate metabolism
R01476	rn00520	Amino sugar and nucleotide sugar metabolism
R01478	rn00040	Pentose and glucuronate interconversions
R01478	rn00500	Starch and sucrose metabolism
R01481	rn00040	Pentose and glucuronate interconversions
R01481	rn00053	Ascorbate and aldarate metabolism
R01482	rn00040	Pentose and glucuronate interconversions
R01483	rn00053	Ascorbate and aldarate metabolism
R01492	rn00860	Porphyrin and chlorophyll metabolism
R01494	rn00600	Sphingolipid metabolism
R01495	rn00600	Sphingolipid metabolism
R01496	rn00600	Sphingolipid metabolism
R01497	rn00600	Sphingolipid metabolism
R01498	rn00600	Sphingolipid metabolism
R01500	rn00600	Sphingolipid metabolism
R01503	rn00600	Sphingolipid metabolism
R01505	rn01053	Biosynthesis of siderophore group nonribosomal peptides
R01505	rn01110	Biosynthesis of secondary metabolites
R01507	rn00362	Benzoate degradation
R01508	rn00362	Benzoate degradation
R01511	rn00260	Glycine, serine and threonine metabolism
R01512	rn00010	Glycolysis / Gluconeogenesis
R01512	rn00710	Carbon fixation in photosynthetic organisms
R01512	rn01110	Biosynthesis of secondary metabolites
R01512	rn01200	Carbon metabolism
R01512	rn01230	Biosynthesis of amino acids
R01513	rn00260	Glycine, serine and threonine metabolism
R01513	rn00680	Methane metabolism
R01513	rn01200	Carbon metabolism
R01513	rn01230	Biosynthesis of amino acids
R01514	rn00260	Glycine, serine and threonine metabolism
R01514	rn00561	Glycerolipid metabolism
R01514	rn00630	Glyoxylate and dicarboxylate metabolism
R01514	rn01110	Biosynthesis of secondary metabolites
R01516	rn00010	Glycolysis / Gluconeogenesis
R01518	rn00010	Glycolysis / Gluconeogenesis
R01518	rn00260	Glycine, serine and threonine metabolism
R01518	rn00680	Methane metabolism
R01518	rn01110	Biosynthesis of secondary metabolites
R01518	rn01200	Carbon metabolism
R01518	rn01230	Biosynthesis of amino acids
R01519	rn00030	Pentose phosphate pathway
R01519	rn01110	Biosynthesis of secondary metabolites
R01519	rn01200	Carbon metabolism
R01520	rn00030	Pentose phosphate pathway
R01520	rn01200	Carbon metabolism
R01521	rn00030	Pentose phosphate pathway
R01521	rn01200	Carbon metabolism
R01522	rn00030	Pentose phosphate pathway
R01523	rn00710	Carbon fixation in photosynthetic organisms
R01523	rn01200	Carbon metabolism
R01524	rn00040	Pentose and glucuronate interconversions
R01525	rn00040	Pentose and glucuronate interconversions
R01526	rn00040	Pentose and glucuronate interconversions
R01528	rn00030	Pentose phosphate pathway
R01528	rn00480	Glutathione metabolism
R01528	rn01110	Biosynthesis of secondary metabolites
R01528	rn01200	Carbon metabolism
R01529	rn00030	Pentose phosphate pathway
R01529	rn00040	Pentose and glucuronate interconversions
R01529	rn00710	Carbon fixation in photosynthetic organisms
R01529	rn01110	Biosynthesis of secondary metabolites
R01529	rn01200	Carbon metabolism
R01529	rn01230	Biosynthesis of amino acids
R01538	rn00030	Pentose phosphate pathway
R01538	rn01200	Carbon metabolism
R01540	rn00040	Pentose and glucuronate interconversions
R01541	rn00030	Pentose phosphate pathway
R01541	rn01200	Carbon metabolism
R01542	rn00040	Pentose and glucuronate interconversions
R01544	rn00030	Pentose phosphate pathway
R01547	rn00230	Purine metabolism
R01548	rn00240	Pyrimidine metabolism
R01549	rn00240	Pyrimidine metabolism
R01550	rn00640	Propanoate metabolism
R01553	rn00460	Cyanoamino acid metabolism
R01553	rn01110	Biosynthesis of secondary metabolites
R01555	rn00500	Starch and sucrose metabolism
R01557	rn00500	Starch and sucrose metabolism
R01558	rn00630	Glyoxylate and dicarboxylate metabolism
R01559	rn00630	Glyoxylate and dicarboxylate metabolism
R01560	rn00230	Purine metabolism
R01561	rn00230	Purine metabolism
R01562	rn00230	Purine metabolism
R01563	rn00330	Arginine and proline metabolism
R01565	rn00260	Glycine, serine and threonine metabolism
R01566	rn00260	Glycine, serine and threonine metabolism
R01566	rn00330	Arginine and proline metabolism
R01567	rn00240	Pyrimidine metabolism
R01569	rn00240	Pyrimidine metabolism
R01570	rn00240	Pyrimidine metabolism
R01579	rn00471	D-Glutamine and D-glutamate metabolism
R01580	rn00750	Vitamin B6 metabolism
R01582	rn00360	Phenylalanine metabolism
R01583	rn00471	D-Glutamine and D-glutamate metabolism
R01586	rn00680	Methane metabolism
R01588	rn00680	Methane metabolism
R01588	rn01200	Carbon metabolism
R01590	rn00590	Arachidonic acid metabolism
R01593	rn00590	Arachidonic acid metabolism
R01594	rn00590	Arachidonic acid metabolism
R01595	rn00590	Arachidonic acid metabolism
R01596	rn00590	Arachidonic acid metabolism
R01600	rn00010	Glycolysis / Gluconeogenesis
R01600	rn01110	Biosynthesis of secondary metabolites
R01602	rn00010	Glycolysis / Gluconeogenesis
R01602	rn01110	Biosynthesis of secondary metabolites
R01604	rn00410	beta-Alanine metabolism
R01607	rn00410	beta-Alanine metabolism
R01608	rn00410	beta-Alanine metabolism
R01608	rn00640	Propanoate metabolism
R01608	rn01200	Carbon metabolism
R01611	rn00410	beta-Alanine metabolism
R01611	rn00640	Propanoate metabolism
R01613	rn00941	Flavonoid biosynthesis
R01613	rn01110	Biosynthesis of secondary metabolites
R01614	rn00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
R01614	rn01110	Biosynthesis of secondary metabolites
R01615	rn00940	Phenylpropanoid biosynthesis
R01615	rn01110	Biosynthesis of secondary metabolites
R01616	rn00130	Ubiquinone and other terpenoid-quinone biosynthesis
R01616	rn00360	Phenylalanine metabolism
R01616	rn00940	Phenylpropanoid biosynthesis
R01616	rn01110	Biosynthesis of secondary metabolites
R01617	rn00330	Arginine and proline metabolism
R01618	rn00230	Purine metabolism
R01620	rn00310	Lysine degradation
R01621	rn00030	Pentose phosphate pathway
R01621	rn00710	Carbon fixation in photosynthetic organisms
R01623	rn00770	Pantothenate and CoA biosynthesis
R01624	rn00061	Fatty acid biosynthesis
R01624	rn01212	Fatty acid metabolism
R01625	rn00770	Pantothenate and CoA biosynthesis
R01626	rn00061	Fatty acid biosynthesis
R01626	rn01212	Fatty acid metabolism
R01627	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01627	rn01110	Biosynthesis of secondary metabolites
R01628	rn00362	Benzoate degradation
R01628	rn00624	Polycyclic aromatic hydrocarbon degradation
R01628	rn01220	Degradation of aromatic compounds
R01629	rn00362	Benzoate degradation
R01630	rn00362	Benzoate degradation
R01631	rn00362	Benzoate degradation
R01631	rn00624	Polycyclic aromatic hydrocarbon degradation
R01631	rn01220	Degradation of aromatic compounds
R01632	rn00362	Benzoate degradation
R01632	rn00624	Polycyclic aromatic hydrocarbon degradation
R01632	rn00627	Aminobenzoate degradation
R01633	rn00624	Polycyclic aromatic hydrocarbon degradation
R01633	rn01220	Degradation of aromatic compounds
R01634	rn00624	Polycyclic aromatic hydrocarbon degradation
R01635	rn00624	Polycyclic aromatic hydrocarbon degradation
R01636	rn00623	Toluene degradation
R01639	rn00040	Pentose and glucuronate interconversions
R01641	rn00030	Pentose phosphate pathway
R01641	rn00710	Carbon fixation in photosynthetic organisms
R01641	rn01110	Biosynthesis of secondary metabolites
R01641	rn01200	Carbon metabolism
R01641	rn01230	Biosynthesis of amino acids
R01644	rn00650	Butanoate metabolism
R01644	rn01200	Carbon metabolism
R01647	rn00350	Tyrosine metabolism
R01648	rn00250	Alanine, aspartate and glutamate metabolism
R01648	rn00650	Butanoate metabolism
R01649	rn00750	Vitamin B6 metabolism
R01650	rn00460	Cyanoamino acid metabolism
R01652	rn00290	Valine, leucine and isoleucine biosynthesis
R01652	rn01110	Biosynthesis of secondary metabolites
R01652	rn01210	2-Oxocarboxylic acid metabolism
R01655	rn00670	One carbon pool by folate
R01655	rn00720	Carbon fixation pathways in prokaryotes
R01655	rn01200	Carbon metabolism
R01658	rn00900	Terpenoid backbone biosynthesis
R01658	rn01110	Biosynthesis of secondary metabolites
R01660	rn00500	Starch and sucrose metabolism
R01662	rn00010	Glycolysis / Gluconeogenesis
R01663	rn00240	Pyrimidine metabolism
R01664	rn00240	Pyrimidine metabolism
R01665	rn00240	Pyrimidine metabolism
R01666	rn00240	Pyrimidine metabolism
R01667	rn00240	Pyrimidine metabolism
R01668	rn00240	Pyrimidine metabolism
R01669	rn00240	Pyrimidine metabolism
R01669	rn00670	One carbon pool by folate
R01676	rn00230	Purine metabolism
R01677	rn00230	Purine metabolism
R01678	rn00052	Galactose metabolism
R01681	rn00430	Taurine and hypotaurine metabolism
R01682	rn00430	Taurine and hypotaurine metabolism
R01684	rn00430	Taurine and hypotaurine metabolism
R01685	rn00430	Taurine and hypotaurine metabolism
R01686	rn00430	Taurine and hypotaurine metabolism
R01687	rn00430	Taurine and hypotaurine metabolism
R01688	rn00650	Butanoate metabolism
R01690	rn00230	Purine metabolism
R01700	rn01110	Biosynthesis of secondary metabolites
R01704	rn00071	Fatty acid degradation
R01706	rn00061	Fatty acid biosynthesis
R01706	rn01212	Fatty acid metabolism
R01707	rn00750	Vitamin B6 metabolism
R01708	rn00750	Vitamin B6 metabolism
R01709	rn00750	Vitamin B6 metabolism
R01710	rn00750	Vitamin B6 metabolism
R01711	rn00750	Vitamin B6 metabolism
R01712	rn00750	Vitamin B6 metabolism
R01713	rn00750	Vitamin B6 metabolism
R01714	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01714	rn01110	Biosynthesis of secondary metabolites
R01714	rn01230	Biosynthesis of amino acids
R01715	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01715	rn01110	Biosynthesis of secondary metabolites
R01715	rn01230	Biosynthesis of amino acids
R01716	rn00790	Folate biosynthesis
R01717	rn00130	Ubiquinone and other terpenoid-quinone biosynthesis
R01717	rn01053	Biosynthesis of siderophore group nonribosomal peptides
R01717	rn01110	Biosynthesis of secondary metabolites
R01718	rn00500	Starch and sucrose metabolism
R01720	rn00760	Nicotinate and nicotinamide metabolism
R01721	rn00760	Nicotinate and nicotinamide metabolism
R01723	rn00760	Nicotinate and nicotinamide metabolism
R01724	rn00760	Nicotinate and nicotinamide metabolism
R01728	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01728	rn00401	Novobiocin biosynthesis
R01728	rn01110	Biosynthesis of secondary metabolites
R01728	rn01230	Biosynthesis of amino acids
R01730	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01730	rn01110	Biosynthesis of secondary metabolites
R01731	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01731	rn01230	Biosynthesis of amino acids
R01732	rn00740	Riboflavin metabolism
R01735	rn00620	Pyruvate metabolism
R01736	rn00620	Pyruvate metabolism
R01737	rn00030	Pentose phosphate pathway
R01737	rn01110	Biosynthesis of secondary metabolites
R01737	rn01200	Carbon metabolism
R01739	rn00030	Pentose phosphate pathway
R01741	rn00030	Pentose phosphate pathway
R01745	rn00630	Glyoxylate and dicarboxylate metabolism
R01747	rn00630	Glyoxylate and dicarboxylate metabolism
R01749	rn00630	Glyoxylate and dicarboxylate metabolism
R01750	rn00630	Glyoxylate and dicarboxylate metabolism
R01752	rn00561	Glycerolipid metabolism
R01754	rn00520	Amino sugar and nucleotide sugar metabolism
R01754	rn01110	Biosynthesis of secondary metabolites
R01757	rn00053	Ascorbate and aldarate metabolism
R01758	rn00040	Pentose and glucuronate interconversions
R01759	rn00040	Pentose and glucuronate interconversions
R01761	rn00040	Pentose and glucuronate interconversions
R01762	rn00520	Amino sugar and nucleotide sugar metabolism
R01762	rn01110	Biosynthesis of secondary metabolites
R01763	rn00623	Toluene degradation
R01763	rn01220	Degradation of aromatic compounds
R01764	rn00627	Aminobenzoate degradation
R01767	rn00460	Cyanoamino acid metabolism
R01767	rn01110	Biosynthesis of secondary metabolites
R01768	rn00230	Purine metabolism
R01769	rn00230	Purine metabolism
R01770	rn00230	Purine metabolism
R01771	rn00260	Glycine, serine and threonine metabolism
R01771	rn01230	Biosynthesis of amino acids
R01773	rn00260	Glycine, serine and threonine metabolism
R01773	rn00270	Cysteine and methionine metabolism
R01773	rn00300	Lysine biosynthesis
R01773	rn01110	Biosynthesis of secondary metabolites
R01773	rn01230	Biosynthesis of amino acids
R01775	rn00260	Glycine, serine and threonine metabolism
R01775	rn00270	Cysteine and methionine metabolism
R01775	rn00300	Lysine biosynthesis
R01775	rn01110	Biosynthesis of secondary metabolites
R01775	rn01230	Biosynthesis of amino acids
R01776	rn00270	Cysteine and methionine metabolism
R01777	rn00270	Cysteine and methionine metabolism
R01777	rn00920	Sulfur metabolism
R01777	rn01110	Biosynthesis of secondary metabolites
R01777	rn01230	Biosynthesis of amino acids
R01778	rn00062	Fatty acid elongation
R01779	rn00062	Fatty acid elongation
R01779	rn01110	Biosynthesis of secondary metabolites
R01781	rn00630	Glyoxylate and dicarboxylate metabolism
R01782	rn00040	Pentose and glucuronate interconversions
R01784	rn00053	Ascorbate and aldarate metabolism
R01785	rn00040	Pentose and glucuronate interconversions
R01786	rn00010	Glycolysis / Gluconeogenesis
R01786	rn00052	Galactose metabolism
R01786	rn00500	Starch and sucrose metabolism
R01786	rn00520	Amino sugar and nucleotide sugar metabolism
R01786	rn01110	Biosynthesis of secondary metabolites
R01786	rn01200	Carbon metabolism
R01787	rn00051	Fructose and mannose metabolism
R01788	rn00010	Glycolysis / Gluconeogenesis
R01788	rn00052	Galactose metabolism
R01788	rn00500	Starch and sucrose metabolism
R01790	rn00500	Starch and sucrose metabolism
R01791	rn00500	Starch and sucrose metabolism
R01793	rn00790	Folate biosynthesis
R01794	rn00790	Folate biosynthesis
R01795	rn00360	Phenylalanine metabolism
R01795	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01795	rn01230	Biosynthesis of amino acids
R01797	rn00564	Glycerophospholipid metabolism
R01799	rn00564	Glycerophospholipid metabolism
R01800	rn00260	Glycine, serine and threonine metabolism
R01800	rn00564	Glycerophospholipid metabolism
R01801	rn00564	Glycerophospholipid metabolism
R01802	rn00562	Inositol phosphate metabolism
R01802	rn00564	Glycerophospholipid metabolism
R01803	rn00520	Amino sugar and nucleotide sugar metabolism
R01803	rn01110	Biosynthesis of secondary metabolites
R01804	rn00520	Amino sugar and nucleotide sugar metabolism
R01805	rn00520	Amino sugar and nucleotide sugar metabolism
R01805	rn01110	Biosynthesis of secondary metabolites
R01811	rn00520	Amino sugar and nucleotide sugar metabolism
R01813	rn00790	Folate biosynthesis
R01814	rn00380	Tryptophan metabolism
R01815	rn00350	Tyrosine metabolism
R01816	rn00380	Tryptophan metabolism
R01818	rn00051	Fructose and mannose metabolism
R01818	rn00520	Amino sugar and nucleotide sugar metabolism
R01818	rn01110	Biosynthesis of secondary metabolites
R01819	rn00051	Fructose and mannose metabolism
R01819	rn00520	Amino sugar and nucleotide sugar metabolism
R01819	rn01110	Biosynthesis of secondary metabolites
R01823	rn00500	Starch and sucrose metabolism
R01825	rn00750	Vitamin B6 metabolism
R01826	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01826	rn01110	Biosynthesis of secondary metabolites
R01826	rn01230	Biosynthesis of amino acids
R01827	rn00030	Pentose phosphate pathway
R01827	rn01110	Biosynthesis of secondary metabolites
R01827	rn01200	Carbon metabolism
R01827	rn01230	Biosynthesis of amino acids
R01829	rn00710	Carbon fixation in photosynthetic organisms
R01829	rn01200	Carbon metabolism
R01830	rn00030	Pentose phosphate pathway
R01830	rn01110	Biosynthesis of secondary metabolites
R01830	rn01200	Carbon metabolism
R01830	rn01230	Biosynthesis of amino acids
R01833	rn00140	Steroid hormone biosynthesis
R01834	rn00984	Steroid degradation
R01835	rn00140	Steroid hormone biosynthesis
R01836	rn00140	Steroid hormone biosynthesis
R01836	rn00984	Steroid degradation
R01837	rn00140	Steroid hormone biosynthesis
R01838	rn00140	Steroid hormone biosynthesis
R01838	rn00984	Steroid degradation
R01840	rn00140	Steroid hormone biosynthesis
R01841	rn00140	Steroid hormone biosynthesis
R01842	rn00140	Steroid hormone biosynthesis
R01844	rn00710	Carbon fixation in photosynthetic organisms
R01845	rn00710	Carbon fixation in photosynthetic organisms
R01845	rn01200	Carbon metabolism
R01851	rn00920	Sulfur metabolism
R01855	rn00230	Purine metabolism
R01856	rn00230	Purine metabolism
R01857	rn00230	Purine metabolism
R01858	rn00230	Purine metabolism
R01859	rn00280	Valine, leucine and isoleucine degradation
R01859	rn00630	Glyoxylate and dicarboxylate metabolism
R01859	rn00640	Propanoate metabolism
R01859	rn00720	Carbon fixation pathways in prokaryotes
R01859	rn01200	Carbon metabolism
R01863	rn00230	Purine metabolism
R01867	rn00240	Pyrimidine metabolism
R01868	rn00240	Pyrimidine metabolism
R01869	rn00240	Pyrimidine metabolism
R01870	rn00240	Pyrimidine metabolism
R01872	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01873	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R01874	rn00270	Cysteine and methionine metabolism
R01875	rn00480	Glutathione metabolism
R01876	rn00240	Pyrimidine metabolism
R01877	rn00240	Pyrimidine metabolism
R01878	rn00240	Pyrimidine metabolism
R01880	rn00240	Pyrimidine metabolism
R01881	rn00330	Arginine and proline metabolism
R01883	rn00260	Glycine, serine and threonine metabolism
R01883	rn00330	Arginine and proline metabolism
R01884	rn00330	Arginine and proline metabolism
R01885	rn00230	Purine metabolism
R01887	rn00460	Cyanoamino acid metabolism
R01890	rn00564	Glycerophospholipid metabolism
R01891	rn00600	Sphingolipid metabolism
R01892	rn00040	Pentose and glucuronate interconversions
R01895	rn00040	Pentose and glucuronate interconversions
R01896	rn00040	Pentose and glucuronate interconversions
R01898	rn00040	Pentose and glucuronate interconversions
R01899	rn00020	Citrate cycle (TCA cycle)
R01899	rn01110	Biosynthesis of secondary metabolites
R01899	rn01210	2-Oxocarboxylic acid metabolism
R01900	rn00020	Citrate cycle (TCA cycle)
R01900	rn00630	Glyoxylate and dicarboxylate metabolism
R01900	rn00720	Carbon fixation pathways in prokaryotes
R01900	rn01110	Biosynthesis of secondary metabolites
R01900	rn01210	2-Oxocarboxylic acid metabolism
R01901	rn00040	Pentose and glucuronate interconversions
R01902	rn00040	Pentose and glucuronate interconversions
R01903	rn00040	Pentose and glucuronate interconversions
R01904	rn00040	Pentose and glucuronate interconversions
R01905	rn00040	Pentose and glucuronate interconversions
R01906	rn00040	Pentose and glucuronate interconversions
R01908	rn00630	Glyoxylate and dicarboxylate metabolism
R01909	rn00750	Vitamin B6 metabolism
R01910	rn00750	Vitamin B6 metabolism
R01911	rn00750	Vitamin B6 metabolism
R01913	rn00750	Vitamin B6 metabolism
R01914	rn00330	Arginine and proline metabolism
R01914	rn00410	beta-Alanine metabolism
R01915	rn00330	Arginine and proline metabolism
R01917	rn00480	Glutathione metabolism
R01918	rn00480	Glutathione metabolism
R01920	rn00270	Cysteine and methionine metabolism
R01920	rn00330	Arginine and proline metabolism
R01920	rn00480	Glutathione metabolism
R01923	rn00071	Fatty acid degradation
R01923	rn01212	Fatty acid metabolism
R01926	rn00600	Sphingolipid metabolism
R01928	rn00600	Sphingolipid metabolism
R01929	rn00600	Sphingolipid metabolism
R01930	rn00920	Sulfur metabolism
R01931	rn00920	Sulfur metabolism
R01933	rn00380	Tryptophan metabolism
R01934	rn00300	Lysine biosynthesis
R01934	rn01210	2-Oxocarboxylic acid metabolism
R01934	rn01230	Biosynthesis of amino acids
R01936	rn01210	2-Oxocarboxylic acid metabolism
R01937	rn00380	Tryptophan metabolism
R01938	rn00380	Tryptophan metabolism
R01939	rn00300	Lysine biosynthesis
R01939	rn00310	Lysine degradation
R01939	rn01210	2-Oxocarboxylic acid metabolism
R01939	rn01230	Biosynthesis of amino acids
R01940	rn00310	Lysine degradation
R01941	rn00940	Phenylpropanoid biosynthesis
R01941	rn01110	Biosynthesis of secondary metabolites
R01942	rn00360	Phenylalanine metabolism
R01942	rn00940	Phenylpropanoid biosynthesis
R01942	rn00941	Flavonoid biosynthesis
R01942	rn00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
R01942	rn01110	Biosynthesis of secondary metabolites
R01943	rn00940	Phenylpropanoid biosynthesis
R01943	rn01110	Biosynthesis of secondary metabolites
R01945	rn00940	Phenylpropanoid biosynthesis
R01945	rn00941	Flavonoid biosynthesis
R01945	rn00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
R01945	rn01110	Biosynthesis of secondary metabolites
R01951	rn00051	Fructose and mannose metabolism
R01951	rn00520	Amino sugar and nucleotide sugar metabolism
R01954	rn00250	Alanine, aspartate and glutamate metabolism
R01954	rn00330	Arginine and proline metabolism
R01954	rn01110	Biosynthesis of secondary metabolites
R01954	rn01230	Biosynthesis of amino acids
R01956	rn00380	Tryptophan metabolism
R01959	rn00380	Tryptophan metabolism
R01959	rn00630	Glyoxylate and dicarboxylate metabolism
R01960	rn00380	Tryptophan metabolism
R01961	rn00520	Amino sugar and nucleotide sugar metabolism
R01961	rn01110	Biosynthesis of secondary metabolites
R01966	rn00520	Amino sugar and nucleotide sugar metabolism
R01966	rn01110	Biosynthesis of secondary metabolites
R01967	rn00230	Purine metabolism
R01968	rn00230	Purine metabolism
R01969	rn00230	Purine metabolism
R01971	rn00380	Tryptophan metabolism
R01973	rn00380	Tryptophan metabolism
R01974	rn00380	Tryptophan metabolism
R01975	rn00071	Fatty acid degradation
R01975	rn00310	Lysine degradation
R01975	rn00380	Tryptophan metabolism
R01975	rn00650	Butanoate metabolism
R01975	rn00720	Carbon fixation pathways in prokaryotes
R01975	rn01200	Carbon metabolism
R01975	rn01212	Fatty acid metabolism
R01976	rn00362	Benzoate degradation
R01976	rn00650	Butanoate metabolism
R01976	rn01200	Carbon metabolism
R01977	rn00630	Glyoxylate and dicarboxylate metabolism
R01977	rn00650	Butanoate metabolism
R01978	rn00072	Synthesis and degradation of ketone bodies
R01978	rn00280	Valine, leucine and isoleucine degradation
R01978	rn00650	Butanoate metabolism
R01978	rn00900	Terpenoid backbone biosynthesis
R01978	rn01110	Biosynthesis of secondary metabolites
R01980	rn00520	Amino sugar and nucleotide sugar metabolism
R01982	rn00040	Pentose and glucuronate interconversions
R01982	rn00500	Starch and sucrose metabolism
R01983	rn00040	Pentose and glucuronate interconversions
R01986	rn00330	Arginine and proline metabolism
R01987	rn00330	Arginine and proline metabolism
R01989	rn00330	Arginine and proline metabolism
R01990	rn00330	Arginine and proline metabolism
R01991	rn00330	Arginine and proline metabolism
R01992	rn00330	Arginine and proline metabolism
R01993	rn00240	Pyrimidine metabolism
R01994	rn00540	Lipopolysaccharide biosynthesis
R01996	rn00540	Lipopolysaccharide biosynthesis
R01997	rn00540	Lipopolysaccharide biosynthesis
R01999	rn00073	Cutin, suberine and wax biosynthesis
R02000	rn00071	Fatty acid degradation
R02002	rn00071	Fatty acid degradation
R02003	rn00900	Terpenoid backbone biosynthesis
R02003	rn01110	Biosynthesis of secondary metabolites
R02004	rn00902	Monoterpenoid biosynthesis
R02004	rn01110	Biosynthesis of secondary metabolites
R02006	rn00902	Monoterpenoid biosynthesis
R02006	rn01110	Biosynthesis of secondary metabolites
R02007	rn00902	Monoterpenoid biosynthesis
R02007	rn01110	Biosynthesis of secondary metabolites
R02008	rn00902	Monoterpenoid biosynthesis
R02008	rn01110	Biosynthesis of secondary metabolites
R02009	rn00902	Monoterpenoid biosynthesis
R02009	rn01110	Biosynthesis of secondary metabolites
R02011	rn00902	Monoterpenoid biosynthesis
R02011	rn01110	Biosynthesis of secondary metabolites
R02013	rn00902	Monoterpenoid biosynthesis
R02013	rn01110	Biosynthesis of secondary metabolites
R02014	rn00230	Purine metabolism
R02016	rn00240	Pyrimidine metabolism
R02017	rn00230	Purine metabolism
R02018	rn00240	Pyrimidine metabolism
R02019	rn00230	Purine metabolism
R02020	rn00230	Purine metabolism
R02021	rn00920	Sulfur metabolism
R02022	rn00240	Pyrimidine metabolism
R02023	rn00240	Pyrimidine metabolism
R02024	rn00240	Pyrimidine metabolism
R02025	rn00270	Cysteine and methionine metabolism
R02026	rn00270	Cysteine and methionine metabolism
R02027	rn00564	Glycerophospholipid metabolism
R02029	rn00564	Glycerophospholipid metabolism
R02030	rn00564	Glycerophospholipid metabolism
R02032	rn00030	Pentose phosphate pathway
R02034	rn00030	Pentose phosphate pathway
R02034	rn00480	Glutathione metabolism
R02035	rn00030	Pentose phosphate pathway
R02035	rn01110	Biosynthesis of secondary metabolites
R02035	rn01200	Carbon metabolism
R02036	rn00030	Pentose phosphate pathway
R02036	rn01200	Carbon metabolism
R02037	rn00564	Glycerophospholipid metabolism
R02038	rn00564	Glycerophospholipid metabolism
R02042	rn00073	Cutin, suberine and wax biosynthesis
R02051	rn00564	Glycerophospholipid metabolism
R02052	rn00564	Glycerophospholipid metabolism
R02053	rn00564	Glycerophospholipid metabolism
