ModelSEED ID	External ID	External Name
R00341	rn00620	Pyruvate metabolism
R00341	rn00710	Carbon fixation in photosynthetic organisms
R00341	rn01110	Biosynthesis of secondary metabolites
R00341	rn01200	Carbon metabolism
R00342	rn00020	Citrate cycle (TCA cycle)
R00342	rn00620	Pyruvate metabolism
R00342	rn00630	Glyoxylate and dicarboxylate metabolism
R00342	rn00680	Methane metabolism
R00342	rn00710	Carbon fixation in photosynthetic organisms
R00342	rn00720	Carbon fixation pathways in prokaryotes
R00342	rn01110	Biosynthesis of secondary metabolites
R00342	rn01200	Carbon metabolism
R00343	rn00620	Pyruvate metabolism
R00343	rn00710	Carbon fixation in photosynthetic organisms
R00343	rn01200	Carbon metabolism
R00344	rn00020	Citrate cycle (TCA cycle)
R00344	rn00620	Pyruvate metabolism
R00344	rn00720	Carbon fixation pathways in prokaryotes
R00344	rn01200	Carbon metabolism
R00344	rn01230	Biosynthesis of amino acids
R00345	rn00620	Pyruvate metabolism
R00345	rn00680	Methane metabolism
R00345	rn00710	Carbon fixation in photosynthetic organisms
R00345	rn00720	Carbon fixation pathways in prokaryotes
R00345	rn01200	Carbon metabolism
R00346	rn00620	Pyruvate metabolism
R00348	rn00250	Alanine, aspartate and glutamate metabolism
R00350	rn00362	Benzoate degradation
R00351	rn00020	Citrate cycle (TCA cycle)
R00351	rn00630	Glyoxylate and dicarboxylate metabolism
R00351	rn01110	Biosynthesis of secondary metabolites
R00351	rn01200	Carbon metabolism
R00351	rn01210	2-Oxocarboxylic acid metabolism
R00351	rn01230	Biosynthesis of amino acids
R00352	rn00020	Citrate cycle (TCA cycle)
R00352	rn00720	Carbon fixation pathways in prokaryotes
R00352	rn01110	Biosynthesis of secondary metabolites
R00352	rn01200	Carbon metabolism
R00353	rn00640	Propanoate metabolism
R00354	rn00720	Carbon fixation pathways in prokaryotes
R00354	rn01200	Carbon metabolism
R00355	rn00250	Alanine, aspartate and glutamate metabolism
R00355	rn00710	Carbon fixation in photosynthetic organisms
R00355	rn01110	Biosynthesis of secondary metabolites
R00355	rn01200	Carbon metabolism
R00355	rn01210	2-Oxocarboxylic acid metabolism
R00355	rn01230	Biosynthesis of amino acids
R00357	rn00250	Alanine, aspartate and glutamate metabolism
R00359	rn00250	Alanine, aspartate and glutamate metabolism
R00361	rn00020	Citrate cycle (TCA cycle)
R00361	rn01110	Biosynthesis of secondary metabolites
R00361	rn01200	Carbon metabolism
R00364	rn00260	Glycine, serine and threonine metabolism
R00366	rn00260	Glycine, serine and threonine metabolism
R00367	rn00260	Glycine, serine and threonine metabolism
R00369	rn00250	Alanine, aspartate and glutamate metabolism
R00371	rn00260	Glycine, serine and threonine metabolism
R00372	rn00260	Glycine, serine and threonine metabolism
R00372	rn00630	Glyoxylate and dicarboxylate metabolism
R00372	rn01110	Biosynthesis of secondary metabolites
R00375	rn00230	Purine metabolism
R00376	rn00230	Purine metabolism
R00377	rn00240	Pyrimidine metabolism
R00378	rn00240	Pyrimidine metabolism
R00385	rn00062	Fatty acid elongation
R00391	rn00062	Fatty acid elongation
R00396	rn00250	Alanine, aspartate and glutamate metabolism
R00396	rn00430	Taurine and hypotaurine metabolism
R00397	rn00250	Alanine, aspartate and glutamate metabolism
R00397	rn01230	Biosynthesis of amino acids
R00400	rn00250	Alanine, aspartate and glutamate metabolism
R00401	rn00473	D-Alanine metabolism
R00405	rn00020	Citrate cycle (TCA cycle)
R00405	rn00640	Propanoate metabolism
R00405	rn00720	Carbon fixation pathways in prokaryotes
R00405	rn01110	Biosynthesis of secondary metabolites
R00405	rn01200	Carbon metabolism
R00406	rn00720	Carbon fixation pathways in prokaryotes
R00406	rn01200	Carbon metabolism
R00408	rn00720	Carbon fixation pathways in prokaryotes
R00408	rn01200	Carbon metabolism
R00409	rn00640	Propanoate metabolism
R00410	rn00072	Synthesis and degradation of ketone bodies
R00410	rn00280	Valine, leucine and isoleucine degradation
R00410	rn00650	Butanoate metabolism
R00411	rn00330	Arginine and proline metabolism
R00412	rn01200	Carbon metabolism
R00414	rn00520	Amino sugar and nucleotide sugar metabolism
R00414	rn01110	Biosynthesis of secondary metabolites
R00416	rn00520	Amino sugar and nucleotide sugar metabolism
R00416	rn01110	Biosynthesis of secondary metabolites
R00418	rn00520	Amino sugar and nucleotide sugar metabolism
R00420	rn00520	Amino sugar and nucleotide sugar metabolism
R00421	rn00520	Amino sugar and nucleotide sugar metabolism
R00425	rn00740	Riboflavin metabolism
R00426	rn00230	Purine metabolism
R00428	rn00790	Folate biosynthesis
R00429	rn00230	Purine metabolism
R00430	rn00230	Purine metabolism
R00431	rn00010	Glycolysis / Gluconeogenesis
R00431	rn00020	Citrate cycle (TCA cycle)
