# Per-compound protonation provenance for the shipped cache.
# shipped_provenance: chemaxon = the ladder descends from ChemAxon cxcalc,
#   whether via a carried-over row from the pinned release or via the gated
#   cache/marvin tiers. open = MolGpKa, IUPAC or Alberty.
# cache_row=carried_over means the builder reused the pinned release's row
#   wholesale and the pKa cascade never ran for that compound.
# totals: {'chemaxon': 24008, 'unresolved': 4984}
# by effective source: {'carried_over': 4351, 'marvin': 19657, 'none': 1, 'unresolved': 4983}
seed_id	cache_id	cache_row	pka_cascade_source	effective_source	shipped_provenance	n_pkas
cpd00136	156	carried_over	marvin	carried_over	chemaxon	2
cpd00137	123	carried_over	marvin	carried_over	chemaxon	4
cpd00138	172	carried_over	marvin	carried_over	chemaxon	5
cpd00139	210	carried_over	marvin	carried_over	chemaxon	2
cpd00141	337	carried_over	marvin	carried_over	chemaxon	1
cpd00142	146	carried_over	marvin	carried_over	chemaxon	2
cpd00143	557745	carried_over	marvin	carried_over	chemaxon	2
cpd00144	82	carried_over	marvin	carried_over	chemaxon	7
cpd00145	371	carried_over	marvin	carried_over	chemaxon	2
cpd00146	130	carried_over	marvin	carried_over	chemaxon	4
cpd00147	142	carried_over	marvin	carried_over	chemaxon	4
cpd00149	74608	carried_over	none	carried_over	chemaxon	0
cpd00150	241	carried_over	marvin	carried_over	chemaxon	1
cpd00151	694346	built	marvin	marvin	chemaxon	3
cpd00152	694347	built	marvin	marvin	chemaxon	3
cpd00153	205	carried_over	marvin	carried_over	chemaxon	1
cpd00154	694348	built	marvin	marvin	chemaxon	4
cpd00155	694349	built	marvin	marvin	chemaxon	8
cpd00156	188	carried_over	marvin	carried_over	chemaxon	2
cpd00157	438	carried_over	marvin	carried_over	chemaxon	2
cpd00158	694350	built	marvin	marvin	chemaxon	8
cpd00159	169	carried_over	marvin	carried_over	chemaxon	2
cpd00160	97	carried_over	marvin	carried_over	chemaxon	1
cpd00161	134	carried_over	marvin	carried_over	chemaxon	3
cpd00162	206	carried_over	marvin	carried_over	chemaxon	2
cpd00163	270	carried_over	marvin	carried_over	chemaxon	8
cpd00164	228	carried_over	marvin	carried_over	chemaxon	5
cpd00165	412	carried_over	marvin	carried_over	chemaxon	2
cpd00168	694351	built	marvin	marvin	chemaxon	3
cpd00169	118	carried_over	marvin	carried_over	chemaxon	4
cpd00170	321	carried_over	marvin	carried_over	chemaxon	4
cpd00171	137	carried_over	marvin	carried_over	chemaxon	5
cpd00172	694352	built	marvin	marvin	chemaxon	1
cpd00174	3956	carried_over	unresolved	carried_over	chemaxon	
cpd00175	131777	carried_over	marvin	carried_over	chemaxon	8
cpd00176	419	carried_over	marvin	carried_over	chemaxon	4
cpd00177	354	carried_over	marvin	carried_over	chemaxon	6
cpd00178	377	carried_over	unresolved	carried_over	chemaxon	
cpd00179	157	carried_over	marvin	carried_over	chemaxon	8
cpd00180	277	carried_over	marvin	carried_over	chemaxon	2
cpd00182	200	carried_over	marvin	carried_over	chemaxon	5
cpd00183	694353	built	marvin	marvin	chemaxon	2
cpd00184	399	carried_over	marvin	carried_over	chemaxon	4
cpd00185	516	carried_over	marvin	carried_over	chemaxon	4
cpd00186	313	carried_over	marvin	carried_over	chemaxon	3
cpd00187	242	carried_over	marvin	carried_over	chemaxon	1
cpd00188	127	carried_over	marvin	carried_over	chemaxon	1
cpd00189	127833	carried_over	marvin	carried_over	chemaxon	3
cpd00190	694354	built	marvin	marvin	chemaxon	5
cpd00191	231	carried_over	marvin	carried_over	chemaxon	1
cpd00192	694355	built	marvin	marvin	chemaxon	8
cpd00193	273	carried_over	marvin	carried_over	chemaxon	5
cpd00194	128996	carried_over	unresolved	carried_over	chemaxon	
cpd00196	266	carried_over	marvin	carried_over	chemaxon	2
cpd00197	694356	built	marvin	marvin	chemaxon	3
cpd00198	176	carried_over	marvin	carried_over	chemaxon	5
cpd00199	163	carried_over	marvin	carried_over	chemaxon	1
cpd00200	383	carried_over	marvin	carried_over	chemaxon	1
cpd00201	224	carried_over	marvin	carried_over	chemaxon	5
cpd00202	124	carried_over	marvin	carried_over	chemaxon	3
cpd00203	248	carried_over	marvin	carried_over	chemaxon	5
cpd00204	52144	carried_over	marvin	carried_over	chemaxon	1
cpd00205	90	carried_over	none	carried_over	chemaxon	0
cpd00206	253	carried_over	marvin	carried_over	chemaxon	5
cpd00207	246	carried_over	marvin	carried_over	chemaxon	4
cpd00208	343	carried_over	marvin	carried_over	chemaxon	8
cpd00209	195	carried_over	marvin	carried_over	chemaxon	1
cpd00210	694357	built	marvin	marvin	chemaxon	2
cpd00211	437	carried_over	marvin	carried_over	chemaxon	1
cpd00212	694358	built	marvin	marvin	chemaxon	5
cpd00213	947	carried_over	marvin	carried_over	chemaxon	2
cpd00214	102	carried_over	marvin	carried_over	chemaxon	1
cpd00215	294	carried_over	marvin	carried_over	chemaxon	3
cpd00216	319	carried_over	marvin	carried_over	chemaxon	3
cpd00217	44860	carried_over	marvin	carried_over	chemaxon	8
cpd00218	260	carried_over	marvin	carried_over	chemaxon	2
cpd00219	479	carried_over	marvin	carried_over	chemaxon	2
cpd00220	694359	built	marvin	marvin	chemaxon	5
cpd00221	271	carried_over	marvin	carried_over	chemaxon	2
cpd00222	323	carried_over	marvin	carried_over	chemaxon	6
cpd00223	179	carried_over	marvin	carried_over	chemaxon	3
cpd00224	439	carried_over	marvin	carried_over	chemaxon	4
cpd00225	351	carried_over	unresolved	carried_over	chemaxon	
cpd00226	201	carried_over	marvin	carried_over	chemaxon	4
cpd00227	334	carried_over	marvin	carried_over	chemaxon	3
cpd00228	694360	built	marvin	marvin	chemaxon	4
cpd00229	330	carried_over	marvin	carried_over	chemaxon	1
cpd00231	694361	built	marvin	marvin	chemaxon	4
cpd00232	214	carried_over	marvin	carried_over	chemaxon	8
cpd00233	694362	built	marvin	marvin	chemaxon	4
cpd00234	799	carried_over	marvin	carried_over	chemaxon	4
cpd00235	694363	built	marvin	marvin	chemaxon	6
cpd00236	245	carried_over	marvin	carried_over	chemaxon	4
cpd00237	226	carried_over	unresolved	carried_over	chemaxon	
cpd00238	258	carried_over	marvin	carried_over	chemaxon	7
cpd00239	74380	carried_over	unresolved	carried_over	chemaxon	
cpd00240	694364	built	marvin	marvin	chemaxon	6
cpd00241	694365	built	marvin	marvin	chemaxon	7
cpd00242	60	carried_over	marvin	carried_over	chemaxon	2
cpd00244	3186	carried_over	none	carried_over	chemaxon	0
cpd00245	694366	built	marvin	marvin	chemaxon	1
cpd00246	316	carried_over	marvin	carried_over	chemaxon	6
cpd00247	694367	built	marvin	marvin	chemaxon	4
cpd00248	65990	carried_over	marvin	carried_over	chemaxon	5
cpd00249	274	carried_over	marvin	carried_over	chemaxon	5
cpd00250	379	carried_over	marvin	carried_over	chemaxon	2
cpd00251	36269	carried_over	marvin	carried_over	chemaxon	7
cpd00253	694368	built	marvin	marvin	chemaxon	4
cpd00254	621	carried_over	none	carried_over	chemaxon	0
cpd00255	694369	built	marvin	marvin	chemaxon	8
cpd00256	269	carried_over	marvin	carried_over	chemaxon	6
cpd00257	694370	built	marvin	marvin	chemaxon	3
cpd00258	694371	built	marvin	marvin	chemaxon	4
cpd00259	694372	built	marvin	marvin	chemaxon	4
cpd00260	74392	carried_over	marvin	carried_over	chemaxon	4
cpd00261	694373	built	marvin	marvin	chemaxon	4
cpd00262	588	carried_over	marvin	carried_over	chemaxon	8
cpd00263	398	carried_over	marvin	carried_over	chemaxon	4
cpd00264	694374	built	marvin	marvin	chemaxon	3
cpd00265	2473	carried_over	marvin	carried_over	chemaxon	8
cpd00266	164	carried_over	marvin	carried_over	chemaxon	2
cpd00267	694375	built	marvin	marvin	chemaxon	3
cpd00268	694376	built	marvin	marvin	chemaxon	2
cpd00269	250	carried_over	marvin	carried_over	chemaxon	2
cpd00270	694377	built	marvin	marvin	chemaxon	8
cpd00271	126095	carried_over	unresolved	carried_over	chemaxon	
cpd00272	694378	built	marvin	marvin	chemaxon	7
cpd00274	199	carried_over	marvin	carried_over	chemaxon	4
cpd00275	694379	built	marvin	marvin	chemaxon	3
cpd00276	694380	built	marvin	marvin	chemaxon	5
cpd00277	694381	built	marvin	marvin	chemaxon	5
cpd00278	297	carried_over	marvin	carried_over	chemaxon	2
cpd00279	125	carried_over	marvin	carried_over	chemaxon	8
cpd00280	36159	carried_over	marvin	carried_over	chemaxon	5
cpd00281	181	carried_over	marvin	carried_over	chemaxon	2
cpd00282	239	carried_over	marvin	carried_over	chemaxon	4
cpd00283	694382	built	marvin	marvin	chemaxon	3
cpd00284	307	carried_over	marvin	carried_over	chemaxon	7
cpd00285	177	carried_over	marvin	carried_over	chemaxon	3
cpd00286	694383	built	marvin	marvin	chemaxon	2
cpd00287	289	carried_over	marvin	carried_over	chemaxon	1
cpd00288	350	carried_over	marvin	carried_over	chemaxon	6
cpd00289	694384	built	marvin	marvin	chemaxon	3
cpd00290	396	carried_over	marvin	carried_over	chemaxon	7
cpd00291	694385	built	marvin	marvin	chemaxon	4
cpd00292	694386	built	marvin	marvin	chemaxon	8
cpd00293	49832	carried_over	marvin	carried_over	chemaxon	7
cpd00294	411	carried_over	marvin	carried_over	chemaxon	5
cpd00295	415	carried_over	marvin	carried_over	chemaxon	7
cpd00296	518	carried_over	marvin	carried_over	chemaxon	6
cpd00297	144	carried_over	marvin	carried_over	chemaxon	6
cpd00298	244	carried_over	marvin	carried_over	chemaxon	5
cpd00299	221	carried_over	marvin	carried_over	chemaxon	5
cpd00300	420	carried_over	marvin	carried_over	chemaxon	4
cpd00301	694387	built	marvin	marvin	chemaxon	1
cpd00302	694388	built	marvin	marvin	chemaxon	3
cpd00303	694389	built	marvin	marvin	chemaxon	8
cpd00304	404	carried_over	unresolved	carried_over	chemaxon	
cpd00305	694390	built	marvin	marvin	chemaxon	4
cpd00306	486	carried_over	marvin	carried_over	chemaxon	4
cpd00307	694391	built	marvin	marvin	chemaxon	3
cpd00308	694392	built	marvin	marvin	chemaxon	2
cpd00309	165	carried_over	marvin	carried_over	chemaxon	4
cpd00310	694393	built	marvin	marvin	chemaxon	6
cpd00311	380	carried_over	marvin	carried_over	chemaxon	6
cpd00312	694394	built	marvin	marvin	chemaxon	3
cpd00313	694395	built	marvin	marvin	chemaxon	5
cpd00314	585	carried_over	marvin	carried_over	chemaxon	5
cpd00315	74447	carried_over	marvin	carried_over	chemaxon	7
cpd00316	694396	built	marvin	marvin	chemaxon	1
cpd00317	694397	built	marvin	marvin	chemaxon	8
cpd00318	694398	built	marvin	marvin	chemaxon	1
cpd00319	694399	built	marvin	marvin	chemaxon	1
cpd00320	694400	built	marvin	marvin	chemaxon	3
cpd00321	694401	built	marvin	marvin	chemaxon	8
cpd00322	218	carried_over	marvin	carried_over	chemaxon	2
cpd00323	649	carried_over	marvin	carried_over	chemaxon	2
cpd00324	694402	built	marvin	marvin	chemaxon	1
cpd00325	694403	built	unresolved	unresolved	unresolved	
cpd00326	694404	built	marvin	marvin	chemaxon	8
cpd00327	694405	built	marvin	marvin	chemaxon	8
cpd00328	694406	built	marvin	marvin	chemaxon	4
cpd00329	784	carried_over	unresolved	carried_over	chemaxon	
cpd00330	267	carried_over	marvin	carried_over	chemaxon	5
cpd00331	764	carried_over	marvin	carried_over	chemaxon	3
cpd00332	694407	built	marvin	marvin	chemaxon	2
cpd00333	417	carried_over	marvin	carried_over	chemaxon	1
cpd00334	2118	carried_over	marvin	carried_over	chemaxon	1
cpd00335	694408	built	marvin	marvin	chemaxon	3
cpd00336	694409	built	marvin	marvin	chemaxon	2
cpd00337	482	carried_over	marvin	carried_over	chemaxon	3
cpd00338	694410	built	marvin	marvin	chemaxon	2
cpd00339	694411	built	marvin	marvin	chemaxon	2
cpd00340	694412	built	marvin	marvin	chemaxon	2
cpd00341	694413	built	marvin	marvin	chemaxon	3
cpd00342	767	carried_over	marvin	carried_over	chemaxon	4
cpd00343	443	carried_over	marvin	carried_over	chemaxon	4
cpd00344	74448	carried_over	marvin	carried_over	chemaxon	3
cpd00345	300	carried_over	marvin	carried_over	chemaxon	5
cpd00346	342	carried_over	marvin	carried_over	chemaxon	2
cpd00347	487	carried_over	marvin	carried_over	chemaxon	5
cpd00348	318	carried_over	marvin	carried_over	chemaxon	6
cpd00349	694414	built	marvin	marvin	chemaxon	8
cpd00350	694415	built	marvin	marvin	chemaxon	3
cpd00351	364	carried_over	marvin	carried_over	chemaxon	5
cpd00352	694416	built	marvin	marvin	chemaxon	2
cpd00353	694417	built	marvin	marvin	chemaxon	4
cpd00355	336	carried_over	marvin	carried_over	chemaxon	6
cpd00356	694418	built	marvin	marvin	chemaxon	7
cpd00357	373	carried_over	marvin	carried_over	chemaxon	7
cpd00358	694419	built	marvin	marvin	chemaxon	7
cpd00359	357	carried_over	unresolved	carried_over	chemaxon	
cpd00360	694420	built	marvin	marvin	chemaxon	3
cpd00361	694421	built	marvin	marvin	chemaxon	1
cpd00362	309	carried_over	marvin	carried_over	chemaxon	1
cpd00363	287	carried_over	unresolved	carried_over	chemaxon	
cpd00364	694422	built	unresolved	unresolved	unresolved	
cpd00365	131778	carried_over	unresolved	carried_over	chemaxon	
cpd00366	66384	carried_over	marvin	carried_over	chemaxon	4
cpd00367	320	carried_over	marvin	carried_over	chemaxon	5
cpd00368	10929	carried_over	marvin	carried_over	chemaxon	4
cpd00369	694423	built	marvin	marvin	chemaxon	5
cpd00370	694424	built	marvin	marvin	chemaxon	4
cpd00371	771	carried_over	unresolved	carried_over	chemaxon	
cpd00372	2020	carried_over	marvin	carried_over	chemaxon	2
cpd00373	1035	carried_over	marvin	carried_over	chemaxon	2
cpd00374	694425	built	marvin	marvin	chemaxon	2
cpd00376	694426	built	marvin	marvin	chemaxon	6
cpd00378	694427	built	marvin	marvin	chemaxon	2
cpd00379	694428	built	marvin	marvin	chemaxon	2
cpd00380	694429	built	marvin	marvin	chemaxon	2
cpd00381	859	carried_over	marvin	carried_over	chemaxon	4
cpd00382	590	carried_over	marvin	carried_over	chemaxon	8
cpd00383	572	carried_over	marvin	carried_over	chemaxon	4
cpd00384	694430	built	marvin	marvin	chemaxon	8
cpd00385	694431	built	marvin	marvin	chemaxon	3
cpd00386	1450	carried_over	marvin	carried_over	chemaxon	3
cpd00387	532	carried_over	marvin	carried_over	chemaxon	7
cpd00388	554	carried_over	marvin	carried_over	chemaxon	5
cpd00389	694432	built	marvin	marvin	chemaxon	7
cpd00390	33905	carried_over	marvin	carried_over	chemaxon	8
cpd00391	694433	built	marvin	marvin	chemaxon	5
cpd00392	694434	built	marvin	marvin	chemaxon	3
cpd00393	587	carried_over	marvin	carried_over	chemaxon	5
cpd00395	694435	built	marvin	marvin	chemaxon	3
cpd00396	1065	carried_over	marvin	carried_over	chemaxon	4
cpd00397	694436	built	marvin	marvin	chemaxon	4
cpd00398	694437	built	marvin	marvin	chemaxon	3
cpd00399	694438	built	marvin	marvin	chemaxon	8
cpd00400	694439	built	marvin	marvin	chemaxon	1
cpd00401	694440	built	marvin	marvin	chemaxon	8
cpd00402	694441	built	marvin	marvin	chemaxon	8
cpd00403	694442	built	marvin	marvin	chemaxon	6
cpd00404	1062	carried_over	marvin	carried_over	chemaxon	3
cpd00405	694443	built	unresolved	unresolved	unresolved	
cpd00406	694444	built	marvin	marvin	chemaxon	2
cpd00407	694445	built	unresolved	unresolved	unresolved	
cpd00408	563	carried_over	marvin	carried_over	chemaxon	3
cpd00409	694446	built	marvin	marvin	chemaxon	1
cpd00411	694447	built	marvin	marvin	chemaxon	2
cpd00412	694448	built	marvin	marvin	chemaxon	4
cpd00413	694449	built	marvin	marvin	chemaxon	8
cpd00414	694450	built	marvin	marvin	chemaxon	8
cpd00415	694451	built	marvin	marvin	chemaxon	2
cpd00416	694452	built	marvin	marvin	chemaxon	8
cpd00417	694453	built	marvin	marvin	chemaxon	4
cpd00418	215	carried_over	unresolved	carried_over	chemaxon	
cpd00419	520	carried_over	marvin	carried_over	chemaxon	4
cpd00420	280	carried_over	marvin	carried_over	chemaxon	1
cpd00421	75056	carried_over	marvin	carried_over	chemaxon	5
cpd00422	694454	built	marvin	marvin	chemaxon	8
cpd00424	694455	built	marvin	marvin	chemaxon	4
cpd00425	748	carried_over	marvin	carried_over	chemaxon	1
cpd00426	694456	built	marvin	marvin	chemaxon	3
cpd00427	694457	built	marvin	marvin	chemaxon	5
cpd00428	293	carried_over	unresolved	carried_over	chemaxon	
cpd00429	694458	built	marvin	marvin	chemaxon	4
cpd00430	694459	built	unresolved	unresolved	unresolved	
cpd00432	954	carried_over	marvin	carried_over	chemaxon	4
cpd00433	694460	built	marvin	marvin	chemaxon	1
cpd00434	694461	built	marvin	marvin	chemaxon	1
cpd00435	533	carried_over	marvin	carried_over	chemaxon	1
cpd00436	694462	built	unresolved	unresolved	unresolved	
cpd00437	1292	carried_over	marvin	carried_over	chemaxon	5
cpd00438	594	carried_over	marvin	carried_over	chemaxon	4
cpd00439	694463	built	marvin	marvin	chemaxon	1
cpd00440	694464	built	marvin	marvin	chemaxon	6
cpd00441	333	carried_over	marvin	carried_over	chemaxon	1
cpd00442	694465	built	marvin	marvin	chemaxon	8
cpd00443	694466	built	marvin	marvin	chemaxon	2
cpd00444	428	carried_over	marvin	carried_over	chemaxon	7
cpd00445	694467	built	marvin	marvin	chemaxon	1
cpd00446	230	carried_over	marvin	carried_over	chemaxon	4
cpd00447	694468	built	unresolved	unresolved	unresolved	
cpd00448	414	carried_over	marvin	carried_over	chemaxon	2
cpd00449	1174	carried_over	marvin	carried_over	chemaxon	4
cpd00450	423	carried_over	unresolved	carried_over	chemaxon	
cpd00451	557	carried_over	marvin	carried_over	chemaxon	2
cpd00452	694469	built	marvin	marvin	chemaxon	8
cpd00453	1033	carried_over	marvin	carried_over	chemaxon	1
cpd00454	628	carried_over	marvin	carried_over	chemaxon	3
cpd00455	694470	built	marvin	marvin	chemaxon	4
cpd00456	694471	built	marvin	marvin	chemaxon	2
cpd00457	216	carried_over	marvin	carried_over	chemaxon	2
cpd00458	819	carried_over	marvin	carried_over	chemaxon	2
cpd00460	694472	built	marvin	marvin	chemaxon	1
cpd00461	694473	built	marvin	marvin	chemaxon	2
cpd00463	901	carried_over	unresolved	carried_over	chemaxon	
cpd00464	694474	built	marvin	marvin	chemaxon	1
cpd00465	467	carried_over	marvin	carried_over	chemaxon	4
cpd00466	694475	built	marvin	marvin	chemaxon	2
cpd00467	694476	built	marvin	marvin	chemaxon	3
cpd00469	694477	built	marvin	marvin	chemaxon	7
cpd00470	694478	built	marvin	marvin	chemaxon	4
cpd00471	694479	built	marvin	marvin	chemaxon	4
cpd00472	1011	carried_over	marvin	carried_over	chemaxon	7
cpd00473	694480	built	marvin	marvin	chemaxon	5
cpd00474	694481	built	unresolved	unresolved	unresolved	
cpd00475	281	carried_over	marvin	carried_over	chemaxon	5
cpd00477	689	carried_over	marvin	carried_over	chemaxon	4
cpd00478	694482	built	marvin	marvin	chemaxon	5
cpd00479	694483	built	marvin	marvin	chemaxon	3
cpd00480	552	carried_over	marvin	carried_over	chemaxon	5
cpd00481	694484	built	marvin	marvin	chemaxon	8
cpd00482	261	carried_over	marvin	carried_over	chemaxon	4
cpd00483	694485	built	marvin	marvin	chemaxon	3
cpd00484	694486	built	marvin	marvin	chemaxon	1
cpd00485	694487	built	marvin	marvin	chemaxon	6
cpd00486	694488	built	marvin	marvin	chemaxon	1
cpd00488	694489	built	marvin	marvin	chemaxon	4
cpd00489	694490	built	marvin	marvin	chemaxon	2
cpd00490	694491	built	marvin	marvin	chemaxon	3
cpd00491	372	carried_over	marvin	carried_over	chemaxon	7
cpd00492	694492	built	marvin	marvin	chemaxon	6
