seed_id	name	n_reactions	verdict	safe	ours_p	zenodo_p
cpd31137	Delphinidin 3-O-beta-D-sambubi	2	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd29012	cyanidin 3-O-[2-O-(2-O-(sinapo	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd25733	1,3,4,6,8,15-Hexahydroxy-10,13	2	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd25587	4-hydroxy-2-keto-5-methyl-6-ox	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd24811	phosphate-ester-of-dihydrofura	2	UNSAFE: fixed-H layer differs	0	p-3	p-3
cpd24732	delphinidin 3-rhamnoglucoside	2	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd24618	2,4,6-trioxoheptanoate	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd16448	(13Z,16Z)-Docosadi-13,16-enoyl	2	UNSAFE: fixed-H layer differs	0	p-4	p-4
cpd15029	Delphinidin 3-glucoside 5-caff	2	UNSAFE: fixed-H layer differs	0	p0	p0
cpd15023	Delphinidin 3-O-sophoroside	2	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd15013	Pelargonidin 3-O-(6-caffeoyl-b	2	UNSAFE: fixed-H layer differs	0	p0	p0
cpd14873	Blue pigment	2	UNSAFE: fixed-H layer differs	0	p0	p-2
cpd11258	3',5'-Dihydroxyflavanone	2	UNSAFE: fixed-H layer differs	0	p0	p0
cpd09273	Pelargonidin 3-O-(6-O-malonyl-	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd09272	Monodemalonylsalvianin	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd09119	Tetracenomycin F2	2	UNSAFE: fixed-H layer differs	0	p-1	p-2
cpd05041	2-Hydroxy-6-oxo-(2'-aminopheny	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd04770	Hypericin	2	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd02334	S-(5-Hydroxy-2-furoyl)-CoA	2	UNSAFE: fixed-H layer differs	0	p-4	p-5
cpd46752	(8Z,11Z,14Z,17Z,20Z)-3-oxohexa	1	UNSAFE: fixed-H layer differs	0	p-4	p-4
cpd38173	(13Z)-docosenamide	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd35989	pelargonidin 3-O-[2"-O-xylosyl	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd35975	5-hydroxy-desmethylanthrotaini	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd35966	6-[3-hydroxy-2-(3,5,7-trioxono	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd35940	pelargonidin 3-sambubioside-5-	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd35432	hydrodidemethylasterriquinone 	1	UNSAFE: fixed-H layer differs	0	p0	p-2
cpd35303	curcumin 4'-O-beta-D-gentiotet	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd34989	previridicatumtoxin	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd34832	1-(2-aminophenyl)decane-1,3-di	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd34295	delphinidin 3-O-(6"-O-malyl-be	1	UNSAFE: fixed-H layer differs	0	p-1	p-2
cpd34016	3-[(2Z,4Z)-5-carbamoyl-3-(dime	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd33327	delphinidin 3-O-[2"-O-(xylosyl	1	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd32475	(2Z)-4-{9,10-dihydroxy-5-methy	1	UNSAFE: fixed-H layer differs	0	p0	p+1
cpd31896	cyanidin 3-O-[6-O-(4-O-beta-D-	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd31854	sarcinaxanthin di-beta-D-gluco	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd31580	3,5,7,9,11,13,15,17,19-nonaoxo	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd31483	cyanidin 3-sambubioside 5-gluc	1	UNSAFE: fixed-H layer differs	0	p0	p+1
cpd31140	Delphinidin 5-O-beta-D-glucosi	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd31139	Cyanidin 5-O-beta-D-glucoside 	1	UNSAFE: fixed-H layer differs	0	p0	p+1
cpd31138	Pelargonidin 5-O-beta-D-glucos	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd31114	Cyanidin 3-O-[6-O-(6-O-4-hydro	1	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd26759	Cyanidin-rutinoside-glucosides	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd25205	1-(9Z,12Z,15Z-octadecatrienoyl	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd25176	1-18:0-2-18:3-phosphatidylinos	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd25172	1-16:0-2-18:3-phosphatidylinos	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd25130	1-(9Z,12Z-octadecadienoyl)-2-(	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd25129	1-(9Z-octadecenoyl)-2-(9Z,12Z,	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd25126	1-18:0-2-18:3-phosphatidate	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd24841	cyanidin 3-O-(3'',6''-O-dimalo	1	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd19565	4-Aminoanhydrochlortetracyclin	1	UNSAFE: fixed-H layer differs	0	p-1	p0
cpd15089	Cyanidin-3-O-(6''-O-malonyl-2'	1	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd15086	Delphinidin 3-(6-p-coumaroyl)g	1	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd15083	Delphinidin 3-O-(6-caffeoyl-be	1	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd15067	Delphinidin 3-O-beta-D-glucosi	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd15031	Tulipanin	1	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd15015	Malonylshisonin	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd15006	Delphinidin 3-O-3'',6''-O-dima	1	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd15005	Cyanidin 3-O-3'',6''-O-dimalon	1	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd15004	Pelargonidin 3-O-3'',6''-O-dim	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd14723	Reactive black 5	1	UNSAFE: fixed-H layer differs	0	p-4	p-4
cpd09278	Salvianin	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd09277	Cyanidin 3-O-rutinoside 5-O-be	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd08923	Peonidin-3-glucoside	1	UNSAFE: fixed-H layer differs	0	p0	p0
cpd03415	Uroporphyrin I	1	UNSAFE: fixed-H layer differs	0	p-8	p-8
cpd01476	Protoporphyrin	1	UNSAFE: fixed-H layer differs	0	p-2	p-2
cpd01213	Triacetate	1	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd00002	ATP	3017	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00008	ADP	2469	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00014	UDP	1221	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00031	GDP	218	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00350	Farnesyldiphosphate	172	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00297	dTDP	134	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00038	GTP	130	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00113	Isopentenyldiphosphate	113	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00052	CTP	109	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00202	DMAPP	95	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00081	Sulfite	77	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd00062	UTP	76	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00283	Geranyldiphosphate	69	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00289	Geranylgeranyl diphosphate	64	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00050	FMN	64	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00103	PRPP	62	safe: /h identical (differs only in /p)	1	p-4	p-5
cpd00096	CDP	49	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00056	TPP	48	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd00115	dATP	46	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd03214	Phytyl diphosphate	45	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00177	dADP	44	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00068	ITP	40	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00090	IDP	38	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00295	dGDP	36	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00241	dGTP	36	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00357	TTP	33	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd02229	Bactoprenyl diphosphate	32	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00358	dUTP	31	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00356	dCTP	31	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00533	dCDP	24	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02557	Farnesylfarnesylgeraniol	23	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00978	dUDP	22	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00906	all-trans-Hexaprenyl diphospha	22	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02172	Solanesyl diphosphate	21	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd21006	(2Z,6Z)-Farnesyl diphosphate	19	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00220	Riboflavin	19	safe: /h identical (differs only in /p)	1	p0	p-1
cpd03049	2-Hydroxyethyl-ThPP	18	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd02591	pendp	18	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02590	all-trans-Heptaprenyl diphosph	18	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd03629	Copalyl diphosphate	16	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd19111	Copalyl diphosphate	15	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd17150	(2Z,6E)-Farnesyl diphosphate	15	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd03969	Isosalipurpol	14	safe: /h identical (differs only in /p)	1	p0	p0
cpd01681	Neryl diphosphate	14	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd15131	Isopentenyl-ADP	10	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd11204	Eriodictyol chalcone	10	safe: /h identical (differs only in /p)	1	p0	p-1
cpd08615	1-Hydroxy-2-methyl-2-butenyl 4	10	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd08211	trans,trans,cis-Geranylgeranyl	9	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02894	4-Amino-2-methyl-5-diphosphome	9	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd19241	all-trans-Decaprenyl diphospha	8	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd15130	Isopentenyl-ATP	8	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd04105	Mycothiol	8	safe: /h identical (differs only in /p)	1	p-1	p0
cpd39967	geranylgeranyl diphosphate	7	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23558	(13E)-8alpha-hydroxylabda-13-e	7	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd21184	3-Oxo-5,6-dehydrosuberyl-CoA	7	safe: /h identical (differs only in /p)	1	p-5	p-5
cpd15134	trans-Zeatin riboside diphosph	7	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd11225	3-4-dihydroxy-2-butanone4-phos	7	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd08700	syn-Copalyl diphosphate	7	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd08361	5-PP-InsP5	7	safe: /h identical (differs only in /p)	1	p-12	p-13
cpd02666	(R)-4'-Phosphopantothenoyl-L-c	7	safe: /h identical (differs only in /p)	1	p-4	p-3
cpd39948	presqualene diphosphate	6	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23686	5,10-methylenetetrahydropteroy	6	safe: /h identical (differs only in /p)	1	p-5	p-4
cpd21078	Halima-5(6),13-dien-15-yl diph	6	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd03797	2,4,6-Trihydroxybenzophenone	6	safe: /h identical (differs only in /p)	1	p0	p-1
cpd03453	Enterobactin	6	safe: /h identical (differs only in /p)	1	p0	p-1
cpd02746	all trans Decaprenyl diphospha	6	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02142	Bis(3-aminopropyl)amine	6	safe: /h identical (differs only in /p)	1	p+2	p+3
cpd25371	pentahydroxychalcone 4'-O-gluc	5	safe: /h identical (differs only in /p)	1	p0	p-1
cpd25370	naringenin chalcone 4'-O-gluco	5	safe: /h identical (differs only in /p)	1	p0	p-1
cpd23150	1,5-bisdiphosphoinositol-1D-my	5	safe: /h identical (differs only in /p)	1	p-12	p-13
cpd23149	3-PP-InsP5	5	safe: /h identical (differs only in /p)	1	p-12	p-13
cpd17568	ditrans,hexacis-Nonaprenyl dip	5	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd15133	trans-Zeatin riboside triphosp	5	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd08050	1-Diphosinositol pentakisphosp	5	safe: /h identical (differs only in /p)	1	p-12	p-13
cpd05229	9,10-Dihydroxystearic acid	5	safe: /h identical (differs only in /p)	1	p-1	p-1
cpd02671	1-O,2-O,6-O-Trigalloyl-beta-D-	5	safe: /h identical (differs only in /p)	1	p0	p-1
cpd01937	Thiamin triphosphate	5	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00390	CDP-glucose	5	safe: /h identical (differs only in /p)	1	p-2	p0
cpd25775	all-trans-undecaprenyl diphosp	4	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23151	3,5-bisdiphosphoinositol-1D-my	4	safe: /h identical (differs only in /p)	1	p-12	p-13
cpd22777	1,5,9,13-tetraazatridecane	4	safe: /h identical (differs only in /p)	1	p+3	p+4
cpd17567	ditrans,pentacis-Octaprenyl di	4	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd17566	ditrans,tetracis-Heptaprenyl d	4	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd17565	ditrans,dicis-Pentaprenyl diph	4	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd17564	ditrans,tricis-Hexaprenyl diph	4	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd15110	Pinocembrin chalcone	4	safe: /h identical (differs only in /p)	1	p0	p-1
cpd14911	Malonylgenistin	4	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd04324	3'-Amino-3'-deoxy-AMP	4	safe: /h identical (differs only in /p)	1	p-1	p0
cpd03796	2,3',4,6-Tetrahydroxybenzophen	4	safe: /h identical (differs only in /p)	1	p0	p-1
cpd03467	Glucobrassicin	4	safe: /h identical (differs only in /p)	1	p-1	p-1
cpd01418	TSH	4	safe: /h identical (differs only in /p)	1	p-1	p+1
cpd00977	dITP	4	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00530	XTP	4	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd26872	DIPHOSPHO-1D-MYO-INOSITOL-TETR	3	safe: /h identical (differs only in /p)	1	p-10	p-11
cpd26518	RPnTP	3	safe: /h identical (differs only in /p)	1	p-4	p-5
cpd25783	validoxylamine A	3	safe: /h identical (differs only in /p)	1	p0	p+1
cpd25732	emodin dianthrone	3	safe: /h identical (differs only in /p)	1	p0	p-1
cpd23687	5,10-methylenetetrahydropteroy	3	safe: /h identical (differs only in /p)	1	p-6	p-5
cpd23685	5,10-methylenetetrahydropteroy	3	safe: /h identical (differs only in /p)	1	p-4	p-3
cpd21185	3-Oxo-5,6-dehydrosuberyl-CoA s	3	safe: /h identical (differs only in /p)	1	p-4	p-4
cpd21094	tritrans,heptacis-Undecaprenyl	3	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd20937	Glutathione amide	3	safe: /h identical (differs only in /p)	1	p-1	p0
cpd19898	Aclacinomycin S	3	safe: /h identical (differs only in /p)	1	p+1	p0
cpd19897	Aclacinomycin T	3	safe: /h identical (differs only in /p)	1	p+1	p0
cpd19587	(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z	3	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd18034	Chrysanthemyl diphosphate	3	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd16381	Homotrypanothione	3	safe: /h identical (differs only in /p)	1	p-1	p+1
cpd15114	PHC 4'-O-glucoside	3	safe: /h identical (differs only in /p)	1	p0	p-1
cpd15111	Homoeriodictyol chalcone	3	safe: /h identical (differs only in /p)	1	p0	p-1
cpd14718	7-Cyano-7-deazaguanine	3	safe: /h identical (differs only in /p)	1	p0	p0
cpd04033	6-Methylpretetramide	3	safe: /h identical (differs only in /p)	1	p0	p-1
cpd03854	5'-Benzoylphosphoadenosine	3	safe: /h identical (differs only in /p)	1	p-1	p0
cpd03452	(L-Seryl)adenylate	3	safe: /h identical (differs only in /p)	1	p0	p-1
cpd03189	3-Carboxy-1-hydroxypropyl-ThPP	3	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02038	(+)-Bornyl-diphosphate	3	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd01175	Glyphosate	3	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd00976	dIDP	3	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00841	5-diphosphomevalonate	3	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd00385	Sulochrin	3	safe: /h identical (differs only in /p)	1	p0	p-1
cpd48158	3-oxo-2-propylpentanoyl-CoA	2	safe: /h identical (differs only in /p)	1	p-4	p-4
cpd40153	TTP	2	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd35970	(2S,3S,7R)-2,3-diamino-8-(1-ca	2	safe: /h identical (differs only in /p)	1	p+1	p0
cpd35694	(R)-2-(phosphomethyl)malate	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd35385	griseophenone D	2	safe: /h identical (differs only in /p)	1	p0	p-2
cpd35357	adenosine triphosphate adenosi	2	safe: /h identical (differs only in /p)	1	p-5	p-6
cpd34755	alpha-D-ribose-1-[N-(phosphono	2	safe: /h identical (differs only in /p)	1	p-4	p-5
cpd34644	2-GDP-[(2S,3S,6R)-5-imino-6-me	2	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd34451	myricetin 3-O-beta-D-glucoside	2	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd34254	5-triphospho-alpha-D-ribosyl-1	2	safe: /h identical (differs only in /p)	1	p-4	p-5
cpd33517	(2Z,6Z,10Z)-tetraprenyl diphos	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd33379	3-O-methylmyricetin	2	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd33364	6-dehydroguadinomine B	2	safe: /h identical (differs only in /p)	1	p0	p+1
cpd32995	[1-(2-amino-7-methyl-4-oxo-7,8	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd32612	5-(aminomethyl)-3-furanmethano	2	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd32013	7-methyl-GTP	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd31910	thiocoraline dithiol	2	safe: /h identical (differs only in /p)	1	p-2	p0
cpd31771	2,4-diacetylphloroglucinol	2	safe: /h identical (differs only in /p)	1	p0	p-1
cpd31458	N4-aminopropylspermidine	2	safe: /h identical (differs only in /p)	1	p+3	p+4
cpd27451	3,5-diphosphomevalonate	2	safe: /h identical (differs only in /p)	1	p-4	p-5
cpd26724	Cinnamoyl-CoAs	2	safe: /h identical (differs only in /p)	1	p-4	p-4
cpd25921	all-trans-tridecaprenyl diphos	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd25776	all-trans-dodecaprenyl diphosp	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23738	toyocamycin phosphate	2	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd23737	2-({5-cyano-7-[(1S,2S,3R,4R)-2	2	safe: /h identical (differs only in /p)	1	p-4	p-4
cpd23736	[(1R,2R,3S,4S)-4-{5-cyano-4-ox	2	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd23735	5-phospho-alpha-D-ribose-1-pre	2	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd23225	cysteine-AMP	2	safe: /h identical (differs only in /p)	1	p-1	p0
cpd23177	(2Z,6Z,10Z,14Z,18Z,22E)-heptap	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23176	(2Z,6Z,10Z,14Z,18E)-hexaprenyl	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23175	(2Z,6Z,10Z,14E)-pentaprenyl di	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd22820	creatinine phosphate	2	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd22809	7,8-H2pterin-6-ylmethyl-l-(4-a	2	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd21468	(E)-2-Methylgeranyl diphosphat	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd21208	2-Hydroxy-dATP	2	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd21058	Terpentedienyl diphosphate	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd20951	1-O-[2-(L-Cysteinamido)-2-deox	2	safe: /h identical (differs only in /p)	1	p0	p+1
cpd20097	Griseophenone C	2	safe: /h identical (differs only in /p)	1	p0	p-1
cpd16377	Bis(glutathionyl)spermine	2	safe: /h identical (differs only in /p)	1	p0	p+2
cpd15514	two disacharide linked murein 	2	safe: /h identical (differs only in /p)	1	p-4	p0
cpd15456	(enterobacterial common antige	2	safe: /h identical (differs only in /p)	1	p-5	p-5
cpd15113	THC 4'-glucoside	2	safe: /h identical (differs only in /p)	1	p0	p-1
cpd11186	Demethylsulochrin	2	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd09213	3-Amino-4,7-dihydroxy-8-chloro	2	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd07923	2'-Deoxy-5-hydroxymethylcytidi	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd07125	Pedunculagin	2	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd04369	3,6-Dichlorocatechol	2	safe: /h identical (differs only in /p)	1	p0	p-1
cpd04327	N-Acetyl-N6,O-didemethylpuromy	2	safe: /h identical (differs only in /p)	1	p-2	p0
cpd04326	N-Acetyl-N6,N6,O-tridemethylpu	2	safe: /h identical (differs only in /p)	1	p-2	p0
cpd04322	3'-Keto-3'-deoxy-ATP	2	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd03645	NPP	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd03519	2,5-Diaminopyrimidine nucleosi	2	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd02517	Flavonol 3-O-D-xylosylglycosid	2	safe: /h identical (differs only in /p)	1	p0	p0
cpd02174	Tetrachlorohydroquinone	2	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd02080	2-Butynedioic acid	2	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd01029	Base Q	2	safe: /h identical (differs only in /p)	1	p0	p+1
