reaction_id	name	grade	projected_grade	mechanism_grade	limiting_compound	reason	n_compounds	n_graded	distinct_grades	in_priority_scope	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol
rxn00064	ATP aminohydrolase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-12.717	0.904
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	2	1	1.919	0.252
rxn00066	NADH:hydrogen-peroxide oxidoreductase	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	5	5	3	1	-76.280	0.845
rxn00067	CoA:NAD+ oxidoreductase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	-3.502	0.867
rxn00068	Fe2+:NAD+ oxidoreductase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	45.670	2.164
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	6	6	2	1	11.840	0.230
rxn00070	glutathione:NAD+ oxidoreductase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	0.995	0.459
rxn00075	NAD nucleosidase, mitochondrial	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	-8.388	0.862
rxn00076	NAD+ phosphohydrolase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	-8.005	0.762
rxn00077	ATP:NAD+ 2'-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-2.395	0.747
rxn00078	ATP:NADH 2'-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-2.402	0.752
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	BRONZE	BRONZE	BRONZE	cpd03527	MolGpKa, sites chemically distinct	7	7	3	1	36.380	55822.900
rxn00083	NADPH:NAD+ oxidoreductase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	4	4	1	1	0.006	0.086
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	5	5	3	1	-76.274	0.845
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	6	6	2	1	11.834	0.241
rxn00086	glutathione:NADP+ oxidoreductase	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	5	5	2	1	0.988	0.450
rxn00087	NADPH:CoA-glutathione oxidoreductase	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	5	5	2	0	-4.695	1.735
rxn00088	NADP+ 2'-phosphohydrolase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	4	4	2	1	-3.696	0.751
rxn00089	NADP+ glycohydrolase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd02079	MolGpKa with symmetry collapse	5	5	3	1	-8.478	0.857
rxn00090	glutathione:oxygen oxidoreductase	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	5	5	3	1	-30.287	1.145
rxn00091	rxn00091	GOLD	GOLD	GOLD	cpd00001	no ionizable groups	5	5	1	0	-71.239	1.311
rxn00092	ADP phosphohydrolase	SILVER	SILVER	GOLD	cpd00008	ChemAxon ladder from pinned cache	5	5	2	1	-6.031	0.081
rxn00093	ADP aminohydrolase	SILVER	SILVER	GOLD	cpd00008	ChemAxon ladder from pinned cache	5	5	2	1	-12.056	0.973
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohy	SILVER	SILVER	GOLD	cpd00008	ChemAxon ladder from pinned cache	3	3	2	1	-9.695	2.040
rxn00096	ADP:ATP adenylyltransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	3.603	2.039
rxn00097	ATP:AMP phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	2	1	-0.060	0.041
rxn00098	Adenosine-tetraphosphate phosphohydrolase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-8.038	0.751
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucl	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd02951	MolGpKa with symmetry collapse	6	6	3	1	-12.868	0.876
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	1.294	0.747
rxn00101	Urea amidohydrolase	SILVER	SILVER	GOLD	cpd00013	ChemAxon ladder from pinned cache	5	5	2	1	-8.628	1.191
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	SILVER	SILVER	GOLD	cpd00242	ChemAxon ladder from pinned cache	4	4	2	1	-0.083	0.816
rxn00103	formate:NADP+ oxidoreductase	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	4	4	2	1	-4.699	0.857
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	2	1	-0.133	0.747
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphot	BRONZE-COLLAPSED	SILVER	BRONZE	cpd07923	MolGpKa with symmetry collapse	4	4	2	1	1.547	0.368
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	BRONZE-COLLAPSED	SILVER	BRONZE	cpd07923	MolGpKa with symmetry collapse	5	5	3	1	-1.252	0.674
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phospho	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	8	8	2	1	2.036	1.032
rxn00114	ATP:carbamate phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	6	6	2	1	8.127	1.028
rxn00116	UDP phosphohydrolase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	5	5	2	1	-5.992	0.813
rxn00117	ATP:UDP phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	1	1	0.245	0.322
rxn00118	Uridine triphosphate:AMP phosphotransferase	SILVER	SILVER	GOLD	cpd00008	ChemAxon ladder from pinned cache	5	5	2	1	-0.305	0.323
