# Reactions whose energy moved more than 10.0 kcal/mol between the
# reference and shipped builds. Treat every one as LOW CONFIDENCE.
#
# RISK MARKER, NOT A VERDICT:
#   unbalanced_enumeration  a compound's pKa source was substituted while a
#       partner carrying sites above pH 7 was not, so spurious sites no longer
#       cancel (~9.55 kcal/mol per unbalanced proton). rxn08713 satisfies this
#       and still lands on the independently-derived Marvin-era value, so the
#       signature over-selects.
#   large_shift_mechanism_unidentified  moved without that signature. Includes
#       rxn08789, which moved TOWARD the Marvin-era value and is a correction.
#
# The reference value is NOT a safe fallback: there both partners carried the
# same spurious sites and the errors cancelled, which is not accuracy.
# NONE of these reactions has a TECRDB match, so neither value can be checked
# against experiment.
#
# shipped:   /scratch/seaver/Claude_Projects/eQuilibrator/data/cache_final/compounds.sqlite
# reference: /scratch/seaver/Claude_Projects/eQuilibrator/data/prev_20260903/cache_final/compounds.sqlite
reaction_id	name	dg_reference_kcal	dg_shipped_kcal	shift_kcal	net_site_change	flag	compounds_resubstituted	partners_left_unchanged	largest_partner	largest_partner_name
rxn59984		-44.080	-3.046	41.03	-87	unbalanced_enumeration	cpd47256;cpd47448	cpd00014;cpd30770	cpd30770	UDP-D-galactopyranose
rxn46135		-44.227	-4.218	40.01	-79	unbalanced_enumeration	cpd26545;cpd35738	cpd00014;cpd00037	cpd00037	UDP-N-acetylglucosamine
rxn21612	RXN-11291.c	-39.834	-2.494	37.34	-53	large_shift_mechanism_unidentified	cpd23316;cpd23333			
rxn59397		-39.327	-2.703	36.62	-71	unbalanced_enumeration	cpd32873;cpd46246	cpd00014;cpd00037	cpd00037	UDP-N-acetylglucosamine
rxn58388		-39.845	-3.324	36.52	-118	unbalanced_enumeration	cpd23744;cpd46173;cpd47316	cpd00031	cpd00031	GDP
rxn57040		-39.507	-3.054	36.45	-59	unbalanced_enumeration	cpd26542;cpd46230	cpd00014;cpd30770	cpd30770	UDP-D-galactopyranose
rxn26113	RXN0-5125.c	-39.964	-3.631	36.33	-61	unbalanced_enumeration	cpd26542;cpd26543;cpd28293	cpd00014	cpd00014	UDP
rxn57446		-39.241	-3.054	36.19	-65	unbalanced_enumeration	cpd46230;cpd46246	cpd00014;cpd30770	cpd30770	UDP-D-galactopyranose
rxn26115	RXN0-5126.c	-39.698	-3.631	36.07	-67	unbalanced_enumeration	cpd26543;cpd26544;cpd28293	cpd00014	cpd00014	UDP
rxn37437	RXN0-5125.c.metaexp.CPD-12575	-39.276	-3.322	35.95	-59	unbalanced_enumeration	cpd26542;cpd26543	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn08583	galactosyltransferase I (LPS core synthesis)	-40.751	-4.837	35.91	-63	unbalanced_enumeration	cpd15469;cpd15479	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn57185		-38.441	-2.743	35.70	-80	unbalanced_enumeration	cpd47357;cpd47448	cpd00014;cpd00037	cpd00037	UDP-N-acetylglucosamine
rxn37438	RXN0-5126.c.metaexp.CPD-12575	-39.010	-3.322	35.69	-65	unbalanced_enumeration	cpd26543;cpd26544	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn60295		-36.620	-1.053	35.57	-58	unbalanced_enumeration	cpd03830;cpd47287;cpd47374	cpd00008	cpd00008	ADP
rxn26108	RXN0-5122.c	-36.983	-2.569	34.41	-52	unbalanced_enumeration	cpd03831;cpd26539;cpd26540	cpd00008	cpd00008	ADP
rxn26109	RXN0-5122.p	-36.983	-2.569	34.41	-52	unbalanced_enumeration	cpd03831;cpd26539;cpd26540	cpd00008	cpd00008	ADP
rxn60601		-37.492	-3.331	34.16	-114	unbalanced_enumeration	cpd23744;cpd47237;cpd47316	cpd00031	cpd00031	GDP
rxn42839		-89.317	-55.476	33.84	-75	unbalanced_enumeration	cpd24563;cpd36987	cpd24351	cpd24351	CPD-166
rxn42235		-40.676	-6.862	33.81	-54	unbalanced_enumeration	cpd26540;cpd35078	cpd00014;cpd00144	cpd00144	UDPglucuronate
rxn31540	R_malonyl_CoA_cinnamoyl_CoA_malonyltransferase__cyclizing_	-32.446	1.280	33.73	-1	large_shift_mechanism_unidentified	cpd00422;cpd15110			
rxn17896	Glc3Man9NAc2 oligosaccharide glucosidase	32.636	-0.255	-32.89	-69	large_shift_mechanism_unidentified	cpd24096;cpd24097;cpd26821			
rxn24097	Dol-P-Glc:Glc1Man9GlcNAc2-PP-Dol alpha-1,3-glucosyltransfera	-88.356	-55.476	32.88	-69	unbalanced_enumeration	cpd24562;cpd24563	cpd24351	cpd24351	CPD-166
rxn24098	Dol-P-Glc:Glc1Man9GlcNAc2-PP-Dol alpha-1,3-glucosyltransfera	-88.356	-55.476	32.88	-69	unbalanced_enumeration	cpd24562;cpd24563	cpd24351	cpd24351	CPD-166
rxn59138		-35.909	-3.047	32.86	-69	unbalanced_enumeration	cpd47275;cpd47482	cpd00014;cpd30770	cpd30770	UDP-D-galactopyranose
rxn42072		15.840	-16.567	-32.41	-35	unbalanced_enumeration	cpd32344;cpd32681	cpd19009	cpd19009	alpha-D-Mannose
rxn26112	RXN0-5124.c	-34.965	-3.569	31.40	-55	unbalanced_enumeration	cpd00043;cpd26541;cpd26542	cpd00014	cpd00014	UDP
rxn24095	ALG6	-86.822	-55.476	31.35	-63	unbalanced_enumeration	cpd24561;cpd24562	cpd24351	cpd24351	CPD-166
rxn24096	ALG6	-86.822	-55.476	31.35	-63	unbalanced_enumeration	cpd24561;cpd24562	cpd24351	cpd24351	CPD-166
rxn08712	heptosyltransferase III (LPS core synthesis)	-33.102	-2.569	30.53	-46	unbalanced_enumeration	cpd03831;cpd15488;cpd15549	cpd00008	cpd00008	ADP
rxn16608	CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)3-lipid IVA 3-deoxy	-87.288	-57.310	29.98	-40	unbalanced_enumeration	cpd02546;cpd21115;cpd21116	cpd00046	cpd00046	CMP
rxn41869		-33.933	-4.569	29.36	-53	unbalanced_enumeration	cpd26541;cpd26542	cpd00014;cpd30770	cpd30770	UDP-D-galactopyranose
rxn59610		-31.724	-2.569	29.16	-46	unbalanced_enumeration	cpd03831;cpd46629;cpd47036	cpd00008	cpd00008	ADP
rxn59532		-29.800	-1.053	28.75	-50	unbalanced_enumeration	cpd03830;cpd47206;cpd47287	cpd00008	cpd00008	ADP
rxn60375		-31.625	-3.322	28.30	-49	unbalanced_enumeration	cpd26540;cpd47036	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn57031		-31.368	-3.330	28.04	-96	unbalanced_enumeration	cpd23744;cpd47256;cpd47336	cpd00031	cpd00031	GDP
rxn42427		28.847	1.690	-27.16	-47	large_shift_mechanism_unidentified	cpd15511;cpd25968;cpd32070			
rxn08957	murein polymerizing transglycosylase	-32.417	-5.901	26.52	-36	large_shift_mechanism_unidentified	cpd03495;cpd15511			
rxn13645	murein polymerizing transglycosylase	-32.417	-5.901	26.52	-36	large_shift_mechanism_unidentified	cpd03495;cpd15511			
rxn13936	Peptidoglycan subunit synthesis	-32.417	-5.901	26.52	-36	large_shift_mechanism_unidentified	cpd03495;cpd15511			
rxn13946	Peptidoglycan subunit synthesis	-32.417	-5.901	26.52	-36	large_shift_mechanism_unidentified	cpd03495;cpd15511			
rxn57381		-29.193	-2.743	26.45	-62	unbalanced_enumeration	cpd47374;cpd47482	cpd00014;cpd00037	cpd00037	UDP-N-acetylglucosamine
rxn24093	ALG9 mannosyltransferase	-81.375	-55.476	25.90	-57	unbalanced_enumeration	cpd24560;cpd24561	cpd24353	cpd24353	CPD-171
rxn24094	ALG9 mannosyltransferase	-81.375	-55.476	25.90	-57	unbalanced_enumeration	cpd24560;cpd24561	cpd24353	cpd24353	CPD-171
rxn25111	RXN-8726.c	-20.472	5.239	25.71	12	unbalanced_enumeration	cpd25509;cpd25512	cpd00190;cpd00852	cpd00852	beta-Glucogallin
rxn42708		-20.650	5.020	25.67	12	unbalanced_enumeration	cpd25509;cpd25512	cpd00027;cpd00852	cpd00852	beta-Glucogallin
