C00001	O
C00074	C=C(OP(=O)([O-])[O-])C(=O)[O-]
C00075	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00076	[Ca+2]
C00077	[NH3+]CCC[C@H]([NH3+])C(=O)[O-]
C00078	[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C00079	[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
C00080	[H+]
C00081	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
C00082	[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
C00083	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]
C00084	CC=O
C00085	O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00086	NC(N)=O
C00087	[S]
C00088	O=N[O-]
C00089	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00090	Oc1ccccc1O
C00091	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]
C00092	O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00093	O=P([O-])([O-])OC[C@H](O)CO
C00094	O=S([O-])O
C00095	OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00096	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00097	[NH3+][C@@H](CS)C(=O)[O-]
C00098	*C([NH3+])C(=O)NC(*)C(=O)[O-]
C00099	[NH3+]CCC(=O)[O-]
C00100	CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00101	Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
C00102	O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl
C00103	O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00104	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
C00105	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
C00106	O=c1cc[nH]c(=O)[nH]1
C00107	*C([NH3+])C(=O)NC(*)C(=O)[O-]
C00108	Nc1ccccc1C(=O)[O-]
C00109	CCC(=O)C(=O)[O-]
C00110	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)([O-])[O-]
C00111	O=C(CO)COP(=O)([O-])[O-]
C00112	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1
C00113	O=C([O-])c1cc(C(=O)[O-])c2c(n1)C(=O)C(=O)c1cc(C(=O)[O-])[nH]c1-2
C00114	C[N+](C)(C)CCO
C00116	OCC(O)CO
C00117	O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00118	O=C[C@H](O)COP(=O)([O-])[O-]
C00119	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O
C00120	O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
C00121	OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00122	O=C([O-])/C=C/C(=O)[O-]
C00123	CC(C)C[C@H]([NH3+])C(=O)[O-]
C00124	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00125	*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
C00126	*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
C00127	[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
C00128	CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
C00129	C=C(C)CCOP(=O)([O-])OP(=O)([O-])O
C00130	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C00131	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1
C00132	CO
C00133	C[C@@H]([NH3+])C(=O)[O-]
C00134	[NH3+]CCCC[NH3+]
C00135	[NH3+][C@@H](Cc1cnc[nH]1)C(=O)[O-]
C00136	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00137	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
C00140	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00141	CC(C)C(=O)C(=O)[O-]
C00143	Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
C00144	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
C00145	*S
C00146	Oc1ccccc1
C00147	Nc1ncnc2nc[nH]c12
C00148	O=C([O-])[C@@H]1CCC[NH2+]1
C00149	O=C([O-])C[C@H](O)C(=O)[O-]
C00150	[Mo]
C00151	*[C@H]([NH3+])C(=O)[O-]
C00152	NC(=O)C[C@H]([NH3+])C(=O)[O-]
C00153	NC(=O)c1cccnc1
C00154	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00155	[NH3+][C@@H](CCS)C(=O)[O-]
C00156	O=C([O-])c1ccc(O)cc1
C00157	*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O
C00158	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
C00159	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00160	O=C([O-])CO
C00161	*C(=O)C(=O)[O-]
C00162	*C(=O)[O-]
C00163	CCC(=O)[O-]
C00164	CC(=O)CC(=O)[O-]
C00165	*C(=O)OCC(CO)OC(*)=O
C00166	O=C([O-])C(=O)Cc1ccccc1
C00167	O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00168	O=C([O-])C(=O)CO
C00169	NC(=O)OP(=O)([O-])[O-]
C00170	CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C00171	*[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C00172	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
C00173	*CCC(=O)S*
C00175	[Co+2]
C00176	*n1c2nc(O)nc(=O)c-2nc2cc(C)c(C)cc21
C00177	C#N
C00178	Cc1c[nH]c(=O)[nH]c1=O
C00179	NC(=[NH2+])NCCCC[NH3+]
C00180	O=C([O-])c1ccccc1
C00181	OC1OC[C@@H](O)[C@H](O)[C@H]1O
C00182	OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00183	CC(C)[C@H]([NH3+])C(=O)[O-]
C00184	O=C(CO)CO
C00185	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00186	C[C@H](O)C(=O)[O-]
C00187	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
C00188	C[C@@H](O)[C@H]([NH3+])C(=O)[O-]
C00189	[NH3+]CCO
C00190	O=c1ccn(C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00191	O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00192	NO
C00193	O=Cc1ccccc1
C00194	C/C1=C2/N=C(/C=C3\[NH+]=C(/C(C)=C4\N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)[NH+]=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
C00195	*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC
C00196	O=C([O-])c1cccc(O)c1O
C00197	O=C([O-])[C@H](O)COP(=O)([O-])[O-]
C00198	O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00199	O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C00200	COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21
C00201	*[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
C00202	CC(C)OP(=O)(F)OC(C)C
C00203	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
C00204	O=C([O-])C(=O)C[C@H](O)[C@H](O)CO
C00206	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O1
C00207	CC(C)=O
C00208	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00209	O=C([O-])C(=O)[O-]
C00210	[1*][Co+]N1/C2=C(/C)C3=[NH+]/C(=C\C4=[NH+]/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H]([2*])O[C@@H]1CO)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O
C00211	*C([NH3+])C(=O)N[C@H](*)C(=O)N1CCC[C@H]1C(=O)NC(*)C(=O)[O-]
C00212	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00213	C[NH2+]CC(=O)[O-]
C00214	Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
C00216	OC1OC[C@@H](O)[C@@H](O)[C@@H]1O
C00217	[NH3+][C@H](CCC(=O)[O-])C(=O)[O-]
C00218	C[NH3+]
C00219	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
C00220	CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-]
C00221	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00222	O=CCC(=O)[O-]
C00223	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1
C00224	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O
C00225	C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-]
C00226	*CO
C00227	CC(=O)OP(=O)([O-])[O-]
C00229	*S
C00230	O=C([O-])c1ccc(O)c(O)c1
C00231	O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
C00232	O=CCCC(=O)[O-]
C00233	CC(C)CC(=O)C(=O)[O-]
C00234	Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
C00235	CC(C)=CCOP(=O)([O-])OP(=O)([O-])O
C00236	O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-]
C00237	[CH+]=O
C00238	[K+]
C00239	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)n1
C00240	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C00241	*C(N)=O
C00242	Nc1nc2[nH]cnc2c(=O)[nH]1
C00243	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C00244	O=[N+]([O-])[O-]
C00245	[NH3+]CCS(=O)(=O)[O-]
C00246	CCCC(=O)[O-]
C00247	OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
C00248	NC(=O)CCCCC1CCSS1
C00249	CCCCCCCCCCCCCCCC(=O)[O-]
C00250	Cc1ncc(CO)c(C=O)c1O
C00251	C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1O)C(=O)[O-]
C00252	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00253	O=C([O-])c1cccnc1
C00254	O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1
C00255	Cc1cc2nc3c(=O)nc(O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
C00256	C[C@@H](O)C(=O)[O-]
C00257	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C00258	O=C([O-])[C@H](O)CO
C00259	OC1OC[C@H](O)[C@H](O)[C@H]1O
C00261	O=Cc1ccccc1
C00262	O=c1[nH]cnc2[nH]cnc12
C00263	[NH3+][C@@H](CCO)C(=O)[O-]
C00264	*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00265	O[C@@H](CS)[C@@H](O)CS
C00266	O=CCO
C00267	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00268	C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1
C00269	*C(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(*)=O
C00270	CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
C00272	C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
C00273	O=C(CO)[C@@H](O)[C@H](O)C(=O)CO
C00275	O=P([O-])([O-])OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00279	O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C00280	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
C00282	[H][H]
C00283	[SH-]
C00284	O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
C00286	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1
C00288	O=C([O-])O
C00290	CNC(=O)CNC(=O)C[NH3+]
C00291	[Ni]
C00292	Nc1ccccc1
C00294	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00295	O=C([O-])c1cc(=O)[nH]c(=O)[nH]1
C00296	O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
C00297	*S*
C00299	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00300	C[N+](CC(=O)[O-])=C(N)N
C00301	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
C00302	[NH3+]C(CCC(=O)[O-])C(=O)[O-]
C00303	NC(=O)CCC([NH3+])C(=O)[O-]
C00304	[1*]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H]([2*])[C@@H](O)[C@@H]1O
C00305	[Mg+2]
C00306	NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)[O-]
C00307	C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
C00308	NC(=[NH2+])NOCC[C@H]([NH3+])C(=O)[O-]
C00309	OCC1(O)OC[C@@H](O)[C@H]1O
C00310	OCC1(O)OC[C@@H](O)[C@@H]1O
C00311	O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]
C00312	OCC1(O)OC[C@H](O)[C@H]1O
C00313	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)[O-]
C00314	Cc1ncc(CO)c(CO)c1O
