+-5-oxo-1-2-campholide	UDJVKSCOEHSXBZ-QUBYGPBYSA-N
12-DIHYDROSANTONIN	QKFUYQHESIDKSK-OFDKXLCMSA-N
12-DIHYDROVOMILENINE	DRMGJVPVCAJMDJ-UYSDZIPHSA-N
12-DIHYDROXY-6-METHYLCYCLOHEXA-35-DIEN	LHEBXDITPBTHSR-UHFFFAOYSA-N
12-DIHYDROXYDIBENZOTHIOPHENE	VKHFOUIAKVUCEF-UHFFFAOYSA-N
12-EPOXYPROPANE	GOOHAUXETOMSMM-UHFFFAOYSA-N
12-Epoxybutane	RBACIKXCRWGCBB-UHFFFAOYSA-N
12-HEPE	MCRJLMXYVFDXLS-UHFFFAOYSA-N
12-HETE	ZNHVWPKMFKADKW-UHFFFAOYSA-N
12-HETrE	YYIXZLMPKIFFGQ-UHFFFAOYSA-N
12-HHTrE	KUKJHGXXZWHSBG-UHFFFAOYSA-N
12-HPETE	ZIOZYRSDNLNNNJ-UHFFFAOYSA-N
12-HYDROXYDIHYDROCHELIRUBINE	LEHAJESKGINQOW-UHFFFAOYSA-N
12-HpEPE	HDMYXONNVAOHFR-UHFFFAOYSA-N
12-Hydroxyjasmonate-Sulfates	MLUJBNROAVANKK-UHFFFAOYSA-N
12-Hydroxyjasmonates	RZGFUGXQKMEMOO-UHFFFAOYSA-N
12-OXO-CIS-9-DODECENOATE	INMKWUNQKOWGEZ-UHFFFAOYSA-N
12-OXO-TRANS-10-DODECENOATE	INMKWUNQKOWGEZ-UHFFFAOYSA-N
12-PROPANEDIOL-1-PHOSPHATE	PDKDLYHHQBVFJL-UHFFFAOYSA-N
12346-PENTAKIS-O-GALLOYL-BETA-D-GLUC	QJYNZEYHSMRWBK-NIKIMHBISA-N
1235-TETRAHYDROXYBENZENE	RDJUHLUBPADHNP-UHFFFAOYSA-N
1236-TETRAKIS-O-GALLOYL-BETA-D-GLUCOS	RATQVALKDAUZBW-XPMKZLBQSA-N
124-TCB	PBKONEOXTCPAFI-UHFFFAOYSA-N
13-DIBROMOPROPAN-2-ONE	LQQKDSXCDXHLLF-UHFFFAOYSA-N
13-DIHYDROXY-N-METHYLACRIDONE	GDALETGZDYOOGB-UHFFFAOYSA-N
13-DINITROBENZENE	WDCYWAQPCXBPJA-UHFFFAOYSA-N
13-HDoHE	SEVOKGDVLLIUMT-UHFFFAOYSA-N
13-HETE	SAKQICHVWOJSNI-UHFFFAOYSA-N
13-HODE	HNICUWMFWZBIFP-UHFFFAOYSA-N
13-HPODE	JDSRHVWSAMTSSN-UHFFFAOYSA-N
13-HYDROPEROXYOCTADECA-911-DIENOATE	JDSRHVWSAMTSSN-KRWDZBQOSA-N
13-HYDROXYLUPININE	JVYKIBAJVKEZSQ-XHLRWWMNSA-N
13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1	NITHXCKCTNOXJZ-IAGOWNOFSA-N
14-15-DiHETE	RFCYXKNVYQOCTM-UHFFFAOYSA-N
14-15-DiHETrE	SYAWGTIVOGUZMM-UHFFFAOYSA-N
14-APO-BETA-CAROTENAL	NGISIFNAHMKVQR-UHFFFAOYSA-N
14-DICHLOROBENZENE-DIHYDRODIOL	NPONHQROCKGAME-OLQVQODUSA-N
14-DICHLOROBENZENE	OCJBOOLMMGQPQU-UHFFFAOYSA-N
14-HDoHE	ZNEBXONKCYFJAF-UHFFFAOYSA-N
15-ANHYDRO-D-FRUCTOSE	OCLOLUFOLJIQDC-HSUXUTPPSA-N
15-ANHYDRO-D-GLUCITOL	MPCAJMNYNOGXPB-SLPGGIOYSA-N
15-DIDEOXY-15-IMINO-D-GALACTITOL	LXBIFEVIBLOUGU-DPYQTVNSSA-N
15-HEPE	WLKCSMCLEKGITB-UHFFFAOYSA-N
15-HETE	JSFATNQSLKRBCI-UHFFFAOYSA-N
15-HETrE	IUKXMNDGTWTNTP-UHFFFAOYSA-N
15-HPETE	BFWYTORDSFIVKP-UHFFFAOYSA-N
15-HpEPE	FPMFSFWYWZLDKP-UHFFFAOYSA-N
15-OXO-5811-CIS-13-TRANS-ICOSATETRAENO	YGJTUEISKATQSM-UHFFFAOYSA-N
1516-DIHYDROBILIVERDIN	CVXUPXGZIWIHTI-UHFFFAOYSA-N
16-17-DIDEHYDROPROGESTERONE	HUCNOYBFZPBCKM-RKFFNLMFSA-N
16-ALPHA-HYDROXYPROGESTERONE	HRFMHZYTMNPVSN-RMWFXKKMSA-N
16-ALPHA-HYDROXYSTEROID	KVUXYQHEESDGIJ-QCQGDQOKSA-N
16-BETA-HYDROXYSTEROID	KVUXYQHEESDGIJ-AQJURQQMSA-N
16-EPIVELLOSIMINE	MHASSCPGKAMILD-KCMWZYNZSA-N
16-HDoHE	CSXQXWHAGLIFIH-UHFFFAOYSA-N
16-HETE	JEKNPVYFNMZRJG-UHFFFAOYSA-N
16-HYDROXYPALMITATE	UGAGPNKCDRTDHP-UHFFFAOYSA-N
16-HYDROXYTABERSONINE	FXUFRJQCBVSCRZ-ACRUOGEOSA-N
16-METHOXY-23-DIHYDRO-3-HYDROXYTABERSON	MLIQIRKAHMVCDD-MMGCJVFTSA-N
16-OXOSTEROID	WDSIJVKJXHSMCM-UHFFFAOYSA-N
17-18-DiHETE	XYDVGNAQQFWZEF-UHFFFAOYSA-N
17-ALPHA-HYDROXYPROGESTERONE	RCFJDVCRANOZEL-CEGNMAFCSA-N
17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-	VZRRUAWMTKUUIZ-HNXXTFFGSA-N
17-Alpha-Hydroxysteroids	QUKZBUCPOSYYFO-BBKYASGISA-N
17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O	NVKAWKQGWWIWPM-ABEVXSGRSA-N
17-BETA-HYDROXYANDROSTAN-3-ONE	NVKAWKQGWWIWPM-QHDNXLQLSA-N
17-DIAMINOHEPTANE	PWSKHLMYTZNYKO-UHFFFAOYSA-N
17-HDoHE	SWTYBBUBEPPYCX-UHFFFAOYSA-N
17-HETE	OPPIPPRXLIDJKN-UHFFFAOYSA-N
17-O-ACETYLNORAJMALINE	VAOXSMUPPRUEKF-ZXDSMUBISA-N
17-O-DEACETYLVINDOLINE	ZDKMPOJNYNVYLA-PEGGBQQISA-N
17-beta-Hydroxysteroids	QUKZBUCPOSYYFO-HNLWTILRSA-N
18-DIAMINOOCTANE	PWGJDPKCLMLPJW-UHFFFAOYSA-N
18-HEPE	LRWYBGFSVUBWMO-UHFFFAOYSA-N
18-HETE	PPCHNRUZQWLEMF-UHFFFAOYSA-N
18-HYDROXYCORTICOSTERONE	HFSXHZZDNDGLQN-ZVIOFETBSA-N
18-HYDROXYOLEATE	LQUHZVLTTWMBTO-UHFFFAOYSA-N
18-OXOOLEATE	SNOSCANYFCXCGY-UHFFFAOYSA-N
19-HEPE	SQEKYOLLXDEHLF-UHFFFAOYSA-N
19-HETE	XFUXZHQUWPFWPR-UHFFFAOYSA-N
19-HETrE	GXGFNSDOYGEKLT-UHFFFAOYSA-N
19-HYDROXYTESTOSTERONE	DBQMFEDXDNQHQE-KOUJMVCDSA-N
19-OXO-TESTOSTERONE	GQEFFQBDSMIYOF-KOUJMVCDSA-N
1F2INDANONE	AXBXSMCPLPEELD-UHFFFAOYSA-N
1OXO2YLIDENE	XOFOQTVJQZIOJK-UHFFFAOYSA-N
1R2S-EPHEDRINE	KWGRBVOPPLSCSI-WPRPVWTQSA-N
2-2-METHYLTHIOETHYLMALIC-ACID	FZNWJRXTACKOPU-UHFFFAOYSA-N
2-3-Butanediols	OWBTYPJTUOEWEK-UHFFFAOYSA-N
2-3-DIHYDRODIPICOLINATE	DVLMICGPONQEMX-UHFFFAOYSA-N
2-3-DIHYDROXYBENZOATE	GLDQAMYCGOIJDV-UHFFFAOYSA-N
2-3-DIHYDROXYPHENYL-PROPIONATE	QZDSXQJWBGMRLU-UHFFFAOYSA-N
2-3-dihydroxypropane-1-sulfonate	YPFUJZAAZJXMIP-UHFFFAOYSA-N
2-5-DIHYDROXYPYRIDINE	CHGPEDOMXOLANF-UHFFFAOYSA-N
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	NFWZJXFBUKDGOX-HWCXJHOSSA-N
2-ACETAMIDOFLUORENE	CZIHNRWJTSTCEX-UHFFFAOYSA-N
2-ACETO-2-HYDROXY-BUTYRATE	VUQLHQFKACOHNZ-LURJTMIESA-N
2-ACETO-LACTATE	NMDWGEGFJUBKLB-YFKPBYRVSA-N
2-ALPHA-HYDROXYETHYL-THPP	RRUVJGASJONMDY-UHFFFAOYSA-O
2-ALPHA-LACTYL-THPP	PBCKWCANTYUPCE-UHFFFAOYSA-O
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	KACPVQQHDVBVFC-UHFFFAOYSA-N
2-AMINO-3-KETOADIPATE	HXWZRYKURKEOSO-UHFFFAOYSA-N
2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE	LMKSRFWSQAKTOE-VKHMYHEASA-N
2-AMINO-4-CARBOXYPYRIMIDINE	GKFPFLBDQJVJIH-UHFFFAOYSA-N
2-AMINO-4-OXO-4-ALPHA-HYDROXY-	XWORXFNMQCQKKK-UHFFFAOYSA-N
2-AMINO-4-OXO-6-123-TRIHYDROXYPROP	KQZRTOGFDRQBSR-UHFFFAOYSA-N
2-AMINO-4-OXO-PENTOATE	QUCHWTCTBHQQDU-UHFFFAOYSA-N
2-AMINO-47-DIHYDROXYPTERIDINE	GLKCOBIIZKYKFN-UHFFFAOYSA-N
2-AMINO-5-OXOCYCLOHEX-1-ENECARBOXYL-COA	CNGNJOBQFRZLRY-TYHXJLICSA-N
2-AMINO-ETCETERA-DIHYDROXYPTERIDINE	NRPGPYLFNCXYKK-UHFFFAOYSA-N
2-AMINO-ETCETERA-TRIPHOSPHATE	LANZWJSPZAYYNO-UHFFFAOYSA-N
2-AMINO-MUCONATE	ZRHONLCTYUYMIQ-UHFFFAOYSA-N
2-AMINOACRYLATE	UQBOJOOOTLPNST-UHFFFAOYSA-N
2-AMINOBENZENESULFONATE	ZMCHBSMFKQYNKA-UHFFFAOYSA-N
2-AMINOBENZOYL-COA	XLURBJBQJZCJHJ-TYHXJLICSA-N
2-AMINOMALONATE-SEMIALDEHYDE	XMTCKNXTTXDPJX-REOHCLBHSA-N
2-AMINOMUCONATE_SEMIALDEHYDE	IZBQCPKKCVTOTK-UHFFFAOYSA-N
2-AMINOPHENOL	CDAWCLOXVUBKRW-UHFFFAOYSA-N
2-Aminobutyrate	QWCKQJZIFLGMSD-UHFFFAOYSA-N
2-BETA-D-GLUCOSYL-SN-GLYCEROL-3-PHOSPH	PLJAVYDLNJODGD-VMQOHUEUSA-N
2-BETA-D-GLUCOSYL-SN-GLYCEROL	AQTKXCPRNZDOJU-SYHAXYEDSA-N
2-BROMOETHYLAMINE	IZQAUUVBKYXMET-UHFFFAOYSA-N
2-BROMOPORPHOBILINOGEN	KBACDURQNLFTOL-UHFFFAOYSA-N
2-BUTYNE-14-DIOL	DLDJFQGPPSQZKI-UHFFFAOYSA-N
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	XMWHRVNVKDKBRG-UHNVWZDZSA-N
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE	UJTMIRNFEXKGMS-KODRXGBYSA-N
2-CARBOXY-D-ARABINITOL	XONDRGRALZTVKD-KODRXGBYSA-N
2-CARBOXYMUCONATE	SLUDRBHRUDRZJZ-UHFFFAOYSA-N
2-CH2-GLUTARATE	CWNNYYIZGGDCHS-UHFFFAOYSA-N
2-CHLOROETHANOL	SZIFAVKTNFCBPC-UHFFFAOYSA-N
2-CHLOROETHYLAMINE	VKPPFDPXZWFDFA-UHFFFAOYSA-N
2-CHLOROMALEYLACETATE	QOHGUQUQCPIROQ-UHFFFAOYSA-N
2-CIS6-TRANS-FARNESOL	CRDAMVZIKSXKFV-PVMFERMNSA-N
2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE	WGZZDRVKIXVYEI-ZCFIWIBFSA-N
2-CL-MUCONATE	OZNNVVBQWHRHHH-UHFFFAOYSA-N
2-COUMARATE	PMOWTIHVNWZYFI-UHFFFAOYSA-N
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	RNQHMTFBUSSBJQ-CRCLSJGQSA-N
2-DEHYDRO-3-DEOXY-D-FUCONATE	FUXAFDRHJMUKBR-UHFFFAOYSA-N
2-DEHYDRO-3-DEOXY-D-GALACTONATE	IEJOUPVAAHGGOB-UHFFFAOYSA-N
2-DEHYDRO-3-DEOXY-D-GLUCONATE	IEJOUPVAAHGGOB-UHFFFAOYSA-N
2-DEHYDROPANTOATE	PKVVTUWHANFMQC-UHFFFAOYSA-N
2-DEHYDROPANTOYL-LACTONE	HRTOQFBQOFIFEE-UHFFFAOYSA-N
2-DEOXY-D-GLUCOSE-6-PHOSPHATE	UQJFZAAGZAYVKZ-CERMHHMHSA-N
2-DEOXY-D-GLUCOSE	PMMURAAUARKVCB-CERMHHMHSA-N
2-DEOXYGLUCOSE-6-PHOSPHATE	MBPFNOMGYSRGQZ-PBXRRBTRSA-N
2-DEOXYRIBOSE	ASJSAQIRZKANQN-CRCLSJGQSA-N
2-DH-3-DO-D-ARABINONATE	DQEWUYBUHMCRBK-UHFFFAOYSA-N
2-Dehydropyranoses	PHOQVHQSTUBQQK-UHFFFAOYSA-N
2-Deoxy-D-Ribofuranose	PDWIQYODPROSQH-PYHARJCCSA-N
2-Deoxy-D-Ribopyranose	ZVQAVWAHRUNNPG-PYHARJCCSA-N
2-ETHYLHEXAN-1-OL	YIWUKEYIRIRTPP-UHFFFAOYSA-N
2-ETHYLHEXYL-PHTHALATE	DJDSLBVSSOQSLW-UHFFFAOYSA-N
2-FLUOROBENZOATE	NSTREUWFTAOOKS-UHFFFAOYSA-N
2-FUROATE	SMNDYUVBFMFKNZ-UHFFFAOYSA-N
2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX	ZQXNZNKHQXLVCV-HGJBZHBGSA-N
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ	ATQQULXELMEJIX-NSUIJKAQSA-N
2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL	ZAGWHOPYPMUKOK-FRICUITQSA-N
2-HEXAPRENYL-6-METHOXYPHENOL	WVPRAWNIVDFQBO-DUBIXASGSA-N
2-HYDROXY-2-METHYLPROPANENITRILE	MWFMGBPGAXYFAR-UHFFFAOYSA-N
2-HYDROXY-23-DIHYDRODAIDZEIN	WBOWBLGZAXVREM-LBPRGKRZSA-N
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	RZXYJZFJJCQQNW-UHFFFAOYSA-N
2-HYDROXY-4-CARBOXYPYRIMIDINE	OEPPJKDEBZBNNG-UHFFFAOYSA-N
2-HYDROXY-6-2-CARBOXYPHENYL-6-OXO-24-	LROHOEZLJWAKQY-UHFFFAOYSA-N
2-HYDROXY-CHOLESTEROL	MCKLJFJEQRYRQT-HRQFAISJSA-N
2-HYDROXY-ESTRADIOL	DILDHNKDVHLEQB-UHFFFAOYSA-N
2-HYDROXYCYCLOHEXAN-1-ONE	ODZTXUXIYGJLMC-UHFFFAOYSA-N
2-HYDROXYDAIDZEIN	ZCTNPCRBEWXCGP-UHFFFAOYSA-N
2-HYDROXYDEOXYADENOSINE-5-TRIPHOSPHATE	UOACBPRDWRDEHJ-UHFFFAOYSA-N
2-HYDROXYFORMONONETIN	XKHHKXCBFHUOHM-UHFFFAOYSA-N
2-HYDROXYGLUTARIC_ACID	HWXBTNAVRSUOJR-UHFFFAOYSA-N
2-HYDROXYGLUTARYL-COA	ITRSBJZNLOYNNR-WZZMXTMRSA-N
2-HYDROXYISOFLAVANONE	YACUBWOKTPOMNW-UKRRQHHQSA-N
2-HYDROXYMETHYL-3-ACETAMIDOMETHYLENE	UPAZRRYNEDJMOP-UHFFFAOYSA-N
2-HYDROXYMETHYL-4-OXOBUTANOATE	QZXWGGGNYORFOK-UHFFFAOYSA-N
2-HYDROXYPHYTANOYL-COA	WNVFJMYPVBOLKV-YLNUKALLSA-N
2-HYDROXYPYRIDINE	UBQKCCHYAOITMY-UHFFFAOYSA-N
2-HYDROXYSUCCINAMATE	RTTYFXMXRFYCHM-UHFFFAOYSA-N
2-Hydroxy-2-methylbutyronitriles	VMEHOTODTPXCKT-UHFFFAOYSA-N
2-Hydroxyglutaryl-CoA-Dehydratases	ISVAEKDKOPJTJN-UHFFFAOYSA-N
2-IODOPHENOL-METHYL-ETHER	DVQWNQBEUKXONL-UHFFFAOYSA-N
2-IODOPHENOL	KQDJTBPASNJQFQ-UHFFFAOYSA-N
2-KETO-3-DEOXY-6-P-GLUCONATE	SYLXCVRSKMMIPW-UHFFFAOYSA-N
2-KETO-3-DEOXY-D-GLUCARATE	ICUKTPSQGAACET-UHFFFAOYSA-N
2-KETO-3-METHYL-VALERATE	HREXXXHMIGWWHU-UHFFFAOYSA-N
2-KETO-4-HYDROXY-5-AMINO-VALERATE	DDQXKGOCPLXWOJ-UHFFFAOYSA-N
2-KETO-6-ACETAMIDOCAPROATE	NZYGAEKMSXLJSM-UHFFFAOYSA-N
2-KETO-6-AMINO-CAPROATE	KKOQJRNPTCAJEY-UHFFFAOYSA-N
2-KETO-GLUTARAMATE	RNPYJWZUZPVCJJ-UHFFFAOYSA-N
2-KETO-ISOVALERATE	YXHQZJPTLDUABH-UHFFFAOYSA-N
2-KETO-L-GULONOLACTONE	CIWBSHSKHKDKBQ-UHFFFAOYSA-N
2-KETOGLUTARATE	TXZJKNIRHCEURY-UHFFFAOYSA-N
2-MERCAPTOETHANOL	DGVVWUTYPXICAM-UHFFFAOYSA-N
2-METHOXY-ESTRADIOL-17B	CQOQDQWUFQDJMK-WRWXEFHESA-N
2-METHOXYETHANOL	XNWFRZJHXBZDAG-UHFFFAOYSA-N
2-METHOXYETHYLAMINE	ASUDFOJKTJLAIK-UHFFFAOYSA-N
2-METHYL-3-HYDROXY-BUTYRYL-COA	PEKYNTFSOBAABV-LQUDNSJZSA-N
2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE	CTAUSEBHSLRMJW-BPAKYRGESA-N
2-METHYL-6-SOLANYL-14-BENZOQUINONE	SWKACZQJGXABCN-JSGWLJPKSA-N
2-METHYL-ACETO-ACETYL-COA	NHNODHRSCRALBF-NQNBQJKNSA-N
2-METHYL-BUTYRYL-COA	LYNVNYDEQMMNMZ-JRQZLUQRSA-N
2-METHYL-L-SERINE	CDUUKBXTEOFITR-UHFFFAOYSA-N
2-METHYLMALEATE	LVHBHZANLOWSRM-UHFFFAOYSA-N
2-METHYLPROPANAL-O-METHYLOXIME	BWDHKWDASNPZLC-UHFFFAOYSA-N
2-METHYLPROPANAL-OXIME	SYJPAKDNFZLSMV-UHFFFAOYSA-N
2-NITROTOLUENE	PLAZTCDQAHEYBI-UHFFFAOYSA-N
2-O-ALPHA-MANNOSYL-D-GLYCERATE	DDXCFDOPXBPUJC-SAYMMRJXSA-N
