external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
CPD-11696	InChI	charge changed, no H change	0	1	InChI=1S/C6H19O30P8/c7-37(8,9)29-1-2(30-38(10,11)12)4(32-40(16,17)18)6(34-44(27,28)36-42(22,23)24)5(3(1)31-39(13,14)15)33-43(25,26)35-41(19,20)21/h1-6H,(H,25,26)(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/p-13/t1-,2+,3-,4-,5+,6+/m0/s1	C6H6O30P8	-13	InChI=1S/C6H19O30P8/c7-37(8,9)29-1-2(30-38(10,11)12)4(32-40(16,17)18)6(34-44(27,28)36-42(22,23)24)5(3(1)31-39(13,14)15)33-43(25,26)35-41(19,20)21/h1-6H,(H,25,26)(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/q-1/p-13/t1-,2+,3-,4-,5+,6+/m0/s1	C6H6O30P8	-14
CPD-12610	InChI	H gained, no charge change	4	0	InChI=1S/Mn.2H2O/h;2*1H2	H4MnO2	0	InChI=1S/Mn.2O	MnO2	0
CPD-12755	SMILE	charge changed, no H change	0	1	O[P]([O-])=O	HO3P	-1	O=[P-]([O-])O	HO3P	-2
CPD-12755	InChI	charge changed, no H change	0	1	InChI=1S/H2O3P/c1-4(2)3/h(H2,1,2,3)/p-1	HO3P	-1	InChI=1S/HO3P/c1-4(2)3/h(H-,1,2,3)/q-2	HO3P	-2
CPD-13035	InChI	dH != dcharge	7	3	InChI=1S/C20H25N10O12P2S2.Mo.2H2O/c21-14-8-16(24-3-23-14)30(4-25-8)19-11(32)10(31)5(41-19)1-38-43(34,35)42-44(36,37)39-2-6-12(45)13(46)7-18(40-6)27-15-9(26-7)17(33)29-20(22)28-15;;;/h3-7,10-11,18-19,26,31-32H,1-2H2,(H9-,21,22,23,24,27,28,29,33,34,35,36,37,45,46);;2*1H2/q-1;+2;;/t5-,6?,7?,10-,11-,18?,19-;;;/m1.../s1	C20H29MoN10O14P2S2	1	InChI=1S/C20H26N10O12P2S2.Mo.2O/c21-14-8-16(24-3-23-14)30(4-25-8)19-11(32)10(31)5(41-19)1-38-43(34,35)42-44(36,37)39-2-6-12(45)13(46)7-18(40-6)27-15-9(26-7)17(33)29-20(22)28-15;;;/h3-7,10-11,18-19,26,31-32,45-46H,1-2H2,(H,34,35)(H,36,37)(H2,21,23,24)(H4,22,27,28,29,33);;;/q;+2;;/p-4/t5-,6?,7?,10-,11-,18?,19-;;;/m1.../s1	C20H22MoN10O14P2S2	-2
CPD-15870	InChI	dH != dcharge	8	3	InChI=1S/C10H14N5O6PS2.Mo.3H2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;3*1H2/q;+2;;;/p-2/t2-,3+,9-;;;;/m1..../s1	C10H18MoN5O9PS2	0	InChI=1S/C10H14N5O6PS2.Mo.3O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;;/q;+2;;;-1/p-4/t2-,3+,9-;;;;/m1..../s1	C10H10MoN5O9PS2	-3
CPD-15871	InChI	dH != dcharge	8	3	InChI=1S/C10H14N5O6PS2.Mo.2H2O.H2S/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;3*1H2/q;+2;;;/p-2/t2-,3+,9-;;;;/m1..../s1	C10H18MoN5O8PS3	0	InChI=1S/C10H14N5O6PS2.Mo.2O.S/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;;/q;+2;;-1;/p-4/t2-,3+,9-;;;;/m1..../s1	C10H10MoN5O8PS3	-3
CPD-15872	InChI	dH != dcharge	7	3	InChI=1S/C10H14N5O6PS2.C3H7NO2S.Mo.2H2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;4-2(1-7)3(5)6;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);2,7H,1,4H2,(H,5,6);;2*1H2/q;;+3;;/p-2/t2-,3+,9-;2-;;;/m10.../s1	C13H23MoN6O10PS3	1	InChI=1S/C10H14N5O6PS2.C3H7NO2S.Mo.2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;4-2(1-7)3(5)6;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);2,7H,1,4H2,(H,5,6);;;/q;;+3;;/p-5/t2-,3+,9-;2-;;;/m10.../s1	C13H16MoN6O10PS3	-2
CPD-15873	InChI	H gained, no charge change	2	0	InChI=1S/2C20H24N10O13P2S2.Mo.H2O/c2*21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;/h2*3-6,9-10,17-18,24,31-32H,1-2H2,(H9-2,21,22,25,26,27,28,29,33,34,35,36,37,38,46,47);;1H2/q2*-2;+4;/p-4/t2*4-,5-,6+,9-,10-,17-,18-;;/m11../s1	C40H46MoN20O27P4S4	-4	InChI=1S/2C20H26N10O13P2S2.Mo.O/c2*21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;/h2*3-6,9-10,17-18,24,31-32,46-47H,1-2H2,(H,35,36)(H,37,38)(H3,22,27,29,34)(H4,21,25,26,28,33);;/q;;+4;/p-8/t2*4-,5-,6+,9-,10-,17-,18-;;/m11../s1	C40H44MoN20O27P4S4	-4
CPD-15874	InChI	dH != dcharge	6	4	InChI=1S/2C10H14N5O6PS2.Mo.H2O/c2*11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;/h2*2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;1H2/q;;+4;/p-4/t2*2-,3+,9-;;/m11../s1	C20H26MoN10O13P2S4	0	InChI=1S/2C10H14N5O6PS2.Mo.O/c2*11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;/h2*2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;/q;;+4;/p-8/t2*2-,3+,9-;;/m11../s1	C20H20MoN10O13P2S4	-4
CPD-16499	InChI	dH != dcharge	20	8	InChI=1S/8Fe.18H2O.4O/h;;;;;;;;18*1H2;;;;/q2*+3;2*+4;2*+5;2*+6;;;;;;;;;;;;;;;;;;;;;;	H36Fe8O22	36	InChI=1S/8Fe.12H2O.4HO.6O/h;;;;;;;;12*1H2;4*1H;;;;;;/q2*+3;2*+4;2*+5;2*+6;;;;;;;;;;;;;4*+1;;;;;;/p-12	H16Fe8O22	28
CPD-16500	InChI	dH != dcharge	3	1	InChI=1S/Fe.2H2O/h;2*1H2/q+1;;	H4FeO2	1	InChI=1S/Fe.H2O.O/h;1H2;/q+1;;/p-1	HFeO2	0
CPD-17760	InChI	dH != dcharge	6	2	InChI=1S/C19H25N8O13P2S2.Mo.2H2O.H2Se/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;;/h1-2,5-6,8,10-11,16-17,23,28-29H,3-4H2,(H9-,20,21,22,24,25,26,30,31,32,33,34,35,43,44);;3*1H2/q-1;+2;;;/p-3/t5-,6-,8+,10-,11-,16-,17-;;;;/m1..../s1	C19H28MoN8O15P2S2Se	-2	InChI=1S/C19H26N8O13P2S2.Mo.2O.Se/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;;/h1-2,5-6,8,10-11,16-17,23,28-29,43-44H,3-4H2,(H,32,33)(H,34,35)(H2,20,22,31)(H4,21,24,25,26,30);;;;/q;+2;;2*-1/p-4/t5-,6-,8+,10-,11-,16-,17-;;;;/m1..../s1	C19H22MoN8O15P2S2Se	-4
CPD-18407	InChI	H gained, no charge change	10	0	InChI=1S/CH4.8Fe.3H2S.6HS/h1H4;;;;;;;;;3*1H2;6*1H	CH16Fe8S9	0	InChI=1S/C.8Fe.6HS.3S/h;;;;;;;;;6*1H;;;	CH6Fe8S9	0
CPD-18431	InChI	dH != dcharge	14	4	InChI=1S/CH4.7Fe.Mo.2H2O.3H2S.6HS.2H/h1H4;;;;;;;;;5*1H2;6*1H;;	CH22Fe7MoO2S9	0	InChI=1S/C.7Fe.Mo.2H2O.6HS.3S/h;;;;;;;;;2*1H2;6*1H;;;/q;;;;;;;;-2;;;;;;;;;;;/p-2	CH8Fe7MoO2S9	-4
CPD-18436	SMILE	H lost, no charge change	-1	0	O[C@@H]1[C@@H](COP([O-])([O-])=O)O[C@H]([C@@H]1O)[n+]1cc2C(O)=[S][Ni]3SC(=O)c(c1)c23	C12H11NNiO9PS2	-1	O=C1S[Ni]2c3c1c[n+]([C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)cc3C(O)=S~2	C12H12NNiO9PS2	-1
CPD-21	SMILE	H lost, no charge change	-2	0	[Tl+]	Tl	1	[TlH2+]	H2Tl	1
CPD-21374	InChI	H gained, no charge change	2	0	InChI=1S/2C20H24N10O13P2S2.H2O.W/c2*21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;/h2*3-6,9-10,17-18,24,31-32H,1-2H2,(H9-2,21,22,25,26,27,28,29,33,34,35,36,37,38,46,47);1H2;/q2*-2;;+4/p-4/t2*4-,5-,6+,9-,10-,17-,18-;;/m11../s1	C40H46N20O27P4S4W	-4	InChI=1S/2C20H26N10O13P2S2.O.W/c2*21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;/h2*3-6,9-10,17-18,24,31-32,46-47H,1-2H2,(H,35,36)(H,37,38)(H3,22,27,29,34)(H4,21,25,26,28,33);;/q;;;+4/p-8/t2*4-,5-,6+,9-,10-,17-,18-;;/m11../s1	C40H44N20O27P4S4W	-4
CPD-21744	SMILE	charge changed, no H change	0	1	F[P](F)(F)(F)(F)F	F6P	0	F[P-](F)(F)(F)(F)F	F6P	-1
CPD-21744	InChI	charge changed, no H change	0	1	InChI=1S/F6P/c1-7(2,3,4,5)6	F6P	0	InChI=1S/F6P/c1-7(2,3,4,5)6/q-1	F6P	-1
CPD-22911	InChI	dH != dcharge	6	1	InChI=1S/3H2O.V/h3*1H2;	H6O3V	0	InChI=1S/3O.V/q;;-1;	O3V	-1
CPD-22998	InChI	dH != dcharge	6	4	InChI=1S/2C10H14N5O6PS2.H2O.W/c2*11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;/h2*2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);1H2;/q;;;+4/p-4/t2*2-,3+,9-;;/m11../s1	C20H26N10O13P2S4W	0	InChI=1S/2C10H14N5O6PS2.O.W/c2*11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;/h2*2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;/q;;;+4/p-8/t2*2-,3+,9-;;/m11../s1	C20H20N10O13P2S4W	-4
CPD-22999	InChI	dH != dcharge	6	2	InChI=1S/C10H14N5O6PS2.2H2O.W/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);2*1H2;/q;;;+2/p-2/t2-,3+,9-;;;/m1.../s1	C10H16N5O8PS2W	0	InChI=1S/C10H14N5O6PS2.2O.W/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;;;+2/p-4/t2-,3+,9-;;;/m1.../s1	C10H10N5O8PS2W	-2
CPD-23	InChI	H gained, no charge change	6	0	InChI=1S/3Fe.3H2S/h;;;3*1H2	H6Fe3S3	0	InChI=1S/3Fe.3S	Fe3S3	0
CPD-23445	InChI	dH != dcharge	7	2	InChI=1S/C19H25N8O13P2S2.Mo.3H2O/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;;/h1-2,5-6,8,10-11,16-17,23,28-29H,3-4H2,(H9-,20,21,22,24,25,26,30,31,32,33,34,35,43,44);;3*1H2/q-1;+2;;;/p-2/t5-,6-,8+,10-,11-,16-,17-;;;;/m1..../s1	C19H29MoN8O16P2S2	-1	InChI=1S/C19H26N8O13P2S2.Mo.3O/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;;/h1-2,5-6,8,10-11,16-17,23,28-29,43-44H,3-4H2,(H,32,33)(H,34,35)(H2,20,22,31)(H4,21,24,25,26,30);;;;/q;+2;;;-1/p-4/t5-,6-,8+,10-,11-,16-,17-;;;;/m1..../s1	C19H22MoN8O16P2S2	-3
CPD-23673	InChI	dH != dcharge	6	2	InChI=1S/C19H25N8O13P2S2.Mo.2H2O.H2S/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;;/h1-2,5-6,8,10-11,16-17,23,28-29H,3-4H2,(H9-,20,21,22,24,25,26,30,31,32,33,34,35,43,44);;3*1H2/q-1;+3;;;/p-2/t5-,6-,8+,10-,11-,16-,17-;;;;/m1..../s1	C19H29MoN8O15P2S3	0	InChI=1S/C19H26N8O13P2S2.Mo.H2O.O.S/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;;/h1-2,5-6,8,10-11,16-17,23,28-29,43-44H,3-4H2,(H,32,33)(H,34,35)(H2,20,22,31)(H4,21,24,25,26,30);;1H2;;/q;+3;;;/p-5/t5-,6-,8+,10-,11-,16-,17-;;;;/m1..../s1	C19H23MoN8O15P2S3	-2
CPD-23698	SMILE	H gained, no charge change	2	0	O	H2O	0	[O]	O	0
CPD-23698	InChI	H gained, no charge change	2	0	InChI=1S/H2O/h1H2	H2O	0	InChI=1S/O	O	0
CPD-24383	InChI	dH != dcharge	11	8	InChI=1S/2C6H12O7.3H2O.2Sb/c2*7-1-2(8)3(9)4(10)5(11)6(12)13;;;;;/h2*2-5,7-11H,1H2,(H,12,13);3*1H2;;/q;;;;;+3;+4/p-2/t2*2-,3-,4+,5-;;;;;/m11...../s1	C12H28O17Sb2	5	InChI=1S/2C6H9O7.H2O.2O.2Sb/c2*7-1-2(8)3(9)4(10)5(11)6(12)13;;;;;/h2*2-5,7-8H,1H2,(H,12,13);1H2;;;;/q2*-3;;;-1;+3;+4/p-3/t2*2-,3-,4+,5-;;;;;/m11...../s1	C12H17O17Sb2	-3
CPD-24387	InChI	dH != dcharge	9	3	InChI=1S/4H2O.Sb.3H/h4*1H2;;;;/q;;;;+2;;;	H11O4Sb	2	InChI=1S/2H2O.2O.Sb/h2*1H2;;;/q;;;-1;+2/p-2	H2O4Sb	-1
CPD-25438	SMILE	H gained, no charge change	6	0	[FeH6+3].C[C@@H]1OC(=N[C@H]1C(=O)NCCCN(CCCNC(=O)c1cccc([O-])c1[O-])C(=O)[C@H]1N=C(O[C@@H]1C)c1cccc([O-])c1[O-])c1cccc([O-])c1[O-]	C35H39FeN5O11	-3	C[C@H]1[C@@H]2C(=O)NCCCN3CCCNC(=O)c4cccc5c4[O-][Fe+3]46([O-]5)([O-]c5cccc(c5[O-]4)C(=N2)O1)[O-]c1cccc(c1[O-]6)C1=N[C@@H]([C@@H](C)O1)C3=O	C35H33FeN5O11	-3
CPD-27	SMILE	H lost, no charge change	-2	0	[O-]P=O	O2P	-1	O=[PH2][O-]	H2O2P	-1
CPD-3	InChI	dH != dcharge	8	2	InChI=1S/Mo.4H2O/h;4*1H2	H8MoO4	0	InChI=1S/Mo.4O/q;;;2*-1	MoO4	-2
CPD-41	InChI	dH != dcharge	11	5	InChI=1S/C7H10O7.CH4.7Fe.Mo.3H2S.6HS/c8-4(9)1-2-7(14,6(12)13)3-5(10)11;;;;;;;;;;;;;;;;;;/h14H,1-3H2,(H,8,9)(H,10,11)(H,12,13);1H4;;;;;;;;;3*1H2;6*1H/q;;;;;;;;;+2;;;;;;;;;/p-3	C8H23Fe7MoO7S9	-1	InChI=1S/C7H9O7.C.7Fe.Mo.6HS.3S/c8-4(9)1-2-7(14,6(12)13)3-5(10)11;;;;;;;;;;;;;;;;;;/h1-3H2,(H,8,9)(H,10,11)(H,12,13);;;;;;;;;;6*1H;;;/q-1;-4;;;;;;;;+2;;;;;;;;;/p-3	C8H12Fe7MoO7S9	-6
CPD-4422	InChI	dH != dcharge	8	2	InChI=1S/Cr.4H2O/h;4*1H2	H8CrO4	0	InChI=1S/Cr.4O/q;;;2*-1	CrO4	-2
CPD-4584	InChI	dH != dcharge	8	3	InChI=1S/4H2O.V/h4*1H2;	H8O4V	0	InChI=1S/4O.V/q;3*-1;	O4V	-3
CPD-5	InChI	H gained, no charge change	2	0	InChI=1S/Fe.H2S/h;1H2	H2FeS	0	InChI=1S/Fe.S	FeS	0
CPD-527	InChI	H gained, no charge change	4	0	InChI=1S/Pb.H2S.2H/h;1H2;;	H4PbS	0	InChI=1S/Pb.S	PbS	0
CPD-582	InChI	H gained, no charge change	4	0	InChI=1S/C20H24N10O13P2S2.Mo.2H2O/c21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;;/h3-6,9-10,17-18,24,31-32H,1-2H2,(H9-2,21,22,25,26,27,28,29,33,34,35,36,37,38,46,47);;2*1H2/q-2;+2;;/p-2/t4-,5-,6+,9-,10-,17-,18-;;;/m1.../s1	C20H26MoN10O15P2S2	-2	InChI=1S/C20H26N10O13P2S2.Mo.2O/c21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;;/h3-6,9-10,17-18,24,31-32,46-47H,1-2H2,(H,35,36)(H,37,38)(H3,22,27,29,34)(H4,21,25,26,28,33);;;/q;+2;;/p-4/t4-,5-,6+,9-,10-,17-,18-;;;/m1.../s1	C20H22MoN10O15P2S2	-2
CPD-7	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2	H8Fe4S4	0	InChI=1S/4Fe.4S	Fe4S4	0
CPD-8123	InChI	dH != dcharge	6	2	InChI=1S/C10H14N5O6PS2.Mo.2H2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;2*1H2/q;+2;;/p-2/t2-,3+,9-;;;/m1.../s1	C10H16MoN5O8PS2	0	InChI=1S/C10H14N5O6PS2.Mo.2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;+2;;/p-4/t2-,3+,9-;;;/m1.../s1	C10H10MoN5O8PS2	-2
CPD-8124	InChI	dH != dcharge	6	2	InChI=1S/C10H14N5O6PS2.Mo.H2O.H2S/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;2*1H2/q;+2;;/p-2/t2-,3+,9-;;;/m1.../s1	C10H16MoN5O7PS3	0	InChI=1S/C10H14N5O6PS2.Mo.O.S/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;+2;;/p-4/t2-,3+,9-;;;/m1.../s1	C10H10MoN5O7PS3	-2
