external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
C15435	InChI	H gained, no charge change	6	0	InChI=1S/6C10H13.H2O.2Sn.4H/c6*1-10(2,3)9-7-5-4-6-8-9;;;;;;;/h6*4-8H,1H2,2-3H3;1H2;;;;;;	C60H84OSn2	0	InChI=1S/6C10H13.O.2Sn/c6*1-10(2,3)9-7-5-4-6-8-9;;;/h6*4-8H,1H2,2-3H3;;;	C60H78OSn2	0
C15455	InChI	dH != dcharge	8	2	InChI=1S/Mo.2Na.4H2O/h;;;4*1H2/q;2*+1;;;;	H8MoNa2O4	2	InChI=1S/Mo.2Na.4O/q;2*+1;;;2*-1	MoNa2O4	0
C18149	InChI	H gained, no charge change	6	0	InChI=1S/6C4H9.H2O.2Sn.4H/c6*1-3-4-2;;;;;;;/h6*1,3-4H2,2H3;1H2;;;;;;	C24H60OSn2	0	InChI=1S/6C4H9.O.2Sn/c6*1-3-4-2;;;/h6*1,3-4H2,2H3;;;	C24H54OSn2	0
C18237	InChI	H gained, no charge change	4	0	InChI=1S/C10H14N5O6PS2.Mo.2H2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;2*1H2/q;+2;;/p-2/t2-,3+,9-;;;/m1.../s1	C10H16MoN5O8PS2	0	InChI=1S/C10H14N5O6PS2.Mo.2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;+2;;/p-2/t2-,3+,9-;;;/m1.../s1	C10H12MoN5O8PS2	0
C18368	SMILE	H lost, no charge change	-1	0	[O-][Cl++][O-]	ClO2	0	O=[ClH]=O	HClO2	0
C18567	SMILE	H lost, no charge change	-4	0	[Tl+].[Tl+].[O-]S([O-])(=O)=O	O4STl2	0	O=S(=O)([O-])[O-].[TlH2+].[TlH2+]	H4O4STl2	0
C18728	InChI	H gained, no charge change	3	0	InChI=1S/3C6H5.C2H4O2.Sn.3H/c3*1-2-4-6-5-3-1;1-2(3)4;;;;/h3*1-5H;1H3,(H,3,4);;;;/q;;;;+1;;;/p-1	C20H21O2Sn	0	InChI=1S/3C6H5.C2H4O2.Sn/c3*1-2-4-6-5-3-1;1-2(3)4;/h3*1-5H;1H3,(H,3,4);/q;;;;+1/p-1	C20H18O2Sn	0
C18729	InChI	dH != dcharge	4	1	InChI=1S/3C6H5.H2O.Sn.3H/c3*1-2-4-6-5-3-1;;;;;/h3*1-5H;1H2;;;;/q;;;;+1;;;	C18H20OSn	1	InChI=1S/3C6H5.H2O.Sn/c3*1-2-4-6-5-3-1;;/h3*1-5H;1H2;/q;;;;+1/p-1	C18H16OSn	0
C19162	SMILE	H gained, no charge change	3	0	[32PH3]	H3P	0	[32P]	P	0
C19162	InChI	H gained, no charge change	3	0	InChI=1S/H3P/h1H3/i1+1	H3P	0	InChI=1S/P/i1+1	P	0
C19570	SMILE	H lost, no charge change	-6	0	[Te+4].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S	C20H40N4S8Te	0	CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[TeH6+4]	C20H46N4S8Te	0
C19600	SMILE	H gained, no charge change	2	0	[CaH2].Oc1ccccc1C([O-])=O.Oc1ccccc1C([O-])=O	C14H12CaO6	-2	c1cccc(c1C(=O)[O-][Ca][O-]C(=O)c1ccccc1O)O	C14H10CaO6	-2
C19600	InChI	H gained, no charge change	2	0	InChI=1S/2C7H6O3.Ca.2H/c2*8-6-4-2-1-3-5(6)7(9)10;;;/h2*1-4,8H,(H,9,10);;;/p-2	C14H12CaO6	-2	InChI=1S/2C7H6O3.Ca/c2*8-6-4-2-1-3-5(6)7(9)10;/h2*1-4,8H,(H,9,10);/p-2	C14H10CaO6	-2
C20296	SMILE	H lost, no charge change	-8	0	[As+5]	As	5	[AsH8+5]	H8As	5
C20298	SMILE	H lost, no charge change	-6	0	[As+3]	As	3	[AsH6+3]	H6As	3
C20679	InChI	dH != dcharge	6	2	InChI=1S/4H2O.W/h4*1H2;/q;;;;+2	H8O4W	2	InChI=1S/2H2O.2O.W/h2*1H2;;;/q;;;;+2/p-2	H2O4W	0
C00087	InChIKey	rehashed from the passed-through InChI			RWSOTUBLDIXVET-UHFFFAOYSA-N			NINIDFKCEFEMDL-UHFFFAOYSA-N		
C01529	InChIKey	rehashed from the passed-through InChI			SPVXKVOXSXTJOY-UHFFFAOYSA-N			BUGBHKTXTAQXES-UHFFFAOYSA-N		
C06232	InChIKey	rehashed from the passed-through InChI			SHTXPGOZOVLFDJ-UHFFFAOYSA-N			VLAPMBHFAWRUQP-UHFFFAOYSA-L		
C07638	InChIKey	rehashed from the passed-through InChI			JVRBMNRZTWRXEP-DAYBSGRSSA-L			CNSTYXABTOCMFI-BWLWYQTMSA-N		
C11092	InChIKey	rehashed from the passed-through InChI			MGSDXQRQHKVAID-UHFFFAOYSA-N			ONHBDDJJTDTLIR-UHFFFAOYSA-N		
C11093	InChIKey	rehashed from the passed-through InChI			DLRGIKHVWRESGW-UHFFFAOYSA-N			WCMMILVIRZAPLE-UHFFFAOYSA-M		
C11627	InChIKey	rehashed from the passed-through InChI			WLKFZIPHAMZKFM-UHFFFAOYSA-N			CTCUHZQONANKCN-UHFFFAOYSA-N		
C14413	InChIKey	rehashed from the passed-through InChI			FTZLJKPBXXOQCB-UHFFFAOYSA-M			NJVOZLGKTAPUTQ-UHFFFAOYSA-M		
C15224	InChIKey	rehashed from the passed-through InChI			BAFNXUSQQCMQON-UHFFFAOYSA-M			GCTFWCDSFPMHHS-UHFFFAOYSA-M		
C15227	InChIKey	rehashed from the passed-through InChI			WTRUCOOFZFRCMM-UHFFFAOYSA-N			KMUONIBRACKNSN-UHFFFAOYSA-N		
C15435	InChIKey	rehashed from the passed-through InChI			RZWDMJNLDRCXRI-UHFFFAOYSA-N			HOXINJBQVZWYGZ-UHFFFAOYSA-N		
C15455	InChIKey	rehashed from the passed-through InChI			WZRGHZUGGATYQJ-UHFFFAOYSA-N			TVXXNOYZHKPKGW-UHFFFAOYSA-N		
C18149	InChIKey	rehashed from the passed-through InChI			OTIPYRBRMOHHNV-UHFFFAOYSA-N			APQHKWPGGHMYKJ-UHFFFAOYSA-N		
C18237	InChIKey	rehashed from the passed-through InChI			VUKICSJFFDCESC-JSUDGWJLSA-L			HDAJUGGARUFROU-JSUDGWJLSA-L		
C18728	InChIKey	rehashed from the passed-through InChI			MIGKYGYAZOKFKI-UHFFFAOYSA-M			WDQNIWFZKXZFAY-UHFFFAOYSA-M		
C18729	InChIKey	rehashed from the passed-through InChI			NEMWKJDHCBHVMD-UHFFFAOYSA-N			BFWMWWXRWVJXSE-UHFFFAOYSA-M		
C19162	InChIKey	rehashed from the passed-through InChI			XYFCBTPGUUZFHI-OUBTZVSYSA-N			OAICVXFJPJFONN-OUBTZVSYSA-N		
C19600	InChIKey	rehashed from the passed-through InChI			VVQSSHVXJVVPMV-UHFFFAOYSA-L			PAIWCBLALQZCQN-UHFFFAOYSA-L		
C20679	InChIKey	rehashed from the passed-through InChI			KTSDEDGKPMDZKN-UHFFFAOYSA-N			CMPGARWFYBADJI-UHFFFAOYSA-L		
