external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
71308	InChI	dH != dcharge	5	1	InChI=1S/C19H25N8O13P2S2.Mo.2H2O/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;/h1-2,5-6,8,10-11,16-17,23,28-29H,3-4H2,(H9-,20,21,22,24,25,26,30,31,32,33,34,35,43,44);;2*1H2/q-1;+2;;/p-2/t5-,6-,8+,10-,11-,16-,17-;;;/m1.../s1	C19H27MoN8O15P2S2	-1	InChI=1S/C19H26N8O13P2S2.Mo.2O/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;/h1-2,5-6,8,10-11,16-17,23,28-29,43-44H,3-4H2,(H,32,33)(H,34,35)(H2,20,22,31)(H4,21,24,25,26,30);;;/q;+2;;/p-4/t5-,6-,8+,10-,11-,16-,17-;;;/m1.../s1	C19H22MoN8O15P2S2	-2
71310	InChI	H gained, no charge change	4	0	InChI=1S/C20H24N10O13P2S2.Mo.2H2O/c21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;;/h3-6,9-10,17-18,24,31-32H,1-2H2,(H9-2,21,22,25,26,27,28,29,33,34,35,36,37,38,46,47);;2*1H2/q-2;+2;;/p-2/t4-,5-,6+,9-,10-,17-,18-;;;/m1.../s1	C20H26MoN10O15P2S2	-2	InChI=1S/C20H26N10O13P2S2.Mo.2O/c21-19-26-13-7(15(33)28-19)24-6-12(47)11(46)5(41-17(6)25-13)2-40-45(37,38)43-44(35,36)39-1-4-9(31)10(32)18(42-4)30-3-23-8-14(30)27-20(22)29-16(8)34;;;/h3-6,9-10,17-18,24,31-32,46-47H,1-2H2,(H,35,36)(H,37,38)(H3,22,27,29,34)(H4,21,25,26,28,33);;;/q;+2;;/p-4/t4-,5-,6+,9-,10-,17-,18-;;;/m1.../s1	C20H22MoN10O15P2S2	-2
78619	InChI	dH != dcharge	4	1	InChI=1S/Fe.2H2O/h;2*1H2	H4FeO2	0	InChI=1S/Fe.2O/q;;-1	FeO2	-1
82685	InChI	dH != dcharge	6	2	InChI=1S/C10H14N5O6PS2.Mo.H2O.H2S/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;2*1H2/q;+2;;/p-2/t2-,3+,9-;;;/m1.../s1	C10H16MoN5O7PS3	0	InChI=1S/C10H14N5O6PS2.Mo.O.S/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;+2;;/p-4/t2-,3+,9-;;;/m1.../s1	C10H10MoN5O7PS3	-2
136511	InChIKey	rehashed from the passed-through InChI			PMQJYWORJJEMQC-UHFFFAOYSA-N			NUJOXMJBOLGQSY-UHFFFAOYSA-N		
167627	InChIKey	rehashed from the passed-through InChI			NOMBURWOVSHMGS-JKYQTTSOSA-B			IDTNQDIRRGSCRY-JKYQTTSOSA-F		
26833	InChIKey	rehashed from the passed-through InChI			RWSOTUBLDIXVET-UHFFFAOYSA-N			NINIDFKCEFEMDL-UHFFFAOYSA-N		
33722	InChIKey	rehashed from the passed-through InChI			NAJSYZUGFCKZAH-UHFFFAOYSA-N			YEAYMLBNRJYVPB-UHFFFAOYSA-N		
33723	InChIKey	rehashed from the passed-through InChI			HJDQPYPADMSZOV-UHFFFAOYSA-N			ISVAEKDKOPJTJN-UHFFFAOYSA-N		
33737	InChIKey	rehashed from the passed-through InChI			VOVWQTCZDOHBTK-UHFFFAOYSA-N			XSOVBBGAMBLACL-UHFFFAOYSA-N		
33738	InChIKey	rehashed from the passed-through InChI			ODBKBZPGVKAMPY-UHFFFAOYSA-N			MAGIRAZQQVQNKP-UHFFFAOYSA-N		
35404	InChIKey	rehashed from the passed-through InChI			QJJQCFFMTQDLQE-UHFFFAOYSA-N			ZCDOYSPFYFSLEW-UHFFFAOYSA-N		
36264	InChIKey	rehashed from the passed-through InChI			TVAATYMJWZHIQJ-UHFFFAOYSA-N			MEFBJEMVZONFCJ-UHFFFAOYSA-N		
46502	InChIKey	rehashed from the passed-through InChI			BDPNSNXYBGIFIE-UHFFFAOYSA-N			PBYZMCDFOULPGH-UHFFFAOYSA-N		
71302	InChIKey	rehashed from the passed-through InChI			VUKICSJFFDCESC-JSUDGWJLSA-L			HDAJUGGARUFROU-JSUDGWJLSA-J		
71305	InChIKey	rehashed from the passed-through InChI			GLERWSSHJKHBIA-JSUDGWJLSA-L			QWWPNXJTPPIHQR-JSUDGWJLSA-J		
71308	InChIKey	rehashed from the passed-through InChI			SBCQHXHLYCGFIS-RRNIHQQDSA-L			KGCKMLSJAXDKBP-RRNIHQQDSA-J		
71310	InChIKey	rehashed from the passed-through InChI			HVEPWZQYHVTJMN-JNXJJIQFSA-L			RQPREYSMTBNTJA-JNXJJIQFSA-J		
78619	InChIKey	rehashed from the passed-through InChI			HDMKAUUMGFGBRJ-UHFFFAOYSA-N			IADHXOUMHIHGLF-UHFFFAOYSA-N		
82685	InChIKey	rehashed from the passed-through InChI			DGWROKACVVSIEY-JSUDGWJLSA-L			QNGJROMMAHOOFQ-JSUDGWJLSA-J		
