ID	InChI_formula	InChI_charge	formula	charge	InChI_fragments	SMILES_fragments
cpd32631	C68H94CoN21O20P2	-2	C68H95CoN21O20P2	-1	3	1
cpd32726	C49H58FeN4O5	3	C49H56FeN4O5	1	2	1
cpd32755	C34H32FeN4O5	0	C34H29FeN4O5	-3	2	1
cpd32815	C71H98CoN18O18P	0	C71H99CoN18O18P	1	3	1
cpd32963	C62H85CoN14O14P	-1	C62H86CoN14O14P	0	3	1
cpd33038	C4H10HgNO2S	1	C4H9HgNO2S	0	3	1
cpd33040	C61H83CoN14O14P	-1	C61H84CoN14O14P	0	3	1
cpd33092	C10H10FeNO6	2	C10H8FeNO6	0	2	1
cpd33167	C13H16MoN6O10PS3	-2	C13H16MoN6O10PS3	-2	5	1
cpd33242	C34H29FeN4O10	-1	C34H26FeN4O10	-4	2	1
cpd33274	C68H96CoN21O17P	1	C68H96CoN21O17P	1	3	1
cpd33400	C12H19Fe2N2O4	5	C12H18Fe2N2O4	4	3	1
cpd33420	Mo7O24	-6	Mo7O24	-6	31	1
cpd33436	C19H22MoN8O15P2S2Se	-4	C19H23MoN8O15P2S2Se	-3	5	1
cpd33595	C61H84CoN13O18P2	-4	C61H86CoN13O18P2	-2	3	1
cpd33598	C42H47N6NiO13	-4	C42H46N6NiO13	-5	2	1
cpd33606	C34H36FeN4O4	0	C34H34FeN4O4	-2	2	1
cpd33626	C70H96CoN18O18P	0	C70H97CoN18O18P	1	3	1
cpd33637	C71H97CoN18O20P2	-2	C71H98CoN18O20P2	-1	3	1
cpd33647	C20H20MoN10O13P2S4	-4	C20H20MoN10O13P2S4	-4	4	1
cpd33692	C11H17HgN3O6S	-2	C11H18HgN3O6S	-1	3	1
cpd33731	C63H89CoN13O15P	-2	C63H91CoN13O15P	0	3	1
cpd33770	C60H88CoN16O14P	0	C60H88CoN16O14P	0	3	1
cpd33800	C30H28FeN4O4	0	C30H26FeN4O4	-2	2	1
cpd33817	C48H70CoN11O8	-1	C48H72CoN11O8	1	2	1
cpd33854	C62H88CoN13O15P	-1	C62H89CoN13O15P	0	3	1
cpd33941	C69H95CoN21O20P2	-3	C69H97CoN21O20P2	-1	3	1
cpd34081	C62H89CoN14O16P	7	C62H88CoN14O16P	6	3	1
cpd34134	C70H97CoN16O18P	-1	C70H99CoN16O18P	1	3	1
cpd34195	CH6Fe8S9	0	CH6Fe8S9	0	18	1
cpd34276	C40H44N20O27P4S4W	-4	C40H44N20O27P4S4W	-4	4	1
cpd34307	C61H87CoN11O15P	-2	C61H89CoN11O15P	0	3	1
cpd34346	C10H10MoN5O8PS3	-3	C10H10MoN5O8PS3	-3	5	1
cpd34381	C70H97CoN16O21P2	-2	C70H98CoN16O21P2	-1	3	1
cpd34742	C34H31FeN4O10	-1	C34H28FeN4O10	-4	2	1
cpd34747	C70H95CoN18O20P2	-2	C70H96CoN18O20P2	-1	3	1
cpd34761	C35H33FeN4O6	-1	C35H31FeN4O6	-3	2	1
cpd34773	C60H82CoN12O15P	-2	C60H84CoN12O15P	0	3	1
cpd34815	C60H85CoN17O14P	0	C60H85CoN17O14P	0	3	1
cpd34886	C69H95CoN16O18P	-1	C69H97CoN16O18P	1	3	1
cpd35011	Cl2Cu	0	Cl2Cu	0	3	1
cpd35026	C61H86CoN13O14P	-1	C61H87CoN13O14P	0	3	1
cpd35028	C34H29FeN4O10	0	C34H26FeN4O10	-3	2	1
cpd35168	C6H12HgN2O3S	0	C6H12HgN2O3S	0	3	1
cpd35179	C60H85CoN11O15P	-2	C60H87CoN11O15P	0	3	1
cpd35194	C40H44MoN20O27P4S4	-4	C40H44MoN20O27P4S4	-4	4	1
cpd35277	C63H86CoN14O15P	-2	C63H88CoN14O15P	0	3	1
cpd35324	C12H28O14Ti	6	C12H22O14Ti	0	3	1
cpd35386	C71H98CoN18O17P	0	C71H99CoN18O17P	1	3	1
cpd35389	C40H40FeN4O12	-4	C40H38FeN4O12	-6	2	1
cpd35424	C33H33FeN4O6	3	C33H29FeN4O6	-1	2	1
cpd35548	C67H94CoN21O17P	1	C67H94CoN21O17P	1	3	1
cpd35617	CH8Fe7MoO2S9	-4	CH8Fe7MoO2S9	-4	20	1
cpd35689	C72H98CoN18O21P2	-3	C72H100CoN18O21P2	-1	3	1
cpd35715	C59H86CoN16O14P	0	C59H86CoN16O14P	0	3	1
cpd35719	C62H85CoN14O15P	-1	C62H86CoN14O15P	0	3	1
cpd35760	C49H58FeN4O7	0	C49H56FeN4O7	-2	2	1
cpd35904	C45H57CoN5O13	-2	C45H54CoN5O13	-5	2	1
cpd35944	C72H99CoN18O18P	-1	C72H101CoN18O18P	1	3	1
cpd35994	C34H36FeN4O4S2	0	C34H34FeN4O4S2	-2	2	1
cpd36390	C34H32FeN4O4	2	C34H30FeN4O4	0	2	1
cpd37276	H2Pb	0	H2Pb	0	3	1
cpd37301	C34H36FeN4O4S2	2	C34H34FeN4O4S2	0	2	1
cpd37618	C42H47N6NiO14	-5	C42H47N6NiO14	-5	2	1
cpd37699	C12H12NNiO9PS2	0	C12H11NNiO9PS2	-1	2	1
cpd38044	C40H40FeN4O12	-4	C40H38FeN4O12	-6	2	1
cpd38045	C34H31FeN4O10	-1	C34H28FeN4O10	-4	2	1
cpd38299	C34H49FeN6O11	2	C34H46FeN6O11	-1	2	1
cpd38330	C20H18FeN2O11	1	C20H15FeN2O11	-2	2	1
cpd38454	C42H45FeN3O25	1	C42H41FeN3O25	-3	2	1
cpd38455	C36H35FeN3O20	1	C36H31FeN3O20	-3	2	1
cpd38456	C42H46FeN3O26	0	C42H42FeN3O26	-4	2	1
cpd38457	C36H36FeN3O21	0	C36H32FeN3O21	-4	2	1
cpd38458	C26H28FeN2O16	1	C26H25FeN2O16	-2	2	1
cpd38459	C32H38FeN2O21	1	C32H35FeN2O21	-2	2	1
cpd38460	C16H20FeNO11	2	C16H18FeNO11	0	2	1
cpd39350	C40H60Fe2N12O24S6	-6	C40H60Fe2N12O24S6	-6	8	1
cpd39653	C72H101CoN18O17P	1	C72H101CoN18O17P	1	3	1
cpd39840	Fe2S2	2	Fe2S2	2	4	1
cpd39841	Fe2S2	1	Fe2S2	1	4	1
cpd40028	C45H58CoN6O12	-3	C45H56CoN6O12	-5	2	1
cpd40033	C35H32MgN4O5	2	C35H29MgN4O5	-1	2	1
cpd40077	C42H42CoN4O16	-4	C42H38CoN4O16	-8	2	1
cpd40078	C43H46CoN4O16	-4	C43H43CoN4O16	-7	2	1
cpd40087	C35H35MgN4O5	1	C35H33MgN4O5	-1	2	1
cpd40088	C35H33MgN4O5	1	C35H31MgN4O5	-1	2	1
cpd40089	C35H35MgN4O4	1	C35H33MgN4O4	-1	2	1
cpd40109	C49H57FeN4O6	-1	C49H56FeN4O6	-2	2	1
