modelseed_rxn,name,ec,enzyme_name,equation_definition,equation_ids,tecrdb_reaction,n_measurements,match_tier,dGpredictor_modelseed_dG_kJ,tecrdb_dG_kJ,diff_kJ,abs_diff_kJ,dGpredictor_modelseed_dG_kcal,tecrdb_dG_kcal,diff_kcal,abs_diff_kcal,dGpredictor_modelseed_err_kJ,tecrdb_dG_sd_kJ,combined_err_kJ,significant,other_GroupContribution_dG_kJ,other_dGPredictor_original_dG_kJ,other_eQuilibrator_dG_kJ,tecrdb_dG_min_kJ,tecrdb_dG_max_kJ,pH_min,pH_max,T_min,T_max,ms_orientation_vs_canonical,reactants_smiles,products_smiles,reaction_smiles,reaction_smiles_complete
rxn02046,D-O-Phosphoserine phosphohydrolase,3.1.3.1;3.1.3.3,alkaline phosphatase;phosphoserine phosphatase,(1) H2O[0] + (1) D-O-Phosphoserine[0] => (1) Phosphate[0] + (1) D-Serine[0],(1) cpd00001[0] + (1) cpd01665[0] => (1) cpd00009[0] + (1) cpd00550[0],kegg:C01005 + kegg:C00001 = kegg:C00065 + kegg:C00009,101,skeleton,21.517,-10.405,31.922,31.922,5.143,-2.487,7.629,7.629,83.32,2.022,83.344,False,30.208,21.506,-18.087,-16.684,-6.367,5.0,10.0,298.2,313.4,same,1 O; 1 [NH3+][C@H](COP(=O)([O-])[O-])C(=O)[O-],1 O=P([O-])([O-])O; 1 [NH3+][C@H](CO)C(=O)[O-],O.[NH3+][C@H](COP(=O)([O-])[O-])C(=O)[O-]>>O=P([O-])([O-])O.[NH3+][C@H](CO)C(=O)[O-],True
rxn15191,D-xylose aldose-ketose-isomerase,5.3.1.15;5.3.1.3;5.3.1.4;5.3.1.5;5.3.1.7,D-lyxose ketol-isomerase;L-arabinose isomerase;arabinose isomerase;mannose isomerase;xylose isomerase,(1) alpha-D-Xylose[0] <=> (1) D-Lyxulose[0],(1) cpd01487[0] <=> (1) cpd00259[0],kegg:C00181 = kegg:C00310 | kegg:C00216 = kegg:C00309 | kegg:C00259 = kegg:C00508 | kegg:C00476 = kegg:C00310,40,skeleton,-27.657,4.163,-31.82,31.82,-6.61,0.995,-7.605,7.605,65.027,1.234,65.039,False,-3.724,-27.656,14.552,2.373,8.107,6.0,8.7,298.15,348.15,reversed,1 O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O,1 OCC1(O)OC[C@@H](O)[C@@H]1O,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O>>OCC1(O)OC[C@@H](O)[C@@H]1O,True
rxn38835,XYLISOM-RXN.g,5.3.1.15;5.3.1.3;5.3.1.4;5.3.1.5;5.3.1.7,D-lyxose ketol-isomerase;L-arabinose isomerase;arabinose isomerase;mannose isomerase;xylose isomerase,(1) alpha-D-Xylose[0] <=> (1) D-Lyxulose[0],(1) cpd01487[0] <=> (1) cpd00259[0],kegg:C00181 = kegg:C00310 | kegg:C00216 = kegg:C00309 | kegg:C00259 = kegg:C00508 | kegg:C00476 = kegg:C00310,40,skeleton,-27.657,4.163,-31.82,31.82,-6.61,0.995,-7.605,7.605,65.027,1.234,65.039,False,-3.724,-27.656,14.552,2.373,8.107,6.0,8.7,298.15,348.15,reversed,1 O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O,1 OCC1(O)OC[C@@H](O)[C@@H]1O,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O>>OCC1(O)OC[C@@H](O)[C@@H]1O,True
rxn15359,"alpha,alpha-Trehalose:orthophosphate beta-D-glucosyltransferase",2.4.1.64,",-trehalose phosphorylase",(1) Phosphate[0] + (1) TRHL[0] <= (1) beta-D-Glucose[0] + (1) beta-D-Glucose 1-phosphate[0],(1) cpd00009[0] + (1) cpd00794[0] <= (1) cpd00190[0] + (1) cpd00501[0],kegg:C01083 + kegg:C00009 = kegg:C00031 + kegg:C00103,2,skeleton,37.142,5.489,31.652,31.652,8.877,1.312,7.565,7.565,65.039,2.558,65.089,False,-43.221,37.154,11.832,3.68,7.298,6.3,7.0,310.15,310.15,same,1 O=P([O-])([O-])O; 1 OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1 OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O; 1 O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,True
rxn27383,"alpha,alpha-trehalose phosphate synthase (UDP-forming)",2.4.1.15,",-trehalose-phosphate synthase (UDP-forming)",(1) alpha-D-Glucose 6-phosphate[0] + (1) UDP-GLUCOSE[0] <=> (1) UDP[0] + (1) Trehalose 6-phosphate[0],(1) cpd19006[0] + (1) cpd28293[0] <=> (1) cpd00014[0] + (1) cpd00523[0],kegg:C00029 + kegg:C00092 = kegg:C00015 + kegg:C00689,1,skeleton,-40.944,-9.513,-31.431,31.431,-9.786,-2.274,-7.512,7.512,39.873,0.0,39.873,False,-7.113,-40.961,-26.828,-9.513,-9.513,6.1,6.1,310.15,310.15,same,1 O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O; 1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn29922,UDP-glucose-glucosephosphate glucosyltransferase,2.4.1.15,",-trehalose-phosphate synthase (UDP-forming)",(1) alpha-D-Glucose 6-phosphate[0] + (1) UDP-GLUCOSE[0] <=> (1) UDP[0] + (1) Trehalose 6-phosphate[0],(1) cpd19006[0] + (1) cpd28293[0] <=> (1) cpd00014[0] + (1) cpd00523[0],kegg:C00029 + kegg:C00092 = kegg:C00015 + kegg:C00689,1,skeleton,-40.944,-9.513,-31.431,31.431,-9.786,-2.274,-7.512,7.512,39.873,0.0,39.873,False,-7.113,-40.961,-26.828,-9.513,-9.513,6.1,6.1,310.15,310.15,same,1 O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O; 1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn15192,D-xylose aldose-ketose-isomerase,5.3.1.15;5.3.1.3;5.3.1.4;5.3.1.5;5.3.1.7,D-lyxose ketol-isomerase;L-arabinose isomerase;arabinose isomerase;mannose isomerase;xylose isomerase,(1) beta-D-Xylose[0] <=> (1) D-Lyxulose[0],(1) cpd01422[0] <=> (1) cpd00259[0],kegg:C00181 = kegg:C00310 | kegg:C00216 = kegg:C00309 | kegg:C00259 = kegg:C00508 | kegg:C00476 = kegg:C00310,40,skeleton,-26.822,4.163,-30.985,30.985,-6.411,0.995,-7.406,7.406,67.422,1.234,67.433,False,-3.724,-26.819,14.552,2.373,8.107,6.0,8.7,298.15,348.15,reversed,1 O[C@@H]1[C@@H](O)[C@H](O)OC[C@H]1O,1 OCC1(O)OC[C@@H](O)[C@@H]1O,O[C@@H]1[C@@H](O)[C@H](O)OC[C@H]1O>>OCC1(O)OC[C@@H](O)[C@@H]1O,True
rxn03643,D-arabino-hex-3-ulose-6-phosphate formaldehyde-lyase (D-ribulose-5-phosphate-forming),4.1.2.-;4.1.2.43,3-Hexulose-6-Phosphate synthase;D-arabino-3-hexulose phosphate formaldehyde lyase,(1) Formaldehyde[0] + (1) D-Ribulose5-phosphate[0] <=> (1) D-arabino-6-Phospho-hex-3-ulose[0],(1) cpd00055[0] + (1) cpd00171[0] <=> (1) cpd03583[0],kegg:C00199 + kegg:C00067 = kegg:C06019 | kegg:C06019 = kegg:C00199 + kegg:C00067,2,stereo_exact,-56.468,-25.524,-30.943,30.943,-13.496,-6.1,-7.396,7.396,7.112,0.0,7.112,True,-21.84,-56.484,-26.962,-25.524,-25.524,7.0,7.0,303.15,303.15,same,1 C=O; 1 O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],1 O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],C=O.O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]>>O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],True
rxn15189,xylitol:NADP+ oxidoreductase,1.1.1.21,aldehyde reductase,(1) NADP[0] + (1) Xylitol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) alpha-D-Xylose[0],(1) cpd00006[0] + (1) cpd00306[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd01487[0],kegg:C00379 + kegg:C00006 = kegg:C00181 + kegg:C00005,2,skeleton,42.792,11.909,30.884,30.884,10.228,2.846,7.381,7.381,65.023,3.298,65.106,False,19.79,42.802,4.816,9.577,14.241,7.5,7.8,298.15,298.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H](O)[C@H](O)[C@@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H](O)[C@H](O)[C@@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O,True
rxn03644,D-arabino-hex-3-ulose-6-phosphate isomerase,5.3.1.-;5.3.1.27,3-Hexulose-6-Phosphate Isomerase;phospho-3-hexuloisomerase,(1) D-arabino-6-Phospho-hex-3-ulose[0] <=> (1) D-fructose-6-phosphate[0],(1) cpd03583[0] <=> (1) cpd00072[0],kegg:C06019 = kegg:C00085,2,stereo_exact,-44.032,-13.199,-30.833,30.833,-10.524,-3.155,-7.369,7.369,7.111,0.0,7.111,True,-7.322,-44.016,-14.92,-13.199,-13.199,7.0,7.0,303.15,303.15,reversed,1 O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],1 O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,True
rxn02620,ATP:lombricine N-phosphotransferase,2.7.3.5,lombricine kinase,(1) ATP[0] + (1) D-Lombricine[0] <=> (1) ADP[0] + (1) H+[0] + (1) N-Phospho-D-lombricine[0],(1) cpd00002[0] + (1) cpd01190[0] <=> (1) cpd00008[0] + (1) cpd00067[0] + (1) cpd01838[0],kegg:C00002 + kegg:C14177 = kegg:C00008 + kegg:C14178,1,skeleton,-39.491,-8.88,-30.612,30.612,-9.439,-2.122,-7.316,7.316,72.344,0.0,72.344,False,134.725,-39.497,16.23,-8.88,-8.88,7.25,7.25,308.15,308.15,same,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 NC(=[NH2+])NCCOP(=O)([O-])OC[C@@H]([NH3+])C(=O)[O-],1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 [H+]; 1 NC(NCCOP(=O)([O-])OC[C@@H]([NH3+])C(=O)[O-])=[NH+]P(=O)([O-])[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.NC(=[NH2+])NCCOP(=O)([O-])OC[C@@H]([NH3+])C(=O)[O-]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+].NC(NCCOP(=O)([O-])OC[C@@H]([NH3+])C(=O)[O-])=[NH+]P(=O)([O-])[O-],True
rxn01010,UDP-glucuronate 5'-epimerase,5.1.3.6,UDPglucuronate 4-epimerase,(1) UDPglucuronate[0] <=> (1) UDP-L-iduronate[0],(1) cpd00144[0] <=> (1) cpd01556[0],kegg:C00167 = kegg:C00617,3,skeleton,-29.639,0.677,-30.316,30.316,-7.084,0.162,-7.246,7.246,69.21,1.122,69.219,False,0.0,-29.623,0.51,0.246,2.369,7.5,7.5,298.15,310.15,reversed,1 O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1 O=C([O-])[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>O=C([O-])[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn50083,32619,1.1.1.153,sepiapterin reductase,"(1) NADP[0] + (1) L-threo-7,8-Dihydrobiopterin[0] <=> (1) NADPH[0] + (1) H+[0] + (1) sepiapterin[0]",(1) cpd00006[0] + (1) cpd21493[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd39208[0],kegg:C02953 + kegg:C00006 = kegg:C00835 + kegg:C00005,9,skeleton,38.002,7.8,30.201,30.201,9.083,1.864,7.218,7.218,80.404,1.173,80.413,False,3.222,37.991,19.477,5.058,9.577,7.6,8.06,298.15,298.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 C[C@H](O)[C@@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 CC(O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@H](O)[C@@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].CC(O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,True
rxn48240,L-glucose 1-dehydrogenase (NAD+),1.1.1.47,glucose dehydrogenase,"(1) NAD[0] + (1) L-Glucose[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-glucono-1,5-lactone[0]",(1) cpd00003[0] + (1) cpd24421[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd34574[0],kegg:C00031 + kegg:C00003 = kegg:C00198 + kegg:C00004,2,skeleton,-34.943,-4.796,-30.146,30.146,-8.352,-1.146,-7.205,7.205,80.383,2.87,80.434,False,-8.242,-34.936,-15.975,-6.826,-2.767,6.7,7.0,294.15,303.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 O=C1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O=C1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn15190,xylitol:NADP+ oxidoreductase,1.1.1.21,aldehyde reductase,(1) NADP[0] + (1) Xylitol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) beta-D-Xylose[0],(1) cpd00006[0] + (1) cpd00306[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd01422[0],kegg:C00379 + kegg:C00006 = kegg:C00181 + kegg:C00005,2,skeleton,41.958,11.909,30.049,30.049,10.028,2.846,7.182,7.182,67.42,3.298,67.5,False,19.79,41.966,4.816,9.577,14.241,7.5,7.8,298.15,298.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H](O)[C@H](O)[C@@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 O[C@@H]1[C@@H](O)[C@H](O)OC[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H](O)[C@H](O)[C@@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O[C@@H]1[C@@H](O)[C@H](O)OC[C@H]1O,True
rxn15222,Maltose:phosphate 1-beta-D-glucosyltransferase,2.4.1.20;2.4.1.8,cellobiose phosphorylase;maltose phosphorylase,(1) Phosphate[0] + (1) Maltose[0] <= (1) beta-D-Glucose 1-phosphate[0] + (1) alpha-D-Glucose[0],(1) cpd00009[0] + (1) cpd00179[0] <= (1) cpd00501[0] + (1) cpd19001[0],kegg:C00185 + kegg:C00009 = kegg:C00031 + kegg:C00103 | kegg:C00208 + kegg:C00009 = kegg:C00031 + kegg:C00103,5,skeleton,33.822,3.79,30.032,30.032,8.084,0.906,7.178,7.178,65.171,0.381,65.172,False,-43.221,33.807,9.477,2.938,3.79,7.0,7.0,310.15,310.15,same,1 O=P([O-])([O-])O; 1 OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1 O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O; 1 OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O>>O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn15560,maltose:phosphate 1-beta-D-glucosyltransferase,2.4.1.20;2.4.1.8,cellobiose phosphorylase;maltose phosphorylase,(1) Phosphate[0] + (1) Maltose[0] <= (1) beta-D-Glucose 1-phosphate[0] + (1) alpha-D-Glucose[0],(1) cpd00009[0] + (1) cpd00179[0] <= (1) cpd00501[0] + (1) cpd19001[0],kegg:C00185 + kegg:C00009 = kegg:C00031 + kegg:C00103 | kegg:C00208 + kegg:C00009 = kegg:C00031 + kegg:C00103,5,skeleton,33.822,3.79,30.032,30.032,8.084,0.906,7.178,7.178,65.171,0.381,65.172,False,-43.221,33.807,9.477,2.938,3.79,7.0,7.0,310.15,310.15,same,1 O=P([O-])([O-])O; 1 OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1 O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O; 1 OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O>>O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn15550,trehalose 6-phosphate:phosphate b-D-glucosyltransferase,2.4.1.216,trehalose-6-phosphate phosphorylase,(1) Phosphate[0] + (1) Trehalose 6-phosphate[0] <= (1) beta-D-Glucose 1-phosphate[0] + (1) alpha-D-Glucose 6-phosphate[0],(1) cpd00009[0] + (1) cpd00523[0] <= (1) cpd00501[0] + (1) cpd19006[0],kegg:C00689 + kegg:C00009 = kegg:C00103 + kegg:C00092,2,skeleton,38.481,9.085,29.396,29.396,9.197,2.171,7.026,7.026,65.107,0.376,65.108,False,-43.221,38.493,21.493,8.819,9.351,6.3,7.0,308.15,308.15,reversed,1 O=P([O-])([O-])O; 1 O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1 O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O; 1 O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])O.O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn15248,Inosine ribohydrolase,3.2.2.2,inosine nucleosidase,(1) H2O[0] + (1) Inosine[0] <=> (1) HYXN[0] + (1) beta-D-Ribofuranose[0],(1) cpd00001[0] + (1) cpd00246[0] <=> (1) cpd00226[0] + (1) cpd16443[0],kegg:C00294 + kegg:C00001 = kegg:C00262 + kegg:C00121,1,skeleton,17.339,-12.026,29.364,29.364,4.144,-2.874,7.018,7.018,60.354,0.0,60.354,False,-3.054,17.322,-14.87,-12.026,-12.026,7.5,7.5,310.15,310.15,reversed,1 O; 1 O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1 O=c1[nH]cnc2[nH]cnc12; 1 OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O,O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O>>O=c1[nH]cnc2[nH]cnc12.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O,True
