rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	grade_GC	dg_EQ	grade_EQ	dg_DGPMS	grade_DGPMS	dg_TECRDB	grade_TECRDB	best_grade	best_source
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2.5.1.9	CI:1	0	3	6.8308	False	-60.9900	BRONZE	-18.0440	BRONZE	43.0100	BRONZE			BRONZE	GC
rxn00050	rxn00050	1.14.13.-	OK	0	3	4.0617	False	105.6200	BRONZE	126.6690	BRONZE	47.8200	BRONZE			BRONZE	GC
rxn00051	D-urobilinogen:oxygen oxidoreductase		OK	0	3	5.2690	False	-84.1100	BRONZE	-115.7620	BRONZE	-36.8200	BRONZE			BRONZE	GC
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	1.1.3.23	OK	0	3	0.6643	False	-41.4800	SILVER	-40.2820	SILVER	-33.3900	SILVER			SILVER	GC
rxn00053	Prostaglandin H2:oxygen oxidoreductase	1.14.99.1	OK	0	1		False					-18.2300	BRONZE			BRONZE	DGPMS
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	1.10.3.4	OK	0	2	3.1837	False	-286.3000	BRONZE			-218.5300	BRONZE			BRONZE	GC
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	2.5.1.43	CI:-1	0	2	0.0038	False	-24.4600	SILVER			-24.3800	SILVER			SILVER	GC
rxn00056	Fe(II):oxygen oxidoreductase	1.16.3.1	OK	0	2	2.0718	False			-16.2210	BRONZE	-4.1600	BRONZE			BRONZE	EQ
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	1.1.3.14;1.10.3.1	OK	0	2	3.4303	False	-264.9200	BRONZE			-191.9000	BRONZE			BRONZE	GC
rxn00058	Ferrocytochrome-c:oxygen oxidoreductase	1.7.2.1;1.9.3.1	OK	0	0		False										
rxn00059	Benzenediol:oxygen oxidoreductase	1.10.3.2	CI:-4	0	0		False										
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	2.5.1.61;4.3.1.8	OK	0	3	2.8148	False	-25.9700	BRONZE	-44.9130	BRONZE	-38.4800	BRONZE			BRONZE	GC
rxn00061	ATP diphosphohydrolase (phosphate-forming)	3.6.1.5	OK	0	3	2.1105	False	-23.0700	BRONZE	-12.1230	GOLD	-13.7400	GOLD			GOLD	EQ
