rxn	name	ec	source	dg	sigma	operator	ehat	p_ok	z	birge	n_src	struct_zero	grade	reason	n_anchor	n_proxy
rxn00096	ADP:ATP adenylyltransferase	2.7.7.53	Group contribution	2.5300	14.9300	=	3.6940	0.5594	0.3648	0.3153	3	False	SILVER	corroborated	802	11318
rxn00097	ATP:AMP phosphotransferase	2.7.4.3	Group contribution	9.5000	14.8800	=	3.6940	0.5594	2.6341	1.9266	3	False	BRONZE	uncorroborated	802	11318
rxn00098	Adenosine-tetraphosphate phosphohydrolase	3.6.1.14	Group contribution	-6.7800	8.6800	>	3.6853	0.5594	0.4265	0.3332	3	False	SILVER	corroborated	802	11318
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	4.2.1.93	Group contribution	-13.0700	14.8200	>	3.6940	0.5594	0.1119	0.9988	3	False	SILVER	corroborated	802	11318
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	2.7.1.24	Group contribution	-14.0000	13.0200	>	3.6853	0.5594	3.8634	2.9125	3	False	BRONZE	outvoted	802	11318
rxn00101	Urea amidohydrolase	3.5.1.5	Group contribution	-5.8100	1.0000	>	1.1118	0.8382	0.4210	1.2450	3	False	SILVER	self-confident	802	11318
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	4.2.1.1	Group contribution	0.8100	0.0000	=	0.0000	1.0000	0.0382	0.8807	3	False	GOLD	self-certain	802	11318
rxn00103	formate:NADP+ oxidoreductase	1.17.1.10;1.2.1.43	Group contribution	-3.0900	12.2100	>	3.6853	0.5594	0.1934	1.0251	3	False	SILVER	corroborated	802	11318
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	2.7.7.1;2.7.7.18	Group contribution	1.0700	11.4100	=	3.6853	0.5594	0.3594	0.6986	3	False	SILVER	corroborated	802	11318
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2.7.4.6	Group contribution	0.0000	10.1400	=	3.6853	0.5594	0.1233	1.2620	3	False	SILVER	corroborated	802	11318
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	2.7.4.12	Group contribution	-9.5000	10.1200	=	3.6853	0.5594	2.4761	2.0500	3	False	BRONZE	uncorroborated	802	11318
rxn00109	ammonia:NAD+ oxidoreductase	1.7.1.10;1.7.99.1	Group contribution	23.0300	12.3000	<	3.6853	0.5594	0.6064	1.6377	2	False	BRONZE	uncorroborated	802	11318
rxn00112	rxn00112	1.13.12.-	Group contribution	-71.0400	1.5900	>	2.0964	0.6581	0.5923	2.6783	2	False	BRONZE	uncorroborated	802	11318
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	6.3.4.16;6.3.4.16-	Group contribution	-16.8100	17.2600	>	3.6940	0.5594	4.4793	3.2522	3	False	BRONZE	outvoted	802	11318
rxn00114	ATP:carbamate phosphotransferase	2.7.2.2	Group contribution	-10.0300	8.6600	=	3.6853	0.5594	4.4363	3.2365	3	False	BRONZE	outvoted	802	11318
rxn00115	R00152		Group contribution	139.8300	12.8500	<	3.6853	0.5594	5.5881	7.1240	2	False	BRONZE	outvoted	802	11318
rxn00116	UDP phosphohydrolase	3.6.1.5;3.6.1.6	Group contribution	-16.2800	5.4200	>	3.6853	0.5594	2.6155	1.8821	3	False	BRONZE	uncorroborated	802	11318
rxn00117	ATP:UDP phosphotransferase	2.7.4.6	Group contribution	-0.0000	10.1300	=	3.6853	0.5594	0.0462	0.2989	3	True	BRONZE	uncorroborated	802	11318
rxn00118	Uridine triphosphate:AMP phosphotransferase	2.7.4.10	Group contribution	9.5000	10.1200	=	3.6853	0.5594	2.5469	1.8178	3	False	BRONZE	uncorroborated	802	11318
rxn00119	ATP:UMP phosphotransferase	2.7.4.14;2.7.4.22;2.7.4.4	Group contribution	9.5000	10.1200	=	3.6853	0.5594	2.6328	1.8849	3	False	BRONZE	uncorroborated	802	11318
rxn00120	UTP phosphohydrolase	3.6.1.15;3.6.1.39;3.6.1.5	Group contribution	-6.7800	5.4500	>	3.6853	0.5594	0.0363	0.0887	3	False	SILVER	corroborated	802	11318
rxn00121	FAD nucleotidohydrolase	3.6.1.18;3.6.1.9	Group contribution	-28.3100	13.6500	>	3.6940	0.5594	7.0549	9.4520	3	False	BRONZE	outvoted	802	11318
rxn00122	ATP:FMN adenylyltransferase	2.7.7.2	Group contribution	1.0700	13.6900	=	3.6940	0.5594	2.3448	7.6160	3	False	BRONZE	uncorroborated	802	11318
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	3.1.3.74	Group contribution	7.2200	4.8200	=	3.6853	0.5594	2.6547	1.9227	3	False	BRONZE	uncorroborated	802	11318
rxn00124	ATP:pyridoxal 5'-phosphotransferase	2.7.1.35	Group contribution	-14.0000	9.8100	=	3.6853	0.5594	2.7193	1.9687	3	False	BRONZE	uncorroborated	802	11318
rxn00125	S-Adenosyl-L-methionine hydrolase	3.3.1.2	Group contribution	-7.4400	9.6700	=	3.6853	0.5594	0.8661	2.3390	2	False	BRONZE	uncorroborated	802	11318
rxn00126	ATP:L-methionine S-adenosyltransferase	2.5.1.6	Group contribution	-12.5800	9.7900	>	3.6853	0.5594	0.3211	0.8671	2	False	SILVER	corroborated	802	11318
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	4.1.1.50	Group contribution	-3.1200	10.4100	>	3.6853	0.5594	0.6256	1.6767	3	False	BRONZE	uncorroborated	802	11318
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	4.4.1.14	Group contribution	-3.0200	10.2300	=	3.6853	0.5594	0.0711	0.1919	2	False	SILVER	corroborated	802	11318
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	2.5.1.4	Group contribution	1.8500	9.8400	=	3.6853	0.5594	0.0536	0.1447	2	False	SILVER	corroborated	802	11318
rxn00130	AMP aminohydrolase	3.5.4.17;3.5.4.6	Group contribution	-8.5100	8.1800	>	3.6853	0.5594	0.4059	1.0481	3	False	SILVER	corroborated	802	11318
rxn00131	AMP phosphoribohydrolase	3.2.2.4	Group contribution	-0.7300	8.5800	=	3.6853	0.5594	0.9147	0.6563	3	False	SILVER	corroborated	802	11318
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	3.1.3.5	Group contribution	7.2200	8.6500	=	3.6853	0.5594	2.8278	2.0251	3	False	BRONZE	uncorroborated	802	11318
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	3.6.1.17;3.6.1.61	Group contribution	-18.8100	14.9000	>	3.6940	0.5594	2.1694	1.5780	3	False	BRONZE	uncorroborated	802	11318
rxn00134	ATP:adenosine 5'-phosphotransferase	2.7.1.20;2.7.1.74	Group contribution	-14.0000	12.1600	>	3.6853	0.5594	2.7990	2.0793	3	False	BRONZE	uncorroborated	802	11318
rxn00136	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	3.6.1.29	Group contribution	-18.8100	14.8800	>	3.6940	0.5594	0.3350	0.9030	2	False	SILVER	corroborated	802	11318
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	3.1.3.7	Group contribution	7.2200	8.6500	=	3.6853	0.5594	2.8056	3.5839	3	False	BRONZE	uncorroborated	802	11318
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	6.3.1.5;6.3.5.1	Group contribution	-22.5200	15.0000	>	3.6940	0.5594	4.6700	3.4119	3	False	BRONZE	outvoted	802	11318
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	2.4.2.7;2.4.2.8	Group contribution	12.5100	8.6400	<	3.6853	0.5594	2.0883	1.4957	3	False	BRONZE	uncorroborated	802	11318
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	3.1.4.17;3.1.4.53	Group contribution	-18.7900	9.7200	>	3.6853	0.5594	2.2302	2.0777	3	False	BRONZE	uncorroborated	802	11318
rxn00141	S-Adenosyl-L-homocysteine hydrolase	3.3.1.1	Group contribution	5.6800	8.8600	=	3.6853	0.5594	0.6946	0.4983	3	False	SILVER	corroborated	802	11318
rxn00142	S-Adenosyl-L-homocysteine aminohydrolase	3.5.4.28	Group contribution	-8.5100	8.4900	>	3.6853	0.5594	1.0196	1.2489	3	False	BRONZE	uncorroborated	802	11318
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	3.2.2.9	Group contribution	-0.7300	8.8800	=	3.6853	0.5594	0.8339	0.6516	3	False	SILVER	corroborated	802	11318
rxn00144	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	4.3.1.15	Group contribution	-3.8300	1.0700	>	1.1118	0.8382	3.2730	2.8850	3	False	BRONZE	outvoted	802	11318
rxn00147	ATP:pyruvate,water phosphotransferase	2.7.9.2	Group contribution	-21.1700	8.7600	>	3.6853	0.5594	5.5685	4.0604	3	False	BRONZE	outvoted	802	11318
rxn00148	ATP:pyruvate 2-O-phosphotransferase	2.7.1.40	Group contribution	-4.8900	8.7000	=	3.6853	0.5594	2.9503	2.2523	3	False	BRONZE	uncorroborated	802	11318
rxn00149	pyruvaldehyde:NAD+ oxidoreductase	1.2.1.22;1.2.1.23;1.2.1.3	Group contribution	-9.7400	12.2300	=	3.6853	0.5594	0.4933	0.3627	3	False	SILVER	corroborated	802	11318
rxn00150	2-Oxopropanal:NADP+ oxidoreductase	1.2.1.49	Group contribution	-9.7400	12.2000	=	3.6853	0.5594	0.4728	0.3469	3	False	SILVER	corroborated	802	11318
rxn00151	ATP:pyruvate,phosphate phosphotransferase	2.7.9.1	Group contribution	-25.3500	8.8100	>	3.6853	0.5594	7.7443	5.6241	3	False	BRONZE	outvoted	802	11318
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	1.2.3.3	Group contribution	-45.7200	1.2800	>	1.9775	0.6581	3.5078	2.6825	3	False	BRONZE	outvoted	802	11318
rxn00153	Phosphoenolpyruvate phosphohydrolase	3.1.3.60	Group contribution	-1.8900	1.6600	>	2.0964	0.6581	5.0579	3.6659	3	False	BRONZE	outvoted	802	11318
rxn00154	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	1.2.1.-;1.2.1.M10;1.2.4.1;1.8.1.4;2.3.1.12	Group contribution	-8.1400	15.7100	=	3.6940	0.5594	0.0475	0.5463	3	False	SILVER	corroborated	802	11318
rxn00155	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	1.2.1.51	Group contribution	-8.1400	15.6900	=	3.6940	0.5594	0.0668	0.5287	3	False	SILVER	corroborated	802	11318
rxn00156	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)	1.2.3.6	Group contribution	-39.8800	9.9000	>	3.6853	0.5594	0.0065	0.3510	3	False	SILVER	corroborated	802	11318
rxn00157	Acetyl-CoA:formate C-acetyltransferase	2.3.1.54	Group contribution	5.0500	9.9500	=	3.6853	0.5594	0.3032	1.1703	3	False	SILVER	corroborated	802	11318
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)	4.3.1.13	Group contribution	-6.4900	1.5200	>	2.0964	0.6581	1.9319	5.7115	2	False	BRONZE	uncorroborated	802	11318
