rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	dg_EQ	dg_DGP	dg_openTECR	best_grade	best_source
rxn00104	polyphosphate kinase	2.7.4.1	OK	0	1		False			-6.75		BRONZE	DGP
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	2.7.7.1;2.7.7.18	OK	0	3	0.6388497893459042	False	1.07	-0.8	0.43	0.530114722753346	GOLD	openTECR
rxn00106	Triphosphate phosphohydrolase	3.6.1.1;3.6.1.25	OK	0	1		False			-0.31		BRONZE	DGP
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2.7.4.6	OK	0	3	1.3383758208804684	False	0.0	1.96	-0.37		GOLD	DGP
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	2.7.4.12	OK	0	3	2.1185555234853637	False	-9.5	-2.04	0.48		GOLD	DGP
rxn00109	ammonia:NAD+ oxidoreductase	1.7.1.10;1.7.99.1	OK	0	2	1.6281142167110583	False	23.03		39.33		SILVER	DGP
rxn00110	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,	1.14.13.35	MI:C:1/H:2|CI:1	0	0		False						
rxn00111	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,	1.14.13.35	MI:C:1/H:2|CI:1	0	0		False						
rxn00112	rxn00112	1.13.12.-	CI:-2	0	2	2.6951510952472946	False	-71.04		-45.65		BRONZE	DGP
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	6.3.4.16;6.3.4.16-	OK	0	3	2.936920934824471	False	-16.81	1.65	1.76		BRONZE	EQ
rxn00114	ATP:carbamate phosphotransferase	2.7.2.2	OK	0	3	2.929243225801523	False	-10.03	7.95	8.83		BRONZE	EQ
rxn00115	R00152		MI:H:-3/O:-2|CI:-1	0	2	6.843991239995701	False	139.83		106.36		BRONZE	DGP
rxn00116	UDP phosphohydrolase	3.6.1.5;3.6.1.6	OK	0	3	1.7240671072917346	False	-16.28	-6.12	-6.59		GOLD	DGP
rxn00117	ATP:UDP phosphotransferase	2.7.4.6	OK	0	3	0.34437232467399187	True	-0.0	0.17	-0.37	-0.045889101338432124	GOLD	openTECR
rxn00118	Uridine triphosphate:AMP phosphotransferase	2.7.4.10	OK	0	3	1.725613046755226	False	9.5	-0.21	-0.03		GOLD	DGP
