CHEBI_1178	BITYXLXUCSKTJS-ZETCQYMHSA-L
CHEBI_11805	DBXBTMSZEOQQDU-UHFFFAOYSA-M
CHEBI_11812	DNOPJXBPONYBLB-UHFFFAOYSA-M
CHEBI_11851	QHKABHOOEWYVLI-UHFFFAOYSA-M
CHEBI_11867	KIQFUORWRVZTHT-OPTMKGCMSA-M
CHEBI_1189	WHEUWNKSCXYKBU-QPWUGHHJSA-N
CHEBI_11892	JSJWCHRYRHKBBW-UHFFFAOYSA-M
CHEBI_11893	RHCPKKNRWFXMAT-RRWYKFPJSA-M
CHEBI_11901	MIHNUBCEFJLAGN-DMMBONCOSA-M
CHEBI_11909	AURFZBICLPNKBZ-FZCSVUEKSA-N
CHEBI_11935	XSSDYIMYZONMBL-BZNQNGANSA-M
CHEBI_11944	VVQVMHASNBSOOC-UHFFFAOYSA-M
CHEBI_11951	UZTFMUBKZQVKLK-UHFFFAOYSA-M
CHEBI_11987	XSAOGXMGZVFIIE-UHFFFAOYSA-M
CHEBI_12040	SOXXPQLIZIPMIZ-UHFFFAOYSA-L
CHEBI_12060	QPVLKMICBYRPSX-KQYNXXCUSA-N
CHEBI_121196	ZLLAXLPOOMLVRF-UHFFFAOYSA-N
CHEBI_12154	MGTZCLMLSSAXLD-UHFFFAOYSA-M
CHEBI_1230	HIWPGCMGAMJNRG-RTPHMHGBSA-N
CHEBI_1233	YNPGYMZVNLIZLD-BQFKTQOQSA-N
CHEBI_1235	MARGKPIMNMASKJ-CMAXTTDKSA-N
CHEBI_125358	KAWMSLLRABYLGN-UHFFFAOYSA-N
CHEBI_125610	ATDWJOOPFDQZNK-UHFFFAOYSA-N
CHEBI_125678	OFSAJYZMIPNPHE-UHFFFAOYSA-N
CHEBI_128	WUOACPNHFRMFPN-SECBINFHSA-N
CHEBI_12855	YDRSQRPHLBEPTP-WDSKDSINSA-N
CHEBI_12875	PMOWTIHVNWZYFI-AATRIKPKSA-M
CHEBI_128753	MDSIZRKJVDMQOQ-GORDUTHDSA-K
CHEBI_12876	NGSWKAQJJWESNS-ZZXKWVIFSA-M
CHEBI_128769	NUHSROFQTUXZQQ-UHFFFAOYSA-K
CHEBI_129	LFJQCDVYDGGFCH-SNVBAGLBSA-N
CHEBI_12931	RGHNJXZEOKUKBD-MGCNEYSASA-M
CHEBI_1294	ISBSSBGEYIBVTO-TYKWNDPBSA-N
CHEBI_12952	IAJILQKETJEXLJ-RSJOWCBRSA-M
CHEBI_1301	RZPAXNJLEKLXNO-QUOSNDFLSA-N
CHEBI_13022	BJHIKXHVCXFQLS-PYWDMBMJSA-N
CHEBI_1307	BDHQMRXFDYJGII-UEBIAWITSA-N
CHEBI_131146	ZTFGOPUOTATSAL-UHFFFAOYSA-N
CHEBI_13115	RGHNJXZEOKUKBD-QTBDOELSSA-M
CHEBI_131445	GESPQCUXDWNNGU-HDRQGHTBSA-J
CHEBI_131446	POAXUNDIOGWQOC-UHFFFAOYSA-M
CHEBI_131447	OLOTULRNHWZRKJ-FUEUKBNZSA-J
CHEBI_131448	UQBIAGWOJDEOMN-WHFFQBEVSA-N
CHEBI_131450	AKEUNCKRJATALU-UHFFFAOYSA-M
CHEBI_131564	AZHSPOPOMNJPFD-BVHTXILBSA-M
CHEBI_131607	BDCFWIDZNLCTMF-UHFFFAOYSA-N
CHEBI_131636	BUODSFMRSSLUIZ-FFJBUIDMSA-L
CHEBI_131639	CWINBXDYHKMJMR-FFJBUIDMSA-M
CHEBI_131650	RZQCPFXISXNJHP-UHFFFAOYSA-K
CHEBI_131651	UMYBWZRTMKDYRF-IHWYPQMZSA-K
CHEBI_131704	BCBHDSLDGBIFIX-UHFFFAOYSA-M
CHEBI_131706	BWCRWWBHRAOURT-VYOXQMNSSA-N
CHEBI_131707	LHJBIZHHMPOXFL-CRCLSJGQSA-N
CHEBI_131711	OWHGXOODGNBQRG-ZETCQYMHSA-M
CHEBI_131717	JCZFNXYQGNLHDQ-JWXFUTCRSA-N
CHEBI_131718	LOAQFXHGDMJPJC-WUAMPTBBSA-M
CHEBI_13172	BJHIKXHVCXFQLS-OTWZMJIISA-N
CHEBI_131720	FVCDMHWSPLRYAB-RXMQYKEDSA-N
CHEBI_131725	JWFCYWSMNRLXLX-UJJXFSCMSA-J
CHEBI_131738	IGZPHNNYPPAPLA-OAQYLSRUSA-N
CHEBI_131766	HRBCPXBJAWPPIC-FLISOKMQSA-J
CHEBI_131767	TZCZUVPSFJZERP-GSVOUGTGSA-L
CHEBI_131780	FFVUICCDNWZCRC-ZSJPKINUSA-J
CHEBI_131783	NUFXPJOTSOMKFZ-HQJQHLMTSA-M
CHEBI_131797	GPWMCZLMCJWORL-KZGJKODISA-L
CHEBI_131798	KTSZDHMDBQVCIB-WUAMPTBBSA-M
CHEBI_131845	BTVWZWFKMIUSGS-UHFFFAOYSA-N
CHEBI_131846	HNVAGBIANFAIIL-UHFFFAOYSA-N
CHEBI_131847	CQZFXXYDOLONCO-VKHMYHEASA-M
CHEBI_131849	QRDCEYBRRFPBMZ-DMTCNVIQSA-L
CHEBI_131856	NZGSNQJCTOMELT-UHFFFAOYSA-M
CHEBI_131857	BAJLPQKQXYOBIY-MNPZXIHOSA-L
CHEBI_131894	PZPHIQQEQWCEGG-DOFZRALJSA-L
CHEBI_131914	XAPNKXIRQFHCHN-QGOAFFKASA-N
CHEBI_131915	OJUJNNKCVPCATE-QGOAFFKASA-N
CHEBI_131916	AEUPUFUMWGIQGG-UHFFFAOYSA-N
CHEBI_131919	SAVAPYNOQXYBJS-ARFHVFGLSA-N
CHEBI_131920	CWTCWGGPTVMMLT-INDMIFKZSA-N
CHEBI_131921	OUDSFQBUEBFSPS-UHFFFAOYSA-L
CHEBI_131922	IFQUWYZCAGRUJN-UHFFFAOYSA-M
CHEBI_131928	NDCGVLJXFQKXOF-UHFFFAOYSA-N
CHEBI_131929	PLVPPLCLBIEYEA-AATRIKPKSA-M
CHEBI_131932	FHYQIQMSODIFCP-WARYXCEBSA-M
CHEBI_131933	WJCNWNKOLJMKJE-WARYXCEBSA-M
CHEBI_131934	JTHPLBUVRLOJBB-VCPQXCNPSA-L
CHEBI_131935	JTHPLBUVRLOJBB-KCILRPRFSA-L
CHEBI_131936	WJCNWNKOLJMKJE-ZMOFONSMSA-M
CHEBI_131937	FHYQIQMSODIFCP-ZMOFONSMSA-M
CHEBI_131943	MRVDZOHJMLTLHJ-MCZZQJTKSA-J
CHEBI_131944	JVEFYXPCQBMMAA-DPXGSKNSSA-J
CHEBI_131948	CWTCWGGPTVMMLT-FCGDIQPGSA-N
CHEBI_131957	NNCBVXBBLABOCB-JXOMPUQVSA-N
CHEBI_131958	FFAHMRSFNLJTHE-WGHUZSCTSA-M
CHEBI_131962	CSCVMTFVEARIET-WQIYAIRVSA-J
CHEBI_131964	JBSCUHKPLGKXKH-KZTFMOQPSA-M
CHEBI_131965	JBSCUHKPLGKXKH-LLZJRKGESA-M
CHEBI_131969	DXOYQVHGIODESM-LZXKBWHHSA-M
CHEBI_131970	DXOYQVHGIODESM-MFYAFOOZSA-M
CHEBI_131971	MUDZFKKAMBPIJZ-XLDPMVHQSA-L
CHEBI_131973	CUYPWOPOBAHCCE-PELKAZGASA-L
CHEBI_131974	DBWQSCSXHFNTMO-ZZMPYBMWSA-M
CHEBI_131975	DBWQSCSXHFNTMO-QJVNBQAESA-M
CHEBI_131978	INPMVLIHPFWVLB-NSHDSACASA-L
CHEBI_131979	NIZJSPFBUVJPIU-UHFFFAOYSA-L
CHEBI_131980	MJALVONLCNWZHK-UHFFFAOYSA-L
CHEBI_131981	RMSOWPIMGWWPCR-PELKAZGASA-M
CHEBI_131989	WYIMORDZGCUBAA-AREMUKBSSA-N
CHEBI_131990	UAKGSVLISZWLCH-SCNZGMGCSA-J
CHEBI_131992	VBQNSZQZRAGRIX-QNEBEIHSSA-M
CHEBI_132003	XMQOCNWUNJVNBJ-LBPRGKRZSA-M
CHEBI_132005	WGOVWFNMPRCMBJ-MRVPVSSYSA-M
CHEBI_132008	IVURTNNWJAPOML-UHFFFAOYSA-N
CHEBI_132011	PZIQDUSGQUZEBS-ZDUSSCGKSA-L
CHEBI_132012	KGMBPSVUBJAAEN-HNNXBMFYSA-L
CHEBI_132013	JIQRMRIKUIPMRV-KRWDZBQOSA-L
CHEBI_132014	WBQLWGUAQDSZRE-IBGZPJMESA-L
CHEBI_132015	MVHUOSAYFQKAMT-NRFANRHFSA-L
CHEBI_132016	OPPIPPRXLIDJKN-JPURVOHMSA-M
CHEBI_132017	HDTINWYIVVMRIN-QHCPKHFHSA-L
CHEBI_132018	JSWBEHRITPIXLC-VWLOTQADSA-L
CHEBI_132019	JEKNPVYFNMZRJG-UFINWASNSA-M
CHEBI_132020	UPYNKWYJRGJDLW-PVNVRVFMSA-L
CHEBI_132021	FIWSQOCVKNESKS-JWGNTNLOSA-L
CHEBI_132022	RZGFUGXQKMEMOO-BSANDHCLSA-M
CHEBI_132024	GXGFNSDOYGEKLT-OFROGHSZSA-M
CHEBI_132025	IXAMNXQQWDOFMN-NZONWQNASA-M
CHEBI_132026	LPMWIQNZVQKTBR-DYRGNDFMSA-M
CHEBI_132028	BHTRKEVKTKCXOH-LBSADWJPSA-M
CHEBI_132029	KPBOLLJJMHIJPH-PQZOIKATSA-M
CHEBI_132030	GHCZAUBVMUEKKP-XROMFQGDSA-M
CHEBI_132031	KNFJWKJXKURGQU-UHFFFAOYSA-M
CHEBI_132042	KCFRUUYAXCDZNZ-UHFFFAOYSA-M
CHEBI_132043	XPZFMHCHEWYIGE-UHFFFAOYSA-M
CHEBI_132045	LPDJCYFKKSLKRO-UHFFFAOYSA-M
CHEBI_132047	LMIJIHJZVURGQK-UHFFFAOYSA-M
CHEBI_132048	VQNADUSXOPUIFY-UHFFFAOYSA-M
CHEBI_132049	DDCFSFYOVZMRHL-UHFFFAOYSA-M
CHEBI_132060	YUNYSWCRLRYOPO-DOFZRALJSA-M
CHEBI_132061	SSECKXODJGCASI-KUJNIBRASA-M
CHEBI_132062	MGJLNRAMOCXZAS-BPVVGZHASA-M
CHEBI_132063	FRAUAYJDJWCREF-UZZJIDQZSA-M
CHEBI_132064	UZCLYICSWADYGM-VHIAHCGJSA-M
CHEBI_132065	FRAUAYJDJWCREF-FEXRMQIKSA-M
