ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
q-cyto-c	ubiquinol-cytochrome-c reductase (complex III)	(2) feri(cpd00109)[0] (2) h(cpd00067)[0] qh2(cpd11665)[0] => (2) fero(cpd00110)[0] (4) h(cpd00067)[1] q(cpd11669)[0]	Y	N	N	Y	frxn00007	
r0001	L-amino-acid oxidase	h2o(cpd00001)[0] ile(cpd00322)[0] o2(cpd00007)[0] => h2o2(cpd00025)[0] nh3(cpd00013)[0] omval(cpd00508)[0]	N	N	Y	Y	rxn01574	(1) H2O[0] + (1) O2[0] + (1) L-Isoleucine[0] => (1) NH3[0] + (1) H2O2[0] + (1) 3MOP[0]
r0002	L-amino-acid oxidase	asp(cpd00041)[0] h2o(cpd00001)[0] o2(cpd00007)[0] => h2o2(cpd00025)[0] nh3(cpd00013)[0] oa(cpd00032)[0]	N	N	Y	Y	rxn00262	(1) H2O[0] + (1) O2[0] + (1) L-Aspartate[0] => (1) NH3[0] + (1) H2O2[0] + (1) Oxaloacetate[0]
r0003	aspartate racemase	asp(cpd00041)[0] => dasp(cpd00320)[0]	N	N	Y	Y	rxn00348	(1) L-Aspartate[0] <=> (1) D-Aspartate[0]
r0004	D-amino-acid oxidase 	dasp(cpd00320)[0] h2o(cpd00001)[0] o2(cpd00007)[0] => h2o2(cpd00025)[0] nh3(cpd00013)[0] oa(cpd00032)[0]	N	N	Y	Y	rxn00263	(1) H2O[0] + (1) O2[0] + (1) D-Aspartate[0] => (1) NH3[0] + (1) H2O2[0] + (1) Oxaloacetate[0]
r0005	D-amino-acid oxidase 	dasp(cpd00320)[0] h2o(cpd00001)[0] o2(cpd00007)[0] => h2o2(cpd00025)[0] nh3(cpd00013)[0] oa(cpd00032)[0]	N	N	Y	Y	rxn00263	(1) H2O[0] + (1) O2[0] + (1) D-Aspartate[0] => (1) NH3[0] + (1) H2O2[0] + (1) Oxaloacetate[0]
r0006	aspartate aminotransferase	akg(cpd00024)[0] asp(cpd00041)[0] => glu(cpd00023)[0] oa(cpd00032)[0]	N	N	Y	Y	rxn00260	(1) 2-Oxoglutarate[0] + (1) L-Aspartate[0] <=> (1) L-Glutamate[0] + (1) Oxaloacetate[0]
r0007	aspartate aminotransferase, mitchondrial	glu(cpd00023)[0] oa(cpd00032)[0] => akg(cpd00024)[0] asp(cpd00041)[0]	N	N	Y	Y	rxn00260	(1) 2-Oxoglutarate[0] + (1) L-Aspartate[0] <=> (1) L-Glutamate[0] + (1) Oxaloacetate[0]
r0008	Alanine transaminase	akg(cpd00024)[0] ala(cpd00035)[0] => glu(cpd00023)[0] pyr(cpd00020)[0]	N	N	Y	Y	rxn00191	(1) 2-Oxoglutarate[0] + (1) L-Alanine[0] <=> (1) Pyruvate[0] + (1) L-Glutamate[0]
r0009	Alanine transaminase	akg(cpd00024)[0] ala(cpd00035)[0] => glu(cpd00023)[0] pyr(cpd00020)[0]	N	N	Y	Y	rxn00191	(1) 2-Oxoglutarate[0] + (1) L-Alanine[0] <=> (1) Pyruvate[0] + (1) L-Glutamate[0]
r0010	Alanine-glyoxylate transaminase	ala(cpd00035)[0] glx(cpd00040)[0] => gly(cpd00033)[0] pyr(cpd00020)[0]	N	N	Y	Y	rxn00272	(1) L-Alanine[0] + (1) Glyoxalate[0] <=> (1) Pyruvate[0] + (1) Glycine[0]
r0011	succinate-semialdehyde dehydrogenase	h2o(cpd00001)[0] nadp(cpd00006)[0] succsal(cpd00199)[0] => (2) h(cpd00067)[0] nadph(cpd00005)[0] succ(cpd00036)[0]	N	N	Y	Y	rxn00509	(1) H2O[0] + (1) NADP[0] + (1) 4-Oxobutanoate[0] <=> (1) NADPH[0] + (1) Succinate[0] + (2) H+[0]
r0012	succinate-semialdehyde dehydrogenase [NAD(P)+]	h2o(cpd00001)[0] nad(cpd00003)[0] succsal(cpd00199)[0] => (2) h(cpd00067)[0] nadh(cpd00004)[0] succ(cpd00036)[0]	N	N	Y	Y	rxn00508	(1) H2O[0] + (1) NAD[0] + (1) 4-Oxobutanoate[0] <=> (1) NADH[0] + (1) Succinate[0] + (2) H+[0]
r0013	4-Aminobutyrate transaminase	akg(cpd00024)[0] bala(cpd00085)[0] => glu(cpd00023)[0] oppa(cpd00191)[0]	N	N	Y	Y	rxn00657	(1) 2-Oxoglutarate[0] + (1) beta-Alanine[0] <=> (1) L-Glutamate[0] + (1) 3-Oxopropanoate[0]
r0014	4-Aminobutyrate transaminase	akg(cpd00024)[0] gaba(cpd00281)[0] => glu(cpd00023)[0] succsal(cpd00199)[0]	N	N	Y	Y	rxn01204	(1) 2-Oxoglutarate[0] + (1) GABA[0] <=> (1) L-Glutamate[0] + (1) 4-Oxobutanoate[0]
r0015	4-Aminobutyrate transaminase	gaba(cpd00281)[0] pyr(cpd00020)[0] => ala(cpd00035)[0] succsal(cpd00199)[0]	N	N	Y	Y	rxn24212	(1) Pyruvate[0] + (1) GABA[0] <=> (1) L-Alanine[0] + (1) 4-Oxobutanoate[0]
r0016	Asparagine synthase	asp(cpd00041)[0] atp(cpd00002)[0] gln(cpd00053)[0] h2o(cpd00001)[0] => amp(cpd00018)[0] asn(cpd00132)[0] glu(cpd00023)[0] (2) h(cpd00067)[0] ppi(cpd00012)[0]	N	N	Y	Y	rxn00416	(1) H2O[0] + (1) ATP[0] + (1) L-Aspartate[0] + (1) L-Glutamine[0] => (1) PPi[0] + (1) AMP[0] + (1) L-Glutamate[0] + (2) H+[0] + (1) L-Asparagine[0]
r0017	L-asparaginase	asn(cpd00132)[0] h2o(cpd00001)[0] => asp(cpd00041)[0] nh3(cpd00013)[0]	N	N	Y	Y	rxn00342	(1) H2O[0] + (1) L-Asparagine[0] => (1) NH3[0] + (1) L-Aspartate[0]
r0018	pyrroline-5-carboxylate reductase	(2) h2o(cpd00001)[0] nad(cpd00003)[0] phc(cpd02625)[0] => ehglu(cpd19042)[0] h(cpd00067)[0] nadh(cpd00004)[0]	N	N	Y	Y	rxn27940	(2) H2O[0] + (1) NAD[0] + (1) 3-Hydroxy-L-1-pyrroline-5-carboxylate[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-erythro-4-Hydroxyglutamate[0]
r0019	L-aspartate:2-oxoglutarate aminotransferase	akg(cpd00024)[0] ehglu(cpd19042)[0] => glu(cpd00023)[0] hakg(cpd00830)[0]	N	N	Y	Y	rxn18921	(1) 2-Oxoglutarate[0] + (1) L-erythro-4-Hydroxyglutamate[0] <=> (1) L-Glutamate[0] + (1) 4-Hydroxy-2-oxoglutarate[0]
r0020	agmatine deiminase	agmt(cpd00152)[0] h2o(cpd00001)[0] => ncapsc(cpd00341)[0] nh3(cpd00013)[0]	N	N	Y	Y	rxn01029	(1) H2O[0] + (1) Agmatine[0] => (1) NH3[0] + (1) N-Carbamoylputrescine[0]
r0021	aspartate aminotransferase	akg(cpd00024)[0] cys(cpd00084)[0] => glu(cpd00023)[0] mrpyr(cpd00706)[0]	N	N	Y	Y	rxn00647	(1) 2-Oxoglutarate[0] + (1) L-Cysteine[0] <=> (1) L-Glutamate[0] + (1) Mercaptopyruvate[0]
r0022	aspartate aminotransferase	akg(cpd00024)[0] cyse(cpd00395)[0] => glu(cpd00023)[0] slpyr(cpd03285)[0]	N	N	Y	Y	rxn01757	(1) 2-Oxoglutarate[0] + (1) L-Cysteate[0] <=> (1) L-Glutamate[0] + (1) 3-Sulfopyruvate[0]
r0023	hydroxyproline oxidase	fad(cpd00015)[0] hpro(cpd00851)[1] => fadh2(cpd00982)[0] phc(cpd02625)[1]	Y	N	N	Y	frxn00008	
r0024	diamine N-acetyltransferase	accoa(cpd00022)[0] ptrsc(cpd00118)[0] => coa(cpd00010)[0] h(cpd00067)[0] naps(cpd01758)[0]	N	N	Y	Y	rxn00855	(1) Acetyl-CoA[0] + (1) Putrescine[0] => (1) CoA[0] + (1) H+[0] + (1) N-Acetylputrescine[0]
r0025	spermidine synthase	dsam(cpd00837)[0] sprmd(cpd00264)[0] => h(cpd00067)[0] mta(cpd00147)[0] spere(cpd00558)[0]	N	N	Y	Y	rxn02061	(1) Spermidine[0] + (1) S-Adenosylmethioninamine[0] <=> (1) H+[0] + (1) 5-Methylthioadenosine[0] + (1) Spermine[0]
r0026	urea carboxylase / allophanate hydrolase	h2o(cpd00001)[0] (3) h(cpd00067)[0] ureac(cpd00742)[0] => (2) co2(cpd00011)[0] (2) nh3(cpd00013)[0]	N	N	Y	Y	rxn00002	(1) H2O[0] + (3) H+[0] + (1) Allophanate[0] => (2) CO2[0] + (2) NH3[0]
r0027	non enzymatic	glugsal(cpd00858)[0] => h2o(cpd00001)[0] h(cpd00067)[0] p5c(cpd02431)[0]	N	N	Y	Y	rxn02374	(1) L-Glutamate5-semialdehyde[0] => (1) H2O[0] + (1) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]
r0028	procollagen-proline dioxygenase	akg(cpd00024)[0] o2(cpd00007)[0] pro(cpd00129)[0] => co2(cpd00011)[0] hpro(cpd00851)[0] succ(cpd00036)[0]	N	N	Y	Y	rxn00932	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) L-Proline[0] => (1) CO2[0] + (1) Succinate[0] + (1) trans-4-Hydroxy-L-proline[0]
r0029	N-Acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38) and acetylglutamate kinase (EC 2.7.2.8)	h(cpd00067)[0] nadph(cpd00005)[0] naglup(cpd16822)[0] => nadp(cpd00006)[0] naglus(cpd00918)[0] pi(cpd00009)[0]	N	N	Y	Y	rxn12857	(1) NADPH[0] + (1) N-acetyl-L-gamma-glutamyl-phosphate[0] => (1) NADP[0] + (1) Phosphate[0] + (1) 2-Acetamido-5-oxopentanoate[0]
r0030	glutamate-5-semialdehyde dehydrogenase	glup[0] h(cpd00067)[0] nadph(cpd00005)[0] => glugsal(cpd00858)[0] nadp(cpd00006)[0] pi(cpd00009)[0]	N	N	N	N	frxn00009	
r0031	1-pyrroline-5-carboxylate dehydrogenase	glugsal(cpd00858)[0] h2o(cpd00001)[0] nad(cpd00003)[0] => glu(cpd00023)[0] (2) h(cpd00067)[0] nadh(cpd00004)[0]	N	N	Y	Y	rxn00183	(1) H2O[0] + (1) NAD[0] + (1) L-Glutamate5-semialdehyde[0] <=> (1) NADH[0] + (1) L-Glutamate[0] + (2) H+[0]
r0032	Pyrroline-5-carboxylate reductase	(2) h(cpd00067)[0] nadph(cpd00005)[0] p5c(cpd02431)[0] => nadp(cpd00006)[0] pro(cpd00129)[0]	N	N	Y	Y	rxn00931	(1) NADP[0] + (1) L-Proline[0] => (1) NADPH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]
r0033	Pyrroline-5-carboxylate reductase	(2) h(cpd00067)[0] nadph(cpd00005)[0] phc(cpd02625)[0] => hpro(cpd00851)[0] nadp(cpd00006)[0]	N	N	Y	Y	rxn02358	(1) NADP[0] + (1) trans-4-Hydroxy-L-proline[0] => (1) NADPH[0] + (2) H+[0] + (1) 3-Hydroxy-L-1-pyrroline-5-carboxylate[0]
r0034	Pyrroline-5-carboxylate reductase	(2) h(cpd00067)[0] nadh(cpd00004)[0] phc(cpd02625)[0] => hpro(cpd00851)[0] nad(cpd00003)[0]	N	N	Y	Y	rxn02356	(1) NAD[0] + (1) trans-4-Hydroxy-L-proline[0] => (1) NADH[0] + (2) H+[0] + (1) 3-Hydroxy-L-1-pyrroline-5-carboxylate[0]
r0035	Proline dehydrogenase	nad(cpd00003)[0] pro(cpd00129)[0] => (2) h(cpd00067)[0] nadh(cpd00004)[0] p5c(cpd02431)[0]	N	N	Y	Y	rxn00929	(1) NAD[0] + (1) L-Proline[0] => (1) NADH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]
r0036	Ornithine carbamoyltransferase	cap(cpd00146)[0] orn(cpd00064)[0] => citr(cpd00274)[0] h(cpd00067)[0] pi(cpd00009)[0]	N	N	Y	Y	rxn01019	(1) Ornithine[0] + (1) Carbamoylphosphate[0] <=> (1) Phosphate[0] + (1) H+[0] + (1) Citrulline[0]
r0037	Glutamate N-acetyltransferase	glu(cpd00023)[0] naorn(cpd00342)[0] => naglu(cpd00477)[0] orn(cpd00064)[0]	N	N	Y	Y	rxn01636	(1) L-Glutamate[0] + (1) N-Acetylornithine[0] <=> (1) Ornithine[0] + (1) N-Acetyl-L-glutamate[0]
r0038	acetylornithine transaminase	glu(cpd00023)[0] naglus(cpd00918)[0] => akg(cpd00024)[0] naorn(cpd00342)[0]	N	N	Y	Y	rxn01637	(1) 2-Oxoglutarate[0] + (1) N-Acetylornithine[0] <=> (1) L-Glutamate[0] + (1) 2-Acetamido-5-oxopentanoate[0]
r0039	ornithine aminotransferase	akg(cpd00024)[0] orn(cpd00064)[0] => glu(cpd00023)[0] glugsal(cpd00858)[0]	N	N	Y	Y	rxn00467	(1) 2-Oxoglutarate[0] + (1) Ornithine[0] <=> (1) L-Glutamate[0] + (1) L-Glutamate5-semialdehyde[0]
r0040	Gamma-glutamyl kinase, glutamate kinase	atp(cpd00002)[0] glu(cpd00023)[0] => adp(cpd00008)[0] glup[0]	N	N	N	N	frxn00010	
r0041	Acetylornithine deacetylase	h2o(cpd00001)[0] naorn(cpd00342)[0] => ac(cpd00029)[0] orn(cpd00064)[0]	N	N	Y	Y	rxn00469	(1) H2O[0] + (1) N-Acetylornithine[0] <=> (1) Acetate[0] + (1) Ornithine[0]
r0042	amidase	gbad(cpd01973)[0] h2o(cpd00001)[0] => gbat(cpd00762)[0] nh3(cpd00013)[0]	N	N	Y	Y	rxn02275	(1) H2O[0] + (1) 4-Guanidinobutanamide[0] => (1) NH3[0] + (1) 4-Guanidinobutanoate[0]
r0043	Arginase (argA)	arg(cpd00051)[0] h2o(cpd00001)[0] => orn(cpd00064)[0] urea(cpd00073)[0]	N	N	Y	Y	rxn00394	(1) H2O[0] + (1) L-Arginine[0] => (1) Ornithine[0] + (1) Urea[0]
r0044	Arginase (argA)	arg(cpd00051)[0] h2o(cpd00001)[0] => orn(cpd00064)[0] urea(cpd00073)[0]	N	N	Y	Y	rxn00394	(1) H2O[0] + (1) L-Arginine[0] => (1) Ornithine[0] + (1) Urea[0]
r0045	Agmatinase	agmt(cpd00152)[0] h2o(cpd00001)[0] => ptrsc(cpd00118)[0] urea(cpd00073)[0]	N	N	Y	Y	rxn00858	(1) H2O[0] + (1) Agmatine[0] => (1) Urea[0] + (1) Putrescine[0]
r0046	Ornithine decarboxylase	h(cpd00067)[0] orn(cpd00064)[0] => co2(cpd00011)[0] ptrsc(cpd00118)[0]	N	N	Y	Y	rxn00470	(1) Ornithine[0] + (1) H+[0] => (1) CO2[0] + (1) Putrescine[0]
r0047	Ornithine decarboxylase	h(cpd00067)[0] orn(cpd00064)[0] => co2(cpd00011)[0] ptrsc(cpd00118)[0]	N	N	Y	Y	rxn00470	(1) Ornithine[0] + (1) H+[0] => (1) CO2[0] + (1) Putrescine[0]
r0048	Amino-acid N-acetyltransferase	accoa(cpd00022)[0] glu(cpd00023)[0] => coa(cpd00010)[0] h(cpd00067)[0] naglu(cpd00477)[0]	N	N	Y	Y	rxn00192	(1) Acetyl-CoA[0] + (1) L-Glutamate[0] => (1) CoA[0] + (1) H+[0] + (1) N-Acetyl-L-glutamate[0]
r0049	Acetylglutamate kinase	atp(cpd00002)[0] naglu(cpd00477)[0] => adp(cpd00008)[0] naglup(cpd16822)[0]	N	N	Y	Y	rxn12856	(1) ATP[0] + (1) H+[0] + (1) N-Acetyl-L-glutamate[0] <= (1) ADP[0] + (1) N-acetyl-L-gamma-glutamyl-phosphate[0]
r0050	glutaminase	gln(cpd00053)[0] h2o(cpd00001)[0] => glu(cpd00023)[0] nh3(cpd00013)[0]	N	N	Y	Y	rxn00189	(1) H2O[0] + (1) L-Glutamine[0] => (1) NH3[0] + (1) L-Glutamate[0]
r0051	spermidine synthase	dsam(cpd00837)[0] ptrsc(cpd00118)[0] => h(cpd00067)[0] mta(cpd00147)[0] sprmd(cpd00264)[0]	N	N	Y	Y	rxn01406	(1) Putrescine[0] + (1) S-Adenosylmethioninamine[0] <=> (1) H+[0] + (1) 5-Methylthioadenosine[0] + (1) Spermidine[0]
r0052	adenosylmethionine decarboxylase	h(cpd00067)[0] sam(cpd00017)[0] => co2(cpd00011)[0] dsam(cpd00837)[0]	N	N	Y	Y	rxn00127	(1) S-Adenosyl-L-methionine[0] + (1) H+[0] => (1) CO2[0] + (1) S-Adenosylmethioninamine[0]
r0053	Argininosuccinate synthase	asp(cpd00041)[0] atp(cpd00002)[0] citr(cpd00274)[0] => amp(cpd00018)[0] argsucc(cpd02152)[0] (2) h(cpd00067)[0] ppi(cpd00012)[0]	N	N	Y	Y	rxn01434	(1) ATP[0] + (1) L-Aspartate[0] + (1) Citrulline[0] => (1) PPi[0] + (1) AMP[0] + (2) H+[0] + (1) L-Argininosuccinate[0]
r0054	Argininosuccinate lyase	argsucc(cpd02152)[0] => arg(cpd00051)[0] fum(cpd00106)[0]	N	N	Y	Y	rxn00802	(1) L-Argininosuccinate[0] <=> (1) L-Arginine[0] + (1) Fumarate[0]
r0055	cystathionine lyase	cysn(cpd01018)[0] h2o(cpd00001)[0] => nh3(cpd00013)[0] pyr(cpd00020)[0] tcysn(cpd01347)[0]	N	N	N	Y	frxn00011	
r0056	thiosulfate/3-mercaptopyruvate sulfurtransferase	mrpyr(cpd00706)[0] slfi(cpd00081)[0] => pyr(cpd00020)[0] tsulf(cpd00268)[0]	N	N	Y	Y	rxn02229	(1) Sulfite[0] + (1) Mercaptopyruvate[0] <=> (1) Pyruvate[0] + (1) H2S2O3[0]
r0057	L-lactate dehydrogenase	h(cpd00067)[0] mrpyr(cpd00706)[0] nadh(cpd00004)[0] => mrlac(cpd03455)[0] nad(cpd00003)[0]	N	N	Y	Y	rxn02228	(1) NAD[0] + (1) 3-Mercaptolactate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Mercaptopyruvate[0]
r0058	non-enzymatic	3sulpyr(cpd03284)[0] h2o(cpd00001)[0] => pyr(cpd00020)[0] slfi(cpd00081)[0]	N	N	Y	Y	rxn15497	(1) H2O[0] + (1) 3-Sulfinopyruvate[0] <=> (1) Pyruvate[0] + (1) Sulfite[0]
r0059	L-methionine (R)-S-oxide reductase	metso(cpd01914)[0] rthio(cpd11421)[0] => h2o(cpd00001)[0] met(cpd00060)[0] othio(cpd11420)[0]	N	N	Y	Y	rxn06077	(1) H2O[0] + (1) L-Methionine[0] + (1) trdox[0] <=> (1) L-Methionine S-oxide[0] + (1) trdrd[0]
r0060	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	dmpeno(cpd11255)[0] o2(cpd00007)[0] => for(cpd00047)[0] (2) h(cpd00067)[0] mob(cpd00869)[0]	N	N	Y	Y	rxn05092	(1) O2[0] + (1) 1,2-dihydroxy-3-keto-5-methylthiopentene[0] => (1) Formate[0] + (2) H+[0] + (1) 4-methylthio 2-oxobutyrate[0]
r0061	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	dmpeno(cpd11255)[0] o2(cpd00007)[0] => co(cpd00204)[0] for(cpd00047)[0] h(cpd00067)[0] mtprop(cpd05191)[0]	N	N	Y	Y	rxn05091	(1) O2[0] + (1) 1,2-dihydroxy-3-keto-5-methylthiopentene[0] <=> (1) Formate[0] + (1) H+[0] + (1) CO[0] + (1) 3-Methylthiopropionate[0]
r0062	Cystathionine gamma-synthase	h2o(cpd00001)[0] osuhs(cpd00822)[0] => nh3(cpd00013)[0] obut(cpd00094)[0] succ(cpd00036)[0]	N	N	Y	Y	rxn00740	(1) H2O[0] + (1) O-Succinyl-L-homoserine[0] => (1) NH3[0] + (1) Succinate[0] + (1) H+[0] + (1) 2-Oxobutyrate[0]
r0063	Cystathionine gamma-synthase	h2s(cpd00239)[0] h(cpd00067)[0] osuhs(cpd00822)[0] => hcys(cpd00135)[0] succ(cpd00036)[0]	N	N	Y	Y	rxn05957	(1) H2S[0] + (1) O-Succinyl-L-homoserine[0] <=> (1) Succinate[0] + (1) Homocysteine[0]
r0064	cysteine synthase	oaser(cpd00722)[0] tsulf(cpd00268)[0] => ac(cpd00029)[0] h(cpd00067)[0] scysn(cpd01608)[0]	N	N	Y	Y	rxn34662	(1) H2S2O3[0] + (1) O-Acetyl-L-serine[0] <=> (1) Acetate[0] + (1) H+[0] + (1) L-Selenocysteine[0]
r0065	5'-methylthioadenosine phosphorylase	mta(cpd00147)[0] pi(cpd00009)[0] => ad(cpd03734)[0] mtrip(cpd02574)[0]	N	N	N	Y	frxn00012	
r0066	methylthioribose-1-phosphate isomerase:dehydratase	mtrip(cpd02574)[0] => dkmtp(cpd11295)[0] h2o(cpd00001)[0]	N	N	N	Y	frxn00013	
r0067	L-amino-acid oxidase	h2o(cpd00001)[0] met(cpd00060)[0] o2(cpd00007)[0] => h2o2(cpd00025)[0] mob(cpd00869)[0] nh3(cpd00013)[0]	N	N	Y	Y	rxn00450	(1) H2O[0] + (1) O2[0] + (1) L-Methionine[0] => (1) NH3[0] + (1) H2O2[0] + (1) 4-methylthio 2-oxobutyrate[0]
r0068	L-amino-acid oxidase	h2o(cpd00001)[0] met(cpd00060)[0] o2(cpd00007)[0] => h2o2(cpd00025)[0] mob(cpd00869)[0] nh3(cpd00013)[0]	N	N	Y	Y	rxn00450	(1) H2O[0] + (1) O2[0] + (1) L-Methionine[0] => (1) NH3[0] + (1) H2O2[0] + (1) 4-methylthio 2-oxobutyrate[0]
r0069	L-aspartate:2-oxoglutarate aminotransferase	3sulala(cpd00467)[0] akg(cpd00024)[0] => 3sulpyr(cpd03284)[0] glu(cpd00023)[0]	N	N	Y	Y	rxn01906	(1) 2-Oxoglutarate[0] + (1) 3-Sulfinoalanine[0] <=> (1) L-Glutamate[0] + (1) 3-Sulfinopyruvate[0]
r0070	Transferases	glu(cpd00023)[0] mob(cpd00869)[0] => akg(cpd00024)[0] met(cpd00060)[0]	N	N	Y	Y	rxn05108	(1) L-Glutamate[0] + (1) 4-methylthio 2-oxobutyrate[0] <=> (1) 2-Oxoglutarate[0] + (1) L-Methionine[0]
r0071	Homocysteine S-methyltransferase	hcys(cpd00135)[0] sam(cpd00017)[0] => h(cpd00067)[0] met(cpd00060)[0] sah(cpd00019)[0]	N	N	Y	Y	rxn00452	(1) S-Adenosyl-L-methionine[0] + (1) Homocysteine[0] => (1) S-Adenosyl-homocysteine[0] + (1) L-Methionine[0] + (1) H+[0]
r0072	Methionine synthase	hcys(cpd00135)[0] mthf(cpd00345)[0] => met(cpd00060)[0] thf(cpd00087)[0]	N	N	Y	Y	rxn00693	(1) Homocysteine[0] + (1) 5-Methyltetrahydrofolate[0] <=> (1) L-Methionine[0] + (1) Tetrahydrofolate[0]
r0073	Cystathionine gamma-synthase	cys(cpd00084)[0] oahser(cpd00790)[0] => ac(cpd00029)[0] h(cpd00067)[0] llct(cpd19019)[0]	N	N	Y	Y	rxn28338	(1) L-Cysteine[0] + (1) O-Acetyl-L-homoserine[0] <=> (1) Acetate[0] + (1) H+[0] + (1) L-Cystathionine[0]
r0074	O-acetylhomoserine lyase	h2s(cpd00239)[0] oahser(cpd00790)[0] => ac(cpd00029)[0] hcys(cpd00135)[0]	N	N	Y	Y	rxn00952	(1) H2S[0] + (1) O-Acetyl-L-homoserine[0] <=> (1) Acetate[0] + (1) Homocysteine[0]
