ID	EQUATION
10041	(1) 58343[0] + (1) 15377[0] <=> (1) 456215[0] + (1) 43474[0]
10042	(1) 58343[0] + (1) 15377[0] <=> (1) 456215[0] + (1) 43474[0]
10043	(1) 58343[0] + (1) 15377[0] <=> (1) 456215[0] + (1) 43474[0]
10044	(1) 57540[0] + (1) 18099[0] <=> (1) 57945[0] + (1) 17854[0] + (1) 15378[0]
10045	(1) 57540[0] + (1) 18099[0] <=> (1) 57945[0] + (1) 17854[0] + (1) 15378[0]
10046	(1) 57540[0] + (1) 18099[0] <=> (1) 57945[0] + (1) 17854[0] + (1) 15378[0]
10047	(1) 57540[0] + (1) 18099[0] <=> (1) 57945[0] + (1) 17854[0] + (1) 15378[0]
10048	(1) 57716[0] + (1) 16007[0] <=> (1) 30089[0] + (1) 57844[0] + (1) 15378[0]
10049	(1) 57716[0] + (1) 16007[0] <=> (1) 30089[0] + (1) 57844[0] + (1) 15378[0]
10050	(1) 57716[0] + (1) 16007[0] <=> (1) 30089[0] + (1) 57844[0] + (1) 15378[0]
10051	(1) 57716[0] + (1) 16007[0] <=> (1) 30089[0] + (1) 57844[0] + (1) 15378[0]
10052	(1) 55535[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 57945[0] + (1) 17865[0]
10053	(1) 55535[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 57945[0] + (1) 17865[0]
10054	(1) 55535[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 57945[0] + (1) 17865[0]
10055	(1) 55535[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 57945[0] + (1) 17865[0]
10056	(1) 57366[0] <=> (1) 57332[0] + (1) 28938[0]
10057	(1) 57366[0] <=> (1) 57332[0] + (1) 28938[0]
10058	(1) 57366[0] <=> (1) 57332[0] + (1) 28938[0]
10059	(1) 57366[0] <=> (1) 57332[0] + (1) 28938[0]
10060	(1) 57719[0] + (1) 57288[0] <=> (1) 57877[0] + (1) 57287[0] + (1) 15378[0]
10061	(1) 57719[0] + (1) 57288[0] <=> (1) 57877[0] + (1) 57287[0] + (1) 15378[0]
10062	(1) 57719[0] + (1) 57288[0] <=> (1) 57877[0] + (1) 57287[0] + (1) 15378[0]
10063	(1) 57719[0] + (1) 57288[0] <=> (1) 57877[0] + (1) 57287[0] + (1) 15378[0]
10064	(1) 57416[0] + (1) 15377[0] + (1) 15636[0] <=> (1) 57453[0] + (1) 58275[0]
10065	(1) 57416[0] + (1) 15377[0] + (1) 15636[0] <=> (1) 57453[0] + (1) 58275[0]
10066	(1) 57416[0] + (1) 15377[0] + (1) 15636[0] <=> (1) 57453[0] + (1) 58275[0]
10067	(1) 57416[0] + (1) 15377[0] + (1) 15636[0] <=> (1) 57453[0] + (1) 58275[0]
10068	(1) 58885[0] + (1) POLYMER:12833[0] <=> (1) 58223[0] + (1) POLYMER:14260[0] + (1) 15378[0]
10069	(1) 58885[0] + (1) POLYMER:12833[0] <=> (1) 58223[0] + (1) POLYMER:14260[0] + (1) 15378[0]
10070	(1) 58885[0] + (1) POLYMER:12833[0] <=> (1) 58223[0] + (1) POLYMER:14260[0] + (1) 15378[0]
10071	(1) 58885[0] + (1) POLYMER:12833[0] <=> (1) 58223[0] + (1) POLYMER:14260[0] + (1) 15378[0]
10072	(1) 59789[0] + (1) 58251[0] <=> (1) 57856[0] + (1) 17750[0] + (1) 15378[0]
10073	(1) 59789[0] + (1) 58251[0] <=> (1) 57856[0] + (1) 17750[0] + (1) 15378[0]
10074	(1) 59789[0] + (1) 58251[0] <=> (1) 57856[0] + (1) 17750[0] + (1) 15378[0]
10075	(1) 59789[0] + (1) 58251[0] <=> (1) 57856[0] + (1) 17750[0] + (1) 15378[0]
10076	(1) 17716[0] + (1) 15377[0] <=> (1) 27667[0] + (1) 4167[0]
10077	(1) 17716[0] + (1) 15377[0] <=> (1) 27667[0] + (1) 4167[0]
10078	(1) 17716[0] + (1) 15377[0] <=> (1) 27667[0] + (1) 4167[0]
10079	(1) 17716[0] + (1) 15377[0] <=> (1) 27667[0] + (1) 4167[0]
10080	(1) 77638[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 16204[0]
10081	(1) 77638[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 16204[0]
10082	(1) 77638[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 16204[0]
10083	(1) 77638[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 16204[0]
10084	(1) 36241[0] + (1) 15379[0] <=> (2) 15378[0] + (1) 57496[0]
10085	(1) 36241[0] + (1) 15379[0] <=> (2) 15378[0] + (1) 57496[0]
10086	(1) 36241[0] + (1) 15379[0] <=> (2) 15378[0] + (1) 57496[0]
10087	(1) 36241[0] + (1) 15379[0] <=> (2) 15378[0] + (1) 57496[0]
10088	(1) 17992[0] + (1) 66914[0] <=> (1) 58223[0] + (1) 17332[0] + (1) 15378[0]
10089	(1) 17992[0] + (1) 66914[0] <=> (1) 58223[0] + (1) 17332[0] + (1) 15378[0]
10090	(1) 17992[0] + (1) 66914[0] <=> (1) 58223[0] + (1) 17332[0] + (1) 15378[0]
10091	(1) 17992[0] + (1) 66914[0] <=> (1) 58223[0] + (1) 17332[0] + (1) 15378[0]
10092	(1) 15377[0] + (1) 131705[0] <=> (1) 18274[0] + (1) 43474[0]
10093	(1) 15377[0] + (1) 131705[0] <=> (1) 18274[0] + (1) 43474[0]
10094	(1) 15377[0] + (1) 131705[0] <=> (1) 18274[0] + (1) 43474[0]
10095	(1) 15377[0] + (1) 131705[0] <=> (1) 18274[0] + (1) 43474[0]
10096	(1) 59789[0] + (1) GENERIC:14125[0] <=> (1) 17509[0] + (1) 15378[0] + (1) 55474[0] + (1) GENERIC:9685[0]
10097	(1) 59789[0] + (1) GENERIC:14125[0] <=> (1) 17509[0] + (1) 15378[0] + (1) 55474[0] + (1) GENERIC:9685[0]
10098	(1) 59789[0] + (1) GENERIC:14125[0] <=> (1) 17509[0] + (1) 15378[0] + (1) 55474[0] + (1) GENERIC:9685[0]
10099	(1) 59789[0] + (1) GENERIC:14125[0] <=> (1) 17509[0] + (1) 15378[0] + (1) 55474[0] + (1) GENERIC:9685[0]
10100	(1) 35915[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15889[0] + (1) 28868[0]
10101	(1) 35915[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15889[0] + (1) 28868[0]
10102	(1) 35915[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15889[0] + (1) 28868[0]
10103	(1) 35915[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15889[0] + (1) 28868[0]
10104	(1) 58526[0] + (1) 15379[0] + (1) 16810[0] <=> (1) 30031[0] + (1) 58524[0] + (1) 16526[0]
10105	(1) 58526[0] + (1) 15379[0] + (1) 16810[0] <=> (1) 30031[0] + (1) 58524[0] + (1) 16526[0]
10106	(1) 58526[0] + (1) 15379[0] + (1) 16810[0] <=> (1) 30031[0] + (1) 58524[0] + (1) 16526[0]
10107	(1) 58526[0] + (1) 15379[0] + (1) 16810[0] <=> (1) 30031[0] + (1) 58524[0] + (1) 16526[0]
10108	(1) 58349[0] + (1) 58463[0] <=> (1) 15378[0] + (1) 57783[0] + (1) 58061[0]
10109	(1) 58349[0] + (1) 58463[0] <=> (1) 15378[0] + (1) 57783[0] + (1) 58061[0]
10110	(1) 58349[0] + (1) 58463[0] <=> (1) 15378[0] + (1) 57783[0] + (1) 58061[0]
10111	(1) 58349[0] + (1) 58463[0] <=> (1) 15378[0] + (1) 57783[0] + (1) 58061[0]
10112	(1) 58199[0] + (1) 33384[0] <=> (1) 58161[0] + (1) 15377[0]
10113	(1) 58199[0] + (1) 33384[0] <=> (1) 58161[0] + (1) 15377[0]
10114	(1) 58199[0] + (1) 33384[0] <=> (1) 58161[0] + (1) 15377[0]
10115	(1) 58199[0] + (1) 33384[0] <=> (1) 58161[0] + (1) 15377[0]
10116	(1) 58349[0] + (1) 58759[0] <=> (1) 57783[0] + (1) 58121[0] + (1) 16526[0]
10117	(1) 58349[0] + (1) 58759[0] <=> (1) 57783[0] + (1) 58121[0] + (1) 16526[0]
10118	(1) 58349[0] + (1) 58759[0] <=> (1) 57783[0] + (1) 58121[0] + (1) 16526[0]
10119	(1) 58349[0] + (1) 58759[0] <=> (1) 57783[0] + (1) 58121[0] + (1) 16526[0]
10120	(1) GENERIC:13885[0] + (1) 15377[0] + (1) 15378[0] <=> (1) GENERIC:13886[0] + (1) 28938[0]
10121	(1) GENERIC:13885[0] + (1) 15377[0] + (1) 15378[0] <=> (1) GENERIC:13886[0] + (1) 28938[0]
10122	(1) GENERIC:13885[0] + (1) 15377[0] + (1) 15378[0] <=> (1) GENERIC:13886[0] + (1) 28938[0]
10123	(1) GENERIC:13885[0] + (1) 15377[0] + (1) 15378[0] <=> (1) GENERIC:13886[0] + (1) 28938[0]
10124	(1) 52052[0] + (1) 15379[0] + (1) 57783[0] + (1) 15378[0] <=> (1) 15377[0] + (1) 58349[0] + (1) 52051[0]
10125	(1) 52052[0] + (1) 15379[0] + (1) 57783[0] + (1) 15378[0] <=> (1) 15377[0] + (1) 58349[0] + (1) 52051[0]
10126	(1) 52052[0] + (1) 15379[0] + (1) 57783[0] + (1) 15378[0] <=> (1) 15377[0] + (1) 58349[0] + (1) 52051[0]
10127	(1) 52052[0] + (1) 15379[0] + (1) 57783[0] + (1) 15378[0] <=> (1) 15377[0] + (1) 58349[0] + (1) 52051[0]
10128	(1) 35288[0] <=> (1) 32446[0]
10129	(1) 35288[0] <=> (1) 32446[0]
10130	(1) 35288[0] <=> (1) 32446[0]
10131	(1) 35288[0] <=> (1) 32446[0]
10132	(1) 57287[0] + (1) 30616[0] + (1) 16150[0] <=> (1) 456215[0] + (1) 33019[0] + (1) 57369[0]
10133	(1) 57287[0] + (1) 30616[0] + (1) 16150[0] <=> (1) 456215[0] + (1) 33019[0] + (1) 57369[0]
10134	(1) 57287[0] + (1) 30616[0] + (1) 16150[0] <=> (1) 456215[0] + (1) 33019[0] + (1) 57369[0]
10135	(1) 57287[0] + (1) 30616[0] + (1) 16150[0] <=> (1) 456215[0] + (1) 33019[0] + (1) 57369[0]
10136	(1) 15378[0] + (2) 36655[0] <=> (1) 16526[0] + (1) 57978[0]
10137	(1) 15378[0] + (2) 36655[0] <=> (1) 16526[0] + (1) 57978[0]
10138	(1) 15378[0] + (2) 36655[0] <=> (1) 16526[0] + (1) 57978[0]
10139	(1) 15378[0] + (2) 36655[0] <=> (1) 16526[0] + (1) 57978[0]
10140	(1) 57404[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 15378[0] + (1) 57406[0]
10141	(1) 57404[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 15378[0] + (1) 57406[0]
10142	(1) 57404[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 15378[0] + (1) 57406[0]
10143	(1) 57404[0] + (1) 58349[0] <=> (1) 57783[0] + (1) 15378[0] + (1) 57406[0]
10144	(1) 13197[0] + (1) 15377[0] <=> (1) 43474[0] + (1) 18254[0]
10145	(1) 13197[0] + (1) 15377[0] <=> (1) 43474[0] + (1) 18254[0]
10146	(1) 13197[0] + (1) 15377[0] <=> (1) 43474[0] + (1) 18254[0]
10147	(1) 13197[0] + (1) 15377[0] <=> (1) 43474[0] + (1) 18254[0]
10148	(1) 15377[0] + (1) 15378[0] + (1) 57289[0] <=> (1) 57697[0] + (1) 28938[0]
10149	(1) 15377[0] + (1) 15378[0] + (1) 57289[0] <=> (1) 57697[0] + (1) 28938[0]
10150	(1) 15377[0] + (1) 15378[0] + (1) 57289[0] <=> (1) 57697[0] + (1) 28938[0]
10151	(1) 15377[0] + (1) 15378[0] + (1) 57289[0] <=> (1) 57697[0] + (1) 28938[0]
10152	(1) 17544[0] + (1) 30616[0] + (1) 28938[0] <=> (1) 15378[0] + (1) 58228[0] + (1) 15377[0] + (1) 456216[0]
10153	(1) 17544[0] + (1) 30616[0] + (1) 28938[0] <=> (1) 15378[0] + (1) 58228[0] + (1) 15377[0] + (1) 456216[0]
10154	(1) 17544[0] + (1) 30616[0] + (1) 28938[0] <=> (1) 15378[0] + (1) 58228[0] + (1) 15377[0] + (1) 456216[0]
10155	(1) 17544[0] + (1) 30616[0] + (1) 28938[0] <=> (1) 15378[0] + (1) 58228[0] + (1) 15377[0] + (1) 456216[0]
10156	(1) GENERIC:11964[0] + (1) 15379[0] + (1) 17789[0] <=> (1) 15378[0] + (1) GENERIC:11965[0] + (1) 15377[0] + (1) 15716[0]
10157	(1) GENERIC:11964[0] + (1) 15379[0] + (1) 17789[0] <=> (1) 15378[0] + (1) GENERIC:11965[0] + (1) 15377[0] + (1) 15716[0]
10158	(1) GENERIC:11964[0] + (1) 15379[0] + (1) 17789[0] <=> (1) 15378[0] + (1) GENERIC:11965[0] + (1) 15377[0] + (1) 15716[0]
10159	(1) GENERIC:11964[0] + (1) 15379[0] + (1) 17789[0] <=> (1) 15378[0] + (1) GENERIC:11965[0] + (1) 15377[0] + (1) 15716[0]
10160	(1) 57540[0] + (1) 18202[0] <=> (1) 57945[0] + (1) 13172[0] + (1) 15378[0]
10161	(1) 57540[0] + (1) 18202[0] <=> (1) 57945[0] + (1) 13172[0] + (1) 15378[0]
10162	(1) 57540[0] + (1) 18202[0] <=> (1) 57945[0] + (1) 13172[0] + (1) 15378[0]
10163	(1) 57540[0] + (1) 18202[0] <=> (1) 57945[0] + (1) 13172[0] + (1) 15378[0]
10164	(1) 58289[0] <=> (1) 15377[0] + (1) 58702[0]
10165	(1) 58289[0] <=> (1) 15377[0] + (1) 58702[0]
10166	(1) 58289[0] <=> (1) 15377[0] + (1) 58702[0]
10167	(1) 58289[0] <=> (1) 15377[0] + (1) 58702[0]
10168	(1) GENERIC:10004[0] + (1) 57899[0] <=> (1) 57991[0] + (2) 15378[0] + (1) GENERIC:10002[0]
10169	(1) GENERIC:10004[0] + (1) 57899[0] <=> (1) 57991[0] + (2) 15378[0] + (1) GENERIC:10002[0]
10170	(1) GENERIC:10004[0] + (1) 57899[0] <=> (1) 57991[0] + (2) 15378[0] + (1) GENERIC:10002[0]
10171	(1) GENERIC:10004[0] + (1) 57899[0] <=> (1) 57991[0] + (2) 15378[0] + (1) GENERIC:10002[0]
10172	(1) 15377[0] + (1) 10979[0] <=> (2) 10983[0] + (1) 15378[0]
10173	(1) 15377[0] + (1) 10979[0] <=> (2) 10983[0] + (1) 15378[0]
10174	(1) 15377[0] + (1) 10979[0] <=> (2) 10983[0] + (1) 15378[0]
10175	(1) 15377[0] + (1) 10979[0] <=> (2) 10983[0] + (1) 15378[0]
10176	(1) 131783[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 91180[0] + (1) 57945[0]
10177	(1) 131783[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 91180[0] + (1) 57945[0]
10178	(1) 131783[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 91180[0] + (1) 57945[0]
10179	(1) 131783[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 91180[0] + (1) 57945[0]
10180	(1) 58349[0] + (1) 15377[0] + (1) 57454[0] <=> (1) 57783[0] + (1) 16526[0] + (1) 15378[0] + (1) 57453[0]
10181	(1) 58349[0] + (1) 15377[0] + (1) 57454[0] <=> (1) 57783[0] + (1) 16526[0] + (1) 15378[0] + (1) 57453[0]
10182	(1) 58349[0] + (1) 15377[0] + (1) 57454[0] <=> (1) 57783[0] + (1) 16526[0] + (1) 15378[0] + (1) 57453[0]
10183	(1) 58349[0] + (1) 15377[0] + (1) 57454[0] <=> (1) 57783[0] + (1) 16526[0] + (1) 15378[0] + (1) 57453[0]
10184	(1) 58425[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15775[0]
10185	(1) 58425[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15775[0]
10186	(1) 58425[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15775[0]
10187	(1) 58425[0] + (1) 15377[0] <=> (1) 15378[0] + (1) 15775[0]
10188	(1) 15377[0] + (1) 57288[0] + (1) 57286[0] <=> (1) 57287[0] + (1) 15378[0] + (1) 43074[0]
10189	(1) 15377[0] + (1) 57288[0] + (1) 57286[0] <=> (1) 57287[0] + (1) 15378[0] + (1) 43074[0]
10190	(1) 15377[0] + (1) 57288[0] + (1) 57286[0] <=> (1) 57287[0] + (1) 15378[0] + (1) 43074[0]
10191	(1) 15377[0] + (1) 57288[0] + (1) 57286[0] <=> (1) 57287[0] + (1) 15378[0] + (1) 43074[0]
10192	(1) 15377[0] + (1) 16189[1] + (1) 30616[0] <=> (1) 456216[0] + (1) 15378[0] + (1) 16189[0] + (1) 43474[0]
10193	(1) 15377[0] + (1) 16189[1] + (1) 30616[0] <=> (1) 456216[0] + (1) 15378[0] + (1) 16189[0] + (1) 43474[0]
10194	(1) 15377[0] + (1) 16189[1] + (1) 30616[0] <=> (1) 456216[0] + (1) 15378[0] + (1) 16189[0] + (1) 43474[0]
10195	(1) 15377[0] + (1) 16189[1] + (1) 30616[0] <=> (1) 456216[0] + (1) 15378[0] + (1) 16189[0] + (1) 43474[0]
10196	(1) 58689[0] <=> (1) 18325[0] + (1) 15377[0]
10197	(1) 58689[0] <=> (1) 18325[0] + (1) 15377[0]
10198	(1) 58689[0] <=> (1) 18325[0] + (1) 15377[0]
10199	(1) 58689[0] <=> (1) 18325[0] + (1) 15377[0]
10200	(1) 17968[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 35899[0] + (1) 57945[0]
10201	(1) 17968[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 35899[0] + (1) 57945[0]
10202	(1) 17968[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 35899[0] + (1) 57945[0]
10203	(1) 17968[0] + (1) 57540[0] <=> (1) 15378[0] + (1) 35899[0] + (1) 57945[0]
10204	(1) 58040[0] + (1) GENERIC:10685[0] + (1) 15378[0] + (1) 15377[0] <=> (1) 59338[0] + (1) 16842[0] + (1) GENERIC:10686[0]
10205	(1) 58040[0] + (1) GENERIC:10685[0] + (1) 15378[0] + (1) 15377[0] <=> (1) 59338[0] + (1) 16842[0] + (1) GENERIC:10686[0]
10206	(1) 58040[0] + (1) GENERIC:10685[0] + (1) 15378[0] + (1) 15377[0] <=> (1) 59338[0] + (1) 16842[0] + (1) GENERIC:10686[0]
10207	(1) 58040[0] + (1) GENERIC:10685[0] + (1) 15378[0] + (1) 15377[0] <=> (1) 59338[0] + (1) 16842[0] + (1) GENERIC:10686[0]
10208	(1) GENERIC:9673[0] + (1) GENERIC:10636[0] <=> (1) GENERIC:9658[0] + (1) GENERIC:10638[0] + (1) 15378[0]
10209	(1) GENERIC:9673[0] + (1) GENERIC:10636[0] <=> (1) GENERIC:9658[0] + (1) GENERIC:10638[0] + (1) 15378[0]
10210	(1) GENERIC:9673[0] + (1) GENERIC:10636[0] <=> (1) GENERIC:9658[0] + (1) GENERIC:10638[0] + (1) 15378[0]
10211	(1) GENERIC:9673[0] + (1) GENERIC:10636[0] <=> (1) GENERIC:9658[0] + (1) GENERIC:10638[0] + (1) 15378[0]
10212	(1) 16810[0] + (1) 356010[0] <=> (1) 29985[0] + (1) 16120[0]
10213	(1) 16810[0] + (1) 356010[0] <=> (1) 29985[0] + (1) 16120[0]
10214	(1) 16810[0] + (1) 356010[0] <=> (1) 29985[0] + (1) 16120[0]
10215	(1) 16810[0] + (1) 356010[0] <=> (1) 29985[0] + (1) 16120[0]
10216	(1) GENERIC:11321[0] + (1) 30616[0] <=> (1) 15378[0] + (1) 456216[0] + (1) GENERIC:11322[0]
10217	(1) GENERIC:11321[0] + (1) 30616[0] <=> (1) 15378[0] + (1) 456216[0] + (1) GENERIC:11322[0]
10218	(1) GENERIC:11321[0] + (1) 30616[0] <=> (1) 15378[0] + (1) 456216[0] + (1) GENERIC:11322[0]
10219	(1) GENERIC:11321[0] + (1) 30616[0] <=> (1) 15378[0] + (1) 456216[0] + (1) GENERIC:11322[0]
10220	(1) 30616[0] + (1) GENERIC:9707[0] + (1) 58315[0] <=> (1) GENERIC:9706[0] + (1) 33019[0] + (1) 456215[0] + (1) 15378[0]
10221	(1) 30616[0] + (1) GENERIC:9707[0] + (1) 58315[0] <=> (1) GENERIC:9706[0] + (1) 33019[0] + (1) 456215[0] + (1) 15378[0]
10222	(1) 30616[0] + (1) GENERIC:9707[0] + (1) 58315[0] <=> (1) GENERIC:9706[0] + (1) 33019[0] + (1) 456215[0] + (1) 15378[0]
10223	(1) 30616[0] + (1) GENERIC:9707[0] + (1) 58315[0] <=> (1) GENERIC:9706[0] + (1) 33019[0] + (1) 456215[0] + (1) 15378[0]
10224	(1) 17310[0] + (1) 30616[0] <=> (1) 597326[0] + (1) 456216[0] + (1) 15378[0]
10225	(1) 17310[0] + (1) 30616[0] <=> (1) 597326[0] + (1) 456216[0] + (1) 15378[0]
10226	(1) 17310[0] + (1) 30616[0] <=> (1) 597326[0] + (1) 456216[0] + (1) 15378[0]
10227	(1) 17310[0] + (1) 30616[0] <=> (1) 597326[0] + (1) 456216[0] + (1) 15378[0]
10228	(1) 16947[0] <=> (1) 15377[0] + (1) 16383[0]
10229	(1) 16947[0] <=> (1) 15377[0] + (1) 16383[0]
10230	(1) 16947[0] <=> (1) 15377[0] + (1) 16383[0]
10231	(1) 16947[0] <=> (1) 15377[0] + (1) 16383[0]
10232	(1) 33019[0] + (1) 142106[0] <=> (1) 58017[0] + (1) 15901[0]
10233	(1) 33019[0] + (1) 142106[0] <=> (1) 58017[0] + (1) 15901[0]
10234	(1) 33019[0] + (1) 142106[0] <=> (1) 58017[0] + (1) 15901[0]
10235	(1) 33019[0] + (1) 142106[0] <=> (1) 58017[0] + (1) 15901[0]
10236	(1) 58885[0] + (1) 12875[0] <=> (1) 15378[0] + (1) 58181[0] + (1) 58223[0]
10237	(1) 58885[0] + (1) 12875[0] <=> (1) 15378[0] + (1) 58181[0] + (1) 58223[0]
10238	(1) 58885[0] + (1) 12875[0] <=> (1) 15378[0] + (1) 58181[0] + (1) 58223[0]
10239	(1) 58885[0] + (1) 12875[0] <=> (1) 15378[0] + (1) 58181[0] + (1) 58223[0]
10240	(1) GENERIC:9926[0] + (1) 57540[0] <=> (1) 57945[0] + (1) 15378[0] + (1) GENERIC:9925[0]
10241	(1) GENERIC:9926[0] + (1) 57540[0] <=> (1) 57945[0] + (1) 15378[0] + (1) GENERIC:9925[0]
10242	(1) GENERIC:9926[0] + (1) 57540[0] <=> (1) 57945[0] + (1) 15378[0] + (1) GENERIC:9925[0]
10243	(1) GENERIC:9926[0] + (1) 57540[0] <=> (1) 57945[0] + (1) 15378[0] + (1) GENERIC:9925[0]
10244	(1) 15377[0] + (1) 18034[0] <=> (1) 13705[0] + (1) 15378[0] + (1) 29806[0]
10245	(1) 15377[0] + (1) 18034[0] <=> (1) 13705[0] + (1) 15378[0] + (1) 29806[0]
10246	(1) 15377[0] + (1) 18034[0] <=> (1) 13705[0] + (1) 15378[0] + (1) 29806[0]
10247	(1) 15377[0] + (1) 18034[0] <=> (1) 13705[0] + (1) 15378[0] + (1) 29806[0]
10248	(1) 15377[0] + (1) 61555[0] <=> (1) 246422[0] + (1) 15378[0] + (1) 33019[0]
