cpd01912	C6H12O8P	C6H11O8P
cpd01919	C12H22O14P	C12H21O14P
cpd01966	C26H39N7O17P3S	C26H38N7O17P3S
cpd01977	C4H7NO7P	C4H6NO7P
cpd01982	C5H12NO7P	C5H11NO7P
cpd02021	C32H40N7O20P3S	C32H39N7O20P3S
cpd02024	C2H3O4P	C2H4O4P
cpd02030	C7H9O8P	C7H8O8P
cpd02060	C33H53N7O17P3S	C33H52N7O17P3S
cpd02068	C27H38N7O19P3S	C27H37N7O19P3S
cpd02069	C3H3O7P	C3H2O7P
cpd02097	C5H9NO7P	C5H8NO7P
cpd02100	C5H10O8P	C5H9O8P
cpd02124	C26H39N7O18P3S	C26H38N7O18P3S
cpd02125	C26H39N7O17P3S	C26H38N7O17P3S
cpd02135	C6H5NO6P	C6H4NO6P
cpd02140	C8H14N3O7P	C8H13N3O7P
cpd02147	C4H7O8P	C4H6O8P
cpd02175	C5H8NO3	C5H9NO3
cpd02187	C25H37N7O17P3S	C25H36N7O17P3S
cpd02201	C9H16NO8P	C9H15NO8P
cpd02210	C11H13NO6P	C11H12NO6P
cpd02216	C34H30N4O4Mg	C34H30N4O4.Mg
cpd02230	C6H12O9P	C6H11O9P
cpd02233	C2H7NO3P	C2H8NO3P
cpd02234	C25H39N7O18P3S	C25H38N7O18P3S
cpd02311	C6H7N2O3	C6H6N2O3
cpd02332	C8H9NOS	C8H8NOS
cpd02371	C6H12O12P2	C6H10O12P2
cpd02375	C14H15N5O11P	C14H14N5O11P
cpd02394	C7H15N2O8P	C7H14N2O8P
cpd02428	C5H10O8P	C5H9O8P
cpd02480	C10H15N3O8P	C10H14N3O8P
cpd02484	C6H12O9P	C6H11O9P
cpd02496	C19H38O7P	C19H37O7P
cpd02497	C6H9O10P	C6H8O10P
cpd02547	C3H10NO4P	C3H9NO4P
cpd02552	C7H10NO8P	C7H9NO8P
cpd02574	C6H12O7PS	C6H11O7PS
cpd02611	C8H15NO9P	C8H14NO9P
cpd02612	C8H15NO9P	C8H14NO9P
cpd02642	C12H14NO9P	C12H13NO9P
cpd02654	C6H9NO4PS	C6H8NO4PS
cpd02656	C13H18N4O6	C13H17N4O6
cpd02662	C25H36N7O20P3S	C25H35N7O20P3S
cpd02666	C12H21N2O9PS	C12H20N2O9PS
cpd02678	C8H14N2O9P	C8H13N2O9P
cpd02691	C26H41N7O18P3S	C26H40N7O18P3S
cpd02711	C6H9O9P	C6H8O9P
