cpd09174	C22H17O8	C22H18O8
cpd02111	C31H48O2	C11H9O2R
cpd06793	C30H49N3O2	C30H50N3O2
cpd18009	C26H42N7O19P3S	C26H37N7O19P3S
cpd06791	C16H25NO3	C16H26NO3
cpd00989	C9H12N2O9P	C9H11N2O9P
cpd18004	C35H36N4O5	C35H34N4O5
cpd18005	C35H38N4O7	C35H37N4O7
cpd09772	C33H46N5O8S	C33H47N5O8S
cpd05443	C18H21NO5	C18H22NO5
cpd05441	C17H19NO3	C17H20NO3
cpd14813		noformula
cpd06880	C30H42N2O2S	C30H44N2O2S
cpd17737	C28H42N4O6	C28H44N4O6
cpd17736	C28H42N4O6	C28H44N4O6
cpd06885	C42H45N5O5	C42H46N5O5
cpd06884	C34H40N4O4	C34H41N4O4
cpd16302		noformula
cpd06889	C34H38N4O5	C34H39N4O5
cpd06888	C39H47N5O5	C39H48N5O5
cpd10026	C10H5OCl7	C10H5Cl7O
cpd14811		noformula
cpd02114	C17H23NO4	C17H24NO4
cpd00513	C5H9O6PR	C5H10O6PR
cpd05048	C18H16N3O4Cl3	C18H16Cl3N3O4
cpd14810		noformula
cpd06060	C35H39N5O5	C35H40N5O5
cpd01567	C4H6N4O3	C4H5N4O3
cpd11932		C5H9O6
cpd14817		noformula
cpd10806	C22H30O3F2	C22H30F2O3
cpd10807	C21H31O3F	C21H31FO3
cpd03968	C3H4N5Cl	C3H4ClN5
cpd05047	C18H15N2OCl3	C18H15Cl3N2O
cpd00564	C11H6O4	C11H5O4
cpd14816		noformula
cpd00510	C5H10O7P	C5H9O7P
cpd03420	C43H44N4O16	C43H43N4O16
cpd07330	C16H19NO4	C16H17NO4
cpd03421	C45H53CoN4O14	C45H55N4O14.Co
cpd06537	C19H23NO4	C19H24NO4
cpd06536	C10H13NO2	C10H14NO2
cpd02072	C26H41N7O18P3S	C26H40N7O18P3S
cpd06534	C11H15NO2	C11H16NO2
cpd15810	C5H8NO5S2	C5H7NO5S2
cpd11746	C6H10O5*2	(C6H10O5)n
cpd08838	C47H77O14	C47H78NaO14
cpd02269	C6H12O9P	C6H11O9P
cpd12445		noformula
cpd18033	C12H23O14P	C12H21O14P
cpd08835	C37H46NO12	C37H47NO12
cpd08836	C32H43N2O9Cl	C32H43ClN2O9
cpd00514	C5H9O12P3R	C5H12O12P3R
cpd02401	C10H13N5O10P2	C10H11N5O10P2
cpd01332	C23H23N4O9	C23H22N4O9
cpd09200	C9H14NO3	C9H15NO3
