ID	AraCyc	EcoCyc	KEGG	MetaCyc	PlantCyc
rxn00083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083	null	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083
rxn00085	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUTAMATE-SYN|GLUTSYN-PWY|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUTAMATE-SYN|GLUTSYN-PWY|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients	rn00250|rn00910	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Ammonia-Assimilation|Biosynthesis|Degradation|GLUTAMATE-SYN|GLUTAMINE-DEG|GLUTAMINE-SYN|GLUTAMINEFUM-PWY|GLUTSYN-PWY|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Noncarbon-Nutrients|PWY-5505	null
rxn00086	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|PWY-4081|Reductants	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|Reductants	rn00480	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|PWY-4081|Reductants	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|PWY-4081|Reductants
rxn00088	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-Metabolism|NAD-SYN|NADPHOS-DEPHOS-PWY|PWY-5083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083
rxn00089	null	null	rn00760	null	null
rxn00090	null	null	rn00480	null	null
rxn00092	null	null	rn00230	null	null
rxn00095	null	null	rn00230	null	null
rxn00096	null	null	rn00230	null	null
rxn00097	null	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis	rn00230	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-6126|PYR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Nucleotides-Salvage	Biosynthesis|DENOVOPURINE3-PWY|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00098	null	null	rn00230	null	null
rxn00099	null	null	null	Energy-Metabolism|PWY-6938	null
rxn00100	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PWY-4221ARA	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis	rn00770	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|PWY-4221|PWY-4242|Vitamin-Biosynthesis	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PWY-4221|PWY-4221ARA
rxn00101	AMINE-DEG|Allantoin-degradation|Degradation|PWY-5704|URDEGR-PWY|Urea-Degradation	null	rn00230|rn00330|rn00791	AMINE-DEG|Allantoin-degradation|Degradation|PWY-5704|URDEGR-PWY|Urea-Degradation	AMINE-DEG|Allantoin-degradation|Degradation|PWY-5704|URDEGR-PWY|Urea-Degradation
rxn00102	C1-COMPOUNDS|CO2-Fixation|CYANCAT-PWY|Degradation|Detoxification|NITROGEN-DEG|Noncarbon-Nutrients|PWYQT-4429	CYANCAT-PWY|Degradation|Detoxification|NITROGEN-DEG|Noncarbon-Nutrients	rn00910	Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|CYANCAT-PWY|Carbohydrates-Biosynthesis|Degradation|Detoxification|Gluconeogenesis|NITROGEN-DEG|Noncarbon-Nutrients|PWY-6142|PWY-6146|PWYQT-4429	C1-COMPOUNDS|CO2-Fixation|CYANCAT-PWY|Degradation|Detoxification|NITROGEN-DEG|Noncarbon-Nutrients|PWYQT-4429
rxn00103	null	null	rn00680|rn00720	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CHLORINATED-COMPOUNDS-DEG|CO2-Fixation|CODH-PWY|Carbohydrates-Biosynthesis|Carbon-tetrachloride-degradation|Degradation|Gluconeogenesis|PWY-5372|PWY-6142|PWY-6146	null
rxn00105	null	null	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-BIOSYNTHESIS-III|NAD-Metabolism|NAD-SYN|PWY3O-4106	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-III|NAD-Metabolism|NAD-SYN
rxn00107	null	null	rn00240	null	null
rxn00108	null	null	rn00240	null	null
rxn00109	null	null	rn00910	null	null
rxn00113	Amino-Acid-Biosynthesis|Biosynthesis|Citrulline-Biosynthesis|Degradation|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients|Other-Amino-Acid-Biosynthesis|PWY-4984|PWY-5004	null	rn00250|rn00330|rn00910	Amino-Acid-Biosynthesis|Biosynthesis|Citrulline-Biosynthesis|Degradation|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients|Other-Amino-Acid-Biosynthesis|PWY-4984|PWY-5004	Amino-Acid-Biosynthesis|Biosynthesis|Citrulline-Biosynthesis|Degradation|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients|Other-Amino-Acid-Biosynthesis|PWY-4984|PWY-5004
rxn00114	Amino-Acid-Degradation|CITRULLINE-DEG-PWY|Degradation|Energy-Metabolism|MISCELLANEOUS-DEG|PWY-7060|Photosynthesis	AMINE-DEG|Allantoin-degradation|Degradation|PWY0-41	rn00230|rn00330|rn00910	AMINE-DEG|ARGDEGRAD-PWY|ARGININE-DEG|ARGORNPROST-PWY|Activation-Inactivation-Interconversion|Allantoin-degradation|Amino-Acid-Degradation|CITRULLINE-DEG-PWY|Degradation|Interconversion|MISCELLANEOUS-DEG|PWY0-41	Amino-Acid-Degradation|CITRULLINE-DEG-PWY|Degradation|Energy-Metabolism|MISCELLANEOUS-DEG|PWY-7060|Photosynthesis
rxn00116	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimid-Ribonucleot-De-Novo-Biosyn|Pyrimidine-De-Novo-Biosyn	null	rn00240	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
