id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd37765	ChEBI:137954@Charged	ChEBI:137954@Charged		ChEBI:137954@Charged						
cpd37766	ChEBI:137955@Charged	ChEBI:137955@Charged		ChEBI:137955@Charged						
cpd37767	ChEBI:137967@Charged	ChEBI:137967@Charged		ChEBI:137967@Charged						
cpd37768	ChEBI:137984	ChEBI:137984		ChEBI:137984						
cpd37769	ChEBI:137987	ChEBI:137987	ChEBI:137987	ChEBI:137987						
cpd37770	ChEBI:137988	ChEBI:137988	ChEBI:137988	ChEBI:137988						
cpd37771	MetaCyc:CPD-24532;ChEBI:137989	MetaCyc:CPD-24532;ChEBI:137989	MetaCyc:CPD-24532;ChEBI:137989	MetaCyc:CPD-24532;ChEBI:137989	MetaCyc:CPD-24532	MetaCyc:CPD-24532				
cpd37772	ChEBI:137996@Charged	ChEBI:137996@Charged		ChEBI:137996@Charged						
cpd37773	ChEBI:137997@Charged	ChEBI:137997@Charged		ChEBI:137997@Charged						
cpd37774	ChEBI:137998@Charged	ChEBI:137998@Charged		ChEBI:137998@Charged						
cpd37775	ChEBI:137999@Charged	ChEBI:137999@Charged		ChEBI:137999@Charged						
cpd37776	ChEBI:138002	ChEBI:138002	ChEBI:138002	ChEBI:138002						
cpd37777	ChEBI:138003	ChEBI:138003	ChEBI:138003	ChEBI:138003						
cpd37778	ChEBI:138004	ChEBI:138004	ChEBI:138004	ChEBI:138004						
cpd37779	ChEBI:138005	ChEBI:138005	ChEBI:138005	ChEBI:138005						
cpd37780	ChEBI:138006	ChEBI:138006	ChEBI:138006	ChEBI:138006						
cpd37781	ChEBI:138008	ChEBI:138008	ChEBI:138008	ChEBI:138008						
cpd37782	ChEBI:138019@Charged	ChEBI:138019@Charged		ChEBI:138019@Charged						
cpd37783	MetaCyc:Protein-S3-hydroxy-L-histidine@Charged;ChEBI:138021@Charged	MetaCyc:Protein-S3-hydroxy-L-histidine@Charged;ChEBI:138021@Charged		MetaCyc:Protein-S3-hydroxy-L-histidine@Charged;ChEBI:138021@Charged	MetaCyc:Protein-S3-hydroxy-L-histidine	MetaCyc:Protein-S3-hydroxy-L-histidine				
cpd37784	ChEBI:138027	ChEBI:138027		ChEBI:138027						
cpd37785	ChEBI:138043	ChEBI:138043	ChEBI:138043	ChEBI:138043						
cpd37786	ChEBI:138044	ChEBI:138044	ChEBI:138044	ChEBI:138044						
cpd37787	ChEBI:138050	ChEBI:138050	ChEBI:138050	ChEBI:138050						
