id	names	formula	mass	charge	inchikey	smiles
Branched-truncated-alpha-1-6-mannans	a branched alpha-(1,6)-D-mannan with truncated side chain	null	10000000	10000000		*O[C@@H]1[C@@H](CO)O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC[C@H]4O[C@@H](O*)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
Dolichyl-phosphooligosaccharides	a dolichyl phosphooligosaccharide	null	10000000	10000000		*OP(=O)([O-])OCCC(C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCCC(C)C
1-4-Mannan	a beta-(1,4)-D-mannan|a beta-1,4-mannoglycan	null	10000000	10000000		*O[C@@H]1[C@@H](CO)O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O*)[C@@H](O)[C@H]4O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O
Galactofuranosemannans	a galactomannan (Aspergillus)	null	10000000	10000000		*OC[C@H]1O[C@@H](O[C@@H]2[C@H](O[C@@H]3[C@H](O[C@@H]4[C@@H](CO)O[C@@H](OC[C@H]5O[C@@H](O[C@@H]6[C@H](O[C@@H]7[C@H](O[C@@H]8[C@@H](CO)O[C@@H](O*)[C@@H](O)[C@H]8O)O[C@H](CO)[C@@H](O)[C@@H]7O)O[C@H](CO)[C@@H](O)[C@@H]6O)[C@@H](O[C@@H]6O[C@@H]([C@@H](CO)O[C@@H]7O[C@@H]([C@@H](CO)O[C@@H]8O[C@@H]([C@@H](CO)O[C@@H]9O[C@@H]([C@@H](CO)O[C@@H]%10O[C@@H]([C@H](O)CO)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@@H](O)[C@@H]5O)[C@@H](O)[C@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
OLIGOSACCHARIDE-DIPHOSPHODOLICHOL	dolichyl diphosphooligosaccharide|a (glucosyl)<sub>3</sub>-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol|a dolichyl diphosphooligosaccharide|an {alpha-D-glucosyl-(1->2)-alpha-D-glucosyl-(1->3)-alpha-D-glucosyl-(1->3)-alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->3)-[alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->3)-[alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1,6)]-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosaminyl}diphosphodolichol|a (glucosyl)<sub>3</sub>-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-PP-Dol|(glucosyl)<sub>3</sub>-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-PP-Dol|{alpha-D-glucosyl-(1->2)-alpha-D-glucosyl-(1->3)-alpha-D-glucosyl-(1->3)-alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->3)-[alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->3)-[alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1,6)]-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosaminyl}diphosphodolichol|an oligosaccharide-diphosphodolichol|(glucosyl)<sub>3</sub>-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol	null	10000000	10000000		*OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
Aspergilus-galactomannan-core	a galactofuranosemannan core (<i>Aspergillus</i>)	null	10000000	10000000		*OC[C@H]1O[C@@H](O[C@@H]2[C@H](O[C@@H]3[C@H](O[C@@H]4[C@@H](CO)O[C@@H](OC[C@H]5O[C@@H](O[C@@H]6[C@H](O[C@@H]7[C@H](O[C@@H]8[C@@H](CO)O[C@@H](O*)[C@@H](O)[C@H]8O)O[C@H](CO)[C@@H](O)[C@@H]7O)O[C@H](CO)[C@@H](O)[C@@H]6O)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H](O)[C@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
phosphoethanolamine-cellulose	phosphoethanolamine cellulose|pEtN cellulose	null	10000000	10000000		*[C@@H]1O[C@H](COP(=O)([O-])OCC[NH3+])[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](COP(=O)([O-])OCC[NH3+])[C@@H](O[C@@H]4O[C@H](CO)[C@@H](*)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
Hemicelluloses	hemicellulose	null	10000000	10000000		
CPD-13838	[beta-D-GlcA-(1->4)-2-O-Ac-beta-D-GlcA-(1->4)-beta-D-Glc-(1->4)-[3-O-3-O-(CH3CH(OH)CH2C(O))-4,6-CH3(COO-)C-beta-D-Gal-(1->4)-beta-D-Glc-(1->4)-beta-D-Glc-(1->4)-beta-D-Glc-(1->6)]-2(or3)-O-Ac-alpha-D-Glc-(1->6)]n	null	10000000	10000000		*O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@@H]5O[C@@H]6COC(C)(C(=O)[O-])O[C@@H]6[C@H](OC(=O)CC(C)O)[C@H]5O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O*)[C@H](O)[C@H]4O)[C@H](O)[C@H]3OC(C)=O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC(C)=O
Ulvan	ulvan	null	10000000	10000000		*O[C@@H]1[C@@H](C(=O)[O-])O[C@@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3[C@H](C(=O)[O-])O[C@@H](O[C@H]4[C@H](C)O[C@@H](O[C@@H]5CO[C@@H](O[C@@H]6*(OS(=O)(=O)[O-])[C@@H](O)[C@H](O*)O[C@H]6C)[C@H](O)[C@H]5O)[C@H](O)[C@@H]4OS(=O)(=O)[O-])[C@H](O)[C@H]3O)[C@H](O)[C@@H]2OS(=O)(=O)[O-])[C@H](O)[C@H]1O
Gellan	gellan|E418	null	10000000	10000000		*O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2[C@@H](C(=O)[O-])O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@H]4[C@H](C)O[C@@H](O[C@@H]5[C@@H](O)[C@H](O[C@@H]6[C@@H](C(=O)[O-])O[C@@H](O[C@@H]7[C@@H](CO)O[C@@H](O[C@H]8[C@H](C)O[C@@H](O*)[C@H](O)[C@@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)O[C@H](CO)[C@H]5O)[C@H](O)[C@@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H]1O
CPD-12980	an oligosaccharide with 4-deoxy-6-O-methyl-alpha-D-galact-4-enuronate end|a pectin oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end|an unsaturated pectin oligosaccharide|4-deoxy-6-O-methyl-alpha-D-galact-4-enuronoside|4-deoxy-6-O-methyl-alpha-D-gluc-4-enuronoside	null	10000000	10000000		*O[C@H]1OC(C(=O)OC)=C[C@H](O)[C@H]1O
Rhamnogalacturonan-Backbone	a rhamnogalacturonan I backbone|[(1->2)-alpha-L-rhamnosyl-(1->4)-alpha-D-galacturonosyl]n	null	10000000	10000000		*O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@@H](C(=O)[O-])O[C@H](O[C@H]3[C@H](C)O[C@@H](O[C@H]4[C@@H](C(=O)[O-])O[C@H](O[C@H]5[C@H](O*)O[C@@H](C)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H]1O
Galactogen	a galactogen|1,6-beta-D-galactosyl-galactogen	null	10000000	10000000		
Arabinogalactan	an arabinogalactan	null	10000000	10000000		
Polymannuronates	a polymannuronate	null	10000000	10000000		*O[C@@H]1[C@@H](C(=O)[O-])O[C@@H](O[C@@H]2[C@@H](C(=O)[O-])O[C@@H](O[C@@H]3[C@@H](C(=O)[O-])O[C@@H](O[C@@H]4[C@@H](C(=O)[O-])O[C@@H](O*)[C@@H](O)[C@H]4O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O
Feruloyl-polysaccharides	a feruloyl-polysaccharide	null	10000000	10000000		*C(=O)/C=C/c1ccc(O)c(OC)c1
Mannans	a mannan|mannan	null	10000000	10000000		
CPD0-1193	a partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine	null	10000000	10000000		*OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC[C@H]4O[C@@H](O*)[C@H](NC(C)=O)[C@@H](O)[C@@H]4O)[C@H](NC(C)=O)[C@@H](O)[C@@H]3O)[C@H]([NH3+])[C@@H](O)[C@@H]2O)[C@H](NC(C)=O)[C@@H](O)[C@@H]1O
polysialic-acid	a polysialic acid	null	10000000	10000000		*O[C@H](CO)[C@@H](O)[C@@H]1O[C@@](O[C@H](CO)[C@@H](O)[C@@H]2O[C@@](O[C@H](CO)[C@@H](O)[C@@H]3O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O[C@@](O*)(C(=O)[O-])C[C@H](O)[C@H]4NC(C)=O)(C(=O)[O-])C[C@H](O)[C@H]3NC(C)=O)(C(=O)[O-])C[C@H](O)[C@H]2NC(C)=O)(C(=O)[O-])C[C@H](O)[C@H]1NC(C)=O
Heteroglycans	heteroglycan	null	10000000	10000000		
CPD-21406	a partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine (fragment 1)	null	10000000	10000000		*OC[C@H]1OC(OC[C@H]2O[C@@H](O)[C@H](NC(C)=O)[C@@H](O)[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O
a-cyclic-polysaccharide	a cyclic polysaccharide	null	10000000	10000000		
Glucans	a glucan	null	10000000	10000000		
CPD-12985	4-deoxy-alpha-L-threo-hex-4-enopyranoside|an oligosaccharide with 4-deoxy-alpha-L-threo-hex-4-enuronosyl end|an oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl end|an oligosaccharides with 4-deoxy-beta-D-gluc-4-enuronosyl end|4-deoxy-beta-D-gluc-4-enuronoside|an oligosaccharides with 4-deoxy-alpha-L-threo-hex-4-enopyranosyl end	null	10000000	10000000		*O[C@@H]1OC(C(=O)[O-])=C[C@H](O)[C@H]1O
Structural-Polysaccharides	a structural polysaccharide	null	10000000	10000000		
Galacturonan-Methyl-Ester	a (1,4)-alpha-D-galacturonan methyl ester	null	10000000	10000000		
Branched-Unphos-Amylopectin-Tails	an exposed unphosphorylated, (alpha-1,6)-branched malto-oligosaccharide tail on amylopectin	null	10000000	10000000		
Polysaccharides-mannuronate-residues	polysaccharides containing beta-D-mannuronate residues	null	10000000	10000000		*OC1O[C@H](C(=O)[O-])[C@H](O)[C@H](O)[C@@H]1O
Fructans	a fructan	null	10000000	10000000		
O-Antigens	an O antigen|an O-specific polysaccharide|an O polysaccharide|an O side-chain	null	10000000	10000000		
Carboxymethylcellulose	(carboxymethyl)cellulose|cellulose gum|CMC|E466	null	10000000	10000000		*[C@@H]1O[C@H](COCC(=O)[O-])[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](COCC(=O)[O-])[C@@H](*)[C@H](O)[C@H]4O)[C@H](OCC(=O)[O-])[C@H]3O)[C@H](O)[C@H]2OCC(=O)[O-])[C@H](O)[C@H]1O
Large-branched-glucans	a large-branched glucan	null	10000000	10000000		
Ajmalan-MIAs	an ajmalan-type monoterpenoid indole alkaloid	null	10000000	10000000		
CPD-21407	a partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine (fragment 2)	null	10000000	10000000		*O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H](O)[C@H]1NC(C)=O
bDGal-14-RGI	a beta-D-galactosyl-(1->4)-[rhamnogalacturonan backbone]|[(1->2)-alpha-L-rhamnosyl-(1->4)-alpha-D-galacturonosyl]n	null	10000000	10000000		*O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@@H](C(=O)[O-])O[C@H](O[C@H]3[C@H](C)O[C@@H](O[C@H]4[C@@H](C(=O)[O-])O[C@H](O[C@H]5[C@H](O*)O[C@@H](C)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H]1O
Glucuronans	a glucuronan|a (1,4)-beta-D-glucuronan	null	10000000	10000000		*O[C@@H]1[C@@H](C(=O)[O-])O[C@@H](O[C@@H]2[C@@H](C(=O)[O-])O[C@@H](O[C@@H]3[C@@H](C(=O)[O-])O[C@@H](O*)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
CPD-13198	an exposed unphosphorylated, unbranched malto-oligosaccharide tail on amylopectin	null	10000000	10000000		
Strychnos-MIAs	a strychnos-type monoterpenoid indole alkaloid	null	10000000	10000000		
Sulfated-Polysaccharides	a sulfated polysaccharide	null	10000000	10000000		
Galacturonans	a galacturonan|a 1,4-alpha-poly-D-galacturonate|a 1,4-alpha-D-D-galactosyluronate	null	10000000	10000000		*C1O[C@H](C(=O)[O-])[C@H](O[C@H]2O[C@H](C(=O)[O-])[C@H](O[C@H]3O[C@H](C(=O)[O-])[C@H](*)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
CMC-dextrins	(carboxymethyl)cellodextrin	null	10000000	10000000		*[C@@H]1O[C@H](COCC(=O)[O-])[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](COCC(=O)[O-])[C@@H](*)[C@H](O)[C@H]4O)[C@H](OCC(=O)[O-])[C@H]3O)[C@H](O)[C@H]2OCC(=O)[O-])[C@H](O)[C@H]1O
Polysaccharides-with-L-guluronates	polysaccharides containing a terminal alpha-L-guluronate group	null	10000000	10000000		*OC1O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@@H]1O
Galactans	a galactan	null	10000000	10000000		
Arabinans	an arabinan	null	10000000	10000000		*OCC1O[C@@H](OCC2O[C@@H](OCC3O[C@@H](OCC4O[C@@H](OCC5O[C@@H](O*)[C@H](O)[C@H]5O)[C@H](O[C@@H]5OC(CO)[C@H](O)[C@H]5O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O[C@@H]2OC(CO)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
Poly-Ribosyl-Ribitol-P	poly(-3-[beta-D-ribose-(1->1)-D-ribitol 5-phosphate-])|polyribophosphate	null	10000000	10000000		*OP(=O)([O-])OC[C@@H](O)[C@@H](O)[C@@H](O)CO[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])OC[C@@H](O)[C@@H](O)[C@@H](O)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H]1O
Exopolysaccharides	an exopolysaccharide|an extracellular polysaccharide|EPS	null	10000000	10000000		
Lipopolysaccharides	a lipopolysaccharide|LPS	null	10000000	10000000		*O[C@@H]1[C@@H](CO[C@H]2OC([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O[C@H]2[C@H](O)[C@@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O[C@H](O[C@@H]3[C@H](O)[C@H](O[C@@H]4[C@H](O)[C@@H](O[C@@H]5[C@H](O[C@]6(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O6)C[C@](OC[C@H]6O[C@@H](OC[C@H]7O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]7O)[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)[C@@H]6OP(=O)([O-])[O-])(C(=O)[O-])O[C@@H]5[C@H](O)CO)O[C@H]([C@@H](O)CO)[C@H]4OP(=O)([O-])[O-])O[C@H]([C@H](O)CO[C@H]4O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@H]3OP(=O)([O-])[O-])[C@@H]2O)[C@H](O)[C@H]1O
CPD-21409	a partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine I	null	10000000	10000000		*OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC[C@H]4O[C@@H](OC[C@H]5O[C@@H](O*)[C@H](NC(C)=O)[C@@H](O)[C@@H]5O)[C@H](NC(C)=O)[C@@H](O)[C@@H]4O)[C@H]([NH3+])[C@@H](O)[C@@H]3O)[C@H](NC(C)=O)[C@@H](O)[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O
GlcAXylGlcAXylRbo5Px2GalNAcGlucNAcMan6PR	a 3-O-[beta-GlcA-(1->3)-alpha-Xyl-(1->3)-beta-GlcA(1->4)-beta-Xyl-(1->4)-(Rbo5P)2-3-betaGalNAc-(1->3)-betaGlucNAc-(1->4)-(P6)-O-alphaMan]-Ser/Thr-[protein]|a 3-O-beta-glucuronosyl-(1->3)-alpha-xylosyl-(1->3)-beta-glucuronosyl-(1->4)-[beta-D-xylosyl-(1->4)-(ribitol-5-phosphate)2-3-N-acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-6-phospho-alpha-D-mannosyl)]-Ser/Thr-[protein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)[C@H](*)O[C@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](OP(=O)([O-])OC[C@@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])OC[C@@H](O[C@@H]4OC[C@@H](O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O[C@H]6OC[C@@H](O)[C@H](O[C@@H]7O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@@H](O)CO)[C@H]3NC(C)=O)[C@H]2NC(C)=O)[C@H](O)[C@@H]1O
Core5	core 5|N-acetyl-alpha-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R|N-acetyl-alpha-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-[protein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H]1NC(C)=O
CPD-19686	beta-D-galactosyl-(1->3)--N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-alpha-D-galactosaminyl-R	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2NC(C)=O)[C@H]1NC(C)=O
GLUCOSAMINYL-13-N-ETCETERA-GALACTOSAMINY	core 3|N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-alpha-D-galactosaminyl-R|N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H]1NC(C)=O
Core6	core 6|N-acetyl-beta-D-glucosaminyl-1,6-N-acetyl-D-galactosaminyl-R|N-acetyl-beta-D-glucosaminyl-1,6-N-acetyl-D-galactosaminyl-[glycoprotein]|an N-acetyl-beta-D-glucosaminyl-(1->6)-N-acetyl-alpha-D-galactosaminyl-[protein]|N-acetyl-beta-D-glucosaminyl-(1->6)-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O)[C@H]1NC(C)=O
Core1	core 1|beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R|glycoprotein D-galactosyl-1,3-N-acetyl-alpha-D-galactosamine|beta-D-galactosyl-1,3-N-acetyl-D-galactosaminyl-R|beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-L-seryl/L-threonyl-[protein]|T antigen	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
GLUCOSAMINYL-16-ETCETERA-GALACTOSAMINYL-	core 4|N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-alpha-D-galactosaminyl-R|N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H]1NC(C)=O
Core7	core 7|an N-acetyl-alpha-D-galactosaminyl-1,6-N-acetyl-D-galactosaminyl-R|an N-acetyl-alpha-D-galactosaminyl-1,6-N-acetyl-D-galactosaminyl-[glycoprotein]|an N-acetyl-alpha-D-galactosaminyl-(1->6)-N-acetyl-alpha-D-galactosaminyl-[protein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O)[C@H]1NC(C)=O
Core2	core 2|O-3-{beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl}-L-seryl/threonyl-[protein]|beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]|beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-D-galactosaminyl-R	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
N-ACETYL-ETCETERA-GALACTOSAMINYL-R	O-3-{N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl}-L-seryl/threonyl-[protein]|N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R|N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-[glycoprotein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H]1NC(C)=O
Core8	core 8|alpha-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R|alpha-D-galactosyl-1,3-N-acetyl-D-galactosaminyl-R|an alpha-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-[protein]	null	10000000	10000000		*[NH2+][C@H](C(*)=O)C(*)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
ThiI-S-sulfanylcysteine	a [ThiI sulfur-carrier protein]-<i>S</i>-sulfanylcysteine|a ThiI persulfide|a sulfurylated sulfur-carrier protein ThiI	null	10000000	10000000		*[NH2+][C@@H](CS[S-])C(*)=O
NAcMur-4Peptide-NAcGlc-Undecaprenols	an Und-PP-[beta-D-GlcNAc-(1->4)]-N-acetylmuramyl-(tetrapeptide)|a GlcNAc-(1->4)-MurNAc-tetrapeptide-diphosphoundecaprenol|a beta-D-GlcNAc-(1->4)-N-acetylmuramoyl-(tetrapeptide)-PP-Und	null	10000000	10000000		*C([NH3+])CCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)C(=O)[O-])C(=O)N[C@H](C)C(=O)[O-]
