id	compartment	reversibility	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn02019	c0|e0	>	=	gapfilling	0	0	0	null
rxn02192	c0|e0	=	=	gapfilling	0	0	0	null
rxn02194	c0|e0	=	=	gapfilling	0	0	0	null
rxn02423	c0|e0	=	=	gapfilling	0	0	0	null
rxn02484	c0|e0	>	=	gapfilling	0	0	0	null
rxn02492	c0|e0	>	=	gapfilling	0	0	0	null
rxn02565	c0|e0	=	=	gapfilling	0	0	0	null
rxn02566	c0|e0	=	=	gapfilling	0	0	0	null
rxn02578	c0|e0	>	=	gapfilling	0	0	0	null
rxn02609	c0|e0	>	=	gapfilling	0	0	0	null
rxn02610	c0|e0	>	=	gapfilling	0	0	0	null
rxn02611	c0|e0	>	=	gapfilling	0	0	0	null
rxn02681	c0|e0	>	=	gapfilling	0	0	0	null
rxn02724	c0|e0	=	=	gapfilling	0	0	0	null
rxn02725	c0|e0	=	=	gapfilling	0	0	0	null
rxn02726	c0|e0	>	=	gapfilling	0	0	0	null
rxn02727	c0|e0	=	=	gapfilling	0	0	0	null
rxn02863	c0|e0	=	=	gapfilling	0	0	0	null
rxn02994	c0|e0	=	=	gapfilling	0	0	0	null
rxn03138	c0|e0	=	=	gapfilling	0	0	0	null
rxn03161	c0|e0	=	=	gapfilling	0	0	0	null
rxn03415	c0|e0	=	=	gapfilling	0	0	0	null
rxn03457	c0|e0	<	=	gapfilling	0	0	0	null
rxn03458	c0|e0	=	=	gapfilling	0	0	0	null
rxn04144	c0|e0	=	=	gapfilling	0	0	0	null
rxn04377	c0|e0	=	=	gapfilling	0	0	0	null
rxn04381	c0|e0	>	=	gapfilling	0	0	0	null
rxn04383	c0|e0	>	=	gapfilling	0	0	0	null
rxn04843	c0|e0	=	=	gapfilling	0	0	0	null
rxn04845	c0|e0	>	=	gapfilling	0	0	0	null
rxn04846	c0|e0	>	=	gapfilling	0	0	0	null
rxn04990	c0|e0	>	=	gapfilling	0	0	0	null
rxn05062	c0|e0	>	=	gapfilling	0	0	0	null
rxn05126	c0|e0	=	=	gapfilling	0	0	0	null
rxn05127	c0|e0	=	=	gapfilling	0	0	0	null
rxn05128	c0|e0	=	=	gapfilling	0	0	0	null
rxn05180	c0|e0	>	=	gapfilling	0	0	0	null
rxn05564	c0|e0	=	=	gapfilling	0	0	0	null
rxn05745	c0|e0	=	=	gapfilling	0	0	0	null
rxn05912	c0|e0	>	=	gapfilling	0	0	0	null
rxn05918	c0|e0	=	=	gapfilling	0	0	0	null
rxn05920	c0|e0	=	=	gapfilling	0	0	0	null
rxn05972	c0|e0	>	=	gapfilling	0	0	0	null
rxn06062	c0|e0	=	=	gapfilling	0	0	0	null
rxn06276	c0|e0	=	=	gapfilling	0	0	0	null
rxn06345	c0|e0	>	=	gapfilling	0	0	0	null
rxn06346	c0|e0	>	=	gapfilling	0	0	0	null
rxn06424	c0|e0	<	=	gapfilling	0	0	0	null
rxn06451	c0|e0	<	=	gapfilling	0	0	0	null
rxn06575	c0|e0	<	=	gapfilling	0	0	0	null
rxn06616	c0|e0	>	=	gapfilling	0	0	0	null
rxn06620	c0|e0	>	=	gapfilling	0	0	0	null
rxn06653	c0|e0	=	=	gapfilling	0	0	0	null
rxn06681	c0|e0	=	=	gapfilling	0	0	0	null
rxn06981	c0|e0	>	=	gapfilling	0	0	0	null
rxn06982	c0|e0	<	=	gapfilling	0	0	0	null
rxn07662	c0|e0	=	=	gapfilling	0	0	0	null
rxn08254	c0|e0	=	=	gapfilling	0	0	0	null
rxn08255	c0|e0	=	=	gapfilling	0	0	0	null
rxn08257	c0|e0	<	=	gapfilling	0	0	0	null
rxn08260	c0|e0	=	=	gapfilling	0	0	0	null
rxn09402	c0|e0	=	=	gapfilling	0	0	0	null
rxn09422	c0|e0	>	=	gapfilling	0	0	0	null
rxn09425	c0|e0	>	=	gapfilling	0	0	0	null
rxn09426	c0|e0	>	=	gapfilling	0	0	0	null
rxn09428	c0|e0	?	=	gapfilling	0	0	0	null
rxn09430	c0|e0	>	=	gapfilling	0	0	0	null
rxn09432	c0|e0	>	=	gapfilling	0	0	0	null
rxn09434	c0|e0	?	=	gapfilling	0	0	0	null
rxn09436	c0|e0	?	=	gapfilling	0	0	0	null
rxn09439	c0|e0	>	=	gapfilling	0	0	0	null
rxn09442	c0|e0	>	=	gapfilling	0	0	0	null
rxn09487	c0|e0	=	=	gapfilling	0	0	0	null
rxn09498	c0|e0	>	=	gapfilling	0	0	0	null
rxn09499	c0|e0	<	=	gapfilling	0	0	0	null
rxn09522	c0|e0	>	=	gapfilling	0	0	0	null
rxn09532	c0|e0	>	=	gapfilling	0	0	0	null
rxn09570	c0|e0	>	=	gapfilling	0	0	0	null
rxn09575	c0|e0	=	=	gapfilling	0	0	0	null
rxn09578	c0|e0	<	=	gapfilling	0	0	0	null
rxn09579	c0|e0	>	=	gapfilling	0	0	0	null
rxn09581	c0|e0	>	=	gapfilling	0	0	0	null
rxn09600	c0|e0	>	=	gapfilling	0	0	0	null
rxn09601	c0|e0	>	=	gapfilling	0	0	0	null
rxn09602	c0|e0	<	=	gapfilling	0	0	0	null
rxn09603	c0|e0	<	=	gapfilling	0	0	0	null
rxn09608	c0|e0	>	=	gapfilling	0	0	0	null
rxn09609	c0|e0	>	=	gapfilling	0	0	0	null
rxn09691	c0|e0	=	=	gapfilling	0	0	0	null
rxn09997	c0|e0	=	=	gapfilling	0	0	0	null
rxn10136	c0|e0	=	=	gapfilling	0	0	0	null
rxn10149	c0|e0	=	=	gapfilling	0	0	0	null
rxn10421	c0|e0	=	=	gapfilling	0	0	0	null
rxn10620	c0|e0	>	=	gapfilling	0	0	0	null
rxn10622	c0|e0	>	=	gapfilling	0	0	0	null
rxn10625	c0|e0	>	=	gapfilling	0	0	0	null
rxn11326	c0|e0	=	=	gapfilling	0	0	0	null
rxn11553	c0|e0	>	=	gapfilling	0	0	0	null
rxn11577	c0|e0	=	=	gapfilling	0	0	0	null
rxn11590	c0|e0	=	=	gapfilling	0	0	0	null
rxn11723	c0|e0	>	=	gapfilling	0	0	0	null
rxn11966	c0|e0	=	=	gapfilling	0	0	0	null
rxn11972	c0|e0	>	=	gapfilling	0	0	0	null
rxn12605	c0|e0	=	=	gapfilling	0	0	0	null
rxn12893	c0|e0	=	=	gapfilling	0	0	0	null
rxn13204	c0|e0	>	=	gapfilling	0	0	0	null
rxn13794	c0|e0	>	=	gapfilling	0	0	0	null
rxn14007	c0|e0	=	=	gapfilling	0	0	0	null
rxn14069	c0|e0	>	=	gapfilling	0	0	0	null
rxn14235	c0|e0	=	=	gapfilling	0	0	0	null
rxn14276	c0|e0	=	=	gapfilling	0	0	0	null
rxn14282	c0|e0	>	=	gapfilling	0	0	0	null
rxn14291	c0|e0	<	=	gapfilling	0	0	0	null
rxn15104	c0|e0	>	=	gapfilling	0	0	0	null
rxn15105	c0|e0	>	=	gapfilling	0	0	0	null
rxn15177	c0|e0	>	=	gapfilling	0	0	0	null
rxn15178	c0|e0	>	=	gapfilling	0	0	0	null
rxn15318	c0|e0	?	=	gapfilling	0	0	0	null
rxn15328	c0|e0	>	=	gapfilling	0	0	0	null
rxn15330	c0|e0	>	=	gapfilling	0	0	0	null
rxn15332	c0|e0	>	=	gapfilling	0	0	0	null
rxn15504	c0|e0	?	=	gapfilling	0	0	0	null
rxn15538	c0|e0	?	=	gapfilling	0	0	0	null
rxn15663	c0|e0	?	=	gapfilling	0	0	0	null
rxn15801	c0|e0	<	=	gapfilling	0	0	0	null
rxn15804	c0|e0	<	=	gapfilling	0	0	0	null
rxn15805	c0|e0	=	=	gapfilling	0	0	0	null
rxn15809	c0|e0	=	=	gapfilling	0	0	0	null
rxn15810	c0|e0	>	=	gapfilling	0	0	0	null
rxn15812	c0|e0	>	=	gapfilling	0	0	0	null
rxn15814	c0|e0	=	=	gapfilling	0	0	0	null
rxn15819	c0|e0	=	=	gapfilling	0	0	0	null
rxn15820	c0|e0	?	=	gapfilling	0	0	0	null
rxn15860	c0|e0	=	=	gapfilling	0	0	0	null
rxn15861	c0|e0	>	=	gapfilling	0	0	0	null
rxn16254	c0|e0	=	=	gapfilling	0	0	0	null
rxn16333	c0|e0	>	=	gapfilling	0	0	0	null
rxn16348	c0|e0	?	=	gapfilling	0	0	0	null
rxn16358	c0|e0	>	=	gapfilling	0	0	0	null
rxn16839	c0|e0	=	=	gapfilling	0	0	0	null
rxn16891	c0|e0	?	=	gapfilling	0	0	0	null
rxn17063	c0|e0	?	=	gapfilling	0	0	0	null
rxn17122	c0|e0	?	=	gapfilling	0	0	0	null
rxn17227	c0|e0	<	=	gapfilling	0	0	0	null
rxn17228	c0|e0	>	=	gapfilling	0	0	0	null
rxn17229	c0|e0	>	=	gapfilling	0	0	0	null
rxn17230	c0|e0	>	=	gapfilling	0	0	0	null
rxn17371	c0|e0	?	=	gapfilling	0	0	0	null
rxn17483	c0|e0	?	=	gapfilling	0	0	0	null
rxn17504	c0|e0	?	=	gapfilling	0	0	0	null
rxn17532	c0|e0	>	=	gapfilling	0	0	0	null
rxn17542	c0|e0	?	=	gapfilling	0	0	0	null
rxn17573	c0|e0	?	=	gapfilling	0	0	0	null
rxn17575	c0|e0	?	=	gapfilling	0	0	0	null
rxn17577	c0|e0	?	=	gapfilling	0	0	0	null
rxn17599	c0|e0	?	=	gapfilling	0	0	0	null
rxn17622	c0|e0	>	=	gapfilling	0	0	0	null
rxn17623	c0|e0	?	=	gapfilling	0	0	0	null
rxn17681	c0|e0	?	=	gapfilling	0	0	0	null
rxn17683	c0|e0	?	=	gapfilling	0	0	0	null
rxn17695	c0|e0	?	=	gapfilling	0	0	0	null
rxn17696	c0|e0	?	=	gapfilling	0	0	0	null
rxn17702	c0|e0	<	=	gapfilling	0	0	0	null
rxn17724	c0|e0	?	=	gapfilling	0	0	0	null
rxn17734	c0|e0	?	=	gapfilling	0	0	0	null
rxn17736	c0|e0	?	=	gapfilling	0	0	0	null
rxn17881	c0|e0	?	=	gapfilling	0	0	0	null
rxn17883	c0|e0	?	=	gapfilling	0	0	0	null
rxn17884	c0|e0	?	=	gapfilling	0	0	0	null
rxn17908	c0|e0	?	=	gapfilling	0	0	0	null
rxn17957	c0|e0	?	=	gapfilling	0	0	0	null
rxn17959	c0|e0	?	=	gapfilling	0	0	0	null
rxn17991	c0|e0	?	=	gapfilling	0	0	0	null
rxn18070	c0|e0	?	=	gapfilling	0	0	0	null
rxn18088	c0|e0	?	=	gapfilling	0	0	0	null
rxn18092	c0|e0	?	=	gapfilling	0	0	0	null
rxn18093	c0|e0	?	=	gapfilling	0	0	0	null
rxn18094	c0|e0	?	=	gapfilling	0	0	0	null
rxn18095	c0|e0	?	=	gapfilling	0	0	0	null
rxn18096	c0|e0	?	=	gapfilling	0	0	0	null
rxn18097	c0|e0	?	=	gapfilling	0	0	0	null
rxn18098	c0|e0	?	=	gapfilling	0	0	0	null
rxn18100	c0|e0	?	=	gapfilling	0	0	0	null
rxn18105	c0|e0	?	=	gapfilling	0	0	0	null
rxn18106	c0|e0	?	=	gapfilling	0	0	0	null
rxn18108	c0|e0	?	=	gapfilling	0	0	0	null
rxn18131	c0|e0	?	=	gapfilling	0	0	0	null
rxn18143	c0|e0	?	=	gapfilling	0	0	0	null
rxn18144	c0|e0	?	=	gapfilling	0	0	0	null
rxn18145	c0|e0	?	=	gapfilling	0	0	0	null
rxn18146	c0|e0	?	=	gapfilling	0	0	0	null
rxn18151	c0|e0	?	=	gapfilling	0	0	0	null
rxn18152	c0|e0	?	=	gapfilling	0	0	0	null
rxn18155	c0|e0	?	=	gapfilling	0	0	0	null
rxn18948	c0|e0	?	=	gapfilling	0	0	0	null
rxn18954	c0|e0	?	=	gapfilling	0	0	0	null
rxn18955	c0|e0	?	=	gapfilling	0	0	0	null
rxn18961	c0|e0	>	=	gapfilling	0	0	0	null
rxn18978	c0|e0	?	=	gapfilling	0	0	0	null
rxn19003	c0|e0	?	=	gapfilling	0	0	0	null
rxn19055	c0|e0	?	=	gapfilling	0	0	0	null
rxn19234	c0|e0	?	=	gapfilling	0	0	0	null
rxn19246	c0|e0	>	=	gapfilling	0	0	0	null
rxn19262	c0|e0	=	=	gapfilling	0	0	0	null
rxn19266	c0|e0	=	=	gapfilling	0	0	0	null
rxn19282	c0|e0	?	=	gapfilling	0	0	0	null
rxn19283	c0|e0	?	=	gapfilling	0	0	0	null
rxn19308	c0|e0	?	=	gapfilling	0	0	0	null
rxn19357	c0|e0	>	=	gapfilling	0	0	0	null
rxn19447	c0|e0	<	=	gapfilling	0	0	0	null
rxn19467	c0|e0	=	=	gapfilling	0	0	0	null
rxn19638	c0|e0	>	=	gapfilling	0	0	0	null
rxn19640	c0|e0	<	=	gapfilling	0	0	0	null
rxn19867	c0|e0	?	=	gapfilling	0	0	0	null
rxn19885	c0|e0	?	=	gapfilling	0	0	0	null
rxn19888	c0|e0	?	=	gapfilling	0	0	0	null
rxn20027	c0|e0	>	=	gapfilling	0	0	0	null
rxn20210	c0|e0	?	=	gapfilling	0	0	0	null
rxn20609	c0|e0	?	=	gapfilling	0	0	0	null
rxn20610	c0|e0	?	=	gapfilling	0	0	0	null
rxn20611	c0|e0	?	=	gapfilling	0	0	0	null
rxn20615	c0|e0	?	=	gapfilling	0	0	0	null
rxn20620	c0|e0	?	=	gapfilling	0	0	0	null
rxn20944	c0|e0	?	=	gapfilling	0	0	0	null
rxn20948	c0|e0	?	=	gapfilling	0	0	0	null
rxn20950	c0|e0	?	=	gapfilling	0	0	0	null
rxn20959	c0|e0	?	=	gapfilling	0	0	0	null
rxn20964	c0|e0	=	=	gapfilling	0	0	0	null
rxn20965	c0|e0	=	=	gapfilling	0	0	0	null
rxn20966	c0|e0	>	=	gapfilling	0	0	0	null
rxn20967	c0|e0	>	=	gapfilling	0	0	0	null
rxn20969	c0|e0	=	=	gapfilling	0	0	0	null
rxn20971	c0|e0	<	=	gapfilling	0	0	0	null
rxn20973	c0|e0	>	=	gapfilling	0	0	0	null
rxn21125	c0|e0	?	=	gapfilling	0	0	0	null
rxn21169	c0|e0	=	=	gapfilling	0	0	0	null
rxn21427	c0|e0	?	=	gapfilling	0	0	0	null
rxn21744	c0|e0	>	=	gapfilling	0	0	0	null
rxn21836	c0|e0	=	=	gapfilling	0	0	0	null
rxn21853	c0|e0	=	=	gapfilling	0	0	0	null
rxn21937	c0|e0	?	=	gapfilling	0	0	0	null
rxn21938	c0|e0	?	=	gapfilling	0	0	0	null
rxn21939	c0|e0	?	=	gapfilling	0	0	0	null
rxn21941	c0|e0	?	=	gapfilling	0	0	0	null
rxn21943	c0|e0	?	=	gapfilling	0	0	0	null
rxn21945	c0|e0	?	=	gapfilling	0	0	0	null
rxn21948	c0|e0	?	=	gapfilling	0	0	0	null
rxn21949	c0|e0	?	=	gapfilling	0	0	0	null
rxn21951	c0|e0	?	=	gapfilling	0	0	0	null
rxn21957	c0|e0	?	=	gapfilling	0	0	0	null
rxn21960	c0|e0	?	=	gapfilling	0	0	0	null
rxn21967	c0|e0	?	=	gapfilling	0	0	0	null
rxn21994	c0|e0	?	=	gapfilling	0	0	0	null
rxn22059	c0|e0	?	=	gapfilling	0	0	0	null
rxn22325	c0|e0	?	=	gapfilling	0	0	0	null
rxn22326	c0|e0	?	=	gapfilling	0	0	0	null
rxn22331	c0|e0	?	=	gapfilling	0	0	0	null
rxn22332	c0|e0	?	=	gapfilling	0	0	0	null
rxn22334	c0|e0	?	=	gapfilling	0	0	0	null
rxn22336	c0|e0	?	=	gapfilling	0	0	0	null
rxn22344	c0|e0	?	=	gapfilling	0	0	0	null
rxn22347	c0|e0	?	=	gapfilling	0	0	0	null
rxn22349	c0|e0	?	=	gapfilling	0	0	0	null
rxn22351	c0|e0	?	=	gapfilling	0	0	0	null
rxn22352	c0|e0	?	=	gapfilling	0	0	0	null
rxn22354	c0|e0	?	=	gapfilling	0	0	0	null
rxn22356	c0|e0	?	=	gapfilling	0	0	0	null
rxn22357	c0|e0	?	=	gapfilling	0	0	0	null
rxn22358	c0|e0	?	=	gapfilling	0	0	0	null
rxn22360	c0|e0	?	=	gapfilling	0	0	0	null
rxn22362	c0|e0	?	=	gapfilling	0	0	0	null
rxn22405	c0|e0	?	=	gapfilling	0	0	0	null
rxn22785	c0|e0	?	=	gapfilling	0	0	0	null
rxn22786	c0|e0	?	=	gapfilling	0	0	0	null
rxn22950	c0|e0	?	=	gapfilling	0	0	0	null
rxn22989	c0|e0	?	=	gapfilling	0	0	0	null
rxn22994	c0|e0	?	=	gapfilling	0	0	0	null
rxn22995	c0|e0	?	=	gapfilling	0	0	0	null
rxn23068	c0|e0	=	=	gapfilling	0	0	0	null
rxn23214	c0|e0	?	=	gapfilling	0	0	0	null
rxn23240	c0|e0	?	=	gapfilling	0	0	0	null
rxn23352	c0|e0	>	=	gapfilling	0	0	0	null
rxn23355	c0|e0	>	=	gapfilling	0	0	0	null
rxn23474	c0|e0	?	=	gapfilling	0	0	0	null
rxn23475	c0|e0	?	=	gapfilling	0	0	0	null
rxn23587	c0|e0	=	=	gapfilling	0	0	0	null
rxn23611	c0|e0	?	=	gapfilling	0	0	0	null
rxn23612	c0|e0	?	=	gapfilling	0	0	0	null
rxn23618	c0|e0	?	=	gapfilling	0	0	0	null
rxn23620	c0|e0	?	=	gapfilling	0	0	0	null
rxn23622	c0|e0	?	=	gapfilling	0	0	0	null
rxn24119	c0|e0	>	=	gapfilling	0	0	0	null
rxn24120	c0|e0	>	=	gapfilling	0	0	0	null
rxn24122	c0|e0	?	=	gapfilling	0	0	0	null
rxn24212	c0|e0	=	=	gapfilling	0	0	0	null
rxn24528	c0|e0	?	=	gapfilling	0	0	0	null
rxn24958	c0|e0	=	=	gapfilling	0	0	0	null
rxn24959	c0|e0	>	=	gapfilling	0	0	0	null
rxn25041	c0|e0	>	=	gapfilling	0	0	0	null
rxn25485	c0|e0	>	=	gapfilling	0	0	0	null
rxn25935	c0|e0	?	=	gapfilling	0	0	0	null
rxn25956	c0|e0	>	=	gapfilling	0	0	0	null
rxn26069	c0|e0	?	=	gapfilling	0	0	0	null
rxn26739	c0|e0	?	=	gapfilling	0	0	0	null
rxn26746	c0|e0	=	=	gapfilling	0	0	0	null
rxn26969	c0|e0	?	=	gapfilling	0	0	0	null
rxn26973	c0|e0	>	=	gapfilling	0	0	0	null
rxn26977	c0|e0	?	=	gapfilling	0	0	0	null
rxn26978	c0|e0	?	=	gapfilling	0	0	0	null
rxn26979	c0|e0	?	=	gapfilling	0	0	0	null
rxn27002	c0|e0	>	=	gapfilling	0	0	0	null
rxn27210	c0|e0	?	=	gapfilling	0	0	0	null
rxn27211	c0|e0	?	=	gapfilling	0	0	0	null
rxn27329	c0|e0	?	=	gapfilling	0	0	0	null
rxn27347	c0|e0	?	=	gapfilling	0	0	0	null
rxn27398	c0|e0	?	=	gapfilling	0	0	0	null
rxn27400	c0|e0	>	=	gapfilling	0	0	0	null
rxn27485	c0|e0	?	=	gapfilling	0	0	0	null
rxn27486	c0|e0	?	=	gapfilling	0	0	0	null
rxn27516	c0|e0	?	=	gapfilling	0	0	0	null
rxn28092	c0|e0	?	=	gapfilling	0	0	0	null
rxn28757	c0|e0	?	=	gapfilling	0	0	0	null
rxn28891	c0|e0	>	=	gapfilling	0	0	0	null
rxn29190	c0|e0	=	=	gapfilling	0	0	0	null
rxn29347	c0|e0	=	=	gapfilling	0	0	0	null
rxn29472	c0|e0	=	=	gapfilling	0	0	0	null
rxn29645	c0|e0	=	=	gapfilling	0	0	0	null
rxn29770	c0|e0	>	=	gapfilling	0	0	0	null
rxn30145	c0|e0	>	=	gapfilling	0	0	0	null
rxn30155	c0|e0	<	=	gapfilling	0	0	0	null
rxn30191	c0|e0	>	=	gapfilling	0	0	0	null
rxn30203	c0|e0	>	=	gapfilling	0	0	0	null
rxn30330	c0|e0	=	=	gapfilling	0	0	0	null
rxn30333	c0|e0	>	=	gapfilling	0	0	0	null
rxn30403	c0|e0	=	=	gapfilling	0	0	0	null
rxn30425	c0|e0	>	=	gapfilling	0	0	0	null
rxn30565	c0|e0	?	=	gapfilling	0	0	0	null
rxn30628	c0|e0	=	=	gapfilling	0	0	0	null
rxn30660	c0|e0	>	=	gapfilling	0	0	0	null
rxn31014	c0|e0	>	=	gapfilling	0	0	0	null
rxn31283	c0|e0	<	=	gapfilling	0	0	0	null
rxn31284	c0|e0	<	=	gapfilling	0	0	0	null
rxn31288	c0|e0	?	=	gapfilling	0	0	0	null
rxn31303	c0|e0	<	=	gapfilling	0	0	0	null
rxn31304	c0|e0	<	=	gapfilling	0	0	0	null
rxn31305	c0|e0	<	=	gapfilling	0	0	0	null
rxn31306	c0|e0	<	=	gapfilling	0	0	0	null
rxn31307	c0|e0	<	=	gapfilling	0	0	0	null
rxn31308	c0|e0	<	=	gapfilling	0	0	0	null
rxn31369	c0|e0	<	=	gapfilling	0	0	0	null
rxn31371	c0|e0	<	=	gapfilling	0	0	0	null
rxn31456	c0|e0	?	=	gapfilling	0	0	0	null
rxn31481	c0|e0	?	=	gapfilling	0	0	0	null
rxn31482	c0|e0	?	=	gapfilling	0	0	0	null
rxn31489	c0|e0	?	=	gapfilling	0	0	0	null
rxn31499	c0|e0	?	=	gapfilling	0	0	0	null
rxn31500	c0|e0	?	=	gapfilling	0	0	0	null
rxn31501	c0|e0	?	=	gapfilling	0	0	0	null
rxn31502	c0|e0	?	=	gapfilling	0	0	0	null
rxn31503	c0|e0	?	=	gapfilling	0	0	0	null
rxn31504	c0|e0	?	=	gapfilling	0	0	0	null
rxn31661	c0|e0	<	=	gapfilling	0	0	0	null
rxn31675	c0|e0	=	=	gapfilling	0	0	0	null
rxn31829	c0|e0	=	=	gapfilling	0	0	0	null
rxn31830	c0|e0	=	=	gapfilling	0	0	0	null
rxn31832	c0|e0	=	=	gapfilling	0	0	0	null
rxn31869	c0|e0	=	=	gapfilling	0	0	0	null
rxn32448	c0|e0	<	=	gapfilling	0	0	0	null
rxn32965	c0|e0	=	=	gapfilling	0	0	0	null
rxn33121	c0|e0	=	=	gapfilling	0	0	0	null
rxn33289	c0|e0	>	=	gapfilling	0	0	0	null
rxn33503	c0|e0	<	=	gapfilling	0	0	0	null
rxn33596	c0|e0	=	=	gapfilling	0	0	0	null
rxn33882	c0|e0	<	=	gapfilling	0	0	0	null
rxn34036	c0|e0	>	=	gapfilling	0	0	0	null
rxn34312	c0|e0	<	=	gapfilling	0	0	0	null
rxn34482	c0|e0	=	=	gapfilling	0	0	0	null
rxn34483	c0|e0	=	=	gapfilling	0	0	0	null
rxn34491	c0|e0	=	=	gapfilling	0	0	0	null
rxn34494	c0|e0	=	=	gapfilling	0	0	0	null
rxn34495	c0|e0	=	=	gapfilling	0	0	0	null
rxn34496	c0|e0	=	=	gapfilling	0	0	0	null
rxn34498	c0|e0	=	=	gapfilling	0	0	0	null
rxn34509	c0|e0	=	=	gapfilling	0	0	0	null
rxn34517	c0|e0	=	=	gapfilling	0	0	0	null
rxn34518	c0|e0	=	=	gapfilling	0	0	0	null
rxn34519	c0|e0	=	=	gapfilling	0	0	0	null
rxn34520	c0|e0	=	=	gapfilling	0	0	0	null
rxn34616	c0|e0	<	=	gapfilling	0	0	0	null
rxn35286	c0|e0	>	=	gapfilling	0	0	0	null
rxn35288	c0|e0	<	=	gapfilling	0	0	0	null
rxn35289	c0|e0	<	=	gapfilling	0	0	0	null
rxn35290	c0|e0	<	=	gapfilling	0	0	0	null
rxn35291	c0|e0	<	=	gapfilling	0	0	0	null
rxn35292	c0|e0	<	=	gapfilling	0	0	0	null
rxn35295	c0|e0	<	=	gapfilling	0	0	0	null
rxn35296	c0|e0	<	=	gapfilling	0	0	0	null
rxn35299	c0|e0	<	=	gapfilling	0	0	0	null
rxn35399	c0|e0	?	=	gapfilling	0	0	0	null
rxn35461	c0|e0	?	=	gapfilling	0	0	0	null
rxn35466	c0|e0	=	=	gapfilling	0	0	0	null
rxn35467	c0|e0	?	=	gapfilling	0	0	0	null
rxn35521	c0|e0	>	=	gapfilling	0	0	0	null
rxn36487	c0|e0	=	=	gapfilling	0	0	0	null
rxn36488	c0|e0	=	=	gapfilling	0	0	0	null
rxn36491	c0|e0	=	=	gapfilling	0	0	0	null
rxn36492	c0|e0	=	=	gapfilling	0	0	0	null
rxn37257	c0|e0	>	=	gapfilling	0	0	0	null
rxn37258	c0|e0	>	=	gapfilling	0	0	0	null
rxn37259	c0|e0	>	=	gapfilling	0	0	0	null
rxn37260	c0|e0	>	=	gapfilling	0	0	0	null
