cpd_id	name	reactions	old_inchikey	new_inchikey	old_charge	new_charge	old_stereo	new_stereo	old_smiles	new_smiles
cpd25005	quercetin 3,5-<i>O</i>-diglucoside	2	YOXWSUCVDVXAMX-LOZUMUMPSA-M	YOXWSUCVDVXAMX-DEFKTLOSSA-N	-1	0	6	10	O=c1c(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc(OC3O[C@H](CO)C(O)[C@H](O)C3O)c12	O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c12
cpd32048	20-[alpha-L-arabinofuranosyl-(1->6)-beta-D-glucopyranosyloxy]dammar-24-ene-3beta,12-diol	2	CJFGBCWGOQRURQ-NMUMGEHWSA-N	CJFGBCWGOQRURQ-JFJIKBJRSA-N	0	0	18	19	CC(C)=CCCC(C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C	CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C
cpd32552	4,5-dehydro-L-arginine	2	FVSQXMGZDMFDEJ-BYPYZUCNSA-O	FVSQXMGZDMFDEJ-REJIZHKJSA-O	1	1	1	2	NC(=[NH2+])NC=CC[C@H]([NH3+])C(=O)[O-]	NC(N)=[NH+]/C=C/C[C@H]([NH3+])C(=O)[O-]
cpd33745	7,8-dihydroxy-3,4,15-triacetoxyscirpenol	2	URJKZBKWIWMEQI-LYTYWTHFSA-N	URJKZBKWIWMEQI-IGZVRCDWSA-N	0	0	8	9	CC(=O)OC[C@]12[C@H](O)[C@H](O)C(C)=C[C@H]1O[C@@H]1[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]2(C)C12CO2	CC(=O)OC[C@]12[C@H](O)[C@H](O)C(C)=C[C@H]1O[C@@H]1[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2
cpd34103	(20S)-ginsenoside C-Y	2	YNBYFOIDLBTOMW-MOBYHOAZSA-N	YNBYFOIDLBTOMW-QHNUHGIDSA-N	0	0	18	19	CC(C)=CCCC(C)(O[C@@H]1O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C	CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C
cpd34182	(R)-4-deoxygadusol	2	ZONRIYAALKITGT-UHFFFAOYSA-M	ZONRIYAALKITGT-MRVPVSSYSA-N	-1	0	0	1	COC1=C([O-])CC(O)(CO)CC1=O	COC1=C(O)C[C@](O)(CO)CC1=O
cpd34487	12,13-epoxytrichothec-9-ene	2	LZAJKCZTKKKZNT-HHHGZCDHSA-N	LZAJKCZTKKKZNT-QMIVOQANSA-N	0	0	4	5	CC1=C[C@H]2O[C@@H]3CC[C@@](C)(C34CO4)[C@@]2(C)CC1	CC1=C[C@H]2O[C@@H]3CC[C@](C)([C@@]2(C)CC1)[C@]31CO1
cpd38198	(20S)-20-(beta-D-glucopyranosyloxy)-dammara-24-ene-3beta-ol	2	JQOUYGJYNQSCQP-SKWFVUTISA-N	JQOUYGJYNQSCQP-UZTNOJNJSA-N	0	0	13	14	CC(C)=CCCC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C	CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C
cpd39850	(9Z)-11-{(3S)-3-[(2Z)-pent-2-en-1-yl]oxiran-2-ylidene}undec-9-enoate	2	YZBZORUZOSCZRN-IRBKMFMFSA-M	YZBZORUZOSCZRN-YWHLHSFDSA-M	-1	-1	2	3	CC/C=C\C[C@@H]1OC1=CC=CCCCCCCCC(=O)[O-]	CC/C=C\C[C@@H]1OC1=C/C=C\CCCCCCCC(=O)[O-]
cpd03386	2-Aminoethylphosphocholate	1	BGUPNWPPECTFDP-RUUYYOGZSA-M	BGUPNWPPECTFDP-HZAMXZRMSA-M	-1	-1	10	11	C[C@H](CCC(=O)NCCP(=O)([O-])O)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	C[C@H](CCC(=O)NCCP(=O)([O-])O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
cpd22207	7''-O-phosphohygromycin B	1	DDJWTKQJOKVHBW-GNNWKVJVSA-O	DDJWTKQJOKVHBW-NZSRVPFOSA-O	1	1	15	15	C[NH2+][C@H]1C[C@@H]([NH3+])[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3OC4(O[C@H]23)O[C@H]([C@H]([NH3+])COP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@H]4O)[C@@H]1O	CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@]4(O[C@H]23)O[C@H](C([NH3+])COP(=O)(O)O)[C@H](O)[C@H](O)[C@H]4O)[C@@H]1O
cpd23882	iota-neocarratetraose sulfate	1	QILNVJZKGZSQFJ-GCDDTEOQSA-J	QILNVJZKGZSQFJ-IXTYJRGDSA-J	-4	-4	19	20	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O)[C@H]2OS(=O)(=O)[O-])[C@@H](O)[C@H](O[C@@H]2[C@@H]3OC[C@H]2O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)OC(O)[C@@H]2O)[C@@H]3OS(=O)(=O)[O-])O[C@@H]1CO	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O[C@@H]3O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@H](O[C@H]4O[C@@H]5CO[C@@H]([C@H]5O)[C@H]4OS(=O)(=O)[O-])[C@H]3O)[C@H]2OS(=O)(=O)[O-])[C@@H](O)[C@H](O)O[C@@H]1CO
cpd23883	iota-neocarrahexaose sulfate	1	JKZMNXQJLUUIRT-ORGYOHQWSA-H	JKZMNXQJLUUIRT-YTZOPKLZSA-H	-6	-6	29	30	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O[C@@H]3O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@H](O[C@H]4O[C@@H]5CO[C@@H]([C@H]5O)[C@H]4OS(=O)(=O)[O-])[C@H]3O)[C@H]2OS(=O)(=O)[O-])[C@@H](O)[C@H](O[C@@H]2[C@@H]3OC[C@H]2O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)OC(O)[C@@H]2O)[C@@H]3OS(=O)(=O)[O-])O[C@@H]1CO	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O[C@@H]3O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@H](O[C@H]4O[C@@H]5CO[C@@H]([C@H]5O[C@@H]5O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@H](O[C@H]6O[C@@H]7CO[C@@H]([C@H]7O)[C@H]6OS(=O)(=O)[O-])[C@H]5O)[C@H]4OS(=O)(=O)[O-])[C@H]3O)[C@H]2OS(=O)(=O)[O-])[C@@H](O)[C@H](O)O[C@@H]1CO
