seed_id	reactions_blocked
cpd42048	2
cpd41302	2
cpd37441	2
cpd40767	2
cpd42094	2
cpd40177	2
cpd38059	2
cpd41363	2
cpd43340	2
cpd42131	2
cpd41447	2
cpd42143	2
cpd41481	2
cpd41505	2
cpd42858	2
cpd42174	2
cpd42375	2
cpd42177	2
cpd42178	2
cpd41150	2
cpd41592	2
cpd42237	2
cpd41643	2
cpd41646	2
cpd41663	2
cpd42260	2
cpd41712	2
cpd41193	2
cpd41710	2
cpd41742	2
cpd43349	2
cpd42282	2
cpd37320	2
cpd37353	2
cpd42314	2
cpd42600	2
cpd42336	2
cpd43373	2
cpd42401	2
cpd42440	2
cpd41829	2
cpd42448	2
cpd42449	2
cpd37618	2
cpd37310	2
cpd37644	2
cpd37646	2
cpd41370	2
cpd37664	2
cpd42470	2
cpd42472	2
cpd42474	2
cpd42475	2
cpd42477	2
cpd42479	2
cpd37890	2
cpd37704	2
cpd37722	2
cpd37735	2
cpd37736	2
cpd37737	2
cpd37740	2
cpd37743	2
cpd38780	2
cpd37776	2
cpd37777	2
cpd37778	2
cpd37779	2
cpd37780	2
cpd37781	2
cpd42535	2
cpd42537	2
cpd42539	2
cpd37795	2
cpd42551	2
cpd37801	2
cpd37803	2
cpd37816	2
cpd42648	2
cpd42443	2
cpd42593	2
cpd42316	2
cpd37863	2
cpd42634	2
cpd42637	2
cpd32910	2
cpd37905	2
cpd37922	2
cpd42277	2
cpd40492	2
cpd40066	2
cpd37933	2
cpd40204	2
cpd42654	2
cpd37942	2
cpd42655	2
cpd42686	2
cpd43426	2
cpd38064	2
cpd42692	2
cpd42693	2
cpd43451	2
cpd38021	2
cpd38022	2
cpd40960	2
cpd42740	2
cpd42760	2
cpd38089	2
cpd38097	2
cpd42781	2
cpd38115	2
cpd38118	2
cpd38116	2
cpd38117	2
cpd38120	2
cpd38119	2
cpd38121	2
cpd38122	2
cpd42138	2
cpd38128	2
cpd38141	2
cpd42801	2
cpd38153	2
cpd38178	2
cpd42822	2
cpd42823	2
cpd40656	2
