# eQuilibrator estimates as stored in ModelSEED before the 2026-08 regeneration
# units: kcal/mol   source key: thermodynamics['eQuilibrator']
# provenance: Scripts/Thermodynamics/Retrieve_eQuilibrator_Reactions_Energies.py (MetaNetX InChIKey ladder)
id	name	deltag_kcal_per_mol	deltagerr_kcal_per_mol	reversibility
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	4.62	0.32	<
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	-9.77	0.27	>
rxn00141	S-Adenosyl-L-homocysteine hydrolase	8.3	0.7	=
rxn00142	S-Adenosyl-L-homocysteine aminohydrolase	-5.46	0.69	>
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	-3.91	0.67	>
rxn00144	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	0.39	1.02	>
rxn00147	ATP:pyruvate,water phosphotransferase	0.1	0.12	>
rxn00148	ATP:pyruvate 2-O-phosphotransferase	6.59	0.1	=
rxn00149	pyruvaldehyde:NAD+ oxidoreductase	-7.39	0.49	=
rxn00150	2-Oxopropanal:NADP+ oxidoreductase	-7.42	0.49	=
rxn00151	ATP:pyruvate,phosphate phosphotransferase	4.17	0.12	=
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	-37.66	1.25	>
rxn00153	Phosphoenolpyruvate phosphohydrolase	-13.13	0.13	>
rxn00154	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	-8.13	0.77	=
rxn00155	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	-8.16	0.77	=
rxn00156	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)	-39.78	1.25	>
rxn00157	Acetyl-CoA:formate C-acetyltransferase	4.73	0.36	=
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)	-92.05	23901.81	>
rxn00159	(S)-malate:NAD+ oxidoreductase (decarboxylating)	2.94	0.75	>
rxn00160	(R)-Malate:NAD+ oxidoreductase (decarboxylating)	4.83	1.24	=
rxn00161	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	2.91	0.75	>
rxn00162	oxaloacetate carboxy-lyase (pyruvate-forming)	-4.12	0.75	>
rxn00164	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)	4.12	0.75	<
rxn00165	L-serine ammonia-lyase	-7.22	0.22	>
rxn00166	D-serine ammonia-lyase	-6.88	0.72	>
rxn00168	pyruvate carboxy-lyase (acetaldehyde-forming)	-3.92	0.78	>
rxn00170	Acetyl-CoA hydrolase	-7.68	0.12	>
rxn00171	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	-4.21	0.29	=
rxn00172	Acetate:CoA ligase (ADP-forming)	1.14	0.09	=
rxn00173	acetyl-CoA:phosphate acetyltransferase	2.12	0.14	=
rxn00174	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)	-3.67	0.76	>
rxn00175	Acetate:CoA ligase (AMP-forming)	-1.29	0.1	=
rxn00176	acetyl adenylate:CoA acetyltransferase	-282.76	23901.32	=
rxn00177	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)	1.69	0.38	=
rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase	5.97	0.21	=
rxn00179	ATP:L-glutamate 5-phosphotransferase	6.82	0.55	=
rxn00180	Glutamate 5-kinase	6.12	0.55	=
rxn00181	ATP:L-glutamate 1-phosphotransferase	6.12	0.55	=
rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	8.72	0.07	=
rxn00183	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	-10.76	0.48	>
rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	8.69	0.09	=
rxn00185	L-Glutamate:oxygen oxidoreductase (deaminating)	-22.93	1.0	>
rxn00186	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)	-1.07	0.79	>
rxn00187	L-Glutamate:ammonia ligase (ADP-forming)	-3.13	0.2	>
rxn00188	N-carbamyl-L-glutamate amidohydrolase	13.2	1.18	<
rxn00189	L-Glutamine amidohydrolase	-3.41	0.21	>
rxn00190	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)	-7.76	0.7	>
rxn00191	L-Alanine:2-oxoglutarate aminotransferase	0.04	0.13	=
rxn00192	acetyl-CoA:L-glutamate N-acetyltransferase	-5.49	0.81	>
rxn00193	glutamate racemase	0.13	0.51	=
rxn00194	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)	-5.65	0.83	>
rxn00195	L-threo-3-Methylaspartate carboxy-aminomethylmutase	-1.67	0.56	=
rxn00196	2,5-dioxopentanoate:NADP+ 5-oxidoreductase	-8.92	0.48	=
rxn00197	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)	-6.72	0.93	=
rxn00198	Isocitrate:NADP+ oxidoreductase (decarboxylating)	1.31	0.76	>
rxn00199	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)	-3.14	0.95	>
rxn00200	2-oxoglutaramate amidohydrolase	-0.77	0.57	>
rxn00201	R00270	10.09	0.77	<
rxn00202	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	6.66	0.67	<
rxn00203	2-Oxoglutarate carboxy-lyase	-4.08	0.81	>
rxn00204	oxalate:oxygen oxidoreductase	-39.02	1.85	>
rxn00205	glutathione:hydrogen-peroxide oxidoreductase	-73.8	0.8	>
rxn00208	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)	-23.12	1.09	>
rxn00209	Pyridoxine 5-phosphate:oxygen oxidoreductase	-26.96	1.01	>
rxn00210	D-Glutamate:oxygen oxidoreductase (deaminating)	-23.06	1.12	>
rxn00211	UDP-glucose:NAD+ 6-oxidoreductase	-4.6	0.53	=
rxn00212	UDP-glucose glucophosphohydrolase	-6.15	0.97	>
rxn00213	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	-2.63	0.39	>
rxn00214	UDP-glucose 4-epimerase	0.31	0.35	=
rxn00215	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)	-15.27	0.6	>
rxn00216	ATP:D-glucose 6-phosphotransferase	-4.28	0.1	=
rxn00217	D-Glucose:NAD+ 1-oxidoreductase	-1.05	0.27	=
rxn00218	D-Glucose:NADP+ 1-oxidoreductase	-2.64	0.51	=
rxn00219	D-glucose:oxygen 2-oxidoreductase	-31.52	1.08	>
rxn00220	D-Glucose-6-phosphate phosphohydrolase	-2.26	0.11	>
rxn00221	D-Glucose-1-phosphate phosphohydrolase	-6.26	0.35	>
rxn00222	cellobiose glucohydrolase	-3.49	0.61	>
rxn00223	D-glucose aldose-ketose-isomerase	0.28	0.34	=
rxn00225	ATP:acetate phosphotransferase	3.26	0.13	=
rxn00226	ATP:acetate adenylyltransferase	281.47	23901.32	=
rxn00227	Acetyl phosphate phosphohydrolase	-9.8	0.15	>
rxn00228	Phosphonoacetate phosphonohydrolase	-20.59	1.72	>
rxn00229	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)	-118.58	1.06	>
rxn00230	diphosphate:acetate phosphotransferase	5.73	0.15	=
rxn00231	Acetamide amidohydrolase	-5.98	0.58	>
rxn00232	5'-acetylphosphoadenosine acetylhydrolase	-290.43	23901.33	=
rxn00233	2,4-dioxopentanoate acetylhydrolase	-10.35	1.06	>
rxn00234	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming)	0.56	0.28	=
rxn00235	6-Acetyl-D-glucose acetylhydrolase	-7.14	0.57	>
rxn00236	GDP phosphohydrolase	-6.45	0.3	>
rxn00237	ATP:GDP phosphotransferase	-0.67	0.32	=
rxn00239	ATP:GMP phosphotransferase	-0.09	0.29	=
rxn00241	GTP phosphohydrolase	-5.87	0.32	>
rxn00242	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase	-6.38	1.51	>
rxn00243	GDP-glucose glucohydrolase	-5.28	0.8	>
rxn00244	Oxaloacetate acetylhydrolase	-12.56	0.8	>
rxn00245	(R,R)-tartrate hydro-lyase (oxaloacetate-forming)	-8.11	0.46	>
rxn00247	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	2.47	0.75	>
rxn00248	(S)-malate:NAD+ oxidoreductase	7.06	0.07	=
rxn00249	(S)-malate:NADP+ oxidoreductase	7.03	0.11	=
rxn00250	Pyruvate:carbon-dioxide ligase (ADP-forming)	-1.18	0.17	=
rxn00251	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)	9.01	0.74	=
rxn00252	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	4.94	0.74	=
rxn00253	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)	-6.1	0.52	>
rxn00254	2-oxosuccinamate amidohydrolase	-1.94	0.62	>
rxn00255	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)	4.12	0.67	=
rxn00256	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	8.58	0.1	<
rxn00257	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]	2.04	0.1	>
rxn00258	Malonyl-CoA:pyruvate carboxytransferase	0.45	0.35	=
rxn00260	L-Aspartate:2-oxoglutarate aminotransferase	0.68	0.13	=
rxn00261	rxn00261	159.78	1.77	<
rxn00262	L-Aspartic acid:oxygen oxidoreductase (deaminating)	-22.25	1.01	>
rxn00263	D-Aspartate:oxygen oxidoreductase (deaminating)	-23.49	1.1	>
rxn00264	(S)-Malate:oxygen oxidoreductase	-24.59	1.0	>
rxn00265	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate)	0.91	0.11	=
rxn00266	Oxaloacetate keto-enol-isomerase	1.36	0.71	=
rxn00268	glycine:NAD+ oxidoreductase (deaminating)	10.76	0.38	=
rxn00269	glycine:oxygen oxidoreductase (deaminating)	-20.89	1.07	>
rxn00270	S-Adenosyl-L-methionine:glycine N-methyltransferase	2.69	23902.31	=
rxn00271	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)	8.41	1.11	=
rxn00272	L-Alanine:glyoxylate aminotransferase	-2.0	0.39	=
rxn00273	Acetyl-CoA:glycine C-acetyltransferase	8.27	0.51	=
rxn00274	Acetyl-CoA:glycine C-acetyltransferase	8.27	0.51	=
rxn00275	Glycine:2-oxoglutarate aminotransferase	2.04	0.38	=
rxn00276	Glycine:oxaloacetate aminotransferase	1.36	0.39	=
rxn00278	L-Alanine:NAD+ oxidoreductase (deaminating)	8.76	0.13	=
rxn00279	L-aspartate 4-carboxy-lyase (L-alanine-forming)	-3.49	0.76	>
rxn00280	2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)	8.16	0.7	=
rxn00281	rxn00281	8.04	0.85	=
rxn00282	L-alanine:oxaloacetate aminotransferase	-0.64	0.17	=
rxn00283	alanine racemase	-0.01	0.24	=
rxn00284	succinate:NAD+ oxidoreductase	14.63	0.49	<
rxn00285	Succinate:CoA ligase (ADP-forming)	-0.42	0.32	=
rxn00286	succinyl-CoA:malate CoA-transferase	-1.43	0.89	=
rxn00287	Succinyl-CoA hydrolase	-6.12	0.32	>
rxn00288	Succinate:(acceptor) oxidoreductase	11.27	0.87	<
rxn00289	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	1.42	0.73	=
rxn00290	succinyl-CoA:acetoacetate CoA-transferase	3.01	0.16	=
rxn00291	N-succinyl-L-glutamate amidohydrolase	-0.53	0.86	=
rxn00292	UDP-N-acetyl-D-glucosamine 2-epimerase	-5.87	0.86	>
rxn00293	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	-2.68	0.7	>
rxn00295	UDP-N-acetyl-D-glucosamine 4-epimerase	0.37	0.64	=
rxn00297	UDP-N-acetyl-D-glucosamine 2-epimerase	0.37	0.64	=
rxn00298	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase	-4.86	0.71	=
rxn00299	GTP 7,8-8,9-dihydrolase	-18.54	1.97	>
rxn00300	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	-17.99	1.43	>
rxn00301	GTP diphosphohydrolase (diphosphate-forming)	-8.26	0.45	>
rxn00303	ATP:GTP 3'-diphosphotransferase	-2.08	1.66	=
rxn00304	GTP:pyruvate 2-O-phosphotransferase	7.26	0.33	=
rxn00305	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming)	3.14	0.8	>
rxn00306	Succinate:CoA ligase (GDP-forming)	0.25	0.11	=
rxn00307	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)	-0.31	0.73	>
rxn00308	L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)	-4.47	2.17	>
rxn00309	L-Lysine:NAD+ 6-oxidoreductase (deaminating)	8.81	0.57	=
rxn00310	L-lysine:oxygen 2-oxidoreductase (deaminating)	-24.92	1.13	>
rxn00311	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)	-55.65	23902.1	=
rxn00312	L-Lysine:oxygen 2-oxidoreductase (decarboxylating)	-111.31	1.17	>
rxn00313	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)	-4.39	0.89	>
rxn00314	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)	9.42	0.84	=
rxn00315	L-Lysine:pyruvate aminotransferase	0.05	0.58	=
rxn00316	acetyl-CoA:L-lysine N6-acetyltransferase	-6.16	0.53	>
rxn00317	L-Lysine:2-oxoglutarate 6-aminotransferase	0.09	0.57	=
rxn00318	N6-acetyl-L-lysine amidohydrolase	-1.52	0.53	=
rxn00319	rxn00319	-9.71	2.17	>
rxn00320	lysine racemase	0.0	0.7	=
rxn00321	L-Lysine 2,3-aminomutase	-1.11	0.5	=
rxn00322	L-lysine carboxy-lyase (cadaverine-forming)	-5.98	0.85	>
rxn00323	L-Lysine-1,6-lactam lactamhydrolase	4.58	1.01	=
rxn00324	glycolate:NADP+ oxidoreductase	10.53	0.22	<
rxn00325	Glyoxylate:oxygen oxidoreductase	-38.03	1.27	>
rxn00326	Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)	-3.41	0.31	=
rxn00327	(S)-ureidoglycolate amidohydrolase (decarboxylating)	-5.75	1.16	>
rxn00328	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)	4.27	0.36	=
rxn00330	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	8.56	0.5	<
rxn00331	(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)	3.86	0.7	=
rxn00332	2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating)	7.09	0.93	<
rxn00333	Glycolate:oxygen 2-oxidoreductase	-21.09	1.02	>
rxn00334	3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)	4.23	0.73	=
rxn00335	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)	0.84	0.65	=
rxn00336	isocitrate glyoxylate-lyase (succinate-forming)	2.28	0.32	=
rxn00337	ATP:L-aspartate 4-phosphotransferase	5.32	0.7	=
rxn00338	L-aspartate:oxygen oxidoreductase	-17.2	1.16	>
rxn00339	L-Aspartate:ammonia ligase (ADP-forming)	-2.38	0.85	>
rxn00340	L-aspartate:ammonia ligase (AMP-forming)	-4.81	0.85	>
rxn00341	N-Carbamoyl-L-aspartate amidohydrolase	-8.04	1.18	>
rxn00342	L-Asparagine amidohydrolase	-4.16	0.84	>
rxn00344	Acetyl-CoA:L-aspartate N-acetyltransferase	-4.89	0.59	>
rxn00345	N-Acetyl-L-aspartate amidohydrolase	-2.78	0.6	=
rxn00346	L-aspartate 1-carboxy-lyase (beta-alanine-forming)	-4.73	1.43	>
rxn00347	L-Aspartate ammonia-lyase	3.15	0.11	=
rxn00348	aspartate racemase	1.24	0.48	=
rxn00350	glutathione gamma-glutamylaminopeptidase	-0.44	0.64	=
rxn00351	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	-6.8	0.63	>
rxn00352	S-Succinylglutathione hydrolase	-7.64	0.66	>
rxn00353	rxn00353	-11.46	0.23	=
rxn00354	UDP-D-galactose:NAD+ 6-oxidoreductase	-5.18	0.48	=
rxn00355	UTP:alpha-D-galactose-1-phosphate uridylyltransferase	-1.0	0.43	=
rxn00356	UDP-galactose:D-glucose 4-beta-D-galactosyltransferase	-2.21	0.5	=
rxn00357	UDP-galactose:UDP-N-acetyl-D-glucosamine galactose phosphotransferase	52.2	16901.65	=
rxn00358	UDP-D-galactopyranose furanomutase	0.65	0.26	=
rxn00359	3'-phosphoadenylyl-sulfate sulfohydrolase	-21.16	1.39	>
rxn00360	3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase	-2.99	1.42	>
rxn00361	ATP:adenylylsulfate 3'-phosphotransferase	-3.55	1.42	=
rxn00362	Cytidine-5'-monophosphate phosphoribohydrolase	-2.24	0.73	=
rxn00363	Cytidine-5'-monophosphate phosphohydrolase	-3.39	0.67	>
rxn00364	ATP:CMP phosphotransferase	0.31	0.7	=
rxn00365	ATP:cytidine 5'-phosphotransferase	-3.15	0.67	=
rxn00366	CDP phosphohydrolase	-6.85	0.7	>
rxn00367	CTP diphosphohydrolase (diphosphate-forming)	-9.39	0.56	>
rxn00368	UTP:cytidine 5'-phosphotransferase	-3.2	0.73	=
