# cache=data/cache_win/compounds.sqlite params=data/cc_params_win.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
reaction_id	name	status	dg_prime_kJ_per_mol	uncertainty_kJ_per_mol	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol	formula
rxn26509	RXN1F-162.c	undecomposable: 2243,2858					seed:cpd00007 + seed:cpd00024 + seed:cpd08655 = seed:cpd00011 + seed:cpd00036 + seed:cpd08658
rxn26510	RXN1F-163.c	undecomposable: 2656,2858					seed:cpd00007 + seed:cpd00024 + seed:cpd08658 = seed:cpd00001 + seed:cpd00011 + seed:cpd00036 + seed:cpd08659
rxn26511	RXN1F-164.c	undecomposable: 1796,2656					seed:cpd00007 + seed:cpd00024 + seed:cpd08659 = 2 seed:cpd00011 + seed:cpd00036 + seed:cpd00067 + seed:cpd08661
rxn26512	RXN1F-166.c	compound not in cache: seed:cpd08662					seed:cpd00005 + seed:cpd00007 + seed:cpd00067 + seed:cpd08662 = seed:cpd00001 + seed:cpd00006 + seed:cpd00640
rxn26513	RXN1F-169.c	compound not in cache: seed:cpd01390					seed:cpd00007 + seed:cpd00024 + seed:cpd01389 = 2 seed:cpd00011 + seed:cpd00036 + seed:cpd00067 + seed:cpd01390
rxn26514	RXN1F-17.c	ok	-13.057	3.584	-3.121	0.857	seed:cpd00067 + seed:cpd27287 = seed:cpd00011 + seed:cpd28220
rxn26515	gibberellin 3beta-dioxygenase	compound not in cache: seed:cpd01390					seed:cpd00007 + seed:cpd00024 + seed:cpd01390 = seed:cpd00011 + seed:cpd00036 + seed:cpd00640
rxn26516	RXN1F-18.c	compound not in cache: seed:cpd28297					seed:cpd28297 = seed:cpd05401
rxn26517	hydroperoxide isomerase	undecomposable: 1820					seed:cpd02907 = seed:cpd00001 + seed:cpd02846
rxn26518	Mg-protoporphyrin IX magnesio-lyase	compound not in cache: seed:cpd01476					seed:cpd00001 + seed:cpd00002 + seed:cpd00254 + seed:cpd01476 = seed:cpd00008 + seed:cpd00009 + 3 seed:cpd00067 + seed:cpd02216
rxn26519	choline,reduced-ferredoxin:oxygen oxidoreductase	compound not in cache: seed:cpd28082					seed:cpd00007 + 2 seed:cpd00067 + seed:cpd00098 + 2 seed:cpd28082 = seed:cpd00001 + seed:cpd04548 + 2 seed:cpd27757
rxn26520	choline,reduced-ferredoxin:oxygen oxidoreductase	compound not in cache: seed:cpd28082					seed:cpd00007 + 2 seed:cpd00067 + seed:cpd00098 + 2 seed:cpd28082 = seed:cpd00001 + seed:cpd04548 + 2 seed:cpd27757
rxn26521	RXN1F-443.c	ok	-34.067	9.000	-8.142	2.151	seed:cpd00067 + seed:cpd02113 + seed:cpd09028 = seed:cpd00297 + seed:cpd26555
rxn26522	RXN1F-444.c	ok	-22.717	1.801	-5.429	0.430	seed:cpd26555 + seed:cpd28293 = seed:cpd00014 + seed:cpd26556
rxn26523	RXN1F-444.c.metaexp.CPD-12575	ok	-19.695	2.256	-4.707	0.539	seed:cpd00026 + seed:cpd26555 = seed:cpd00014 + seed:cpd26556
rxn26524	RXN1F-461.c	ok	-91.475	1.477	-21.863	0.353	seed:cpd19040 + seed:cpd28293 = seed:cpd00014 + seed:cpd09028
rxn26525	RXN1F-462.c	compound not in cache: seed:cpd26557					seed:cpd00313 + seed:cpd28293 = seed:cpd00014 + seed:cpd26557
rxn26526	RXN1F-474.c	ok	-93.071	2.668	-22.245	0.638	seed:cpd02113 + seed:cpd19040 = seed:cpd00297 + seed:cpd26558
rxn26527	RXN1F-475.c	ok	-36.965	9.000	-8.835	2.151	seed:cpd00067 + seed:cpd02113 + seed:cpd26558 = seed:cpd00297 + seed:cpd26559
rxn26528	RXN1F-72.c	compound not in cache: seed:cpd08631					seed:cpd00005 + seed:cpd00067 + seed:cpd08631 = seed:cpd00006 + seed:cpd27457
rxn26529	RXN1F-775.c	ok	-165.994	141436.092	-39.673	33804.037	seed:cpd00067 + seed:cpd03502 + seed:cpd28293 = seed:cpd00014 + seed:cpd05511
rxn26530	RXN1F-99.c	undecomposable: 2656,6997					seed:cpd00007 + seed:cpd00024 + seed:cpd08659 = seed:cpd00011 + seed:cpd00036 + seed:cpd00067 + seed:cpd26560
rxn26531	RXN1G-0.c	undecomposable: 782					seed:cpd04105 + seed:cpd26577 = seed:cpd00966 + seed:cpd26567
rxn26532	cis-delta19-3-oxo-C38:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28453 = seed:cpd00011 + seed:cpd27255 + seed:cpd28455
rxn26533	3-cis,cis-delta19,31-3-hydroxyC50:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28413					seed:cpd28413 = seed:cpd00001 + seed:cpd28625
rxn26534	cis,cis-delta13,31-3-oxo-C50:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28394 = seed:cpd00011 + seed:cpd27255 + seed:cpd28399
rxn26535	cis,cis-delta13,31-3-oxo-C50:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28399					seed:cpd00005 + seed:cpd00067 + seed:cpd28399 = seed:cpd00006 + seed:cpd28398
rxn26536	cis-delta19-3-oxo-C38:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28455					seed:cpd00005 + seed:cpd00067 + seed:cpd28455 = seed:cpd00006 + seed:cpd28454
rxn26537	trans-delta2-cis,cis-delta19,31-C50:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28625					seed:cpd00004 + seed:cpd00067 + seed:cpd28625 = seed:cpd00003 + seed:cpd28415
rxn26538	cis,cis-delta13,31-3-hydroxyC50:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28398					seed:cpd28398 = seed:cpd00001 + seed:cpd28620
rxn26539	cis-delta19-3-hydroxyC38:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28454					seed:cpd28454 = seed:cpd00001 + seed:cpd28612
rxn26540	trans-delta2-cis,cis-delta13,31-C50:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28620					seed:cpd00004 + seed:cpd00067 + seed:cpd28620 = seed:cpd00003 + seed:cpd28400
rxn26541	trans-delta2-cis-delta19-C38:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28612					seed:cpd00004 + seed:cpd00067 + seed:cpd28612 = seed:cpd00003 + seed:cpd28456
rxn26542	trehalose-cis-methoxy-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26568 = seed:cpd00794 + seed:cpd26593
rxn26543	trehalose-cis-methoxy-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26568 = seed:cpd00794 + seed:cpd26593
rxn26544	trehalose-trans-methoxy-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26569 = seed:cpd00794 + seed:cpd26594
rxn26545	trehalose-trans-methoxy-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26569 = seed:cpd00794 + seed:cpd26594
rxn26546	trehalose-cis-keto-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26570 = seed:cpd00794 + seed:cpd26595
rxn26547	trehalose-cis-keto-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26570 = seed:cpd00794 + seed:cpd26595
rxn26548	trehalose-trans-keto-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26571 = seed:cpd00794 + seed:cpd26596
rxn26549	trehalose-trans-keto-mono-mycolate O-mycolyltransferase	ok	-0.826	2.803	-0.197	0.670	2 seed:cpd26571 = seed:cpd00794 + seed:cpd26596
rxn26551	cis,cis-delta15,33-3-oxo-C52:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28400 = seed:cpd00011 + seed:cpd27255 + seed:cpd28405
rxn26552	cis,cis-delta15,33-3-oxo-C52:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28405					seed:cpd00005 + seed:cpd00067 + seed:cpd28405 = seed:cpd00006 + seed:cpd28404
rxn26553	cis,cis-delta11,23-3-hydroxyC42:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28389					seed:cpd28389 = seed:cpd00001 + seed:cpd28617
rxn26554	cis,cis-delta15,33-3-hydroxyC52:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28404					seed:cpd28404 = seed:cpd00001 + seed:cpd28622
rxn26555	RXN1G-129.c	ok	-66.182	100004.153	-15.818	23901.566	seed:cpd00001 + seed:cpd04106 = seed:cpd00047 + 2 seed:cpd00067 + seed:cpd04105
rxn26556	cis-delta21-3-oxo-C40:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28456 = seed:cpd00011 + seed:cpd27255 + seed:cpd28458
rxn26557	trans-delta2-cis,cis-delta15,33-C52:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28622					seed:cpd00004 + seed:cpd00067 + seed:cpd28622 = seed:cpd00003 + seed:cpd28406
rxn26558	trehalose-mono-mycolate transport	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn26559	cis-delta11-3-oxo-C30:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28468 = seed:cpd00011 + seed:cpd27255 + seed:cpd28443
rxn26560	6-O-mycolyl-trehalose-6-phosphatase	ok	-15.045	1.446	-3.596	0.346	seed:cpd00001 + seed:cpd26586 = seed:cpd00009 + seed:cpd37299
rxn26561	6-O-cis-methoxy-mycolyl-trehalose-6-phosphatase	ok	-15.045	1.446	-3.596	0.346	seed:cpd00001 + seed:cpd26587 = seed:cpd00009 + seed:cpd26568
rxn26562	6-O-trans-methoxy-mycolyl-trehalose-6-phosphatase	ok	-15.045	1.446	-3.596	0.346	seed:cpd00001 + seed:cpd26588 = seed:cpd00009 + seed:cpd26569
rxn26563	6-O-cis-keto-mycolyl-trehalose-6-phosphatase	ok	-15.045	1.446	-3.596	0.346	seed:cpd00001 + seed:cpd26589 = seed:cpd00009 + seed:cpd26570
rxn26564	6-O-trans-keto-mycolyl-trehalose-6-phosphatase	ok	-15.045	1.446	-3.596	0.346	seed:cpd00001 + seed:cpd26590 = seed:cpd00009 + seed:cpd26571
rxn26565	3-oxo-C78-alpha-mycolate-reductase	compound not in cache: seed:cpd22066					2 seed:cpd00067 + seed:cpd22066 = seed:cpd22497
rxn26566	3-oxo-C85-cis-methoxy-mycolate reductase	compound not in cache: seed:cpd22067					2 seed:cpd00067 + seed:cpd22067 = seed:cpd22499
rxn26567	3-oxo-C86-trans-methoxy-mycolate-reductase	compound not in cache: seed:cpd22069					2 seed:cpd00067 + seed:cpd22069 = seed:cpd22501
rxn26568	3-oxo-C86-cis-keto-mycolate-reductase	compound not in cache: seed:cpd22068					2 seed:cpd00067 + seed:cpd22068 = seed:cpd22500
rxn26569	3-oxo-C87-trans-keto-mycolate reductase	compound not in cache: seed:cpd22070					2 seed:cpd00067 + seed:cpd22070 = seed:cpd22502
rxn26570	3-oxobehenoyl-[acyl-carrier protein] reductase	compound not in cache: seed:cpd22073					seed:cpd00005 + seed:cpd00067 + seed:cpd22073 = seed:cpd00006 + seed:cpd28026
rxn26571	cis-delta11-3-oxo-C30:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28443					seed:cpd00005 + seed:cpd00067 + seed:cpd28443 = seed:cpd00006 + seed:cpd28442
rxn26572	trehalose-mono-mycolate O-mycolyltransferase	compound not in cache: seed:cpd27541					seed:cpd27541 + seed:cpd37299 = seed:cpd00794 + seed:cpd26572
rxn26573	trehalose-cis-methoxy-mono-mycolate O-mycolyltransferase	compound not in cache: seed:cpd27541					seed:cpd26568 + seed:cpd27541 = seed:cpd00794 + seed:cpd26573
rxn26574	trehalose-trans-methoxy-mono-mycolate O-mycolyltransferase	compound not in cache: seed:cpd27541					seed:cpd26569 + seed:cpd27541 = seed:cpd00794 + seed:cpd26574
rxn26575	trehalose-cis-keto-mono-mycolate O-mycolyltransferase	compound not in cache: seed:cpd27541					seed:cpd26570 + seed:cpd27541 = seed:cpd00794 + seed:cpd26575
rxn26576	trehalose-trans-keto-mono-mycolate O-mycolyltransferase	compound not in cache: seed:cpd27541					seed:cpd26571 + seed:cpd27541 = seed:cpd00794 + seed:cpd26576
rxn26577	trans-delta2-cis-delta5-C24:2-[acyl-carrier protein] reductase (NADH, B-specific)	compound not in cache: seed:cpd28614					seed:cpd00004 + seed:cpd00067 + seed:cpd28614 = seed:cpd00003 + seed:cpd28462
rxn26578	cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28432 = seed:cpd00011 + seed:cpd27255 + seed:cpd28437
rxn26579	alpha-meroacyl-AMP transferase	compound not in cache: seed:cpd21913					seed:cpd00067 + seed:cpd26566 + seed:cpd26582 = seed:cpd00010 + seed:cpd00018 + seed:cpd21913 + seed:cpd28373
rxn26580	cis,cis-delta5,23-3-oxo-C42:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28428					seed:cpd00005 + seed:cpd00067 + seed:cpd28428 = seed:cpd00006 + seed:cpd28427
rxn26581	cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28411					seed:cpd00005 + seed:cpd00067 + seed:cpd28411 = seed:cpd00006 + seed:cpd28410
rxn26582	RXN1G-186.c	ok	1.142	1.797	0.273	0.429	seed:cpd00001 + seed:cpd26567 = seed:cpd20950 + seed:cpd26578
rxn26583	cis-delta11-3-hydroxyC30:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28442					seed:cpd28442 = seed:cpd00001 + seed:cpd28608
rxn26584	trans-delta2-cis,cis-5,17-C36:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28628					seed:cpd00004 + seed:cpd00067 + seed:cpd28628 = seed:cpd00003 + seed:cpd28426
rxn26585	trans-delta2-cis,cis-delta11,23-C42:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28617					seed:cpd00004 + seed:cpd00067 + seed:cpd28617 = seed:cpd00003 + seed:cpd28391
rxn26587	cis,cis-delta5,17-3-oxo-C36:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28422 = seed:cpd00011 + seed:cpd27255 + seed:cpd28425
rxn26588	cis,cis-delta13,25-3-oxo-C44:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28396					seed:cpd00005 + seed:cpd00067 + seed:cpd28396 = seed:cpd00006 + seed:cpd28395
rxn26589	trans-delta2-cis-delta11-C30:2[acyl-carrier protein] reductase (NADH, B-specific)	compound not in cache: seed:cpd28608					seed:cpd00004 + seed:cpd00067 + seed:cpd28608 = seed:cpd00003 + seed:cpd28444
rxn26590	cis,cis-delta5,23-3-hydroxyC42:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28427					seed:cpd28427 = seed:cpd00001 + seed:cpd28629
rxn26591	cis-delta9-3-oxo-C28:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28465 = seed:cpd00011 + seed:cpd27255 + seed:cpd28467
rxn26592	cis,cis-delta17,35-3-hydroxyC54:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28410					seed:cpd28410 = seed:cpd00001 + seed:cpd28624
rxn26593	cis-delta13-3-oxo-C32:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28444 = seed:cpd00011 + seed:cpd27255 + seed:cpd28446
rxn26594	cis-delta9-3-oxo-C28:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28467					seed:cpd00005 + seed:cpd00067 + seed:cpd28467 = seed:cpd00006 + seed:cpd28466
rxn26595	trans-delta2-cis,cis-delta5,23-C42:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28629					seed:cpd00004 + seed:cpd00067 + seed:cpd28629 = seed:cpd00003 + seed:cpd28429
rxn26596	cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28437					seed:cpd00005 + seed:cpd00067 + seed:cpd28437 = seed:cpd00006 + seed:cpd28436
rxn26597	cis,cis-delta19-37-C56:2-[acp] reductase	compound not in cache: seed:cpd28418					seed:cpd28418 = seed:cpd28386
rxn26598	cis-delta19-37-hydroxy-38-methyl-C57:1-[acp] reductase	compound not in cache: seed:cpd28386					seed:cpd28386 = seed:cpd28383
rxn26599	cis-delta5-3-oxo-C24:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28459 = seed:cpd00011 + seed:cpd27255 + seed:cpd28461
rxn26600	cis-delta13-3-oxo-C32:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28446					seed:cpd00005 + seed:cpd00067 + seed:cpd28446 = seed:cpd00006 + seed:cpd28445
rxn26601	cis,cis-delta7,19-3-oxo-C38:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28431					seed:cpd00005 + seed:cpd00067 + seed:cpd28431 = seed:cpd00006 + seed:cpd28430
rxn26602	cis-delta9-3-hydroxyC28:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28466					seed:cpd28466 = seed:cpd00001 + seed:cpd28616
rxn26603	cis-delta5-3-hydroxyC24:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28460					seed:cpd28460 = seed:cpd00001 + seed:cpd28614
rxn26604	trans-delta2-cis,cis-delta17,35-C54:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28624					seed:cpd00004 + seed:cpd00067 + seed:cpd28624 = seed:cpd00003 + seed:cpd28412
rxn26605	cis-delta13-3-hydroxyC32:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28445					seed:cpd28445 = seed:cpd00001 + seed:cpd28609
rxn26606	trans-delta2-cis-delta9-C28:2-[acyl-carrier protein] reductase (NADH, B-specific)	compound not in cache: seed:cpd28616					seed:cpd00004 + seed:cpd00067 + seed:cpd28616 = seed:cpd00003 + seed:cpd28468
rxn26607	cis-delta21-3-oxo-C40:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28458					seed:cpd00005 + seed:cpd00067 + seed:cpd28458 = seed:cpd00006 + seed:cpd28457
rxn26608	C78-alpha-mycolate-O-mycolyltransferase	compound not in cache: seed:cpd22497					seed:cpd22497 + seed:cpd26585 = seed:cpd26591 + seed:cpd27896
rxn26609	C85-cis-mycolate O-mycolyltransferase	compound not in cache: seed:cpd22499					seed:cpd22499 + seed:cpd26585 = seed:cpd26562 + seed:cpd27896
rxn26610	C87-trans-mycolate O-mycolyltransferase	compound not in cache: seed:cpd22501					seed:cpd22501 + seed:cpd26585 = seed:cpd26563 + seed:cpd27896
rxn26611	C86-cis-keto-mycolate O-mycolyltransferase	compound not in cache: seed:cpd22500					seed:cpd22500 + seed:cpd26585 = seed:cpd26564 + seed:cpd27896
rxn26612	C87-trans-keto-mycolate O-mycolyltransferase	compound not in cache: seed:cpd22502					seed:cpd22502 + seed:cpd26585 = seed:cpd26565 + seed:cpd27896
rxn26613	3-cis,cis-delta13,25-3-hydroxyC44:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28395					seed:cpd28395 = seed:cpd00001 + seed:cpd28619
rxn26614	trans-methoxy-meroacyl-AMP transferase	compound not in cache: seed:cpd21913					seed:cpd26580 + seed:cpd26582 = seed:cpd00010 + seed:cpd00018 + seed:cpd21913 + seed:cpd28640
rxn26615	cis-keto-meroacyl-AMP transferase	compound not in cache: seed:cpd21913					seed:cpd00067 + seed:cpd26582 + seed:cpd26583 = seed:cpd00010 + seed:cpd00018 + seed:cpd21913 + seed:cpd28469
rxn26616	trans-keto-meroacyl-AMP transferase	compound not in cache: seed:cpd21913					seed:cpd26582 + seed:cpd26584 = seed:cpd00010 + seed:cpd00018 + seed:cpd21913 + seed:cpd28638
rxn26617	trans-delta2-cis-delta13-C32:2-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28609					seed:cpd00004 + seed:cpd00067 + seed:cpd28609 = seed:cpd00003 + seed:cpd28447
rxn26618	trans-docos-2-enoyl-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28636					seed:cpd28636 = seed:cpd28459
rxn26619	cis-delta7-3-oxo-C26:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28462 = seed:cpd00011 + seed:cpd27255 + seed:cpd28464
rxn26620	cis,cis-delta7,19-3-hydroxyC38:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28430					seed:cpd28430 = seed:cpd00001 + seed:cpd28630
rxn26621	cis,cis-delta9,21-3-hydroxyC40:2-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28436					seed:cpd28436 = seed:cpd00001 + seed:cpd28632
rxn26622	cis,cis-delta13,25-3-oxo-C44:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28391 = seed:cpd00011 + seed:cpd27255 + seed:cpd28396
rxn26623	3-hydroxyarchidoyl-[acp] dehydrase	compound not in cache: seed:cpd28025					seed:cpd28025 = seed:cpd00001 + seed:cpd28635
rxn26624	cis-delta19-37-hydroxy-38-methyl-C57:1-[acp] reductase	compound not in cache: seed:cpd28386					seed:cpd28386 = seed:cpd28607
rxn26625	cis-delta15-3-oxo-C34:1-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28447 = seed:cpd00011 + seed:cpd27255 + seed:cpd28449
rxn26626	trans-delta18-37-hydroxy-38-methyl-C58:1-[acp] reductase	compound not in cache: seed:cpd28607					seed:cpd28607 = seed:cpd28603
rxn26627	cis,cis-delta7,25-3-oxo-C44:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28429 = seed:cpd00011 + seed:cpd27255 + seed:cpd28434
rxn26628	trans-delta2-cis,cis-delta13,25-C44:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28619					seed:cpd00004 + seed:cpd00067 + seed:cpd28619 = seed:cpd00003 + seed:cpd28397
rxn26629	trans-delta2-cis-cis-delta7-19-C38:3-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28630					seed:cpd00004 + seed:cpd00067 + seed:cpd28630 = seed:cpd00003 + seed:cpd28432
rxn26630	3-oxo-arachidoyl-[acp] reductase	compound not in cache: seed:cpd22072					seed:cpd00005 + seed:cpd00067 + seed:cpd22072 = seed:cpd00006 + seed:cpd28025
rxn26631	cis-delta21-3-hydroxyC40:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28457					seed:cpd28457 = seed:cpd00001 + seed:cpd28613
rxn26632	cis-delta15-3-oxo-C34:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28449					seed:cpd00005 + seed:cpd00067 + seed:cpd28449 = seed:cpd00006 + seed:cpd28448
rxn26633	cis,cis-delta21,39-C58:2-[acp] reductase	compound not in cache: seed:cpd28421					seed:cpd28421 = seed:cpd28387
rxn26634	3-hydroxybehenoyl-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28026					seed:cpd28026 = seed:cpd00001 + seed:cpd28636
rxn26635	cis-delta7-3-oxo-C26:1-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28464					seed:cpd00005 + seed:cpd00067 + seed:cpd28464 = seed:cpd00006 + seed:cpd28463
rxn26636	cis-delta21-39-hydroxy-40-methyl-C59:1-[acp] reductase	compound not in cache: seed:cpd28387					seed:cpd28387 = seed:cpd28384
rxn26637	cis-delta21-39-hydroxy-40-methyl-C59:1-[acp] synthase	compound not in cache: seed:cpd28387					seed:cpd28387 = seed:cpd28634
rxn26638	trans-delta20-39-hydroxy-40-methyl-C60:1-[acp] reductase	compound not in cache: seed:cpd28634					seed:cpd28634 = 2 seed:cpd00067 + seed:cpd28605
rxn26639	3-oxo-arachidoyl-[acp] synthase	compound not in cache: seed:cpd12458					seed:cpd00070 + seed:cpd12458 = seed:cpd00010 + seed:cpd00011 + seed:cpd22072
rxn26640	trans-delta2-cis-delta7-C26:2-[acyl-carrier protein] reductase (NADH, B-specific)	compound not in cache: seed:cpd28615					seed:cpd00004 + seed:cpd00067 + seed:cpd28615 = seed:cpd00003 + seed:cpd28465
rxn26641	cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28412 = seed:cpd00011 + seed:cpd27255 + seed:cpd28417
rxn26642	cis-delta15-3-hydroxyC34:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28448					seed:cpd28448 = seed:cpd00001 + seed:cpd28610
rxn26643	cis,cis-delta7,25-3-oxo-C44:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28434					seed:cpd00005 + seed:cpd00067 + seed:cpd28434 = seed:cpd00006 + seed:cpd28433
rxn26644	trans-eicos-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28635					seed:cpd00004 + seed:cpd00067 + seed:cpd28635 = seed:cpd00003 + seed:cpd22388
rxn26645	trans-delta2-cis-delta15-C34:2-[acyl-carrier protein] reductase (NADPH, B-specific)	compound not in cache: seed:cpd28610					seed:cpd00004 + seed:cpd00067 + seed:cpd28610 = seed:cpd00003 + seed:cpd28450
rxn26646	C52-alpha-meroacyl-[acp] synthetase	compound not in cache: seed:cpd28388					seed:cpd00002 + seed:cpd28388 = seed:cpd00008 + seed:cpd00009 + seed:cpd11493 + seed:cpd26566
rxn26647	cis,cis-delta5,17-3-oxo-C36:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28425					seed:cpd00005 + seed:cpd00067 + seed:cpd28425 = seed:cpd00006 + seed:cpd28424
rxn26648	cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] reductase	compound not in cache: seed:cpd28417					seed:cpd00005 + seed:cpd00067 + seed:cpd28417 = seed:cpd00006 + seed:cpd28416
rxn26649	cis-methoxy-C59-meroacyl-[acp] synthetase	compound not in cache: seed:cpd28383					seed:cpd00002 + seed:cpd28383 = seed:cpd00008 + seed:cpd00009 + seed:cpd11493 + seed:cpd26579
rxn26650	trans-methoxy-C60-meroacyl-[acp] synthetase	compound not in cache: seed:cpd28603					seed:cpd00002 + seed:cpd28603 = seed:cpd00008 + seed:cpd00009 + seed:cpd11493 + seed:cpd26580
rxn26651	cis-keto-C60-meroacyl-[acp] synthetase	compound not in cache: seed:cpd28384					seed:cpd00002 + seed:cpd28384 = seed:cpd00008 + seed:cpd00009 + seed:cpd11493 + seed:cpd26583
rxn26652	trans-keto-C61-meroacyl-[acp] synthetase	compound not in cache: seed:cpd28605					seed:cpd00002 + seed:cpd28605 = seed:cpd00008 + seed:cpd00009 + seed:cpd11493 + seed:cpd26584
rxn26653	cis-delta7-3-hydroxyC26:1-[acyl-carrier protein] dehydratase	compound not in cache: seed:cpd28463					seed:cpd28463 = seed:cpd00001 + seed:cpd28615
rxn26654	cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] synthase	compound not in cache: seed:cpd11492					seed:cpd11492 + seed:cpd28397 = seed:cpd00011 + seed:cpd27255 + seed:cpd28402
