# cache=data/cache_win/compounds.sqlite params=data/cc_params_win.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
reaction_id	name	status	dg_prime_kJ_per_mol	uncertainty_kJ_per_mol	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol	formula
rxn00022	maltose glucohydrolase	ok	-13.383	1.692	-3.199	0.404	seed:cpd00001 + seed:cpd00179 = 2 seed:cpd00027
rxn00023	thiosulfate:ferricytochrome-c oxidoreductase	compound not in cache: seed:cpd00109					2 seed:cpd00109 + 2 seed:cpd00268 = 2 seed:cpd00067 + 2 seed:cpd00110 + seed:cpd01414
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	ok	-471.793	10.671	-112.761	2.550	seed:cpd00007 + 2 seed:cpd00069 = 2 seed:cpd00291
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	ok	-358.268	5.408	-85.628	1.292	seed:cpd00007 + seed:cpd01420 = 2 seed:cpd00304
rxn00026	thiamine:oxygen 5-oxidoreductase	ok	-109.777	4.521	-26.237	1.080	seed:cpd00007 + seed:cpd00305 = seed:cpd00025 + seed:cpd03484
rxn00027	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	compound not in cache: seed:cpd01990					seed:cpd01990 = 8 seed:cpd00067 + 2 seed:cpd05167
rxn00028	L-ascorbate:oxygen oxidoreductase	ok	-447.347	4.726	-106.919	1.130	seed:cpd00007 + 2 seed:cpd00059 = 2 seed:cpd00001 + 2 seed:cpd00335
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	ok	-106.282	4.423	-25.402	1.057	2 seed:cpd00338 = 2 seed:cpd00001 + seed:cpd00067 + seed:cpd00689
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	ok	-12.313	1.197	-2.943	0.286	2 seed:cpd00371 = seed:cpd01891
rxn00031	raffinose:raffinose 1F-alpha-D-galactosyltransferase	ok	-0.202	3.398	-0.048	0.812	2 seed:cpd00382 = seed:cpd00076 + seed:cpd02464
rxn00032	Choline:oxygen 1-oxidoreductase	ok	-414.877	4.166	-99.158	0.996	seed:cpd00007 + 2 seed:cpd00098 = 2 seed:cpd00001 + 2 seed:cpd00447
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	ok	-651.333	11.807	-155.672	2.822	seed:cpd00007 + 2 seed:cpd00868 = 2 seed:cpd00011 + 2 seed:cpd00489
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	ok	-364.692	3.551	-87.163	0.849	seed:cpd00007 + seed:cpd02768 = 2 seed:cpd00561
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	ok	-449.912	4.457	-107.532	1.065	seed:cpd00007 + 2 seed:cpd01238 = 2 seed:cpd00001 + 2 seed:cpd00563
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	ok	-358.677	12.634	-85.726	3.020	seed:cpd00007 + 2 seed:cpd00291 = 2 seed:cpd00001 + 2 seed:cpd00612
