inchikey	dG0_prime_kcal	uncertainty_kcal	source_cpd	match_type
YMJBYRVFGYXULK-VFUOTHLCSA-M	-257.5271778352987	0.6937639633207194	cpd02370	connectivity
SXTAYKAGBXMACB-AQPAIEDISA-N	116.84821372160016	23900.57361376673	cpd02389	connectivity
OBQMLSFOUZUIOB-SHUUEZRQSA-M	-244.8133740666671	0.7591200573344677	cpd02394	connectivity
CKTQNSWWNVYDSI-NPPUSCPJSA-K	-278.8496525661637	1.2506835875359061	cpd02443	connectivity
LVBIMVQYUKOENY-OABCVWDLSA-M	-162.75651296250814	0.9146825072953207	cpd02487	connectivity
DUOKWMWKFGDUDQ-GRRZBWEESA-M	-163.35493113869566	0.8521939100337241	cpd02488	connectivity
NYWZBRWKDRMPAS-CHNADMEASA-M	-164.9596772269964	0.8586990889319532	cpd02489	connectivity
WUTOEZVIPGBMEA-UULJJINCSA-M	301.6880525081879	23900.57361376673	cpd02518	connectivity
LCXMRSLFWMMCAS-GAYSYORFSA-N	87.48968388617168	56449.153064383776	cpd02527	connectivity
WJFVEEAIYIOATH-RTRLPJTCSA-M	-248.22700053029953	16901.26314196896	cpd02551	connectivity
UPVPJQNTGLTBPC-ILQGDWHLSA-O	111.92879063434572	40616.430271118574	cpd02565	connectivity
GBXLSZYXQQKEER-VPENINKCSA-J	-466.347121206713	0.6582939552533139	cpd02567	connectivity
WHGVLEMQINVDLH-UHFFFAOYSA-K	-199.25033245009936	0.702004557626544	cpd02572	connectivity
RQTTXGQDIROLTQ-FASGCTRLSA-N	-175.0596602163088	23904.67146256527	cpd02579	connectivity
HKCYZTKHPLJZDR-IUYQGCFVSA-N	12.85866668818763	16173.144654110489	cpd02608	connectivity
FZLJPEPAYPUMMR-ZTVVOAFPSA-L	-276.0906177673359	0.5855325000164714	cpd02611	connectivity
BRGMHAYQAZFZDJ-ZTVVOAFPSA-L	-278.3100316019083	0.5212177046363853	cpd02612	connectivity
MUOHJTRCBBDUOW-QAGYXGDRSA-M	-76.51223906269065	32838.5119010904	cpd02640	connectivity
FPQJGWWGSNGINK-UHFFFAOYSA-L	-302.9105309399598	0.32926489876091336	cpd02645	connectivity
