# eQuilibrator estimates as stored in ModelSEED before the 2026-08 regeneration
# units: kcal/mol   source key: thermodynamics['eQuilibrator']
# provenance: Scripts/Thermodynamics/Retrieve_eQuilibrator_Reactions_Energies.py (MetaNetX InChIKey ladder)
id	name	deltag_kcal_per_mol	deltagerr_kcal_per_mol	reversibility
cpd00168	2,3-Dihydroxybenzoate	-100.78	1.03	
cpd00169	3-Phosphoglycerate	-322.91	0.18	
cpd00170	Gluconolactone	-118.18	0.31	
cpd00171	D-Ribulose5-phosphate	-294.6	0.23	
cpd00172	Phenazine methosulfate	193.36	2.23	
cpd00174	Isoflurophate	136.33	23900.57	
cpd00175	UDP-N-acetyl-D-galactosamine	-503.35	1.37	
cpd00176	2-keto-3-deoxygluconate	-133.12	0.8	
cpd00177	dADP	-300.34	0.74	
cpd00178	Acetone	20.16	0.5	
cpd00179	Maltose	-163.05	0.41	
cpd00180	Oxalate	-165.98	0.34	
cpd00182	Adenosine	80.95	0.34	
cpd00183	Sarcosine	-14.21	1.07	
cpd00184	Thymidine	1.36	1.06	
cpd00185	D-Arabinose	-80.83	0.37	
cpd00186	D-Glutamate	-87.67	0.59	
cpd00187	Methanamine	46.73	0.42	
cpd00188	Arachidonate	320.85	1.71	
cpd00189	Methylene blue	175.09	23900.57	
cpd00190	beta-D-Glucose	-101.55	0.27	
cpd00191	3-Oxopropanoate	-84.98	1.0	
cpd00192	4-Coumaroyl-CoA	-396.76	2.18	
cpd00193	APS	-252.38	0.54	
cpd00194	Methyl viologen	218.08	2.58	
cpd00196	Acetylphosphate	-264.81	0.26	
cpd00197	Protocatechuate	-100.78	1.03	
cpd00198	D-Xylulose5-phosphate	-295.41	0.29	
cpd00199	4-Oxobutanoate	-62.71	0.31	
cpd00200	4MOP	-19.77	0.54	
cpd00201	10-Formyltetrahydrofolate	-19.26	16173.2	
cpd00202	DMAPP	-342.36	0.76	
cpd00203	1,3-Bisphospho-D-glycerate	-527.33	0.26	
cpd00205	K+	-0.19	23900.57	
cpd00206	dCMP	-169.02	1.12	
cpd00207	Guanine	3.05	16172.5	
cpd00208	LACT	-162.96	0.54	
cpd00209	Nitrate	-26.17	0.7	
cpd00210	Taurine	-122.58	16901.14	
cpd00211	Butyrate	-16.3	0.7	
