# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd25460	(E,E)-geranyllinalool	C20H34O	ok	1641.252	8.356	392.269	1.997
cpd25461	GA98	C20H27O5	compound not in cache				
cpd25462	DL-beta-hydroxynorvaline	C5H11NO3	ok	-63.263	1.412	-15.120	0.337
cpd25463	DL-threo-3,4-dihydroxyphenylserine	C9H11NO5	ok	-336.449	4.207	-80.413	1.005
cpd25464	propionitrile	C3H5N	compound not in cache				
cpd25465	crotononitrile	C4H5N	ok	249.567	100003.805	59.648	23901.483
cpd25466	valeronitrile	C5H9N	compound not in cache				
cpd25467	4-chlorobutyronitrile	C4H6ClN	compound not in cache				
cpd25468	glutaronitrile	C5H6N2	compound not in cache				
cpd25469	n-butylmercuric chloride	C4H9ClHg	compound not in cache				
cpd25470	sec-butylmercuric bromide	C4H9BrHg	compound not in cache				
cpd25471	crotonylmercuric bromide	C4H5BrHgO	compound not in cache				
cpd25472	vinylmercuric bromide	C2H3BrHg	compound not in cache				
cpd25473	cis-2-butenylmercuric chloride	C4H7ClHg	compound not in cache				
cpd25474	S-D-mandeloylglutathione	C18H22N3O8S	ok	-183.137	5.507	-43.771	1.316
cpd25475	acetonylphosphonate	C3H6O4P	ok	-720.229	7.023	-172.139	1.678
cpd25476	2-oxopropane sulfonate	C3H5O4S	ok	-695.926	70713.986	-166.330	16901.048
cpd25477	5-nitrosalicylaldehyde	C7H4NO4	compound not in cache				
cpd25478	2,4-dinitrophenyl propionate	C9H8N2O6	ok	100.154	200007.581	23.937	47802.959
cpd25479	benzoylacetone	C10H10O2	ok	291.426	4.580	69.652	1.095
cpd25480	phenyl acetoacetate	C10H10O3	ok	116.372	3.302	27.814	0.789
cpd25481	3-deoxy-D-galactose	C6H12O5	ok	-257.408	1.096	-61.522	0.262
cpd25482	betanidin quinone	C18H12N2O8	ok	-437.597	17.672	-104.588	4.224
cpd25483	lyxonate	C5H9O6	ok	-605.801	1.205	-144.790	0.288
cpd25484	(+)-lariciresinol	C20H24O6	ok	251.849	8.724	60.193	2.085
cpd25485	(+)-secoisolariciresinol	C20H26O6	ok	285.781	8.339	68.303	1.993
cpd25486	(-)-lactol	C20H24O6	ok	243.723	8.491	58.251	2.029
cpd25487	3-aminomethylindole	C9H11N2	ok	635.059	4.342	151.783	1.038
cpd25488	MAMI	C10H13N2	ok	748.302	6.064	178.848	1.449
cpd25489	13-[(E)-2-methylcrotonoyl]oxylupanine	C20H31N2O3	ok	884.693	141448.541	211.447	33807.013
cpd25490	(+)-piperitol	C20H20O6	ok	91.962	16.256	21.979	3.885
cpd25491	(+)-sesamin	C20H18O6	ok	-1.027	17.045	-0.246	4.074
cpd25492	(+)-sesamolinol	C20H20O7	ok	-89.417	17.066	-21.371	4.079
cpd25493	(+)-sesamolin	C20H18O7	compound not in cache				
cpd25494	chlorosuccinate	C4H3ClO4	ok	-574.262	2.501	-137.252	0.598
cpd25495	caffeic acid serotonin amide	C19H18N2O4	ok	423.775	8.705	101.285	2.080
cpd25496	ferulic acid serotonin amide	C20H20N2O4	ok	528.567	7.911	126.331	1.891
cpd25497	p-coumaric acid serotonin amide	C19H18N2O3	ok	629.968	7.204	150.566	1.722
cpd25498	cinnamic acid serotonin amide	C19H18N2O2	ok	835.991	6.151	199.807	1.470
cpd25499	3,6-anhydrogalactofuranose	C6H10O5	ok	-295.959	2.021	-70.736	0.483
cpd25500	agarotetraose	C24H38O19	ok	-1040.453	38.682	-248.674	9.245
cpd25501	cinnamoyltyramine	C17H17NO2	ok	714.262	5.593	170.713	1.337
cpd25502	sinapoyltyramine	C19H21NO5	ok	305.290	8.669	72.966	2.072
cpd25503	p-coumaroyltyramine	C17H17NO3	ok	508.237	6.162	121.472	1.473
cpd25504	CPD-8945	null	compound not in cache				
cpd25505	6-O-galloylglucose	C13H16O10	ok	-878.415	6.630	-209.946	1.585
cpd25506	cornusiin E	C82H56O52	ok	-5533.090	83.428	-1322.440	19.940
cpd25507	4-O-digalloyl-1,2,3,6-tetra-O-beta-D-galloylglucose	C48H35O30	ok	-3133.853	41.373	-749.009	9.888
cpd25508	2-O-digalloyl-1,3,4,6-tetra-O-beta-D-galloylglucose	C48H35O30	ok	-3133.853	41.373	-749.009	9.888
cpd25509	3-O-digalloyl-1,2,4,6-tetra-O-beta-D-galloylglucose	C48H35O30	ok	-3133.853	41.373	-749.009	9.888
cpd25510	2,3-O-digalloyl-1,4,6-tri-O-beta-D-galloylglucose	C55H39O34	ok	-3545.611	46.029	-847.421	11.001
cpd25511	2,4-O-digalloyl-1,3,6-tri-O-beta-D-galloylglucose	C55H39O34	ok	-3545.611	46.029	-847.421	11.001
cpd25512	3-O-trigalloyl-1,2,4,6-tetra-O-beta-D-galloylglucose	C55H39O34	ok	-3545.479	46.029	-847.390	11.001
cpd25513	beta-peltatin	C22H22O8	ok	-296.961	22.163	-70.975	5.297
cpd25514	6-methoxypodophyllotoxin	C23H24O9	ok	-360.016	22.193	-86.046	5.304
cpd25515	O,O-dimethyl phosphorothionate	C2H6O3PS	undecomposable				
cpd25516	3,4,5,3',4',5'-hexahydroxydiphenate	C14H8O10	ok	-1320.271	12.870	-315.552	3.076
cpd25517	ethylphosphate	C2H5O4P	ok	-821.729	1.309	-196.398	0.313
cpd25518	succanimate	C4H6NO3	ok	-266.805	2.123	-63.768	0.507
cpd25519	N-acetylasparagine	C6H9N2O4	ok	-283.140	2.872	-67.672	0.686
cpd25520	Nbeta-L-aspartyl-phenylalanine methyl ester	C14H18N2O5	ok	90.523	3.975	21.636	0.950
cpd25521	1-fluoro-2,4-dinitrobenzene	C6H3FN2O4	ok	15.518	200008.180	3.709	47803.102
cpd25522	beta-D-apiofuranosyl-(1->6)-D-glucose	C11H20O10	ok	-618.970	2.292	-147.937	0.548
cpd25523	5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole	C9H11N3O9P	ok	-1059.942	5.816	-253.332	1.390
cpd25524	Acid Phosphate Fluoride	HFNaO4P	undecomposable				
cpd25525	Nbeta-acetylstreptothricin F	C21H38N8O9	ok	663.578	110208.659	158.599	26340.502
cpd25526	formiminoalanine	C4H8N2O2	ok	122.627	46295.658	29.309	11064.928
cpd25527	formiminoglycine methyl ester	C4H11N2O2	ok	151.966	4.005	36.321	0.957
cpd25528	2-hydroxy-2-deaminotetrahydrofolate	C19H20N6O7	ok	103.887	9.593	24.830	2.293
cpd25529	6,8-dihydroxypurine	C5H4N4O2	ok	137.557	6.579	32.877	1.572
cpd25530	8-hydroxypurine	C5H4N4O	ok	261.959	2.770	62.610	0.662
cpd25531	5,10-methylenetetrahydropteroyltriglutamate	C21H22N6O6	ok	483.288	9.235	115.509	2.207
cpd25532	5,10-methylenetetrahydropteroate	C15H15N6O3	ok	673.942	46301.325	161.076	11066.282
cpd25533	tetrahydropteroate	C14H15N6O3	ok	589.056	46301.596	140.788	11066.347
cpd25534	2-hydroxypurine	C5H4N4O	ok	262.006	2.770	62.621	0.662
cpd25535	allopurinol	C5H3N4O	undecomposable				
cpd25536	5-formyl-3-hydroxy-2-methylpyidine-4-carboxylate	C8H6NO4	ok	-261.372	3.760	-62.469	0.899
cpd25537	N-hexanoyl-D,L-homoserine lactone	C10H17NO3	ok	310.483	4.076	74.207	0.974
cpd25538	6-methylnicotinate	C7H6NO2	ok	63.509	3.243	15.179	0.775
cpd25539	cobalt-dihydrosirohydrochlorin	C42H37CoN4O16	compound not in cache				
cpd25540	monomethyl proline	C6H11NO2	ok	137.699	8.136	32.911	1.945
cpd25541	cobalt-precorrin-8x	C45H52CoN4O14	undecomposable				
cpd25542	4,4'-dipyridyl disulfide	C10H8N2S2	ok	723.729	10.131	172.975	2.421
cpd25543	2-amino-2-deoxy-D-glucitol 6-phosphate	C6H15NO8P	ok	-1033.314	1.938	-246.968	0.463
cpd25544	L-sorbosone 1,4-lactone	C6H10O6	ok	-482.038	1.975	-115.210	0.472
cpd25545	L-sorbosone 2,6-lactone	C6H10O6	ok	-470.245	1.571	-112.391	0.375
cpd25546	heptanol	C7H16O	ok	508.159	2.200	121.453	0.526
cpd25547	2-nitrobenzaldehyde	C7H5NO3	ok	185.581	100004.126	44.355	23901.560
cpd25548	D-mannono-gamma-lactone	C6H10O6	ok	-499.348	1.953	-119.347	0.467
cpd25549	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a,	C35H37MgN4O6	compound not in cache				
cpd25550	1,4-dibromo-2,3-butanedione	C4H4Br2O2	ok	-123.536	200007.299	-29.526	47802.892
cpd25551	3,4-hexanedione	C6H10O2	ok	167.630	1.880	40.065	0.449
cpd25552	2,3-heptanedione	C7H12O2	ok	256.203	2.096	61.234	0.501
cpd25553	2,3-hexanedione	C6H10O2	ok	167.630	1.880	40.065	0.449
cpd25554	4-benzylpyridine	C12H11N	ok	758.786	5.317	181.354	1.271
cpd25555	cob(I)yrate	C45H65CoN10O8	compound not in cache				
cpd25556	geranylgeranyl-bacteriochlorophyll a	C55H67MgN4O6	compound not in cache				
cpd25557	dihydrogeranylgeranyl-bacteriochlorophyll a	C55H70MgN4O6	compound not in cache				
cpd25558	tetrahydrogeranylgeranyl-bacteriochlorophyll a	C55H72MgN4O6	compound not in cache				
cpd25559	bacteriochlorophyll d	null	compound not in cache				
cpd25560	bacteriochlorophyll e	null	compound not in cache				
cpd25561	bacteriochlorophyll g	C50H60MgN4O5	compound not in cache				
cpd25562	bacteriophaeophytin a	C55H76N4O6	compound not in cache				
cpd25563	geranylgeranyl-bacteriopheophytin	C55H70N4O6	compound not in cache				
cpd25564	dihydrogeranylgeranyl-bacteriopheophytin	C55H72N4O6	compound not in cache				
cpd25565	tetrahydrogeranylgeranyl-bacteriopheophytin	C55H74N4O6	compound not in cache				
cpd25566	(2Z,6Z)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol	C15H26O	ok	1204.833	6.889	287.962	1.647
cpd25567	(2E,6Z)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol	C15H26O	ok	1204.833	6.889	287.962	1.647
cpd25568	binuclear-iron-cluster	null	compound not in cache				
cpd25569	alpha-butene	C5H10	ok	485.848	2.148	116.120	0.513
cpd25570	2-nitrophenylgalactoside	C12H15NO8	ok	-191.323	100002.922	-45.727	23901.272
cpd25571	phenyl-beta-D-galactopyranoside	C12H16O6	ok	-125.503	4.177	-29.996	0.998
cpd25572	2-amino-3-methylphenol	C7H9NO	ok	294.792	4.308	70.457	1.030
cpd25573	2-amino-4-chlorophenol	C6H6ClNO	ok	154.556	4.228	36.940	1.010
cpd25574	toluene diisocyanate	C9H6N2O2	undecomposable				
cpd25575	3-methyl-4-nitrophenol	C7H7NO3	undecomposable				
cpd25576	3-methyl-4-nitrocatechol	C7H7NO4	compound not in cache				
cpd25577	2-hydroxy-5-nitro-6-oxohepta-2,4-dienoate	C7H6NO6	compound not in cache				
cpd25578	2-hydroxy-5-nitropenta-2,4-dienoate	C5H4NO5	compound not in cache				
cpd25579	4-hydroxylaminotoluene	C7H9NO	ok	509.622	100005.327	121.803	23901.847
cpd25580	2-amino-5-methylphenol	C7H9NO	ok	294.778	4.308	70.454	1.030
cpd25581	2-amino-5-methyl-muconate semialdehyde	C7H9NO3	ok	64.390	3.788	15.390	0.905
cpd25582	5-methyl-picolinate	C7H6NO2	ok	63.515	3.243	15.180	0.775
cpd25583	2-amino-5-methyl-muconate	C7H8NO4	ok	-195.236	3.480	-46.662	0.832
cpd25584	1-chloro-4-nitrosobenzene	C6H4ClNO	undecomposable				
cpd25585	1-chloro-4-hydroxylaminobenzene	C6H6ClNO	ok	369.479	100005.234	88.308	23901.825
cpd25586	2-amino-5-chlorophenol	C6H6ClNO	ok	154.550	4.228	36.938	1.010
cpd25587	4-hydroxy-2-keto-5-methyl-6-oxo-3-hexenoate	C7H7O5	ok	-398.140	2.424	-95.158	0.579
cpd25588	2-amino-5-chloromuconate	C6H5ClNO4	ok	-341.042	100005.015	-81.511	23901.772
cpd25589	2-amino-5-chloromuconate semialdehyde	C6H6ClNO3	ok	-81.395	100005.253	-19.454	23901.829
cpd25590	2-hydroxy-5-chloromuconate	C6H3ClO5	ok	-604.421	2.853	-144.460	0.682
cpd25591	2-oxo-4-hexenoate	C6H7O3	ok	-89.783	1.912	-21.459	0.457
cpd25592	2-oxo-4-hydroxyhexanoate	C6H7O4	ok	-306.457	3.981	-73.245	0.952
cpd25593	(3Z)-2-oxohex-3-enedioate	C6H4O5	ok	-549.490	2.079	-131.331	0.497
cpd25594	rubredoxin Fe-S center	null	compound not in cache				
cpd25595	4-ethylbenzoate	C9H9O2	ok	159.915	2.716	38.221	0.649
cpd25596	1,4-dicarboxynaphthalene	C12H6O4	ok	-226.181	6.019	-54.058	1.439
cpd25597	N-vanillyl octanamide	C16H25NO3	ok	654.235	5.088	156.366	1.216
cpd25598	5-ene-7-methyl norcapsaicin	C17H25NO3	ok	738.826	5.793	176.584	1.385
cpd25599	N-vanillyl nonanamide	C17H27NO3	ok	742.778	5.286	177.528	1.263
cpd25600	IDP-D-mannose	C16H22N4O16P2	ok	-1928.540	3.484	-460.932	0.833
cpd25601	2,2-Dihydroxyindane-1,3-dione	C9H6O4	undecomposable				
cpd25602	4,7-diphenyl-1,10-phenanthroline	C24H16N2	ok	1294.970	10.074	309.505	2.408
cpd25603	(3R)-3-amino-3-phenylpropanoyl-CoA	C30H42N8O17P3S	ok	-1378.828	8.572	-329.548	2.049
cpd25604	3-exomethylenecephalosporin-C	C14H18N3O6S	ok	-176.981	100011.368	-42.300	23903.291
cpd25605	alpha-solanine	C45H74NO15	ok	1010.542	223655.949	241.525	53455.055
cpd25606	beta-solanine	C39H64NO11	ok	1111.934	223655.662	265.759	53454.986
cpd25607	beta-D-Galactopyranoside, (3beta)-solanid-5-en-3-yl	C33H54NO6	ok	1369.356	223655.517	327.284	53454.952
cpd25608	beta(1)-Chaconine	C39H64NO10	ok	1267.964	223655.753	303.051	53455.008
cpd25609	beta-D-Glucopyranoside, (3beta)-solanid-5-en-3-yl	C33H54NO6	ok	1369.356	223655.517	327.284	53454.952
cpd25610	Phenethicilin	C17H19N2O5S	ok	128.192	100010.955	30.639	23903.192
cpd25611	phenoxypropylpenicillin	C18H21KN2O5S	compound not in cache				
cpd25612	cephalosporin 87/312	C21H15N4O8S2	compound not in cache				
cpd25613	(7R)-3-((E)-2,4-Dinitrostyryl)-7-(2-thienylacetamido)-3-cephem-4-carboxylic acid	C21H15N4O8S2	compound not in cache				
cpd25614	6-beta-Iodopenicillanate	C8H9INO3S	ok	-136.673	141434.748	-32.666	33803.716
cpd25615	(Z)-11-octadecenoic acid	C18H33O2	ok	1177.078	5.869	281.328	1.403
cpd25616	ginsenoside Rd	C48H82O18	ok	1048.570	300026.538	250.614	71708.063
cpd25617	4,4a-dihydroxy-dihydro-dibenzo-p-dioxin	C12H10O4	ok	-128.995	12.294	-30.831	2.938
cpd25618	ginsenoside Rb1	C54H92O23	ok	783.018	300026.765	187.146	71708.118
cpd25619	(3R,5R)-clavaldehyde	C8H6NO5	ok	-402.581	8.745	-96.219	2.090
cpd25620	internal aldimine	C8H11N2O5PR	compound not in cache				
cpd25621	allylsulfenate	C3H6OS	ok	292.436	100003.967	69.894	23901.522
cpd25622	3-methylsulfinyl-L-alanine	C4H9NO3S	undecomposable				
cpd25623	PCSO	C6H13NO3S	undecomposable				
cpd25624	3-(ethylsulfinyl)-L-alanine	C5H11NO3S	compound not in cache				
cpd25625	n-nonane	C9H20	ok	841.335	3.104	201.084	0.742
cpd25626	n-pentane	C5H12	ok	498.200	2.933	119.073	0.701
cpd25627	n-heptane	C7H16	ok	664.189	2.424	158.745	0.579
cpd25628	n-decane	C10H22	ok	929.909	3.457	222.254	0.826
cpd25629	n-undecane	C11H24	ok	1018.482	3.816	243.423	0.912
cpd25630	N-acetyl-(L)-arginine	C8H16N4O3	ok	223.074	5.631	53.316	1.346
cpd25631	(3R)-hydroxy-N-acetyl-(L)-arginine	C8H16N4O4	ok	63.825	5.602	15.255	1.339
cpd25632	prop-2-enethial	C3H4S	undecomposable				
cpd25633	S-allylmercapto-L-cysteine	C6H11NO2S2	ok	216.470	6.543	51.738	1.564
cpd25634	2-vinyl-[4H]-1,3-dithin	C6H8S2	ok	435.783	200006.816	104.155	47802.776
cpd25635	3-vinyl-[4H]-1,2-dithin	C6H8S2	ok	515.375	8.203	123.178	1.960
cpd25636	3-(Ethylthio)alanine	C5H11NO2S	ok	126.939	3.867	30.339	0.924
cpd25637	1-propenylsulfenate	C3H6OS	ok	290.311	100003.805	69.386	23901.483
cpd25638	thiosulfinate	C6H10OS2	compound not in cache				
cpd25639	PRENSCO	C6H11NO3S	undecomposable				
cpd25640	ethylsulfenate	C2H6OS	ok	205.057	100003.617	49.010	23901.438
cpd25641	Bimethyl	C2H6	ok	227.000	2.933	54.254	0.701
cpd25642	1-Cyclopropene	C3H4	ok	170.244	6.463	40.689	1.545
cpd25643	3-amino-3-oxopropanoate	C3H4NO3	ok	-355.380	2.111	-84.938	0.504
cpd25644	nornorcapsaicin	C16H23NO3	ok	653.226	5.520	156.125	1.319
cpd25645	nornordihydrocapsaicin	C16H25NO3	ok	656.508	5.134	156.909	1.227
cpd25646	homodihydrocapsaicin	C19H31NO3	ok	922.293	5.706	220.433	1.364
cpd25647	5-azacytosine	C3H4N4O	ok	216.636	46303.085	51.777	11066.703
cpd25648	N-methylammelide	C4H6N4O2	ok	85.977	46301.820	20.549	11066.401
cpd25649	N-dimethylammelide	C5H9N5O	ok	530.171	92602.939	126.714	22132.634
cpd25650	(Z,E)-alpha-farnesene	C15H24	ok	1359.670	7.129	324.969	1.704
cpd25651	ametryn sulfoxide	C9H17N5OS	compound not in cache				
cpd25652	N-methylisocyanurate	C4H5N3O3	ok	-105.512	7.012	-25.218	1.676
cpd25653	2,4,6-triaminopyrimidine	C4H8N5	ok	540.992	46301.824	129.300	11066.401
cpd25654	2,6-Diamino-4-chloropyrimidine	C4H5ClN4	ok	384.826	46301.213	91.976	11066.255
cpd25655	2-hydroxy-4-isopropylamino-6-amino-s-triazine	C6H11N5O	ok	593.821	92602.575	141.927	22132.547
cpd25656	GIPA	C8H16N2O3	ok	167.984	2.778	40.149	0.664
cpd25657	GALO	C8H16N2O4	ok	12.429	2.603	2.971	0.622
cpd25658	L-2-aminopropan-1-ol	C3H10NO	ok	219.647	1.652	52.497	0.395
cpd25659	L-2-aminopropionaldehyde	C3H8NO	ok	177.203	1.426	42.353	0.341
cpd25660	(3S,5R)-carbapenam	C7H8NO3	ok	-161.247	10.440	-38.539	2.495
cpd25661	1-aminopropane	C3H10N	ok	373.407	1.719	89.246	0.411
cpd25662	2-amino-1,3-propanediol	C3H10NO2	ok	63.606	1.724	15.202	0.412
cpd25663	Methyl glycinate	C3H8NO2	ok	-23.085	2.253	-5.517	0.538
cpd25664	gamma-glutamyl-p-nitroanilide	C11H13N3O5	compound not in cache				
cpd25665	D-perosamine	C6H14NO4	ok	-35.657	1.758	-8.522	0.420
cpd25666	4-amino-4,6-dideoxy-D-mannose	C16H25N6O14P2	ok	-1501.980	46300.940	-358.982	11066.190
cpd25667	GDP-L-colitose	C16H23N5O14P2	ok	-1564.863	46300.892	-374.011	11066.179
cpd25668	GDP-4-dehydro-3,6-dideoxymannose	C16H21N5O14P2	ok	-1625.270	46301.317	-388.449	11066.280
cpd25669	tyvelose	C6H12O4	ok	-101.377	1.170	-24.230	0.280
cpd25670	3,6-dideoxy-L-arabino-hexose	C6H12O4	ok	-101.377	1.170	-24.230	0.280
cpd25671	(3,6-dideoxy-4-C-(1-hydroxyethyl)-D-xylo-hexose	C8H16O5	ok	-90.230	1.967	-21.566	0.470
cpd25672	yersiniose B	C8H16O5	ok	-90.230	1.967	-21.566	0.470
cpd25673	3,6-dideoxy-D-ribo-hexose	C6H12O4	ok	-101.377	1.170	-24.230	0.280
cpd25674	D-aminoadipate	C6H10NO4	ok	-273.184	1.602	-65.293	0.383
cpd25675	(2S,5S)-5-carboxyethyl proline	C8H12NO4	ok	-158.004	8.312	-37.764	1.987
cpd25676	(2S,5R)-5-carboxymethyl proline	C7H10NO4	ok	-246.575	8.260	-58.933	1.974
cpd25677	(2R,5R)-5-carboxymethyl proline	C7H10NO4	ok	-246.575	8.260	-58.933	1.974
cpd25678	3-(carboxymethyl-amino)-propionate	C5H8NO4	ok	-339.332	4.367	-81.102	1.044
cpd25679	(2R,3S)-beta-methylmalyl-CoA	C26H37N7O20P3S	ok	-2212.081	7.800	-528.700	1.864
cpd25680	(R)-citramalyl-CoA	C26H37N7O20P3S	ok	-2216.067	7.855	-529.653	1.877
cpd25681	2-methyl-trans-aconitate	C7H5O6	ok	-719.554	3.277	-171.977	0.783
cpd25682	5-ketooctanal	C8H14O2	ok	350.502	2.286	83.772	0.546
cpd25683	5-aminooctanal	C8H18NO	ok	612.281	2.428	146.339	0.580
cpd25684	adenosine 5'-propyl phosphate	C13H19N5O7P	ok	8.148	70714.506	1.947	16901.173
cpd25685	DBTO	C12H8OS	undecomposable				
cpd25686	propionyl-AMP	C14H19N5O8P	ok	752.157	100002.904	179.770	23901.268
cpd25687	alpha-D-Galp2,6S2-(1->3)-beta-D-Galp2S-(1->4)-alpha-D-Galp2,6S2-(1->3)-D-Galp2S	C24H36O39S6	ok	-5762.239	424286.293	-1377.208	101406.858
cpd25688	DBTO2	C12H8O2S	ok	532.852	100012.158	127.355	23903.480
cpd25689	(2R)-4-malyl-CoA	C25H35N7O20P3S	ok	-2302.931	7.606	-550.414	1.818
cpd25690	oleanolate 3-beta-D-glucuronoside-(3,1)-galactoside	C42H64O14	ok	744.573	400031.554	177.957	95609.836
cpd25691	oleanolate 3-beta-D-glucuronoside-28-glucoside	C42H65O14	ok	761.469	400031.670	181.995	95609.864
cpd25692	oleanolate 3-beta-D-glucuronoside-(3,1)-galactoside-28-glucoside	C48H75O19	ok	504.047	400031.995	120.470	95609.941
cpd25693	oleanolate-3-beta-D-glucuronoside-(3,1)-galactoside-(4,1)-glucoside-28-glucoside	C54H85O24	ok	246.625	400032.394	58.945	95610.037
cpd25694	oleanolate-3-beta-D-glucuronoside-(3,1)-galactoside-(4,1)-glucoside	C48H74O19	ok	487.150	400031.900	116.432	95609.919
cpd25695	gypsogenin-28-beta-D-glucoside	C36H56O9	ok	1122.682	400031.318	268.327	95609.780
cpd25696	gypsogenate	C30H44O5	ok	1103.385	400030.944	263.715	95609.690
cpd25697	gypsogenate-28-beta-D-glucoside	C36H55O10	ok	862.857	400031.279	206.228	95609.770
cpd25698	16-alpha-hydroxygypsogenate	C30H44O6	ok	935.480	400030.575	223.585	95609.602
cpd25699	16-alpha--hydroxygypsogenic acid-28-beta-D-glucoside	C36H55O11	ok	694.951	400030.905	166.097	95609.681
cpd25700	(3-beta,4-alpha)-3,23-Dihydroxyolean-12-en-28-oic acid	C30H47O4	ok	1407.060	400030.996	336.295	95609.703
cpd25701	2-beta,3-beta-Dihydroxyolean-12-ene-23,28-dioic acid	C30H44O6	ok	935.479	400030.575	223.585	95609.602
cpd25702	3-Glc-hederagenin	C36H57O9	ok	1149.638	400031.189	274.770	95609.749
cpd25703	23-Glc-medicagenic acid	C36H55O11	ok	694.948	400030.905	166.096	95609.681
cpd25704	28-Glc-medicagenic acid	C36H54O11	ok	678.057	400030.762	162.060	95609.647
cpd25705	28-Glc-hederagenin	C36H58O9	ok	1164.918	400031.335	278.422	95609.784
cpd25706	3-Glc-soyasapogenol B	C36H60O8	ok	1439.825	400031.032	344.127	95609.711
cpd25707	22-Glc-soyasapogenol B	C36H60O8	ok	1439.825	400031.032	344.127	95609.711
cpd25708	23-Glc-soyasapogenol B	C36H60O8	ok	1431.696	400030.762	342.184	95609.647
cpd25709	3-Glc-soyasapogenol E	C36H58O8	ok	1379.418	400031.050	329.689	95609.716
cpd25710	23-Glc-soyasapogenol E	C36H58O8	ok	1371.288	400030.778	327.746	95609.651
cpd25711	3,5-Dihydroxyanisole	C7H8O3	ok	-144.657	5.210	-34.574	1.245
cpd25712	1-Hydroxy-3,5-dimethoxybenzene	C8H10O3	ok	-39.806	6.533	-9.514	1.561
cpd25713	1,3,5-trimethoxybenzene	C9H12O3	ok	65.049	9.180	15.547	2.194
cpd25714	3-methoxy 5 hydroxytoluene	C8H10O2	ok	141.580	4.166	33.838	0.996
cpd25715	2,3-dihydro-3-oxo-anthranilate	C7H6NO3	ok	-163.300	4.213	-39.030	1.007
cpd25716	8-hydroxy-(+)-delta-cadinene	C15H24O	ok	841.196	16.200	201.051	3.872
cpd25717	desoxyhemigossypol	C15H16O3	ok	223.483	100011.349	53.414	23903.286
cpd25718	gossypol-6,6'-dimethyl ether	C32H34O8	ok	413.681	22.112	98.872	5.285
cpd25719	desoxyhemigossypol-6-methyl ether	C16H18O3	ok	328.356	100010.561	78.479	23903.098
cpd25720	hemigossypol-6-methyl ether	C16H18O4	ok	237.889	10.304	56.857	2.463
cpd25721	7-hydroxy-4'5'-dimethoxyisoflavone	C17H13O5	ok	50.128	100015.211	11.981	23904.209
cpd25722	2',7-dihydroxy-4',5'-dimethoxyisoflavone	C17H13O6	ok	-156.392	100016.642	-37.378	23904.551
cpd25723	rot-2'-enonate	C23H24O6	ok	176.842	21.060	42.266	5.034
cpd25724	4'-hydroxy-rot-2'-enonate	C23H24O7	ok	20.812	20.924	4.974	5.001
cpd25725	5'-hydroxy-rot-2'-enonate	C23H24O7	ok	20.812	20.924	4.974	5.001
cpd25726	3'-hydroxyrotenone	C23H22O7	ok	-75.140	24.076	-17.959	5.754
cpd25727	2-hydroxy-5,10-diazaanthracene	C12H8N2O	ok	472.312	8.513	112.885	2.035
cpd25728	1-phenazinecarboxylic acid, 2-hydroxy	C13H7N2O3	ok	93.988	8.708	22.464	2.081
cpd25729	L-lactide	C6H8O4	ok	-176.493	7.418	-42.183	1.773
cpd25730	6,6-kestotetraose	C24H42O21	ok	-1176.588	6.777	-281.211	1.620
cpd25731	1,3,8-Trihydroxy-6-methylanthrone	C15H12O4	ok	-63.854	18.385	-15.261	4.394
cpd25732	emodin dianthrone	C30H20O8	ok	-186.941	36.976	-44.680	8.837
cpd25733	1,3,4,6,8,15-Hexahydroxy-10,13-dimethyl-dibenzo[a,o]perylene-7,16-dione	C30H16O8	ok	-82.899	282879.364	-19.813	67609.791
cpd25734	IAA-N-Glc	C16H18NO7	ok	-61.448	4.601	-14.686	1.100
cpd25735	IAA-Asp-N-Glc	C20H22N2O10	ok	-360.277	4.787	-86.108	1.144
cpd25736	2-amino-5-carbamoylpyridine	C6H7N3O	ok	286.323	3.479	68.433	0.831
cpd25737	IAA-Glu-N-Glc	C21H24N2O10	ok	-271.694	4.807	-64.936	1.149
cpd25738	IAA-Val	C15H17N2O3	ok	453.776	4.562	108.455	1.090
cpd25739	IAA-Phe	C19H17N2O3	ok	591.276	5.356	141.318	1.280
cpd25740	6-OH-IAA-Val	C15H17N2O4	ok	247.291	5.413	59.104	1.294
cpd25741	6-OH-IAA-Phe	C19H17N2O4	ok	384.791	5.737	91.967	1.371
cpd25742	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[4-hydroxy-6-methyl-5-oxo-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]chromen-4-one	C27H26O14	ok	-747.126	100025.665	-178.567	23906.708
cpd25743	1-O-{2-oxoindol-3-ylacetyl)-beta-D-glucopyranoside	C16H19NO8	ok	-275.478	6.502	-65.841	1.554
cpd25744	OxIAA-Phe	C19H17N2O4	ok	355.912	6.897	85.065	1.648
