# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd00113	Isopentenyldiphosphate	C5H10O7P2	ok	-1426.897	3.142	-341.037	0.751
cpd00114	IMP	C10H11N4O8P	ok	-817.761	2.105	-195.450	0.503
cpd00115	dATP	C10H13N5O12P3	ok	-2131.390	3.554	-509.414	0.849
cpd00116	Methanol	CH4O	ok	-12.300	2.933	-2.940	0.701
cpd00117	D-Alanine	C3H7NO2	ok	-83.321	1.531	-19.914	0.366
cpd00118	Putrescine	C4H14N2	ok	523.873	2.993	125.209	0.715
cpd00119	L-Histidine	C6H9N3O2	ok	188.085	4.136	44.953	0.989
cpd00120	Butyryl-CoA	C25H38N7O17P3S	ok	-1679.269	7.923	-401.355	1.894
cpd00121	L-Inositol	C6H12O6	ok	-516.120	6.733	-123.356	1.609
cpd00122	N-Acetyl-D-glucosamine	C8H15NO6	ok	-280.692	2.641	-67.087	0.631
cpd00123	3-Methyl-2-oxobutanoate	C5H7O3	ok	-172.767	1.551	-41.292	0.371
cpd00124	3'-Phosphomononucleotide	C5H9O7PR	compound not in cache				
cpd00125	5-10-Methylenetetrahydrofolate	C20H21N7O6	ok	451.740	46301.053	107.968	11066.217
cpd00126	GMP	C10H12N5O8P	ok	-769.558	46300.676	-183.929	11066.127
cpd00127	Phenol	C6H6O	ok	163.443	2.933	39.064	0.701
cpd00128	Adenine	C5H5N5	ok	511.920	1.621	122.352	0.387
cpd00129	L-Proline	C5H9NO2	ok	50.623	5.367	12.099	1.283
cpd00130	L-Malate	C4H4O5	ok	-681.691	1.005	-162.928	0.240
cpd00131	Molybdenum	Mo	compound not in cache				
cpd00132	L-Asparagine	C4H8N2O3	ok	-200.097	2.933	-47.824	0.701
cpd00133	Nicotinamide	C6H6N2O	ok	220.370	4.439	52.670	1.061
cpd00134	Palmitoyl-CoA	C37H62N7O17P3S	ok	-618.866	10.388	-147.912	2.483
cpd00135	Homocysteine	C4H9NO2S	ok	23.335	3.965	5.577	0.948
cpd00136	4-Hydroxybenzoate	C7H5O3	ok	-214.900	2.587	-51.362	0.618
cpd00137	Citrate	C6H5O7	ok	-966.235	1.146	-230.936	0.274
cpd00138	D-Mannose	C6H12O6	ok	-423.782	1.085	-101.286	0.259
cpd00139	Glycolate	C2H3O3	ok	-411.612	1.566	-98.378	0.374
cpd00141	Propionate	C3H5O2	ok	-158.875	2.607	-37.972	0.623
cpd00142	Acetoacetate	C4H5O3	ok	-286.449	1.993	-68.463	0.476
cpd00143	Phenylpyruvate	C9H7O3	ok	-22.757	3.739	-5.439	0.894
cpd00144	UDPglucuronate	C15H19N2O18P2	ok	-2557.069	5.134	-611.154	1.227
cpd00145	Hydroxypyruvate	C3H3O4	ok	-495.929	1.168	-118.530	0.279
cpd00146	Carbamoylphosphate	CH2NO5P	ok	-1151.256	2.931	-275.157	0.701
cpd00147	5-Methylthioadenosine	C11H15N5O3S	ok	606.080	4.583	144.857	1.095
cpd00148	5'-Phosphomononucleotide	C5H8O7PR	compound not in cache				
cpd00149	Co2+	Co	undecomposable				
cpd00150	HCN	CHN	compound not in cache				
cpd00151	Thymine	C5H6N2O2	ok	11.502	3.944	2.749	0.943
cpd00152	Agmatine	C5H16N4	ok	669.442	5.918	160.000	1.414
cpd00153	Benzoate	C7H5O2	ok	-8.426	2.434	-2.014	0.582
cpd00154	Xylose	C5H10O5	ok	-342.643	2.421	-81.894	0.579
cpd00155	Glycogen	C24H42O21	ok	-1205.597	5.104	-288.145	1.220
cpd00156	L-Valine	C5H11NO2	ok	89.505	2.933	21.392	0.701
cpd00157	Glycerone	C3H6O3	ok	-207.235	2.108	-49.530	0.504
cpd00158	CELB	C12H22O11	ok	-683.244	2.135	-163.299	0.510
cpd00159	L-Lactate	C3H5O3	ok	-310.476	0.952	-74.206	0.228
cpd00160	Cholesterol	C27H46O	ok	1802.080	200028.515	430.707	47807.962
cpd00161	L-Threonine	C4H9NO3	ok	-162.640	2.254	-38.872	0.539
cpd00162	Aminoethanol	C2H8NO	ok	138.729	3.221	33.157	0.770
cpd00163	UDP-xylose	C14H20N2O16P2	ok	-2180.383	5.048	-521.124	1.206
cpd00164	Glucuronate	C6H9O7	ok	-727.283	1.905	-173.825	0.455
cpd00165	Hydroxylamine	H3NO	undecomposable				
cpd00166	Calomide	C72H99CoN18O17P	compound not in cache				
cpd00167	Ceramide	C19H36NO3R	compound not in cache				
cpd00168	2,3-Dihydroxybenzoate	C7H5O4	ok	-421.354	4.155	-100.706	0.993
cpd00169	3-Phosphoglycerate	C3H4O7P	ok	-1351.322	0.793	-322.974	0.190
cpd00170	Gluconolactone	C6H10O6	ok	-494.078	1.295	-118.087	0.310
cpd00171	D-Ribulose5-phosphate	C5H9O8P	ok	-1232.618	0.996	-294.603	0.238
cpd00172	Phenazine methosulfate	C14H14N2O4S	ok	821.639	9.219	196.376	2.203
cpd00173	NTP	C5H9O13P3R	compound not in cache				
cpd00174	Isoflurophate	C6H14FO3P	undecomposable				
cpd00175	UDP-N-acetyl-D-galactosamine	C17H25N3O17P2	ok	-2105.892	5.624	-503.320	1.344
cpd00176	2-keto-3-deoxygluconate	C6H9O6	ok	-556.965	3.334	-133.118	0.797
cpd00177	dADP	C10H13N5O9P2	ok	-1259.311	3.011	-300.982	0.720
cpd00178	Acetone	C3H6O	ok	84.533	2.098	20.204	0.502
cpd00179	Maltose	C12H22O11	ok	-681.961	1.728	-162.993	0.413
cpd00180	Oxalate	C2O4	ok	-677.629	2.933	-161.957	0.701
