seed_id	inchi_key	formula	reason	smiles
cpd01826	QLYXJSKUMBPUAQ-XOVLMWGVSA-L	C63H86CoN14O14P	creation failed	CC1=C2[N]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N]4C(=C(CCC(N)=O)C2(C)C)C(C)=C2[N]5[C@@H]6[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c7cc(C)c(C)cc72)[Co-3]435([C]#N)[N+]2=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]62C
cpd01845	QBPCOMNNISRCTC-KKNVGXODSA-K	C35H31MgN4O5	creation failed	C=Cc1c(C)/c2[n]3/c1=C\C1=N/C(=C\c4c(C)c5c([n]4[Mg]3)/C(=C3\N=C(/C=2)C(C)=C3CCC(=O)[O-])[C@@H](C(=O)OC)C5=O)C(CC)=C1C
cpd01863	IPABSWBNWMXCHM-LBOXEOMUSA-N	C21H24NO4	no pKas to build it	COc1ccc2c(c1OC)C[N+]1(C)CCc3cc4c(cc3[C@@H]1C2)OCO4
cpd01968	WBLZUCOIBUDNBV-UHFFFAOYSA-M	C3H4NO4	creation failed	O=C([O-])CC[N+](=O)[O-]
cpd02223	UWTYNMLWDGHWKX-XAAJGCANSA-N	C17H18O11	creation failed	COc1cc(/C=C/C(=O)OC(=O)[C@H]2OC(=O)[C@H](O)[C@@H](O)[C@@H]2O)cc(OC)c1O
cpd02249	WZRRJZYYGOOHRC-AXLMTQBOSA-M	C19H23O7	creation failed	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C[C@H](O)[C@H](O)[C@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)[O-]
cpd02308	HHEGDEGHBUQTJQ-VJBMQPMPSA-N	C21H23N2O3	creation failed	C/C=C1/C=[N+]2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1C(C=O)C(=O)OC
cpd02348	BFZHCUBIASXHPK-ODYOLWGQSA-N	C21H30O3	no pKas to build it	CC(=O)C1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C
cpd02389	SXTAYKAGBXMACB-AQPAIEDISA-N	C5H12N2O3S	creation failed	C[S@@](=N)(=O)CC[C@H]([NH3+])C(=O)[O-]
cpd02509	XPGIGUXFXFPGPG-GBQFUGSRSA-J	C60H82CoN13O15P	creation failed	CC1=C2[N]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@@H]7[C@H](CC(N)=O)[C@@]5(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]5[C@@H](O)[C@H](O[C@@H]5CO)[n+]5c[n](c8cc([O-])ccc85)[Co-4]364[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]73C)[C@@H](CCC(N)=O)C2(C)C
