id	compartment	direction	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00194	c0|e0	>	=	conditional	2	0	0.691	mscpx.476|mscpx.478|mscpx.479|mscpx.480
rxn00196	c0|e0	>	=	conditional	2	0	0.0196999999999999	mscpx.1113|mscpx.1114
rxn00199	c0|e0	>	=	conditional	2	0	0.691	mscpx.73
rxn00202	c0|e0	<	=	conditional	2	1.8927	0	mscpx.1616
rxn00203	c0|e0	>	=	conditional	2	0	0.591	mscpx.502
rxn00205	c0|e0	>	=	conditional	2	0	-6.4146	mscpx.1315
rxn00206	c0|e0	>	=	conditional	3	0	-2.59697	mscpx.372|mscpx.373|mscpx.374|mscpx.376
rxn00208	c0|e0	>	=	conditional	2	0	-1.55727	mscpx.756
rxn00209	c0|e0	>	=	conditional	2	0	-1.80397	mscpx.756
rxn00211	c0|e0	=	=	conditional	2	0	0	mscpx.1419
rxn00212	c0|e0	>	=	conditional	2	0	0.0687	mscpx.1238
rxn00213	c0|e0	=	=	conditional	2	0	0	mscpx.1686
rxn00214	c0|e0	=	=	conditional	2	0	0	mscpx.788
rxn00216	c0|e0	=	=	conditional	2	0	0	mscpx.907|mscpx.908
rxn00221	c0|e0	>	=	conditional	2	0	0.7683	mscpx.1689
rxn00222	c0|e0	>	=	conditional	2	0	0.6887	mscpx.725
rxn00223	c0|e0	=	=	conditional	2	0	0	mscpx.1157
rxn00224	c0|e0	=	=	conditional	3	0	0	mscpx.1501
rxn00225	c0|e0	=	=	conditional	2	0	0	mscpx.5
rxn00227	c0|e0	>	=	conditional	2	0	-0.0987	mscpx.344
rxn00231	c0|e0	>	=	conditional	3	0	0.3737	mscpx.730
rxn00237	c0|e0	=	=	conditional	2	0	0	mscpx.356
rxn00239	c0|e0	=	=	conditional	2	0	0	mscpx.869
rxn00242	c0|e0	>	=	conditional	2	0	0.6257	mscpx.737
rxn00245	c0|e0	>	=	conditional	2	0	0.1833	mscpx.1058|mscpx.1059
rxn00247	c0|e0	>	=	conditional	2	0	0.971	mscpx.1779
rxn00248	c0|e0	=	=	conditional	2	0	0	mscpx.140|mscpx.141|mscpx.142|mscpx.143|mscpx.144
rxn00250	c0|e0	=	=	conditional	2	0	0	mscpx.1398|mscpx.1399|mscpx.1400
rxn00251	c0|e0	=	=	conditional	2	0	0	mscpx.785|mscpx.786
rxn00252	c0|e0	>	=	conditional	1	0	1.1136	mscpx.639
rxn00256	c0|e0	<	=	conditional	2	1.8927	0	mscpx.1368|mscpx.1369
rxn00257	c0|e0	=	=	conditional	2	0	0	mscpx.1003|mscpx.1004
rxn00260	c0|e0	=	=	conditional	2	0	0	mscpx.571
rxn00262	c0|e0	>	=	conditional	2	0	-1.30227	mscpx.467
rxn00265	c0|e0	=	=	conditional	2	0	0	mscpx.791|mscpx.792|mscpx.793
rxn00269	c0|e0	>	=	conditional	2	0	-1.15627	mscpx.381
rxn00272	c0|e0	=	=	conditional	2	0	0	mscpx.801
rxn00274	c0|e0	=	=	conditional	2	0	0	mscpx.1560
rxn00278	c0|e0	=	=	conditional	2	0	0	mscpx.1316|mscpx.1317
rxn00283	c0|e0	=	=	conditional	2	0	0	mscpx.625|mscpx.626|mscpx.627
rxn00285	c0|e0	=	=	conditional	2	0	0	mscpx.1385
rxn00288	c0|e0	<	=	conditional	2	2.045	0	mscpx.1799|mscpx.1800|mscpx.1802|mscpx.1803|mscpx.271|mscpx.646
rxn00289	c0|e0	=	=	conditional	2	0	0	mscpx.1428
rxn00290	c0|e0	=	=	conditional	2	0	0	mscpx.246|mscpx.247|mscpx.248
rxn00291	c0|e0	=	=	conditional	2	0	0	mscpx.817
rxn00292	c0|e0	>	=	conditional	2	0	0.5187	mscpx.1107
rxn00293	c0|e0	=	=	conditional	2	0	0	mscpx.1593|mscpx.33
rxn00295	c0|e0	=	=	conditional	2	0	0	mscpx.787|mscpx.788
rxn00297	c0|e0	=	=	conditional	2	0	0	mscpx.1107
rxn00299	c0|e0	>	=	conditional	3	0	-0.6893	mscpx.115|mscpx.116
rxn00300	c0|e0	>	=	conditional	2	0	-0.8539	mscpx.1303
rxn00301	c0|e0	>	=	conditional	1	0	0.1757	mscpx.352
rxn00302	c0|e0	>	=	conditional	2	0	0.0207000000000001	mscpx.115|mscpx.116
rxn00303	c0|e0	=	=	conditional	2	0	0	mscpx.680|mscpx.681|mscpx.682
rxn00305	c0|e0	>	=	conditional	2	0	0.971	mscpx.1019
rxn00306	c0|e0	=	=	conditional	2	0	0	mscpx.106|mscpx.184
rxn00312	c0|e0	>	=	conditional	2	0	-9.9257	mscpx.220
rxn00313	c0|e0	>	=	conditional	2	0	0.691	mscpx.1353
rxn00320	c0|e0	=	=	conditional	1	0	0	mscpx.1513
rxn00321	c0|e0	=	=	conditional	2	0	0	mscpx.170
rxn00322	c0|e0	>	=	conditional	2	0	0.691	mscpx.1187|mscpx.1188|mscpx.1189
rxn00324	c0|e0	=	=	conditional	2	0	0	mscpx.304
rxn00327	c0|e0	>	=	conditional	2	0	0.8487	mscpx.338
rxn00328	c0|e0	=	=	conditional	2	0	0	mscpx.940
rxn00330	c0|e0	<	=	conditional	2	1.8967	0	mscpx.508|mscpx.509
rxn00331	c0|e0	=	=	conditional	2	0	0	mscpx.1045
rxn00333	c0|e0	>	=	conditional	2	0	-1.40297	mscpx.1743|mscpx.1744|mscpx.1745
rxn00336	c0|e0	=	=	conditional	2	0	0	mscpx.1897
rxn00337	c0|e0	=	=	conditional	2	0	0	mscpx.1572
rxn00338	c0|e0	>	=	conditional	2	0	-4.33497	mscpx.467
rxn00340	c0|e0	>	=	conditional	2	0	0.648	mscpx.820
rxn00342	c0|e0	>	=	conditional	2	0	0.5277	mscpx.1590
rxn00346	c0|e0	>	=	conditional	2	0	0.691	mscpx.1887
rxn00347	c0|e0	=	=	conditional	2	0	0	mscpx.1441
rxn00350	c0|e0	=	=	conditional	2	0	0	mscpx.827
rxn00351	c0|e0	>	=	conditional	2	0	0.3646	mscpx.1043|mscpx.1736|mscpx.1737
rxn00355	c0|e0	=	=	conditional	2	0	0	mscpx.583
rxn00358	c0|e0	=	=	conditional	3	0	0	mscpx.228|mscpx.229
rxn00361	c0|e0	=	=	conditional	2	0	0	mscpx.1592
rxn00362	c0|e0	=	=	conditional	1	0	0	mscpx.230
rxn00363	c0|e0	>	=	conditional	2	0	0.7683	mscpx.863
rxn00364	c0|e0	=	=	conditional	2	0	0	mscpx.797
rxn00365	c0|e0	=	=	conditional	2	0	0	mscpx.111|mscpx.7
rxn00366	c0|e0	>	=	conditional	1	0	0.3183	mscpx.426
rxn00368	c0|e0	=	=	conditional	2	0	0	mscpx.111|mscpx.7
rxn00369	c0|e0	=	=	conditional	2	0	0	mscpx.111|mscpx.7
rxn00371	c0|e0	>	=	conditional	2	0	0.691	mscpx.948|mscpx.949|mscpx.951|mscpx.952|mscpx.953|mscpx.954|mscpx.955|mscpx.956|mscpx.957|mscpx.958|mscpx.959
rxn00375	c0|e0	=	=	conditional	2	0	0	mscpx.302|mscpx.303
rxn00379	c0|e0	=	=	conditional	2	0	0	mscpx.434|mscpx.435|mscpx.436
rxn00392	c0|e0	=	=	conditional	2	0	0	mscpx.687
rxn00394	c0|e0	>	=	conditional	2	0	0.6097	mscpx.1485
rxn00395	c0|e0	>	=	conditional	2	0	-0.2383	mscpx.841
rxn00400	c0|e0	>	=	conditional	2	0	-5.86767	mscpx.833
rxn00405	c0|e0	>	=	conditional	2	0	0.691	mscpx.198|mscpx.199|mscpx.200|mscpx.201
rxn00407	c0|e0	>	=	conditional	2	0	0.4857	mscpx.1266
rxn00408	c0|e0	>	=	conditional	1	0	0.3183	mscpx.426
rxn00409	c0|e0	=	=	conditional	2	0	0	mscpx.356
rxn00410	c0|e0	=	=	conditional	2	0	0	mscpx.822
rxn00412	c0|e0	>	=	conditional	2	0	0.3603	mscpx.822
rxn00414	c0|e0	>	=	conditional	2	0	-0.1257	mscpx.1453
rxn00416	c0|e0	>	=	conditional	2	0	0.1757	mscpx.1543
rxn00420	c0|e0	>	=	conditional	2	0	0.7683	mscpx.1648|mscpx.1831|mscpx.1832
rxn00422	c0|e0	=	=	conditional	2	0	0	mscpx.801
rxn00423	c0|e0	>	=	conditional	2	0	0.6386	mscpx.1222
rxn00430	c0|e0	=	=	conditional	1	0	0	mscpx.631
rxn00431	c0|e0	>	=	conditional	14	0	0.7007	mscpx.968|mscpx.969
rxn00433	c0|e0	>	=	conditional	2	0	-0.90327	mscpx.87
rxn00438	c0|e0	=	=	conditional	2	0	0	mscpx.1705
rxn00440	c0|e0	=	=	conditional	2	0	0	mscpx.1644
rxn00441	c0|e0	>	=	conditional	2	0	0.313	mscpx.636
rxn00449	c0|e0	=	=	conditional	2	0	0	mscpx.483
rxn00452	c0|e0	>	=	conditional	2	0	-0.3146	mscpx.1643
rxn00459	c0|e0	=	=	conditional	2	0	0	mscpx.197
rxn00461	c0|e0	=	=	conditional	2	0	0	mscpx.610
rxn00463	c0|e0	>	=	conditional	1	0	0.1757	mscpx.352
rxn00467	c0|e0	=	=	conditional	2	0	0	mscpx.1290
rxn00469	c0|e0	=	=	conditional	2	0	0	mscpx.1754
rxn00470	c0|e0	>	=	conditional	2	0	0.691	mscpx.689|mscpx.690|mscpx.691
rxn00471	c0|e0	>	=	conditional	2	0	0.462	mscpx.1047
rxn00473	c0|e0	>	=	conditional	2	0	1.4437	mscpx.1396
rxn00474	c0|e0	>	=	conditional	2	0	-0.1947	mscpx.547
rxn00478	c0|e0	>	=	conditional	2	0	-8.20997	mscpx.1898|mscpx.1899
rxn00479	c0|e0	>	=	conditional	2	0	-9.9257	mscpx.1455
rxn00484	c0|e0	>	=	conditional	2	0	0.691	mscpx.132
rxn00490	c0|e0	>	=	conditional	2	0	-1.9067	mscpx.1767
rxn00493	c0|e0	=	=	conditional	2	0	0	mscpx.578|mscpx.579|mscpx.580|mscpx.799
rxn00497	c0|e0	>	=	conditional	2	0	0.691	mscpx.132
rxn00499	c0|e0	=	=	conditional	2	0	0	mscpx.878
rxn00500	c0|e0	=	=	conditional	2	0	0	mscpx.891
rxn00501	c0|e0	=	=	conditional	2	0	0	mscpx.1009|mscpx.296|mscpx.297
rxn00502	c0|e0	=	=	conditional	1	0	0	mscpx.1009
rxn00503	c0|e0	=	=	conditional	2	0	0	mscpx.184|mscpx.185
rxn00505	c0|e0	>	=	conditional	2	0	1.313	mscpx.1294|mscpx.1295|mscpx.1296|mscpx.1297|mscpx.1298|mscpx.1299|mscpx.1300|mscpx.1301
rxn00506	c0|e0	>	=	conditional	2	0	-0.1993	mscpx.145
rxn00508	c0|e0	>	=	conditional	2	0	0.0196999999999999	mscpx.1694
rxn00509	c0|e0	>	=	conditional	2	0	0.0196999999999999	mscpx.1308
rxn00510	c0|e0	=	=	conditional	2	0	0	mscpx.1793
rxn00511	c0|e0	=	=	conditional	2	0	0	mscpx.1499
rxn00512	c0|e0	=	=	conditional	2	0	0	mscpx.304
rxn00514	c0|e0	>	=	conditional	1	0	0.1757	mscpx.352
rxn00515	c0|e0	=	=	conditional	2	0	0	mscpx.356
rxn00520	c0|e0	=	=	conditional	2	0	0	mscpx.106
rxn00525	c0|e0	>	=	conditional	2	0	-0.612	mscpx.505
rxn00526	c0|e0	>	=	conditional	2	0	-0.612	mscpx.505
rxn00527	c0|e0	=	=	conditional	2	0	0	mscpx.578|mscpx.579|mscpx.580
rxn00529	c0|e0	>	=	conditional	2	0	0.691	mscpx.132
rxn00533	c0|e0	=	=	conditional	2	0	0	mscpx.1216|mscpx.1217
rxn00537	c0|e0	>	=	conditional	2	0	0.5093	mscpx.970
rxn00539	c0|e0	>	=	conditional	2	0	0.214	mscpx.961|mscpx.962
rxn00540	c0|e0	=	=	conditional	2	0	0	mscpx.589
rxn00541	c0|e0	=	=	conditional	2	0	0	mscpx.4
rxn00543	c0|e0	=	=	conditional	2	0	0	mscpx.893
rxn00544	c0|e0	=	=	conditional	2	0	0	mscpx.823
rxn00545	c0|e0	=	=	conditional	2	0	0	mscpx.494|mscpx.495
rxn00546	c0|e0	=	=	conditional	2	0	0	mscpx.1165
rxn00547	c0|e0	=	=	conditional	2	0	0	mscpx.1386|mscpx.1387
rxn00548	c0|e0	>	=	conditional	2	0	-0.0783	mscpx.1829
rxn00549	c0|e0	>	=	conditional	2	0	0.7683	mscpx.1517|mscpx.1518|mscpx.1519|mscpx.1520
rxn00551	c0|e0	=	=	conditional	2	0	0	mscpx.225|mscpx.226
rxn00552	c0|e0	>	=	conditional	2	0	1.1577	mscpx.1068|mscpx.1069
rxn00555	c0|e0	=	=	conditional	2	0	0	mscpx.570
rxn00558	c0|e0	=	=	conditional	2	0	0	mscpx.298|mscpx.299
rxn00559	c0|e0	=	=	conditional	2	0	0	mscpx.748|mscpx.749
rxn00560	c0|e0	>	=	conditional	1	0	0.7896	mscpx.1665
rxn00566	c0|e0	>	=	conditional	2	0	1.1761	mscpx.1235|mscpx.1245
rxn00567	c0|e0	=	=	conditional	3	0	0	mscpx.448
rxn00568	c0|e0	<	=	conditional	4	10.1604	0	mscpx.830|mscpx.831|mscpx.832
rxn00569	c0|e0	<	=	conditional	4	10.1604	0	mscpx.1504|mscpx.390|mscpx.830|mscpx.831
rxn00575	c0|e0	>	=	conditional	2	0	0.6887	mscpx.173
rxn00577	c0|e0	=	=	conditional	2	0	0	mscpx.133
rxn00584	c0|e0	>	=	conditional	2	0	-0.13	mscpx.779
rxn00588	c0|e0	>	=	conditional	2	0	-8.65197	mscpx.1420
rxn00589	c0|e0	>	=	conditional	2	0	-8.59267	mscpx.160
rxn00598	c0|e0	=	=	conditional	1	0	0	mscpx.1872
rxn00599	c0|e0	>	=	conditional	2	0	1.2156	mscpx.1404
rxn00601	c0|e0	>	=	conditional	2	0	0.4706	mscpx.661
rxn00602	c0|e0	=	=	conditional	2	0	0	mscpx.1508
rxn00604	c0|e0	=	=	conditional	3	0	0	mscpx.354
