biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
NRP	cpd03847	-0.00001219	EXACT	other	null	c0
NRP	cpd00214	-0.00023515	EXACT	other	null	c0
NRP	cpd15237	-0.00001094	EXACT	other	null	c0
NRP	cpd01080	-0.00003484	EXACT	other	null	c0
NRP	cpd15269	-0.00000985	EXACT	other	null	c0
NRP	cpd15992	-0.0000958	EXACT	other	null	c0
NRP	cpd03848	-0.00001568	EXACT	other	null	c0
NRP	cpd15971	-0.00000784	EXACT	other	null	c0
NRP	cpd15240	-0.00005835	EXACT	other	null	c0
NRP	cpd15524	-0.00000724	EXACT	other	null	c0
NRP	cpd16969	-0.0000068	EXACT	other	null	c0
NRP	cpd16970	-0.00000641	EXACT	other	null	c0
NRP	cpd15538	-0.00000649	EXACT	other	null	c0
NRP	cpd16009	-0.00000613	EXACT	other	null	c0
NRP	cpd16010	-0.00000581	EXACT	other	null	c0
NRP	cpd16042	-0.0000001	EXACT	other	null	c0
NRP	cpd16041	-0.0000001	EXACT	other	null	c0
NRP	cpd16001	-0.000011	EXACT	other	null	c0
NRP	cpd15968	-0.00000334	EXACT	other	null	c0
NRP	cpd15982	-0.00000329	EXACT	other	null	c0
NRP	cpd15990	-0.00000337	EXACT	other	null	c0
NRP	cpd16044	-0.00000111	EXACT	other	null	c0
NRP	cpd16045	-0.0000011	EXACT	other	null	c0
NRP	cpd16046	-0.0000011	EXACT	other	null	c0
NRP	cpd16047	-0.0000011	EXACT	other	null	c0
NRP	cpd16048	-0.0000011	EXACT	other	null	c0
NRP	cpd16049	-0.0000011	EXACT	other	null	c0
NRP	cpd16013	-0.00000645	EXACT	other	null	c0
NRP	cpd15977	-0.00000118	EXACT	other	null	c0
NRP	cpd08995	-0.0000014	EXACT	other	null	c0
NRP	cpd15952	-0.0000015	EXACT	other	null	c0
NRP	cpd16022	-0.00000027	EXACT	other	null	c0
NRP	cpd16022	-0.00000026	EXACT	other	null	c0
NRP	cpd00002	-0.06	EXACT	other	null	c0
NRP	cpd00008	-0.06	EXACT	other	null	c0
NRP	cpd00009	-0.06	EXACT	other	null	c0
NRP	cpd00330	-0.000000001	EXACT	other	null	c0
NRP	cpd15942	-0.000000001	EXACT	other	null	c0
NRP	cpd15947	-0.000000001	EXACT	other	null	c0
NRP	cpd00050	-0.000000001	EXACT	other	null	c0
NRP	cpd00288	-0.000000001	EXACT	other	null	c0
NRP	cpd00755	-0.000000001	EXACT	other	null	c0
NRP	cpd15499	-0.000000001	EXACT	other	null	c0
NRP	cpd00003	-0.000000001	EXACT	other	null	c0
NRP	cpd00006	-0.000000001	EXACT	other	null	c0
NRP	cpd00028	-0.000000001	EXACT	other	null	c0
NRP	cpd02333	-0.000000001	EXACT	other	null	c0
NRP	cpd00220	-0.000000001	EXACT	other	null	c0
NRP	cpd02229	-0.000000001	EXACT	other	null	c0
NRP	cpd00087	-0.000000001	EXACT	other	null	c0
NRP	cpd00834	-0.000000001	EXACT	other	null	c0
NRP	cpd00305	-0.000000001	EXACT	other	null	c0
