ID	GF	EQ
rxn00228	-16.62|0.98	-20.11|1.71
rxn00229	-117.99|1.03	-118.85|1.09
rxn00230	5.6|0.9	6.09|0.16
rxn00231	-6.26|1.01	-5.77|0.57
rxn00232	-17.71|4.36	-289.79|23900.57
rxn00233	-14.35|0.89	-12.30|0.68
rxn00234	1.63|0.72	0.64|0.28
rxn00235	-3.68|2.3	-6.76|0.57
rxn00236	-16.34|3.94	-5.46|0.30
rxn00237	0.0|5.79	-0.58|0.33
rxn00238	nan	nan
rxn00239	9.53|5.79	-0.70|0.29
rxn00240	nan	nan
rxn00241	-6.81|3.95	-5.58|0.33
rxn00242	-3.74|3.95	-5.39|1.51
rxn00243	-4.81|4.88	-6.54|0.82
rxn00244	-11.61|0.93	-12.30|0.82
rxn00245	-8.17|0.76	-8.30|0.46
rxn00247	-9.82|4.38	2.58|0.76
rxn00248	6.22|6.12	7.09|0.07
rxn00249	6.22|6.11	7.09|0.11
rxn00250	-1.07|4.38	-0.95|0.18
rxn00251	-3.01|1.1	8.74|0.76
rxn00252	1.14|1.1	5.27|0.76
rxn00253	-5.7|0.75	-6.42|0.52
rxn00254	-4.72|1.02	-1.54|0.62
rxn00255	3.17|0.73	5.29|0.66
rxn00256	8.92|5.0	8.56|0.11
rxn00257	2.11|6.59	2.40|0.11
rxn00258	-0.0|5.02	0.02|0.36
rxn00259	3.17|5.06	nan
rxn00260	-0.0|0.73	0.69|0.13
rxn00261	170.6|1.94	160.34|1.75
rxn00262	-23.02|1.11	-22.33|1.03
rxn00263	-23.02|1.11	-23.69|1.12
rxn00264	-25.49|0.85	-24.64|1.02
rxn00265	1.63|0.79	1.31|0.12
rxn00266	8.22|0.79	1.37|0.72
rxn00267	nan	nan
rxn00268	10.15|6.15	10.74|0.39
rxn00269	-21.56|1.06	-20.99|1.09
rxn00270	-10.46|4.93	6.11|23900.57
rxn00271	9.21|6.21	7.60|0.97
rxn00272	-1.46|0.55	-1.94|0.40
rxn00273	5.25|4.95	8.56|0.51
rxn00274	5.25|4.95	8.56|0.51
rxn00275	1.46|0.65	2.02|0.39
rxn00276	1.46|0.61	1.34|0.40
rxn00277	nan	nan
rxn00278	8.69|6.16	8.80|0.13
rxn00279	-4.9|0.67	-3.34|0.78
rxn00280	9.21|6.22	8.19|0.72
rxn00281	7.06|4.96	8.02|0.85
rxn00282	0.0|0.64	-0.60|0.18
rxn00283	0.0|0.41	0.00|0.25
rxn00284	15.0|6.15	14.87|0.51
rxn00285	-1.06|6.59	-0.55|0.33
rxn00286	-0.0|5.05	-1.00|0.91
rxn00287	-5.75|4.99	-5.61|0.33
rxn00288	-3.85|7.45	11.26|0.87
rxn00289	4.98|0.65	2.51|0.73
rxn00290	-0.0|5.06	3.02|0.16
rxn00291	-0.46|1.07	-0.61|0.87
rxn00292	-4.81|4.12	-7.08|0.87
rxn00293	1.07|4.12	-0.84|0.72
rxn00295	0.0|4.58	-0.25|0.65
rxn00296	nan	nan
rxn00297	0.0|4.58	-0.25|0.65
rxn00298	-4.58|13.04	-5.14|0.73
rxn00299	-26.42|3.86	-20.67|1.81
rxn00300	-37.59|3.84	-15.87|1.32
rxn00301	-27.3|3.95	-7.58|0.46
rxn00302	-19.32|3.63	nan
rxn00303	-23.56|5.8	-3.44|1.65
rxn00304	-4.92|3.94	7.10|0.34
rxn00305	-9.82|3.97	3.15|0.82
rxn00306	-1.06|6.32	0.03|0.11
rxn00307	-8.48|4.53	1.10|0.73
rxn00308	3.48|6.35	-3.65|2.10
rxn00309	7.69|6.18	8.26|0.54
rxn00310	-23.02|1.25	-25.34|1.14
rxn00311	-90.63|6.19	-53.67|23900.57
rxn00312	-109.26|1.22	-111.94|1.18
rxn00313	-3.09|0.96	-4.16|0.90
rxn00314	9.21|6.23	9.22|0.75
rxn00315	nan	nan
rxn00316	-5.29|5.03	-5.85|0.52
rxn00317	nan	nan
rxn00318	-2.0|1.2	-1.41|0.53
rxn00319	5.71|1.37	-8.88|2.10
rxn00320	0.0|0.79	-0.00|0.72
rxn00321	0.0|0.79	-1.10|0.51
rxn00322	-3.09|0.95	-5.99|0.86
rxn00323	-0.44|1.46	5.17|0.99
rxn00324	7.68|6.1	10.53|0.22
rxn00325	-38.77|1.04	-37.74|1.30
rxn00326	-4.05|7.84	-2.59|0.32
rxn00327	-1.51|1.59	-5.91|1.19
rxn00328	3.21|0.57	4.36|0.37
rxn00330	8.96|4.98	8.06|0.51
rxn00331	3.21|5.02	3.45|0.72
rxn00332	10.57|0.79	7.16|0.95
rxn00333	-24.03|0.78	-21.19|1.04
rxn00334	5.02|0.7	4.41|0.73
rxn00335	5.02|0.57	0.46|0.66
rxn00336	5.02|0.62	2.25|0.33
rxn00337	-6.9|4.33	4.58|0.72
rxn00338	-44.72|1.71	-17.12|1.16
rxn00339	-2.09|4.41	-2.15|0.86
rxn00340	-22.58|4.4	-4.42|0.87
rxn00341	2.73|1.36	-7.39|1.20
rxn00342	-4.72|0.98	-4.01|0.86
rxn00343	1.81|5.07	nan
rxn00344	-5.29|5.0	-4.34|0.59
rxn00345	-2.0|1.06	-2.91|0.60
rxn00346	-3.09|0.67	-4.89|1.46
rxn00347	3.08|0.94	3.13|0.12
rxn00348	0.0|0.48	1.36|0.48
rxn00349	nan	nan
rxn00350	-0.46|1.92	-0.46|0.64
rxn00351	-6.35|4.72	-6.05|0.62
rxn00352	-5.75|2.42	-6.94|0.66
rxn00353	-11.89|4.34	-11.60|0.24
rxn00354	-4.58|12.98	-4.54|0.48
rxn00355	1.07|3.98	-0.07|0.43
rxn00356	-1.7|4.98	-2.58|0.51
rxn00357	-14.03|6.7	50.53|16900.26
rxn00358	0.24|4.32	0.77|0.25
rxn00359	-30.34|4.41	-19.97|1.39
rxn00360	7.22|4.45	-2.64|1.42
rxn00361	-14.03|6.15	-3.52|1.42
rxn00362	-0.73|2.75	-2.70|0.73
rxn00363	7.22|2.81	-3.48|0.67
rxn00364	9.53|5.08	-0.69|0.72
rxn00365	-14.03|5.09	-2.68|0.67
rxn00366	-16.34|2.81	-5.47|0.72
rxn00367	-27.3|2.81	-7.87|0.56
rxn00368	-14.03|3.82	-2.04|0.74
rxn00369	-14.03|4.74	-2.10|0.74
rxn00370	-10.66|4.74	-2.08|1.10
rxn00371	-3.09|6.14	-3.52|0.80
rxn00372	-4.55|4.97	-2.91|1.11
rxn00373	-5.63|0.87	-3.90|1.06
rxn00374	-17.82|0.94	-8.26|1.50
rxn00375	0.74|1.08	-7.90|1.36
rxn00376	0.74|1.05	-7.51|1.38
rxn00377	-4.55|2.37	-2.70|0.64
rxn00378	nan	nan
rxn00379	3.04|4.41	11.37|0.28
rxn00380	14.0|4.41	14.06|0.29
rxn00381	-30.34|4.4	-19.80|0.31
rxn00382	-23.82|1.18	31.95|16900.26
rxn00383	-40.63|1.12	-41.16|1.36
rxn00384	-16.31|2.37	38.68|16900.26
rxn00385	-14.03|7.54	-67.77|16900.26
rxn00386	-14.03|7.59	-68.47|16900.26
rxn00387	-14.03|7.59	-68.47|16900.26
rxn00388	nan	nan
rxn00389	nan	nan
rxn00390	nan	nan
rxn00391	-2.31|4.13	-4.01|0.70
rxn00392	-4.5|5.92	-2.15|0.70
rxn00393	9.53|4.6	-1.88|0.72
rxn00394	-3.9|1.79	-6.98|1.54
rxn00395	-12.38|1.99	-8.33|0.82
rxn00396	1.93|4.92	1.80|0.13
rxn00397	-10.4|6.42	-5.92|1.37
rxn00398	nan	nan
rxn00399	nan	-190.60|3.11
rxn00400	-59.15|7.12	nan
rxn00401	-109.26|2.46	-106.02|1.60
rxn00402	9.21|6.59	7.53|0.72
rxn00403	9.21|6.59	2.06|1.38
rxn00404	0.0|2.25	-0.05|0.72
rxn00405	-3.09|2.27	-0.07|1.39
rxn00406	0.0|2.21	5.29|1.16
rxn00407	-5.14|2.8	-6.10|0.59
rxn00408	-6.81|2.81	-5.87|0.56
rxn00409	0.0|5.09	-0.29|0.57
rxn00410	-1.67|5.13	-0.06|0.60
rxn00411	-4.92|2.8	6.82|0.58
rxn00412	-6.39|5.18	-2.88|0.63
rxn00413	-8.48|3.59	0.81|0.70
rxn00414	-20.78|8.69	-1.43|0.65
rxn00415	-0.0|0.99	-2.76|0.54
rxn00416	-27.3|4.46	-7.24|0.89
rxn00417	0.0|0.86	1.90|0.79
rxn00418	-11.13|4.37	278.55|23900.57
rxn00419	8.69|6.16	9.73|0.20
rxn00420	7.22|0.84	-2.46|0.07
rxn00421	-3.07|0.84	-1.00|0.08
rxn00422	0.0|0.61	0.93|0.19
rxn00423	-3.61|4.97	-1.56|0.72
rxn00424	-1.46|0.57	-1.01|0.42
rxn00425	0.0|0.44	-0.11|0.73
rxn00426	-0.87|0.84	-1.32|0.44
rxn00427	-70.63|1.32	-69.77|1.14
rxn00428	nan	nan
rxn00429	-9.8|6.16	-10.50|0.48
rxn00430	6.44|6.14	8.02|0.80
rxn00431	-2.99|1.0	-2.31|0.83
rxn00432	-25.27|1.0	-23.71|1.29
rxn00433	-19.03|1.38	-18.28|1.41
rxn00434	-19.03|1.53	-16.27|1.30
rxn00435	-16.24|1.32	-18.52|1.04
rxn00436	-6.61|3.72	6.55|0.98
rxn00437	0.0|5.63	1.03|0.31
rxn00438	-0.2|5.64	-12.71|0.98
rxn00439	-6.81|3.71	-7.18|0.31
rxn00440	-14.03|5.62	-1.19|0.59
rxn00441	-6.87|3.87	-6.65|0.87
rxn00442	nan	nan
rxn00443	nan	nan
rxn00444	-74.63|2.18	nan
rxn00445	-24.63|2.03	-32.05|1.07
rxn00447	nan	nan
rxn00448	-128.2|1.81	-120.41|1.22
rxn00449	-2.32|1.84	0.00|0.00
rxn00450	-23.02|1.53	-25.72|1.12
rxn00451	-0.0|5.33	-0.03|0.68
rxn00452	-13.15|4.96	2.33|23900.57
rxn00453	-9.36|1.28	-13.75|0.72
rxn00454	-1.46|1.21	-4.73|0.59
rxn00455	0.74|1.49	-5.92|1.34
rxn00456	-1.83|1.3	-2.22|1.11
rxn00457	0.0|1.16	-0.61|0.30
rxn00458	-3.09|1.26	-5.59|0.82
rxn00459	-0.87|0.83	-0.97|0.07
rxn00460	-4.92|2.76	7.16|0.33
rxn00461	10.33|4.7	-4.27|0.89
rxn00462	13.19|0.79	3.79|0.72
rxn00463	-27.3|2.76	-7.05|0.94
rxn00464	-10.58|10.23	-16.19|1.30
rxn00465	2.73|1.43	-5.76|1.20
rxn00466	7.4|6.23	nan
rxn00467	-1.0|0.82	-2.84|1.01
rxn00468	-15.06|1.23	-9.35|1.20
rxn00469	-2.0|1.16	-0.98|0.82
rxn00470	-3.09|0.89	-8.37|1.26
rxn00471	4.15|1.18	-5.45|1.02
rxn00472	0.0|0.72	-3.63|1.12
rxn00473	4.44|2.37	4.97|0.16
rxn00474	-11.95|2.32	-11.89|0.27
rxn00475	8.69|6.54	-0.54|1.20
rxn00476	8.69|6.52	-0.55|1.20
rxn00477	-23.02|2.45	-32.27|1.57
rxn00478	-92.1|2.01	-81.70|1.57
rxn00479	-109.26|2.44	-114.52|1.59
rxn00480	-89.79|2.39	-94.35|1.54
rxn00481	-4.72|2.4	0.64|1.29
rxn00482	-10.46|5.4	1.51|23900.57
rxn00483	0.0|2.3	-9.26|1.20
rxn00484	-3.09|2.28	-8.18|1.36
rxn00485	-27.3|4.51	-10.32|0.96
rxn00486	-21.24|4.5	191.47|23900.57
rxn00487	8.69|6.25	4.73|0.99
rxn00488	-23.02|1.54	-26.99|1.41
rxn00489	-109.26|1.52	-113.20|1.45
rxn00490	-29.07|1.71	-22.50|2.35
rxn00491	0.0|1.25	-4.06|0.99
rxn00492	-5.29|5.11	-7.23|1.04
rxn00493	0.0|1.29	-3.98|0.99
rxn00494	-0.0|1.27	4.67|0.99
rxn00495	-0.19|1.42	-0.90|0.14
rxn00496	43.61|1.25	20.52|1.03
rxn00497	-3.09|1.27	-6.86|1.22
rxn00498	-27.33|4.38	nan
rxn00499	6.22|6.12	6.44|0.11
rxn00500	6.22|6.12	5.69|0.51
rxn00501	-8.95|7.87	-6.00|1.28
rxn00502	-8.95|7.86	-6.01|1.28
rxn00503	4.26|6.25	-11.11|1.24
rxn00504	4.26|6.24	-11.12|1.24
rxn00505	3.13|6.15	1.42|0.78
rxn00506	-11.99|6.16	-11.47|0.31
rxn00507	-11.99|6.15	-11.47|0.32
rxn00508	-9.8|6.14	-8.49|0.57
rxn00509	-9.8|6.12	-8.50|0.58
rxn00510	9.21|6.27	8.74|0.72
rxn00511	9.21|6.25	8.73|0.72
rxn00512	7.68|6.11	10.54|0.21
rxn00513	-6.81|3.95	-7.02|0.36
rxn00514	-27.3|3.95	-2.25|0.72
rxn00515	0.0|5.8	0.86|0.36
rxn00516	-6.81|3.97	nan
rxn00517	-4.92|3.95	5.66|0.35
rxn00518	-14.03|4.45	-4.87|0.37
rxn00519	-9.82|3.98	1.71|0.82
rxn00520	-1.06|6.33	-1.41|0.48
rxn00521	5.66|1.42	-5.89|1.05
rxn00522	-23.02|1.62	-22.91|1.14
rxn00523	-90.63|6.28	-64.70|23900.57
rxn00524	-81.03|1.59	-101.24|1.37
rxn00525	-16.12|6.33	-8.82|2.35
rxn00526	-16.12|6.31	-8.82|2.35
rxn00527	0.0|1.38	0.10|0.51
rxn00528	-26.84|5.11	-15.27|1.59
rxn00529	-3.09|1.36	-16.25|1.21
rxn00530	-0.19|1.51	-9.28|1.05
rxn00531	0.0|1.27	-11.28|0.96
rxn00532	-4.05|7.85	-2.08|1.09
rxn00533	-1.07|6.63	-0.97|0.36
rxn00534	-1.54|5.03	-2.60|0.35
rxn00535	-118.58|7.91	-119.67|0.76
rxn00536	5.78|6.13	5.03|0.11
rxn00537	-14.43|0.99	-18.18|1.77
rxn00538	-0.64|1.05	-9.74|0.62
rxn00539	-7.86|0.76	-8.82|0.84
rxn00540	-1.4|0.69	-3.05|0.42
rxn00541	3.21|0.69	2.35|0.55
rxn00542	5.87|0.75	5.66|0.45
rxn00543	5.78|6.14	5.03|0.08
rxn00544	-3.43|3.84	-2.95|0.49
rxn00545	-14.03|4.68	-4.68|0.37
rxn00546	2.01|6.31	4.45|0.52
rxn00547	-14.03|4.7	-2.82|0.30
rxn00548	-20.32|1.58	-12.75|0.58
rxn00549	7.22|1.98	-1.48|0.37
rxn00550	7.22|1.98	-7.21|0.60
rxn00551	-3.07|1.98	-1.99|0.37
rxn00552	1.58|2.1	1.21|0.61
rxn00553	-1.7|4.74	0.03|0.66
rxn00554	-14.03|3.29	-4.39|0.71
rxn00555	-6.3|2.1	-4.03|0.65
rxn00556	-14.03|3.25	-4.04|0.48
rxn00557	-14.03|4.3	-5.55|0.51
rxn00558	-0.89|2.0	1.43|0.34
rxn00559	-0.89|2.0	-0.19|0.17
rxn00560	-2.1|4.49	8.14|1.32
rxn00561	-3.9|1.69	-6.93|1.70
rxn00562	4.24|1.12	1.20|0.41
rxn00563	-3.9|1.73	-16.64|1.34
rxn00564	3.55|4.98	nan
rxn00565	-76.25|1.0	-83.02|1.03
rxn00566	-7.77|1.15	-0.82|1.05
rxn00567	nan	nan
rxn00568	101.14|18.35	93.92|0.90
rxn00569	101.14|18.31	93.90|0.91
rxn00570	30.61|1.18	nan
rxn00571	25.19|6.16	34.52|1.03
rxn00572	25.19|6.15	34.52|1.03
rxn00573	nan	nan
rxn00574	10.39|0.87	19.26|1.03
rxn00575	-3.11|3.48	-5.68|0.44
rxn00577	-10.33|3.47	0.21|0.61
rxn00578	7.22|3.95	-3.88|0.73
rxn00579	-1.7|4.78	-0.52|0.42
rxn00580	-16.55|8.33	-3.39|1.10
rxn00581	-1.7|6.25	-5.46|0.90
rxn00582	0.0|3.92	-4.83|0.66
rxn00583	-9.34|6.31	-22.16|2.24
rxn00584	-11.3|6.33	-24.36|2.46
rxn00585	-9.34|6.3	-22.16|2.24
rxn00586	-95.83|6.24	-105.22|0.86
rxn00587	-72.89|1.47	-63.61|1.32
rxn00588	-96.52|1.55	-75.12|1.41
rxn00589	-95.93|6.29	-107.85|1.16
rxn00590	-97.78|6.26	-118.81|1.37
rxn00591	-11.3|6.33	-24.36|2.46
rxn00592	-0.1|1.49	-2.63|0.81
rxn00593	-0.1|1.49	-2.63|0.81
rxn00594	-92.22|6.3	-112.93|1.27
rxn00595	-92.22|6.28	-112.92|1.27
rxn00596	-4.36|5.01	-1.90|23900.57
rxn00597	nan	-85.45|23900.57
rxn00598	7.06|7.08	6.64|0.65
rxn00599	2.16|5.0	3.97|1.01
rxn00600	5.25|4.98	8.03|0.75
rxn00601	-5.29|5.52	0.07|1.31
rxn00602	1.81|5.03	-1.80|0.51
rxn00603	2.9|6.34	3.02|0.42
rxn00604	-2.0|6.39	-0.96|0.32
rxn00605	-1.7|4.95	-3.89|0.46
rxn00606	-3.11|3.72	-2.31|0.47
rxn00607	-3.11|3.72	-4.58|0.59
rxn00608	-3.11|3.72	-4.58|0.59
rxn00609	1.68|2.09	10.95|1.34
rxn00610	7.22|0.92	-2.58|0.51
rxn00611	3.76|6.12	6.14|0.18
rxn00612	3.76|6.11	6.14|0.20
rxn00613	5.22|6.11	7.44|0.24
rxn00614	-27.95|0.86	-25.59|1.04
rxn00615	-14.03|4.34	-3.58|0.51
rxn00616	-15.09|7.43	2.53|0.75
rxn00617	0.0|2.23	-0.43|0.51
rxn00618	-1.7|4.01	-2.46|0.53
rxn00619	-1.7|4.01	-3.91|0.53
rxn00620	-28.37|2.86	-8.48|0.58
rxn00621	1.07|2.87	0.60|0.41
rxn00622	nan	nan
rxn00623	37.8|18.34	29.44|1.15
rxn00624	nan	-62.48|23900.57
rxn00625	10.11|0.87	nan
rxn00626	nan	nan
rxn00627	-14.03|4.7	-3.85|0.45
rxn00629	2.01|6.33	2.61|0.44
rxn00630	2.01|6.32	2.61|0.44
rxn00631	5.51|6.28	4.46|0.49
rxn00632	7.22|2.02	-8.73|0.60
rxn00633	-4.01|2.62	-4.03|0.49
rxn00634	2.01|6.33	3.02|0.41
rxn00635	-14.03|4.32	-3.69|0.46
rxn00636	-0.89|2.05	-0.41|0.40
