ID	GC	EQ
cpd00149	10000000.0|10000000.0	nan
cpd00150	10000000.0|10000000.0	nan
cpd00151	-61.48|1.5	2.94|0.91
cpd00152	5.87|1.57	166.41|1.43
cpd00153	-53.05|0.82	-2.17|0.58
cpd00154	-180.06|1.37	-84.53|0.35
cpd00155	-693.72|6.03	nan
cpd00156	-86.49|0.44	21.39|0.71
cpd00157	-108.16|0.36	-49.62|0.51
cpd00158	-376.76|3.02	-163.27|0.54
cpd00159	-123.17|0.25	-73.74|0.23
cpd00160	15.57|6.9	291.47|56445.16
cpd00161	-124.34|0.41	-38.87|0.55
cpd00162	-44.51|0.29	33.16|0.78
cpd00163	-724.33|2.97	-521.22|1.25
cpd00164	-261.5|1.5	-173.73|0.46
cpd00165	-38.9|0.8	nan
cpd00166	10000000.0|10000000.0	nan
cpd00167	10000000.0|10000000.0	nan
cpd00168	-132.01|1.09	-100.66|1.02
cpd00169	-371.9|0.29	-322.41|0.19
cpd00170	-216.02|1.28	-118.40|0.31
cpd00171	-393.5|0.57	-294.47|0.24
cpd00172	-81.06|2.93	194.27|2.21
cpd00173	10000000.0|10000000.0	nan
cpd00174	10000000.0|10000000.0	nan
cpd00175	-756.9|3.24	-502.85|1.36
cpd00176	-220.14|0.59	-132.97|0.81
cpd00177	-426.01|2.98	-300.42|0.74
cpd00178	-38.52|0.5	20.13|0.51
cpd00179	-376.76|3.02	-163.23|0.42
cpd00180	-161.0|0.5	-161.83|0.71
cpd00181	10000000.0|10000000.0	nan
cpd00182	-45.35|3.04	80.80|0.35
cpd00183	-79.18|0.92	-13.67|1.06
cpd00184	-145.84|1.77	1.43|1.06
cpd00185	-180.06|1.37	-80.90|0.38
cpd00186	-164.13|0.38	-87.54|0.60
cpd00187	-9.55|0.5	48.71|0.71
cpd00188	31.85|2.13	320.73|1.70
cpd00189	10000000.0|10000000.0	nan
cpd00190	-218.28|1.54	-101.72|0.27
cpd00191	-111.88|0.22	-85.07|1.02
cpd00192	-770.83|3.7	-396.31|2.17
cpd00193	-367.85|3.11	-252.32|0.55
cpd00194	106.88|2.89	220.22|2.57
cpd00195	10000000.0|10000000.0	nan
cpd00196	-301.65|0.26	-264.28|0.27
cpd00197	-132.01|1.09	-100.66|1.02
cpd00198	-393.5|0.57	-295.28|0.30
cpd00199	-110.26|0.26	-62.69|0.31
cpd00200	-109.64|0.4	-19.81|0.55
cpd00201	-144.77|3.21	-19.58|16170.40
cpd00202	-439.18|0.56	-342.73|0.76
cpd00203	-586.8|0.36	-526.80|0.26
cpd00204	-28.66|0.5	nan
cpd00205	10000000.0|10000000.0	nan
cpd00206	-305.54|1.83	-168.59|1.12
cpd00207	28.4|2.51	3.99|16170.40
cpd00208	-376.76|3.02	-162.45|0.41
cpd00209	-26.61|0.5	-26.17|0.71
cpd00210	-126.76|0.78	-122.45|16900.26
cpd00211	-83.51|0.23	-16.30|0.71
cpd00212	-217.61|1.37	-102.56|0.43
cpd00213	-21.54|1.63	124.50|1.74
cpd00214	-64.07|1.24	239.70|0.71
cpd00215	-59.5|1.67	9.92|0.91
cpd00216	-169.49|1.41	-107.07|1.82
cpd00217	-376.76|3.02	-164.67|0.34
cpd00218	-36.89|1.42	-7.47|0.94
cpd00219	-186.17|1.32	-118.50|2.43
cpd00220	-110.72|2.88	69.09|2.23
cpd00221	-123.17|0.25	-72.99|0.54
cpd00222	-268.66|0.89	-162.74|0.71
cpd00223	-159.4|0.33	-110.91|0.24
cpd00224	-180.06|1.37	-84.87|0.33
cpd00225	-0.35|0.83	59.30|0.62
cpd00226	23.12|2.52	60.51|0.44
cpd00227	-122.53|0.35	-30.11|1.01
cpd00228	-71.09|1.34	nan
cpd00229	-70.28|0.22	-31.38|0.40
cpd00231	-35.76|2.71	nan
cpd00232	-326.4|1.55	-150.03|0.56
cpd00233	-44.57|2.61	nan
cpd00234	-209.4|0.71	-112.68|0.41
cpd00235	-430.78|1.51	-313.34|0.28
cpd00236	-355.62|0.47	-276.95|0.42
cpd00237	-18.43|6.89	50.92|56445.16
cpd00238	-466.34|0.93	-330.86|0.46
cpd00239	-6.66|0.5	12.31|0.71
cpd00240	-282.78|1.77	-174.78|23900.57
cpd00241	-684.46|2.69	-628.63|16170.40
cpd00242	-140.26|0.5	-131.06|0.30
cpd00243	nan	nan
cpd00244	nan	nan
cpd00245	33.64|0.84	99.74|0.79
cpd00246	-101.08|2.75	18.72|0.38
cpd00247	-142.48|1.55	-110.55|1.27
cpd00248	-221.05|1.05	-128.74|1.64
cpd00249	-185.27|1.9	-57.82|0.92
cpd00250	-65.59|1.83	25.69|0.71
cpd00251	-585.97|3.8	-383.29|0.81
cpd00253	-121.69|0.61	nan
cpd00254	10000000.0|10000000.0	-109.58|0.71
cpd00255	-194.43|6.6	533.66|6.14
cpd00256	-479.69|2.78	-271.93|23900.57
cpd00257	-98.59|1.6	-41.17|14323.50
cpd00258	-181.0|0.64	-79.63|0.37
cpd00259	-181.0|0.64	-81.05|0.38
cpd00260	-279.02|0.48	-229.22|0.28
cpd00261	-181.0|0.64	-81.13|0.52
cpd00262	-862.82|3.53	-550.35|1.93
cpd00263	-67.43|1.68	18.85|0.96
cpd00264	4.79|1.16	208.49|1.50
cpd00265	-852.2|7.55	nan
cpd00266	-65.83|1.98	35.12|23900.57
cpd00267	-36.08|1.32	330.42|1.31
cpd00268	-122.7|0.5	nan
cpd00269	-187.28|0.43	-128.89|0.52
cpd00270	-810.31|3.76	-445.58|2.28
cpd00271	10000000.0|10000000.0	nan
cpd00272	-636.85|3.68	nan
cpd00273	nan	nan
cpd00274	-123.87|1.02	10.06|1.06
cpd00275	-76.94|1.0	40.28|0.83
cpd00276	-183.03|1.51	-47.28|0.43
cpd00277	-55.96|2.69	-0.20|16170.40
cpd00278	-49.77|1.58	17.35|1.08
cpd00279	-812.61|3.58	-451.58|1.88
cpd00280	-261.5|1.5	-173.47|0.38
cpd00281	-84.49|0.35	-1.11|0.39
cpd00282	-151.52|1.44	-98.09|1.21
cpd00283	-411.09|1.04	-238.11|1.22
cpd00284	-481.16|0.82	-374.01|0.29
cpd00285	-257.01|0.31	-181.06|0.52
cpd00286	49.72|5.57	909.45|6.34
cpd00287	-112.07|0.27	-60.93|0.32
cpd00288	-395.53|1.48	-258.13|0.57
cpd00289	-354.91|2.03	-29.44|2.33
cpd00290	-644.17|1.3	-527.00|0.26
cpd00291	-130.01|1.1	-42.51|1.02
cpd00292	-900.07|3.61	-507.78|1.92
cpd00293	-425.13|1.61	-277.63|0.67
cpd00294	-218.01|2.98	-91.68|0.68
cpd00295	-476.46|2.69	-420.43|16170.40
cpd00296	-268.46|2.68	-211.82|16170.40
cpd00297	-566.34|1.77	-420.59|1.12
cpd00298	-358.34|1.77	-211.12|1.12
cpd00299	-357.93|1.8	-231.03|1.06
cpd00300	-90.93|3.24	-37.07|1.14
cpd00301	10.74|5.29	nan
cpd00302	73.9|2.81	194.52|1.04
cpd00303	-161.08|3.85	nan
cpd00304	78.83|2.68	344.49|2.76
cpd00305	52.18|2.57	209.18|23900.57
cpd00306	-189.02|0.8	-70.44|0.42
cpd00307	-8.68|1.38	45.80|0.90
cpd00308	-164.58|0.24	-144.55|0.32
cpd00309	-27.73|2.67	11.52|0.85
cpd00310	-74.59|1.33	61.17|1.15
cpd00311	-95.8|2.75	-38.30|16170.40
cpd00312	34.01|1.13	131.15|0.98
cpd00313	-177.08|2.72	-177.09|28222.58
cpd00314	-225.44|0.99	-89.24|0.35
cpd00315	-673.08|3.7	-519.41|16170.40
cpd00316	40.23|1.67	82.73|1.11
cpd00317	-280.99|3.83	104.36|2.58
cpd00318	54.64|1.57	173.51|1.05
cpd00319	-23.31|1.06	165.88|1.74
cpd00320	-165.75|0.34	-107.17|0.37
cpd00321	-795.66|3.78	-422.20|2.33
cpd00322	-84.87|0.45	44.41|0.71
cpd00323	-59.36|1.15	30.95|2.09
cpd00324	-4.39|0.65	36.13|0.84
cpd00325	-15.54|6.88	98.75|56445.16
cpd00326	-820.49|3.93	-448.18|2.76
cpd00327	-759.91|3.99	-103.70|2.60
cpd00328	-354.02|4.91	56.13|3.65
cpd00329	-14.2|1.27	68.14|1.72
cpd00330	-109.12|3.01	2.00|16170.40
cpd00331	-222.28|0.75	-191.51|0.37
cpd00332	-157.77|0.5	-48.22|0.30
cpd00333	-32.27|1.04	37.68|0.77
cpd00334	-70.47|0.28	-10.30|0.33
cpd00335	-197.74|1.11	nan
cpd00336	10000000.0|10000000.0	97.09|28222.58
cpd00337	-70.08|1.48	-3.42|0.79
cpd00338	-112.89|0.39	-26.60|0.35
cpd00339	-82.87|0.42	22.72|0.41
cpd00340	-136.2|0.37	-89.53|0.36
cpd00341	-44.23|1.03	101.98|0.94
cpd00342	-115.26|0.76	20.24|0.94
cpd00343	-203.96|0.99	-136.69|1.11
cpd00344	-157.18|1.48	-52.76|11521.82
cpd00345	-101.7|2.85	38.80|16170.40
cpd00346	-113.05|0.33	-40.01|0.90
cpd00347	-97.0|3.12	19.26|16170.40
cpd00348	-430.78|1.51	-312.23|0.31
cpd00349	-678.84|0.89	-543.16|0.49
cpd00350	-383.0|1.53	-133.77|1.77
cpd00351	-229.72|1.15	-46.93|0.93
cpd00352	-56.09|1.01	27.58|1.25
cpd00353	-279.02|0.48	-228.91|0.49
cpd00354	10000000.0|10000000.0	nan
cpd00355	-337.74|2.01	-201.94|1.70
cpd00356	-721.54|1.85	-585.76|1.22
cpd00357	-774.34|1.78	-628.81|1.28
cpd00358	-773.93|1.81	-648.41|1.25
cpd00359	54.41|1.59	121.01|0.53
cpd00360	73.57|2.76	110.73|0.92
cpd00361	-72.12|0.35	7.98|0.30
cpd00362	-16.98|4.32	51.20|32834.59
cpd00363	-43.44|0.5	15.62|0.34
cpd00364	-32.56|1.62	nan
cpd00365	70.9|2.67	357.16|2.76
cpd00366	-189.02|0.8	-73.21|0.32
cpd00367	-132.88|1.93	2.57|0.95
cpd00368	-179.54|0.71	-83.58|0.24
cpd00369	-184.59|9.47	117.50|52837.70
cpd00370	-157.6|1.57	-76.86|0.50
cpd00371	-32.43|0.22	26.57|0.20
cpd00372	33.78|1.22	nan
cpd00373	-121.41|1.69	-62.65|1.94
cpd00374	-10.89|0.89	93.92|0.70
cpd00375	10000000.0|10000000.0	nan
cpd00376	-3.16|7.16	247.71|4.93
cpd00378	-28.36|0.37	-10.47|1.76
cpd00379	-161.34|0.34	-102.22|0.36
cpd00380	-143.56|0.61	-103.09|0.38
cpd00381	-159.61|1.33	-42.47|0.71
cpd00382	-536.13|4.25	-224.22|0.90
cpd00383	-171.29|0.95	-98.48|1.49
cpd00384	-183.56|3.34	193.24|2.70
cpd00385	-182.98|2.92	-92.37|3.36
cpd00386	-201.0|0.31	-164.86|1.03
cpd00387	-622.63|3.92	-399.84|0.50
cpd00388	-166.94|1.9	-86.15|1.69
cpd00389	12.96|8.6	227.15|6.25
cpd00390	-710.16|3.14	nan
cpd00391	-232.24|0.7	nan
cpd00392	-152.6|0.62	-56.02|0.29
cpd00393	-107.8|3.16	-8.93|16170.40
cpd00394	nan	nan
cpd00395	-206.4|0.79	-210.04|16900.26
cpd00396	-182.05|1.5	nan
cpd00397	-181.0|0.64	-83.70|0.33
cpd00398	-113.81|2.23	-46.55|2.69
cpd00399	-737.55|3.94	-104.69|2.67
cpd00400	-64.98|0.48	-35.30|0.39
cpd00401	-752.13|3.62	-388.34|2.00
cpd00402	-608.06|2.03	-415.48|1.11
cpd00403	-268.66|0.89	-162.25|0.33
cpd00404	-85.66|0.51	37.65|0.74
cpd00405	-11.37|1.24	301.63|1.33
cpd00406	10000000.0|10000000.0	56.40|23900.57
cpd00407	53.49|1.36	nan
cpd00408	-159.58|0.49	-45.19|1.14
cpd00409	-42.82|7.18	76.79|56445.16
cpd00410	10000000.0|10000000.0	nan
cpd00411	-25.0|1.58	86.34|1.01
cpd00412	-145.43|1.8	-19.15|1.05
cpd00413	-860.42|3.58	-489.56|1.89
cpd00414	-542.03|4.86	nan
cpd00415	-49.38|0.88	-11.06|1.07
cpd00416	-842.64|3.59	-490.42|2.00
cpd00417	-189.02|0.8	-73.21|0.32
cpd00418	10000000.0|10000000.0	20.67|0.71
cpd00419	-32.18|1.66	72.91|1.01
cpd00420	-24.99|6.87	65.65|56445.16
cpd00421	10000000.0|10000000.0	nan
cpd00422	-731.35|3.67	-347.01|2.18
cpd00423	10000000.0|10000000.0	nan
cpd00424	-154.91|0.96	-20.64|0.97
cpd00425	-1.35|0.93	76.91|0.71
cpd00426	-128.84|1.07	-79.50|1.03
cpd00427	-232.24|0.7	-145.05|0.29
cpd00428	-59.99|0.32	-23.08|0.42
cpd00429	-88.41|1.13	6.31|1.04
cpd00430	-47.35|0.89	nan
cpd00431	10000000.0|10000000.0	nan
cpd00432	-239.04|0.45	-202.95|0.55
cpd00433	-23.31|1.06	165.88|1.74
cpd00434	-31.79|0.37	62.64|0.39
cpd00435	-8.28|0.79	69.68|0.62
cpd00436	-17.38|1.03	44.38|1.63
cpd00437	-260.64|0.72	-173.15|0.38
cpd00438	-5.51|2.99	119.48|0.74
cpd00439	4.68|4.99	nan
cpd00440	-384.52|2.47	nan
cpd00441	4.55|1.21	106.07|0.71
cpd00442	-979.52|3.61	nan
cpd00443	-48.99|0.95	10.14|0.69
cpd00444	-536.39|1.99	-344.37|1.26
cpd00445	14.49|1.27	137.05|1.79
cpd00446	-191.87|3.8	-83.11|0.38
cpd00447	21.67|1.97	92.48|23900.57
cpd00448	-106.7|0.35	-46.03|0.33
cpd00449	-27.35|1.48	138.68|1.74
cpd00450	1.47|0.77	60.41|1.36
cpd00451	-75.84|1.52	-6.97|1.62
cpd00452	-748.96|3.62	-367.18|2.02
cpd00453	-79.95|0.33	-2.76|0.45
cpd00454	-112.91|1.45	169.83|2.10
cpd00455	-178.44|1.37	-61.23|0.35
cpd00456	-92.53|0.89	-51.42|0.64
cpd00457	-200.31|1.97	-109.21|23900.57
cpd00458	-51.81|1.31	37.06|1.17
cpd00459	10000000.0|10000000.0	nan
cpd00460	-152.53|0.76	-185.53|16900.26
cpd00461	-82.8|0.86	-42.75|0.43
cpd00463	20.58|6.9	275.93|56445.16
cpd00464	2.82|0.8	80.46|0.64
cpd00465	-163.98|0.97	-113.73|0.89
cpd00466	92.14|3.29	162.10|1.94
cpd00467	10000000.0|10000000.0	-31.17|23900.57
cpd00468	10000000.0|10000000.0	nan
cpd00469	-371.11|3.05	-127.75|0.75
cpd00470	-24.81|1.29	190.14|1.51
cpd00471	-291.58|2.79	-327.87|29272.11
cpd00472	-805.77|3.09	-610.94|1.29
cpd00473	-260.64|0.72	-173.06|0.30
cpd00474	14.85|6.94	106.53|56445.16
cpd00475	-394.12|1.32	-292.14|0.35
cpd00477	-193.73|0.73	-106.83|0.77
cpd00478	-279.93|1.66	-191.72|0.89
cpd00479	-132.01|1.09	-100.66|1.02
cpd00480	-258.18|0.74	-173.76|0.76
cpd00481	-784.4|3.56	-399.39|1.95
cpd00482	-371.9|0.29	-321.41|0.20
cpd00483	-88.47|1.12	-39.10|1.03
cpd00484	-39.83|0.9	9.67|0.67
cpd00485	-430.78|1.51	-311.19|0.30
cpd00486	28.87|1.56	110.82|1.02
cpd00487	10000000.0|10000000.0	nan
cpd00488	-119.47|1.56	185.36|2.06
cpd00489	-89.36|0.87	-30.26|0.65
cpd00490	-64.48|1.57	37.09|1.20
cpd00491	-437.94|0.91	-302.71|0.44
cpd00492	-212.63|1.63	nan
cpd00493	-244.68|1.66	-138.85|0.94
cpd00494	-34.8|5.0	nan
cpd00495	-144.73|0.65	-65.71|0.42
cpd00496	-179.36|1.09	-102.78|0.46
cpd00497	-364.43|2.78	-243.00|0.78
cpd00498	-151.56|0.45	-59.98|0.41
cpd00499	-643.28|1.49	-526.07|0.76
cpd00501	-430.78|1.51	-311.19|0.30
cpd00502	-106.95|3.24	45.62|15009.22
cpd00503	-644.17|1.3	-521.26|0.68
cpd00504	-163.68|0.6	-27.65|0.71
cpd00506	-190.37|1.04	-64.24|0.87
cpd00507	-254.99|2.06	-50.68|29272.11
cpd00508	-109.64|0.4	-20.07|0.39
cpd00509	-354.28|1.18	-252.90|0.54
cpd00510	-354.28|1.18	nan
cpd00511	-36.26|7.19	61.25|56445.16
cpd00512	10000000.0|10000000.0	nan
cpd00513	10000000.0|10000000.0	nan
cpd00514	10000000.0|10000000.0	nan
cpd00515	-263.36|0.53	-206.94|0.39
cpd00516	-163.68|0.6	-28.05|0.71
cpd00517	-317.85|1.57	72.14|1.57
cpd00518	-108.82|1.07	-69.36|0.55
cpd00519	-863.85|3.55	-508.46|2.07
cpd00520	-183.72|0.44	-117.52|0.23
cpd00521	-680.33|2.86	-452.65|1.45
cpd00522	-680.33|2.86	-456.35|1.46
cpd00523	-589.26|2.99	-377.22|0.52
cpd00524	-213.4|1.28	-135.38|1.76
cpd00525	-958.02|3.91	-570.70|2.00
cpd00526	-165.99|7.11	47.98|56445.16
cpd00527	-112.91|1.45	169.83|2.10
cpd00528	4.47|0.5	nan
cpd00530	-780.43|2.8	-659.82|0.97
cpd00531	10000000.0|10000000.0	nan
cpd00532	6.9|0.5	nan
cpd00533	-513.54|1.84	-377.97|1.12
cpd00534	10000000.0|10000000.0	nan
cpd00536	-38.47|1.33	281.48|1.42
cpd00537	-535.24|4.53	nan
cpd00538	33.38|2.77	9.43|16170.40
cpd00540	-31.03|1.96	31.39|23900.57
cpd00541	-63.98|1.56	nan
cpd00542	10000000.0|10000000.0	nan
cpd00543	-51.01|1.07	8.59|1.03
cpd00544	10000000.0|10000000.0	nan
cpd00545	-115.19|1.24	120.47|0.94
cpd00546	-130.78|6.83	-20.48|56445.16
cpd00547	-83.39|0.7	nan
cpd00548	-218.28|1.54	nan
cpd00549	-84.04|0.56	59.82|0.90
cpd00550	-124.15|0.31	-56.71|0.66
cpd00551	-61.64|0.46	-2.84|0.38
cpd00552	10000000.0|10000000.0	nan
cpd00553	10000000.0|10000000.0	283.05|23900.57
cpd00554	80.59|1.71	189.49|2.17
cpd00555	-316.34|6.2	466.02|99802.05
cpd00556	44.52|1.61	85.07|0.82
cpd00557	10000000.0|10000000.0	nan
cpd00558	15.6|2.04	291.66|2.50
cpd00559	161.68|3.16	636.87|3.48
cpd00560	10000000.0|10000000.0	nan
cpd00561	-64.66|1.16	-16.02|1.10
cpd00562	-33.81|0.64	142.23|0.70
cpd00563	-7.68|4.62	68.29|23900.57
cpd00564	-75.92|3.17	33.64|33800.52
cpd00565	-210.29|2.14	-35.05|1.82
cpd00566	-124.22|6.84	-36.01|56445.16
cpd00567	-62.54|0.94	8.28|2.04
cpd00568	-217.61|1.37	-102.56|0.43
cpd00569	-909.73|14.1	-240.86|84667.75
cpd00570	4.63|2.07	101.32|1.59
cpd00571	-311.88|0.82	-234.47|0.40
cpd00572	-45.63|1.13	nan
cpd00573	-268.66|0.89	-162.25|0.33
cpd00574	-148.29|0.43	nan
cpd00575	-298.19|3.94	317.92|2.83
cpd00576	-121.43|2.15	-21.80|2.09
cpd00577	26.13|2.67	282.43|2.51
cpd00578	-107.65|1.59	nan
cpd00579	15.16|1.57	124.27|1.22
cpd00580	10000000.0|10000000.0	22.37|28222.58
cpd00581	-26.85|1.3	27.93|0.96
cpd00582	-99.16|2.25	-23.27|2.40
cpd00583	-79.86|1.43	33.40|1.46
cpd00584	-680.9|2.15	-449.87|1.12
cpd00585	-6.19|2.8	62.60|0.71
cpd00586	-73.77|1.56	79.62|1.39
cpd00587	-83.39|0.7	-14.97|0.77
cpd00588	-225.44|0.99	-89.64|0.31
cpd00589	-217.42|0.82	-102.16|0.48
cpd00590	-105.4|4.02	61.84|47801.15
cpd00591	-8.28|0.24	68.10|0.41
cpd00592	-784.18|3.51	-464.67|2.25
cpd00593	10.4|2.17	nan
cpd00594	-268.66|0.89	-162.25|0.33
cpd00595	10000000.0|10000000.0	nan
cpd00596	-153.5|1.02	-129.85|0.94
cpd00597	-81.89|0.31	7.41|0.31
cpd00598	19.2|5.28	nan
cpd00599	-92.53|0.89	-51.41|0.64
cpd00601	-36.69|6.17	88.57|48386.66
cpd00602	-36.69|6.17	nan
cpd00604	-71.75|1.1	-10.09|0.74
cpd00605	-103.36|1.56	-81.95|2.75
cpd00606	-84.69|2.52	0.31|23900.57
cpd00607	-202.61|0.42	-141.61|0.36
cpd00608	-268.66|0.89	-162.25|0.33
cpd00609	nan	nan
cpd00610	-121.69|0.61	-26.57|0.66
cpd00611	-124.34|0.41	-36.27|0.35
cpd00612	-111.23|1.33	-44.21|1.79
cpd00613	-20.85|1.33	312.00|1.33
cpd00614	10000000.0|10000000.0	nan
cpd00615	-320.83|4.01	63.87|2.60
cpd00616	-161.4|1.32	-53.12|2.43
cpd00617	-822.25|3.56	-459.43|1.87
cpd00618	43.07|2.34	127.12|1.37
cpd00619	-189.68|0.46	-193.71|0.39
cpd00620	-135.14|1.58	80.42|1.43
cpd00621	-442.65|5.27	20.14|2.70
