ID	GF	EQ
cpd00187	-9.55|0.5	47.23|0.39
cpd00188	31.85|2.13	320.11|1.69
cpd00189	10000000.0|10000000.0	nan
cpd00190	-218.28|1.54	-101.69|0.27
cpd00191	-111.88|0.22	-82.74|0.23
cpd00192	-770.83|3.7	-396.60|2.14
cpd00193	-367.85|3.11	-252.33|0.55
cpd00194	106.88|2.89	218.18|2.48
cpd00195	10000000.0|10000000.0	nan
cpd00196	-301.65|0.26	-264.28|0.27
cpd00197	-132.01|1.09	-99.54|0.92
cpd00198	-393.5|0.57	-295.28|0.30
cpd00199	-110.26|0.26	-61.61|0.26
cpd00200	-109.64|0.4	-19.81|0.55
cpd00201	-144.77|3.21	-24.31|16170.40
cpd00202	-439.18|0.56	-342.87|0.76
cpd00203	-586.8|0.36	-526.79|0.26
cpd00204	-28.66|0.5	nan
cpd00205	10000000.0|10000000.0	nan
cpd00206	-305.54|1.83	-168.36|1.11
cpd00207	28.4|2.51	0.11|16170.40
cpd00208	-376.76|3.02	-163.32|0.54
cpd00209	-26.61|0.5	-26.17|0.72
cpd00210	-126.76|0.78	-121.12|16900.26
cpd00211	-83.51|0.23	-13.80|0.25
cpd00212	-217.61|1.37	-102.76|0.42
cpd00213	-21.54|1.63	124.10|1.74
cpd00214	-64.07|1.24	239.71|0.72
cpd00215	-59.5|1.67	9.92|0.91
cpd00216	-169.49|1.41	-104.73|1.61
cpd00217	-376.76|3.02	-164.67|0.34
cpd00218	-36.89|1.42	-5.38|0.64
cpd00219	-186.17|1.32	-115.27|2.14
cpd00220	-110.72|2.88	69.36|2.24
cpd00221	-123.17|0.25	-72.99|0.55
cpd00222	-268.66|0.89	-162.74|0.72
cpd00223	-159.4|0.33	-110.91|0.24
cpd00224	-180.06|1.37	-84.61|0.35
cpd00225	-0.35|0.83	58.93|0.61
cpd00226	23.12|2.52	60.51|0.44
cpd00227	-122.53|0.35	-30.11|1.01
cpd00228	-71.09|1.34	26.78|1.65
cpd00229	-70.28|0.22	-31.97|0.16
cpd00231	-35.76|2.71	nan
cpd00232	-326.4|1.55	-150.02|0.55
cpd00233	-44.57|2.61	18.62|16170.40
cpd00234	-209.4|0.71	-112.67|0.41
cpd00235	-430.78|1.51	-313.32|0.28
cpd00236	-355.62|0.47	-276.95|0.42
cpd00237	-18.43|6.89	50.87|56445.16
cpd00238	-466.34|0.93	-330.86|0.46
cpd00239	-6.66|0.5	12.31|0.72
cpd00240	-282.78|1.77	-165.00|2.38
cpd00241	-684.46|2.69	-631.55|16170.40
cpd00242	-140.26|0.5	-131.05|0.30
cpd00243	nan	nan
cpd00244	10000000.0|10000000.0	nan
cpd00245	33.64|0.84	100.26|0.76
cpd00246	-101.08|2.75	18.72|0.39
cpd00247	-142.48|1.55	-110.55|1.27
cpd00248	-221.05|1.05	-125.78|1.25
cpd00249	-185.27|1.9	-57.53|0.91
cpd00250	-65.59|1.83	25.70|0.72
cpd00251	-585.97|3.8	-383.29|0.81
cpd00253	-121.69|0.61	nan
cpd00254	10000000.0|10000000.0	-109.58|0.72
cpd00255	-194.43|6.6	536.15|5.99
cpd00256	-479.69|2.78	-264.91|16900.26
cpd00257	-98.59|1.6	-39.12|14323.50
cpd00258	-181.0|0.64	-79.63|0.37
cpd00259	-181.0|0.64	-81.05|0.38
cpd00260	-279.02|0.48	-229.22|0.28
cpd00261	-181.0|0.64	-81.12|0.53
cpd00262	-862.82|3.53	-550.94|1.91
cpd00263	-67.43|1.68	18.84|0.96
cpd00264	4.79|1.16	209.81|1.30
cpd00265	-852.2|7.55	nan
cpd00266	-65.83|1.98	41.73|16900.26
cpd00267	-36.08|1.32	330.21|1.30
cpd00268	-122.7|0.5	nan
cpd00269	-187.28|0.43	-130.40|0.40
cpd00270	-810.31|3.76	-445.13|2.21
cpd00271	10000000.0|10000000.0	nan
cpd00272	-636.85|3.68	nan
cpd00273	nan	nan
cpd00274	-123.87|1.02	11.60|0.98
cpd00275	-76.94|1.0	40.82|0.80
cpd00276	-183.03|1.51	-47.09|0.41
cpd00277	-55.96|2.69	-3.06|16170.40
cpd00278	-49.77|1.58	17.69|1.07
cpd00279	-812.61|3.58	-452.12|1.87
cpd00280	-261.5|1.5	-173.50|0.38
cpd00281	-84.49|0.35	-1.08|0.39
cpd00282	-151.52|1.44	-98.09|1.21
cpd00283	-411.09|1.04	-238.46|1.22
cpd00284	-481.16|0.82	-374.01|0.29
cpd00285	-257.01|0.31	-180.79|0.51
cpd00286	49.72|5.57	907.19|6.32
cpd00287	-112.07|0.27	-61.03|0.32
cpd00288	-395.53|1.48	-258.13|0.58
cpd00289	-354.91|2.03	-30.22|2.33
cpd00290	-644.17|1.3	-527.01|0.26
cpd00291	-130.01|1.1	-41.26|0.90
cpd00292	-900.07|3.61	-508.48|1.90
cpd00293	-425.13|1.61	-277.54|0.66
cpd00294	-218.01|2.98	-91.92|0.68
cpd00295	-476.46|2.69	-423.32|16170.40
cpd00296	-268.46|2.68	-214.69|16170.40
cpd00297	-566.34|1.77	-420.50|1.11
cpd00298	-358.34|1.77	-211.02|1.11
cpd00299	-357.93|1.8	-230.91|1.04
cpd00300	-90.93|3.24	-35.89|1.06
cpd00301	10.74|5.29	nan
cpd00302	73.9|2.81	193.80|1.01
cpd00303	-161.08|3.85	nan
cpd00304	78.83|2.68	344.24|2.74
cpd00305	52.18|2.57	209.16|23900.57
cpd00306	-189.02|0.8	-70.44|0.42
cpd00307	-8.68|1.38	46.07|0.89
cpd00308	-164.58|0.24	-144.60|0.32
cpd00309	-27.73|2.67	12.02|0.83
cpd00310	-74.59|1.33	60.86|1.14
cpd00311	-95.8|2.75	-40.89|16170.40
cpd00312	34.01|1.13	130.80|0.96
cpd00313	-177.08|2.72	-172.42|28222.58
cpd00314	-225.44|0.99	-89.24|0.35
cpd00315	-673.08|3.7	-522.11|16170.40
cpd00316	40.23|1.67	81.40|1.00
cpd00317	-280.99|3.83	108.19|2.15
cpd00318	54.64|1.57	174.15|1.03
cpd00319	-23.31|1.06	168.55|1.36
cpd00320	-165.75|0.34	-107.06|0.36
cpd00321	-795.66|3.78	-423.90|2.30
cpd00322	-84.87|0.45	44.95|0.44
