rxn_id	kegg_rxn_id	dG_mean_kcal_per_mol	dG_uncer_kcal_per_mol	operator
rxn23946		-23.06	0.37	>
rxn23950		-23.06	0.37	>
rxn23951	R07728	-14.85	0.68	>
rxn23952	R03452	-86.86	0.36	>
rxn23953	R07272	-27.75	0.45	>
rxn23954	R07271	-26.41	0.46	>
rxn23955	R07195	-102.84	0.85	>
rxn23956	R07196	-98.77	0.56	>
rxn23957		-98.77	0.56	>
rxn23958		-98.77	0.56	>
rxn23959		-98.77	0.56	>
rxn23960		-98.77	0.56	>
rxn23961		-98.77	0.56	>
rxn23962		-98.77	0.56	>
rxn23963		-98.77	0.56	>
rxn23964		-98.77	0.56	>
rxn23965		-98.77	0.56	>
rxn23966		-98.77	0.56	>
rxn23967		-98.77	0.56	>
rxn23968		-98.77	0.56	>
rxn23969		-98.77	0.56	>
rxn23970		-98.77	0.56	>
rxn23971		-98.77	0.56	>
rxn23972		-98.77	0.56	>
rxn23973		-98.77	0.56	>
rxn23974		-98.77	0.56	>
rxn23975		-98.77	0.56	>
rxn23976		-98.77	0.56	>
rxn23977		-98.77	0.56	>
rxn23978		-98.77	0.56	>
rxn23979		-98.77	0.56	>
rxn23980		-98.77	0.56	>
rxn23981		-98.77	0.56	>
rxn23982		-98.77	0.56	>
rxn23983		-98.77	0.56	>
rxn23984		-98.77	0.56	>
rxn23985		-98.77	0.56	>
rxn23986		-98.77	0.56	>
rxn23987		-98.77	0.56	>
rxn23988		-98.77	0.56	>
rxn23989		-98.77	0.56	>
rxn23990		-98.77	0.56	>
rxn23991		-98.77	0.56	>
rxn23992		-98.77	0.56	>
rxn23993		-98.77	0.56	>
rxn23994		-98.77	0.56	>
rxn23995		-98.77	0.56	>
rxn23996		-98.77	0.56	>
rxn23997		-98.77	0.56	>
rxn23998		-98.77	0.56	>
rxn23999		-98.77	0.56	>
rxn24021	R06298	-4.03	1.54	=
rxn24022	R09119	-16.76	0.97	>
rxn24023	R09115	-31.99	0.89	>
rxn24024	R09117	-24.01	0.93	>
rxn24025		-24.01	0.93	>
rxn24027		-24.01	0.93	>
rxn24029		-24.01	0.93	>
rxn24030		-24.01	0.93	>
rxn24033		-24.01	0.93	>
rxn24034		-24.01	0.93	>
rxn24036	R10031	-53.01	0.44	>
rxn24037	R10031	-53.01	0.44	>
rxn24038	R10032	-58.32	0.42	>
rxn24039	R10032	-58.32	0.42	>
rxn24040	R10033	-67.34	0.62	>
rxn24041	R10033	-67.34	0.62	>
rxn24042	R10034	0.0	0.56	=
rxn24043	R10034	0.0	0.56	=
rxn24044		0.0	0.56	=
rxn24045		0.0	0.56	=
rxn24046		0.0	0.56	>
rxn24047		0.0	0.56	>
rxn24048		0.0	0.56	=
rxn24049		0.0	0.56	=
rxn24050		0.0	0.56	=
rxn24051		0.0	0.56	=
rxn24052		0.0	0.56	=
rxn24053		0.0	0.56	>
rxn24054		0.0	0.56	>
rxn24055		0.0	0.56	>
rxn24056		0.0	0.56	=
rxn24057		0.0	0.56	=
rxn24058		0.0	0.56	=
rxn24059		0.0	0.56	=
rxn24060	R06292	-105.78	0.35	>
rxn24062	R06265	-92.03	0.22	>
rxn24063	R06266	-107.92	0.44	>
rxn24064	R06267	-122.65	1.06	>
rxn24065		-122.65	1.06	>
rxn24066		-122.65	1.06	>
rxn24067	R10040	3.1	0.38	=
rxn24068	R10040	3.1	0.38	=
rxn24069		3.1	0.38	=
rxn24070		3.1	0.38	=
rxn24071		3.1	0.38	=
rxn24072		3.1	0.38	<
rxn24073		3.1	0.38	<
rxn24074		3.1	0.38	<
rxn24075		3.1	0.38	=
rxn24076		3.1	0.38	=
rxn24077		3.1	0.38	=
rxn24078		3.1	0.38	=
rxn24079		3.1	0.38	=
rxn24080		3.1	0.38	=
rxn24081		3.1	0.38	=
rxn24082		3.1	0.38	=
rxn24083		3.1	0.38	=
rxn24084		3.1	0.38	=
rxn24085		3.1	0.38	=
rxn24086		3.1	0.38	=
rxn24087		3.1	0.38	=
rxn24088		3.1	0.38	=
rxn24089		3.1	0.38	=
rxn24090		3.1	0.38	=
rxn24091		3.1	0.38	=
rxn24092		3.1	0.38	=
rxn24093		3.1	0.38	=
rxn24094		3.1	0.38	=
rxn24095		3.1	0.38	=
rxn24096		3.1	0.38	=
rxn24097		3.1	0.38	=
rxn24098		3.1	0.38	=
rxn24099		3.1	0.38	=
rxn24100		3.1	0.38	=
rxn24102		3.1	0.38	=
rxn24104		3.1	0.38	=
rxn24105		3.1	0.38	=
rxn24106		3.1	0.38	=
rxn24107		3.1	0.38	=
rxn24108		3.1	0.38	>
rxn24109	R00733	19.17	0.88	<
rxn24110		19.17	0.88	<
rxn24111		19.17	0.88	<
rxn24112		19.17	0.88	<
rxn24113		19.17	0.88	<
rxn24118	R02323	-3.59	0.02	>
rxn24119		-3.59	0.02	=
rxn24120		-3.59	0.02	>
rxn24121		-3.59	0.02	>
rxn24122		-3.59	0.02	=
rxn24123		-3.59	0.02	=
rxn24124		-3.59	0.02	=
rxn24125		-3.59	0.02	=
rxn24126		-3.59	0.02	=
rxn24129		-3.59	0.02	>
rxn24130		-3.59	0.02	=
rxn24131		-3.59	0.02	=
rxn24132	R00224	-4.14	0.04	>
rxn24133	R02740	2.63	0.33	=
rxn24134	R06604	-10.24	0.6	>
rxn24135		-10.24	0.6	=
rxn24136		-10.24	0.6	=
rxn24137		-10.24	0.6	>
rxn24138		-10.24	0.6	=
rxn24139		-10.24	0.6	>
rxn24140		-10.24	0.6	=
rxn24141		-10.24	0.6	=
rxn24142	R06529	-6.12	0.72	>
rxn24143		-6.12	0.72	>
rxn24144		-6.12	0.72	>
rxn24145		-6.12	0.72	=
rxn24146		-6.12	0.72	=
rxn24147		-6.12	0.72	>
rxn24148		-6.12	0.72	=
rxn24149	R02300	-7.51	0.56	>
rxn24150		-7.51	0.56	=
rxn24151		-7.51	0.56	=
rxn24152		-7.51	0.56	=
rxn24153		-7.51	0.56	=
rxn24154		-7.51	0.56	=
rxn24155		-7.51	0.56	=
rxn24156		-7.51	0.56	>
rxn24157		-7.51	0.56	>
rxn24158		-7.51	0.56	>
rxn24159		-7.51	0.56	>
rxn24160		-7.51	0.56	=
rxn24161		-7.51	0.56	>
rxn24162		-7.51	0.56	=
rxn24163		-7.51	0.56	=
rxn24164		-7.51	0.56	=
rxn24165		-7.51	0.56	=
rxn24166		-7.51	0.56	>
rxn24167		-7.51	0.56	>
rxn24168		-7.51	0.56	>
rxn24169		-7.51	0.56	>
rxn24170		-7.51	0.56	>
rxn24171		-7.51	0.56	>
rxn24172		-7.51	0.56	=
rxn24173		-7.51	0.56	>
rxn24174		-7.51	0.56	>
rxn24175		-7.51	0.56	=
rxn24176		-7.51	0.56	=
rxn24177	R00348	-4.85	0.18	>
rxn24178	R10302	3.65	0.38	<
rxn24179		3.65	0.38	=
rxn24180		3.65	0.38	=
rxn24181		3.65	0.38	=
rxn24182		3.65	0.38	=
rxn24183		3.65	0.38	=
rxn24184		3.65	0.38	=
rxn24185		3.65	0.38	=
rxn24186		3.65	0.38	=
rxn24188		3.65	0.38	=
rxn24190		3.65	0.38	=
rxn24192		3.65	0.38	=
rxn24194		3.65	0.38	=
rxn24195		3.65	0.38	=
rxn24196		3.65	0.38	<
rxn24197		3.65	0.38	=
rxn24198	R10447	19.5	0.8	<
rxn24199	R10448	21.95	0.8	<
rxn24200	R10250	-23.12	0.8	>
rxn24201	R10251	-22.47	0.82	>
rxn24202	R10473	-0.26	0.35	=
rxn24203		-0.26	0.35	=
rxn24204		-0.26	0.35	=
rxn24205		-0.26	0.35	=
rxn24206		-0.26	0.35	=
rxn24207	R03249	-9.58	0.05	>
rxn24208		-9.58	0.05	>
rxn24209		-9.58	0.05	>
rxn24210		-9.58	0.05	=
rxn24211		-9.58	0.05	=
rxn24212	R10178	1.3	0.03	=
rxn24213	R10178	1.3	0.03	=
rxn24214		1.3	0.03	=
rxn24215	R06952	-71.34	1.02	>
rxn24216		-71.34	1.02	>
rxn24217		-71.34	1.02	>
rxn24218		-71.34	1.02	>
rxn24223		-71.34	1.02	>
rxn24224		-71.34	1.02	>
rxn24225		-71.34	1.02	>
rxn24227		-71.34	1.02	>
rxn24228		-71.34	1.02	>
rxn24229		-71.34	1.02	>
rxn24230		-71.34	1.02	>
rxn24231		-71.34	1.02	>
rxn24232		-71.34	1.02	>
rxn24234		-71.34	1.02	>
rxn24236		-71.34	1.02	>
rxn24238		-71.34	1.02	>
rxn24240		-71.34	1.02	>
rxn24241		-71.34	1.02	>
rxn24242		-71.34	1.02	>
rxn24243		-71.34	1.02	>
rxn24244		-71.34	1.02	>
rxn24245		-71.34	1.02	>
rxn24246		-71.34	1.02	>
rxn24247		-71.34	1.02	>
rxn24248		-71.34	1.02	>
rxn24249		-71.34	1.02	>
rxn24250		-71.34	1.02	>
rxn24251	R05801	-10.42	0.22	>
rxn24252		-10.42	0.22	>
rxn24253		-10.42	0.22	>
rxn24254		-10.42	0.22	>
rxn24255		-10.42	0.22	>
rxn24256		-10.42	0.22	=
rxn24257		-10.42	0.22	=
rxn24258		-10.42	0.22	=
rxn24259		-10.42	0.22	>
rxn24260		-10.42	0.22	>
rxn24261		-10.42	0.22	>
rxn24262		-10.42	0.22	>
rxn24263		-10.42	0.22	>
rxn24264		-10.42	0.22	>
rxn24265		-10.42	0.22	>
rxn24266		-10.42	0.22	>
rxn24267		-10.42	0.22	>
rxn24268		-10.42	0.22	>
rxn24269		-10.42	0.22	>
rxn24270		-10.42	0.22	>
rxn24271		-10.42	0.22	>
rxn24272		-10.42	0.22	>
rxn24273		-10.42	0.22	>
rxn24274		-10.42	0.22	>
rxn24275		-10.42	0.22	>
rxn24276		-10.42	0.22	>
rxn24277		-10.42	0.22	>
rxn24278		-10.42	0.22	>
rxn24279		-10.42	0.22	>
rxn24280		-10.42	0.22	>
rxn24281		-10.42	0.22	>
rxn24282		-10.42	0.22	>
rxn24283		-10.42	0.22	>
rxn24284		-10.42	0.22	>
rxn24285		-10.42	0.22	>
rxn24286		-10.42	0.22	>
rxn24287		-10.42	0.22	>
rxn24288		-10.42	0.22	>
rxn24289		-10.42	0.22	>
rxn24290		-10.42	0.22	>
rxn24291		-10.42	0.22	>
rxn24292		-10.42	0.22	=
rxn24293		-10.42	0.22	>
rxn24294		-10.42	0.22	>
rxn24295		-10.42	0.22	>
rxn24296		-10.42	0.22	>
rxn24297		-10.42	0.22	>
rxn24298		-10.42	0.22	=
rxn24299		-10.42	0.22	=
rxn24300		-10.42	0.22	=
rxn24301		-10.42	0.22	=
rxn24302		-10.42	0.22	=
rxn24303		-10.42	0.22	=
rxn24304		-10.42	0.22	>
rxn24305		-10.42	0.22	>
rxn24306		-10.42	0.22	>
rxn24307		-10.42	0.22	>
rxn24308		-10.42	0.22	>
rxn24309		-10.42	0.22	=
rxn24310		-10.42	0.22	>
rxn24311		-10.42	0.22	>
rxn24312		-10.42	0.22	>
rxn24313		-10.42	0.22	>
rxn24314	R08764	-88.95	0.24	>
rxn24315		-88.95	0.24	>
rxn24316		-88.95	0.24	>
rxn24317		-88.95	0.24	>
rxn24318	R06293	-111.65	0.65	>
rxn24319		-111.65	0.65	>
rxn24320		-111.65	0.65	>
rxn24321		-111.65	0.65	>
rxn24322		-111.65	0.65	>
rxn24323		-111.65	0.65	>
rxn24324		-111.65	0.65	>
rxn24325		-111.65	0.65	>
rxn24326		-111.65	0.65	>
rxn24327		-111.65	0.65	>
rxn24328		-111.65	0.65	>
rxn24329		-111.65	0.65	>
rxn24330		-111.65	0.65	>
rxn24331		-111.65	0.65	>
rxn24332		-111.65	0.65	>
rxn24333		-111.65	0.65	>
rxn24334		-111.65	0.65	>
rxn24335		-111.65	0.65	>
rxn24336		-111.65	0.65	>
rxn24337		-111.65	0.65	>
rxn24338		-111.65	0.65	>
rxn24339		-111.65	0.65	>
rxn24340		-111.65	0.65	>
rxn24341		-111.65	0.65	>
rxn24342		-111.65	0.65	>
rxn24343		-111.65	0.65	>
rxn24344		-111.65	0.65	>
rxn24345		-111.65	0.65	>
rxn24346	R00871; R00875; R01201; R01206; R01207; R01408; R01410; R01811; R01966; R07779; R08511	-12.26	0.25	>
rxn24347		-12.26	0.25	=
rxn24348		-12.26	0.25	=
rxn24349		-12.26	0.25	=
rxn24350	R07715	-97.36	0.4	>
rxn24354	R08754	3.89	0.94	=
rxn24355	R08755	-0.71	0.54	=
rxn24356	R08756	4.7	0.84	=
rxn24357		4.7	0.84	=
rxn24358		4.7	0.84	=
rxn24359		4.7	0.84	=
rxn24360		4.7	0.84	=
rxn24361		4.7	0.84	=
rxn24362		4.7	0.84	=
rxn24363		4.7	0.84	=
rxn24364		4.7	0.84	=
rxn24365		4.7	0.84	=
rxn24366		4.7	0.84	=
rxn24367	R08203	-95.98	1.1	>
rxn24368	R08204	-105.61	0.44	>
rxn24369		-105.61	0.44	>
rxn24370		-105.61	0.44	>
rxn24373		-105.61	0.44	>
rxn24374		-105.61	0.44	>
rxn24375		-105.61	0.44	>
rxn24376	R10659	-5.35	0.32	=
rxn24377	R10659	-5.35	0.32	=
rxn24378		-5.35	0.32	>
rxn24379		-5.35	0.32	=
rxn24380		-5.35	0.32	=
rxn24381		-5.35	0.32	>
rxn24382	R05685	5.61	0.13	=
rxn24383		5.61	0.13	=
rxn24384		5.61	0.13	=
rxn24385		5.61	0.13	=
rxn24386		5.61	0.13	=
rxn24388		5.61	0.13	=
rxn24389		5.61	0.13	=
rxn24390		5.61	0.13	<
rxn24391		5.61	0.13	<
rxn24394		5.61	0.13	<
rxn24403	R02611	8.61	0.25	=
rxn24404		8.61	0.25	=
rxn24405		8.61	0.25	=
rxn24406		8.61	0.25	=
rxn24407		8.61	0.25	<
rxn24408		8.61	0.25	<
rxn24409		8.61	0.25	=
rxn24410		8.61	0.25	=
rxn24411		8.61	0.25	=
rxn24412		8.61	0.25	=
rxn24413		8.61	0.25	=
rxn24414	R07613	-15.96	0.39	>
rxn24415	R05618	3.24	0.93	=
rxn24416	R08921	-81.97	1.84	>
rxn24417	R09032	2.01	1.05	=
rxn24418		2.01	1.05	=
rxn24419		2.01	1.05	>
rxn24420	R04460	-58.32	0.42	>
rxn24421	R07190	-63.25	0.65	>
rxn24422		-63.25	0.65	>
rxn24423		-63.25	0.65	>
rxn24424		-63.25	0.65	>
rxn24425		-63.25	0.65	>
rxn24427		-63.25	0.65	>
rxn24428		-63.25	0.65	>
rxn24429		-63.25	0.65	>
rxn24430		-63.25	0.65	>
rxn24431		-63.25	0.65	>
rxn24432		-63.25	0.65	>
rxn24433	R07474	-78.3	0.26	>
rxn24434	R00272	-7.29	0.04	>
rxn24435		-7.29	0.04	=
rxn24436		-7.29	0.04	>
rxn24437		-7.29	0.04	>
rxn24438		-7.29	0.04	>
rxn24439		-7.29	0.04	=
rxn24440		-7.29	0.04	=
rxn24441		-7.29	0.04	>
rxn24442		-7.29	0.04	>
rxn24443		-7.29	0.04	=
rxn24444		-7.29	0.04	=
rxn24445		-7.29	0.04	=
rxn24446		-7.29	0.04	=
rxn24447		-7.29	0.04	>
rxn24448		-7.29	0.04	=
rxn24449		-7.29	0.04	=
rxn24450		-7.29	0.04	>
rxn24451		-7.29	0.04	=
rxn24452		-7.29	0.04	=
rxn24453		-7.29	0.04	=
rxn24454		-7.29	0.04	>
rxn24455		-7.29	0.04	=
rxn24456		-7.29	0.04	=
rxn24457		-7.29	0.04	>
rxn24458		-7.29	0.04	>
rxn24459		-7.29	0.04	>
rxn24460		-7.29	0.04	>
rxn24461		-7.29	0.04	=
rxn24462		-7.29	0.04	=
rxn24463		-7.29	0.04	>
rxn24464		-7.29	0.04	>
rxn24465		-7.29	0.04	>
rxn24466		-7.29	0.04	=
rxn24467		-7.29	0.04	=
rxn24469		-7.29	0.04	=
rxn24470		-7.29	0.04	=
rxn24471		-7.29	0.04	>
rxn24472		-7.29	0.04	>
rxn24473		-7.29	0.04	>
rxn24474		-7.29	0.04	>
rxn24475		-7.29	0.04	>
rxn24476		-7.29	0.04	>
rxn24477		-7.29	0.04	>
rxn24478	R10176	-20.99	0.76	>
rxn24479		-20.99	0.76	>
rxn24480		-20.99	0.76	>
rxn24481		-20.99	0.76	>
rxn24482		-20.99	0.76	>
rxn24483		-20.99	0.76	>
rxn24484		-20.99	0.76	>
rxn24485		-20.99	0.76	>
rxn24486		-20.99	0.76	>
rxn24487	R01808	6.48	0.38	=
rxn24488		6.48	0.38	<
rxn24489		6.48	0.38	<
rxn24490		6.48	0.38	=
rxn24491		6.48	0.38	=
rxn24492		6.48	0.38	=
rxn24493		6.48	0.38	=
rxn24494		6.48	0.38	=
rxn24495		6.48	0.38	=
rxn24496		6.48	0.38	=
rxn24497		6.48	0.38	=
rxn24498		6.48	0.38	=
rxn24499		6.48	0.38	=
rxn24500		6.48	0.38	=
rxn24501		6.48	0.38	=
rxn24502		6.48	0.38	=
rxn24503		6.48	0.38	=
rxn24504		6.48	0.38	=
rxn24505		6.48	0.38	=
rxn24506		6.48	0.38	=
rxn24507		6.48	0.38	=
rxn24508		6.48	0.38	=
rxn24509		6.48	0.38	=
rxn24510		6.48	0.38	=
rxn24511		6.48	0.38	=
rxn24512		6.48	0.38	=
rxn24513		6.48	0.38	=
rxn24514		6.48	0.38	=
rxn24515		6.48	0.38	<
rxn24516		6.48	0.38	=
rxn24517		6.48	0.38	=
rxn24518		6.48	0.38	=
rxn24519		6.48	0.38	=
rxn24520		6.48	0.38	=
rxn24521		6.48	0.38	=
rxn24522		6.48	0.38	=
rxn24523		6.48	0.38	=
rxn24524		6.48	0.38	=
rxn24525		6.48	0.38	=
rxn24526		6.48	0.38	=
rxn24527		6.48	0.38	=
rxn24528		6.48	0.38	=
rxn24529		6.48	0.38	=
rxn24530		6.48	0.38	=
rxn24531		6.48	0.38	=
rxn24532		6.48	0.38	=
rxn24533		6.48	0.38	=
rxn24534		6.48	0.38	=
rxn24535		6.48	0.38	=
rxn24536		6.48	0.38	=
rxn24537		6.48	0.38	=
rxn24538		6.48	0.38	=
rxn24539		6.48	0.38	=
rxn24540		6.48	0.38	=
rxn24541		6.48	0.38	=
rxn24542	R07199	-79.72	0.9	>
rxn24543	R06946	-80.31	0.9	>
rxn24544		-80.31	0.9	>
rxn24545		-80.31	0.9	>
rxn24546	R07200	-79.72	0.9	>
rxn24547	R06947	-80.31	0.9	>
rxn24548	R07178	-13.73	1.18	>
rxn24549	R07179	-13.73	1.18	>
rxn24550		-13.73	1.18	>
rxn24551		-13.73	1.18	>
rxn24552		-13.73	1.18	>
rxn24553		-13.73	1.18	>
rxn24554		-13.73	1.18	>
rxn24555		-13.73	1.18	=
rxn24556		-13.73	1.18	>
rxn24558		-13.73	1.18	>
rxn24559		-13.73	1.18	>
rxn24560		-13.73	1.18	>
rxn24561		-13.73	1.18	=
rxn24562		-13.73	1.18	=
rxn24563		-13.73	1.18	>
rxn24564		-13.73	1.18	>
rxn24566		-13.73	1.18	>
rxn24568		-13.73	1.18	>
rxn24570		-13.73	1.18	>
rxn24571		-13.73	1.18	>
rxn24572		-13.73	1.18	>
rxn24573		-13.73	1.18	=
rxn24574		-13.73	1.18	>
rxn24575		-13.73	1.18	=
rxn24576	R04801	-3.73	0.8	=
rxn24577		-3.73	0.8	=
rxn24578	R06960	-8.04	0.87	>
rxn24579		-8.04	0.87	=
rxn24580	R10023	-94.82	0.49	>
rxn24581	R10024	-100.63	0.64	>
rxn24582		-100.63	0.64	>
rxn24583	R10075	7.84	0.53	=
rxn24584		7.84	0.53	=
rxn24585		7.84	0.53	<
rxn24586		7.84	0.53	<
rxn24587		7.84	0.53	<
rxn24588		7.84	0.53	=
rxn24589		7.84	0.53	=
rxn24590		7.84	0.53	<
rxn24591		7.84	0.53	<
rxn24592		7.84	0.53	<
rxn24593		7.84	0.53	<
rxn24594		7.84	0.53	=
rxn24595		7.84	0.53	=
rxn24596		7.84	0.53	=
rxn24597		7.84	0.53	=
rxn24598		7.84	0.53	=
rxn24599		7.84	0.53	<
rxn24600		7.84	0.53	<
rxn24601		7.84	0.53	<
rxn24602		7.84	0.53	<
rxn24603		7.84	0.53	=
rxn24604		7.84	0.53	=
rxn24605		7.84	0.53	=
rxn24606		7.84	0.53	<
rxn24607		7.84	0.53	=
rxn24608		7.84	0.53	=
rxn24609		7.84	0.53	=
rxn24610		7.84	0.53	=
rxn24611		7.84	0.53	=
rxn24612		7.84	0.53	=
rxn24613		7.84	0.53	=
rxn24614		7.84	0.53	=
rxn24616		7.84	0.53	<
rxn24618		7.84	0.53	<
rxn24619		7.84	0.53	=
rxn24620		7.84	0.53	<
rxn24621		7.84	0.53	<
rxn24622		7.84	0.53	<
rxn24623		7.84	0.53	=
rxn24624		7.84	0.53	<
rxn24625		7.84	0.53	<
rxn24626		7.84	0.53	<
rxn24627		7.84	0.53	=
rxn24630		7.84	0.53	=
rxn24631		7.84	0.53	=
rxn24632		7.84	0.53	<
rxn24633		7.84	0.53	<
rxn24634		7.84	0.53	<
rxn24636	R10337	-17.89	0.34	>
rxn24637		-17.89	0.34	>
rxn24638		-17.89	0.34	>
rxn24639		-17.89	0.34	>
rxn24640		-17.89	0.34	>
rxn24641		-17.89	0.34	>
rxn24642		-17.89	0.34	>
rxn24643		-17.89	0.34	>
rxn24644		-17.89	0.34	>
rxn24645		-17.89	0.34	>
rxn24646		-17.89	0.34	>
rxn24647		-17.89	0.34	>
rxn24648		-17.89	0.34	>
rxn24649		-17.89	0.34	>
rxn24650		-17.89	0.34	>
rxn24651		-17.89	0.34	>
rxn24652		-17.89	0.34	>
rxn24653		-17.89	0.34	>
rxn24654		-17.89	0.34	>
rxn24655		-17.89	0.34	>
rxn24656		-17.89	0.34	>
rxn24657		-17.89	0.34	>
rxn24658		-17.89	0.34	>
rxn24659		-17.89	0.34	>
rxn24660		-17.89	0.34	>
rxn24661		-17.89	0.34	>
rxn24662		-17.89	0.34	>
rxn24663	R08677	4.1	0.31	<
rxn24664		4.1	0.31	=
rxn24665		4.1	0.31	=
rxn24666		4.1	0.31	=
rxn24667	R04700	89.77	0.76	<
rxn24668		89.77	0.76	<
rxn24669		89.77	0.76	<
rxn24670		89.77	0.76	<
rxn24671		89.77	0.76	<
rxn24672		89.77	0.76	<
rxn24673		89.77	0.76	<
rxn24674		89.77	0.76	<
rxn24675		89.77	0.76	<
rxn24676		89.77	0.76	<
rxn24677		89.77	0.76	<
rxn24678		89.77	0.76	<
rxn24679		89.77	0.76	<
rxn24680		89.77	0.76	<
rxn24681	R05856	23.35	0.64	<
rxn24682		23.35	0.64	<
rxn24683		23.35	0.64	<
rxn24684		23.35	0.64	<
rxn24685		23.35	0.64	<
rxn24686		23.35	0.64	<
rxn24687		23.35	0.64	<
rxn24688		23.35	0.64	<
rxn24689		23.35	0.64	<
rxn24690		23.35	0.64	<
rxn24692		23.35	0.64	<
rxn24693		23.35	0.64	<
rxn24694		23.35	0.64	<
rxn24695		23.35	0.64	<
rxn24696		23.35	0.64	<
rxn24697		23.35	0.64	<
rxn24698		23.35	0.64	<
rxn24699		23.35	0.64	<
rxn24700		23.35	0.64	<
rxn24701		23.35	0.64	<
rxn24702		23.35	0.64	<
rxn24703		23.35	0.64	<
rxn24704		23.35	0.64	<
rxn24705		23.35	0.64	<
rxn24706		23.35	0.64	<
rxn24707		23.35	0.64	<
rxn24708		23.35	0.64	<
rxn24709		23.35	0.64	<
rxn24710		23.35	0.64	<
rxn24711		23.35	0.64	<
rxn24713		23.35	0.64	<
rxn24714		23.35	0.64	<
rxn24715		23.35	0.64	<
rxn24716		23.35	0.64	<
rxn24717		23.35	0.64	<
rxn24718		23.35	0.64	<
rxn24829	R09394	-0.13	0.66	>
rxn24830		-0.13	0.66	=
rxn24831		-0.13	0.66	=
rxn24832		-0.13	0.66	=
rxn24833		-0.13	0.66	=
rxn24834		-0.13	0.66	=
rxn24835		-0.13	0.66	=
rxn24836		-0.13	0.66	=
rxn24837		-0.13	0.66	=
rxn24838		-0.13	0.66	=
rxn24839		-0.13	0.66	=
rxn24840		-0.13	0.66	=
rxn24841		-0.13	0.66	=
rxn24842		-0.13	0.66	=
rxn24843		-0.13	0.66	=
rxn24844		-0.13	0.66	=
rxn24845		-0.13	0.66	=
rxn24846		-0.13	0.66	=
rxn24847		-0.13	0.66	=
rxn24849		-0.13	0.66	=
rxn24851		-0.13	0.66	=
rxn24852		-0.13	0.66	=
rxn24853		-0.13	0.66	=
rxn24854		-0.13	0.66	=
rxn24855		-0.13	0.66	=
rxn24856		-0.13	0.66	=
rxn24857		-0.13	0.66	=
rxn24858		-0.13	0.66	=
rxn24859		-0.13	0.66	=
rxn24860		-0.13	0.66	=
rxn24861		-0.13	0.66	=
rxn24862		-0.13	0.66	=
rxn24863		-0.13	0.66	=
rxn24864		-0.13	0.66	=
rxn24865		-0.13	0.66	=
rxn24866		-0.13	0.66	=
rxn24867		-0.13	0.66	=
rxn24868		-0.13	0.66	=
rxn24869		-0.13	0.66	=
rxn24870		-0.13	0.66	=
rxn24871		-0.13	0.66	=
rxn24872		-0.13	0.66	=
rxn24873		-0.13	0.66	=
rxn24874		-0.13	0.66	=
rxn24875		-0.13	0.66	=
rxn24876		-0.13	0.66	=
rxn24877		-0.13	0.66	=
rxn24878		-0.13	0.66	=
rxn24879	R08207	-94.07	0.72	>
rxn24880		-94.07	0.72	>
rxn24881		-94.07	0.72	>
rxn24882		-94.07	0.72	>
rxn24883		-94.07	0.72	>
rxn24884		-94.07	0.72	>
rxn24885		-94.07	0.72	>
rxn24886		-94.07	0.72	>
rxn24887		-94.07	0.72	>
rxn24888		-94.07	0.72	>
rxn24889		-94.07	0.72	>
rxn24890		-94.07	0.72	>
rxn24891		-94.07	0.72	>
rxn24892		-94.07	0.72	>
rxn24893		-94.07	0.72	>
rxn24894		-94.07	0.72	>
rxn24895		-94.07	0.72	>
rxn24896		-94.07	0.72	>
rxn24897		-94.07	0.72	>
rxn24898		-94.07	0.72	>
rxn24899		-94.07	0.72	>
rxn24900		-94.07	0.72	>
rxn24901		-94.07	0.72	>
rxn24902		-94.07	0.72	>
rxn24903		-94.07	0.72	>
rxn24904		-94.07	0.72	>
rxn24905		-94.07	0.72	>
rxn24906		-94.07	0.72	>
rxn24907		-94.07	0.72	>
rxn24908		-94.07	0.72	>
rxn24909		-94.07	0.72	>
rxn24910	R10584	-27.69	1.36	>
rxn24911	R10599	-32.04	1.2	>
rxn24912		-32.04	1.2	>
rxn24913		-32.04	1.2	>
rxn24914		-32.04	1.2	>
rxn24915	R10598	-25.44	1.18	>
rxn24916		-25.44	1.18	>
rxn24917		-25.44	1.18	>
rxn24918		-25.44	1.18	>
rxn24919		-25.44	1.18	>
rxn24920		-25.44	1.18	>
rxn24921		-25.44	1.18	>
rxn24922		-25.44	1.18	>
rxn24923		-25.44	1.18	>
rxn24924		-25.44	1.18	>
rxn24925		-25.44	1.18	>
rxn24926		-25.44	1.18	>
rxn24927		-25.44	1.18	>
rxn24928		-25.44	1.18	>
rxn24929		-25.44	1.18	>
rxn24930		-25.44	1.18	>
rxn24931		-25.44	1.18	>
rxn24932		-25.44	1.18	>
rxn24934		-25.44	1.18	>
rxn24935		-25.44	1.18	>
rxn24936		-25.44	1.18	>
rxn24938		-25.44	1.18	>
rxn24939		-25.44	1.18	>
rxn24940		-25.44	1.18	>
rxn24941	R10234	-14.84	0.43	>
rxn24942		-14.84	0.43	>
rxn24943	R09603	-145.5	1.84	>
rxn24944		-145.5	1.84	>
rxn24945		-145.5	1.84	>
rxn24946		-145.5	1.84	>
rxn24948		-145.5	1.84	>
rxn24949		-145.5	1.84	>
rxn24951		-145.5	1.84	>
rxn24952		-145.5	1.84	>
rxn24954		-145.5	1.84	>
rxn24956		-145.5	1.84	>
