rxn_id	kegg_rxn_id	dG_mean_kcal_per_mol	dG_uncer_kcal_per_mol	operator
rxn00494	R00695	0.85	0.03	=
rxn00495	R00697	-0.8	0.02	>
rxn00496		-0.8	0.02	=
rxn00497	R00699	-11.64	0.26	>
rxn00498	R00702	-26.58	1.32	>
rxn00499	R00703	6.58	0.02	=
rxn00500	R00704	5.85	0.03	=
rxn00501	R00705	-5.06	0.05	=
rxn00502	R00706	-5.64	0.05	=
rxn00503	R00707	1.24	0.06	=
rxn00504	R00708	0.65	0.06	=
rxn00505	R00709	2.02	0.04	>
rxn00506	R00710	-11.01	0.03	>
rxn00507	R00711	-11.6	0.03	>
rxn00508	R00713	-5.61	0.03	=
rxn00509	R00714	-6.19	0.03	=
rxn00510	R00715	9.16	0.03	=
rxn00511	R00716	8.58	0.03	=
rxn00512	R00717	10.74	0.03	<
rxn00513	R00719	-6.4	0.02	>
rxn00514	R00720	-8.32	0.02	>
rxn00515	R00722	-0.0	0.02	=
rxn00516	R00723	-6.07	0.02	>
rxn00517	R00724	6.57	0.02	=
rxn00518	R00725	-3.43	0.02	=
rxn00519	R00726	2.54	0.04	>
rxn00520	R00727	0.1	0.02	=
rxn00521	R00728	7.04	0.05	=
rxn00522	R00729	-22.97	0.05	>
rxn00523	R00730	-59.48	0.45	>
rxn00524	R00731	-64.13	0.43	>
rxn00525	R00732	19.75	0.88	<
rxn00526	R00733	19.17	0.88	<
rxn00527	R00734	0.02	0.03	=
rxn00528	R00735	-10.25	0.42	>
rxn00529	R00736	-11.64	0.26	>
rxn00530	R00737	-0.8	0.02	>
rxn00531	R00739	-4.63	0.36	=
rxn00532	R00740	0.24	0.17	<
rxn00533	R00742	0.66	0.16	=
rxn00534	R00743	-0.97	0.14	=
rxn00535		-0.97	0.14	=
rxn00536	R00746	4.61	0.02	=
rxn00537	R00747	-30.31	0.29	>
rxn00538	R00748	-9.29	0.19	>
rxn00539	R00749	-7.2	0.22	>
rxn00540	R00750	-4.85	0.16	=
rxn00541	R00751	2.41	0.03	=
rxn00542	R00753	5.33	0.03	=
rxn00543	R00754	5.19	0.02	=
rxn00544	R00755	-3.18	0.43	=
rxn00545	R00756	-3.77	0.02	=
rxn00546	R00758	2.75	0.03	=
rxn00547	R00760	-3.43	0.02	=
rxn00548	R00761	-11.43	0.03	>
rxn00549	R00762	-2.62	0.02	>
rxn00550	R00763	-6.39	0.24	>
rxn00551	R00764	-1.2	0.02	=
rxn00552	R00765	0.54	0.03	>
rxn00553	R00766; R06073	0.7	0.27	=
rxn00554	R00767	-3.77	0.02	=
rxn00555	R00768	-3.32	0.03	=
rxn00556	R00769	-3.55	0.02	=
rxn00557	R00770	-3.77	0.02	=
rxn00558	R00771	0.21	0.02	=
rxn00559	R00772	0.05	0.03	=
rxn00560	R00774	10.48	0.24	=
