ModelSEED ID	Layer	External IDs
cpd00936	t:13-,14+,17+,18-,19-,20-,22+,24+,25-,26-,30+	FORMYL-THMPT
cpd00940	c:1-5-21(34,4-41-47(35,36)37)16(45-17-9(26-2)12(32)10(30)6(3-29)43-17)18(42-5)44-14-7(27-19(22)23)11(31)8(28-20(24)25)15(13(14)33)46-48(38,39)40	C01280
cpd00940	c:1-5-21(4-30,46-48(38,39)40)16(44-17-9(26-2)12(33)10(31)6(3-29)42-17)18(41-5)43-14-7(27-19(22)23)11(32)8(28-20(24)25)15(13(14)34)45-47(35,36)37	DIHYDROSTREPTOMYCIN-3-ALPHA-6-BISPHOSPH
cpd00940	t:5-,6-,7-,8+,9-,10-,11-,12-,13-,14+,15-,16-,17-,18-,21+	C01280
cpd00940	t:5-,6-,7-,8+,9-,10-,11-,12-,13-,14+,15-,16-,17-,18?,21+	DIHYDROSTREPTOMYCIN-3-ALPHA-6-BISPHOSPH
cpd00949	t:13-,14+,15-,16-,17+,18+,19-,22+,23+,24-	CPD-345
cpd00949	t:13?,14-,15+,16?,17?,18?,19+,22?,23?,24?	C01292
cpd00955	t:16-,17-,18+,19-,20-,21+,22+,23-,24+,25+,26+,27-	3-ALPHA7-ALPHA12-ALPHA-TRIHYDROX
cpd00955	t:16?,17-,18+,19-,20-,21+,22+,23-,24+,25+,26+,27-	C01301
cpd00958	t:5-,7+,8+,9+,10-,11+,13+,14-	CPD-36
cpd00958	t:5-,7+,8+,9+,10-,11+,13?,14-	C01310
cpd01072	t:10-,11+,13-,16-,17-	C01516
cpd01072	t:10?,11-,13?,16?,17+	MORPHINE
cpd01085	t:10-,11+,12-,14-,15-,17-,18-	C01540
cpd01085	t:10-,11?,12-,14-,15-,17-,18-	VIOMYCIN
cpd01102	t:13-,14-	C01564
cpd01102	t:13?,14-	CETRAXATE
cpd01118	c:1-12(2)9-16(24-14(5)28)18(29)26-19(30)17(10-13(3)4)25-15(11-27)7-6-8-23-20(21)22	LEUPEPTIN
cpd01118	c:1-12(2)9-16(24-14(5)28)19(30)26-17(10-13(3)4)18(29)25-15(11-27)7-6-8-23-20(21)22	C01591
cpd01118	h:11-13,15-17,25H,6-10H2,1-5H3,(H,24,28)(H4,21,22,23)(H,26,29,30)	LEUPEPTIN
cpd01118	h:11-13,15-17H,6-10H2,1-5H3,(H,24,28)(H,25,29)(H,26,30)(H4,21,22,23)	C01591
cpd01119	h:1-7,16-17,19H,8H2	C01592
cpd01119	h:1-8,16-19H	LICODIONE
cpd01132	t:14-,15+,16+,18+,22+	C01610
cpd01132	t:14?,15-,16-,18-,22-	PUROMYCIN
cpd01143	t:19-,20+,21+,23+,24+,25-	C01626
cpd01143	t:19-,20+,21+,23-,24+,25-	VINDOLINE
cpd01172	t:10-,11+,12-,13-,16+,17+,18+,19-	GIBBERELLIN
cpd01172	t:10-,11+,12-,13-,16-,17+,18+,19-	C01699
cpd01178	t:5-,6+,7-,8+,9+,10-,11-,12+	INULOBIOSE
cpd01178	t:5-,6-,7-,8-,9+,10+,11?,12-	C01711
cpd01188	t:21-,22-,25+,26+,28-,29-,30+	C01724
cpd01188	t:21?,22?,25?,26-,28+,29+,30-	LANOSTEROL
cpd01196	t:10-,11+,16-,17-	C01735
cpd01196	t:10?,11-,16?,17+	MORPHINONE
cpd01200	t:4-,5-,6-,7-,8+,9-,10+,11+,12-	CPD-230
cpd01200	t:4-,5-,6-,7-,8+,9-,10+,11+,12?	C01742
cpd01213	h:2-3,7-8H,1H3,(H,9,10)	TRIACETATE
cpd01213	h:2-3H2,1H3,(H,9,10)	C01757
cpd01216	t:12-,15+,16+,17?,19-,20-,21?	VOMILENINE
cpd01216	t:12-,15-,16-,17?,19+,20+,21+	C01761
cpd01218	t:7-,8?,10+	CPD-1903
cpd01218	t:7?,8-,10?	C01765
cpd01234	t:19-,20-,22+,23+,24-,25+,26+,27+,28-	C01789
cpd01234	t:19-,20-,22+,23?,24?,25?,26?,27+,28-	CPD-707
cpd01237	t:23-,24+,25-,26-,27+,28+,29-,30-,31+,34+,36-,37-,38+,42-,44+,45-	C01794
cpd01237	t:23?,24-,25+,26+,27-,28-,29+,30+,31-,34-,36+,37+,38-,42+,44-,45+	CPD-202
cpd01239	c:5-1-3(7)4(8)2-6	ERYTHROSE
cpd01239	c:5-2-1-8-4(7)3(2)6	C01796
cpd01239	h:1,3-4,6-8H,2H2	ERYTHROSE
cpd01239	h:2-7H,1H2	C01796
cpd01239	t:2-,3-,4?	C01796
cpd01239	t:3-,4+	ERYTHROSE
cpd01242	c:6-2-1-4(8)5(9)3-7	2-DEOXYRIBOSE
cpd01242	c:6-2-4-3(7)1-5(8)9-4	C01801
cpd01242	h:2,4-5,7-9H,1,3H2	2-DEOXYRIBOSE
cpd01242	h:3-8H,1-2H2	C01801
cpd01257	t:2-,3+,4+,5-,6+	CPD-13428
cpd01257	t:2-,3+,4+,5-,6?	C01825
cpd01266	t:11-,12-,13+,15?	C01841
cpd01266	t:11-,12?,13?,15?	CPD-1763
cpd01277	t:1-,2+,3-,4+,5-,6-	C01854
cpd01277	t:1-,2+,3?,4+,5-,6?	CPD-10147
cpd01280	c:1-12-7-10-14(3,11-8-12)15(4)9-5-6-13(15)2	C01860
cpd01280	c:1-12-7-5-9-14(3,11-12)15(4)10-6-8-13(15)2	TRICHODIENE-CPD
cpd01280	h:11H,2,5-10H2,1,3-4H3	TRICHODIENE-CPD
cpd01280	h:7H,2,5-6,8-11H2,1,3-4H3	C01860
cpd01302	t:16-,17+,18-,21-,23+,24+,25-,29+	C01894
cpd01302	t:16-,17?,18-,21-,23?,24?,25?,29?	CPD-203
cpd01306	h:21-25,31H,1,8-19H2,2-7H3	CYCLOARTENOL
cpd01306	h:9,21-25,31H,8,10-19H2,1-7H3	C01902
cpd01306	t:21-,22-,23+,24+,25+,27-,28+,29-,30+	C01902
cpd01306	t:21-,22-,23+,24+,25+,27-,28+,29?,30?	CYCLOARTENOL
cpd01320	t:5-,6+,7+,8-,9+,10-,11+,12-,13+,14-,15-,16+,17+,18-,19+,20?	C01925
cpd01320	t:5-,6-,7+,8-,9+,10-,11+,12+,13-,14?,15-,16+,17+,18+,19+,20?	HYGROMYCIN-B
cpd01334	t:21-,22+,23-,24+,27+,28+,29-,30+	C01943
cpd01334	t:21-,22+,23?,24+,27+,28+,29-,30+	OBTUSIFOLIOL
cpd01336	t:26-,27-,28+,30+,31+,32+,33-,34+,35-,36-,37+,38+,39-,41-,42+,43-,44-	CPD-13256
cpd01336	t:26-,27-,28+,30+,31+,32+,33-,34+,35-,36-,37?,38+,39?,41-,42+,43-,44-	C01945
cpd01355	t:3-,4-,5-,6+,7-,8-,9-,10-,11-,12-	C01971
cpd01355	t:3-,4-,5-,6+,7-,8-,9-,10-,11?,12-	MALTOSE
cpd01375	t:9-,10-,13+,14-	BLASTICIDIN-S
cpd01375	t:9?,10-,13+,14-	C02010
cpd01376	c:25-1-5-9(29)10(30)15(35)22(40-5)44-19-7(3-27)42-24(17(37)12(19)32)45-20-8(4-28)41-23(16(36)13(20)33)43-18-6(2-26)39-21(38)14(34)11(18)31	C02013
cpd01376	c:25-1-6(30)11(32)19(7(31)2-26)43-23-17(38)14(35)21(9(4-28)41-23)45-24-18(39)15(36)20(10(5-29)42-24)44-22-16(37)13(34)12(33)8(3-27)40-22	CPD-13205
cpd01376	h:1,6-24,26-39H,2-5H2	CPD-13205
cpd01376	h:5-38H,1-4H2	C02013
cpd01376	t:5-,6-,7-,8-,9-,10+,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21?,22+,23+,24+	C02013
cpd01376	t:6-,7+,8+,9+,10+,11+,12+,13-,14+,15+,16+,17+,18+,19+,20+,21+,22-,23-,24-	CPD-13205
cpd01378	t:21-,22-,27-,28-,29-,30-,31?,32?,39-,40-	C02015
cpd01378	t:21-,22-,27?,28?,29?,30?,31-,32-,39-,40-	CPD-317
cpd01384	t:1-,2-,3-,4-,6-	CPD-364
cpd01384	t:1-,2-,3-,4-,6?	C02024
cpd01389	t:12-,13+,14+,17+,18+,19-,20-	CPD1F-96
cpd01389	t:12-,13+,14?,17+,18+,19-,20-	C02034
cpd01390	t:11-,12-,13-,16-,17+,18+,19-	C02035
cpd01390	t:11-,12-,13?,16+,17+,18+,19-	CPD1F-140
cpd01396	t:13-,14+,15+,16-	C02046
cpd01396	t:13-,14+,15?,16-	L-HYOSCYAMINE
cpd01399	t:5-,6-,7-,8-,9-,10+,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21+,22-,23-,24-	MALTOTETRAOSE
cpd01399	t:5-,6-,7-,8-,9-,10+,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21?,22-,23-,24-	C02052
cpd01402	t:27-,28-,29+,30-,34-,35-,36+,40-	C02060
cpd01402	t:27-,28-,29?,30-,34-,35-,36+,40-	CPD-206
cpd01406	t:13-,16+,17+,18-,19?,20-,21+,22-,24-,25-,26+,27?	RAUCAFFRICINE
cpd01406	t:13-,16-,17-,18+,19?,20+,21-,22+,24+,25+,26-,27+	C02074
cpd01407	c:8-1-3(10)5(12)7(14)6(13)4(11)2-9	SEDOHEPTULOSE
cpd01407	c:8-1-3-4(10)5(11)6(12)7(13,2-9)14-3	C02076
cpd01407	h:3,5-10,12-14H,1-2H2	SEDOHEPTULOSE
cpd01407	h:3-6,8-13H,1-2H2	C02076
cpd01407	t:3-,4-,5-,6+,7?	C02076
cpd01407	t:3-,5-,6-,7-	SEDOHEPTULOSE
cpd01410	t:17-,20-,26-,28+	STAUROSPORINE
cpd01410	t:17-,20?,26-,28+	C02079
cpd01441	c:1-4(16)23-3-6-7(17)8(18)11(21)14(25-6)26-12-5(2-15)24-13(22)10(20)9(12)19	C02130
cpd01441	c:1-4(17)23-13-11(22)9(20)12(6(3-16)25-13)26-14-10(21)8(19)7(18)5(2-15)24-14	ACETYLMALTOSE
cpd01441	h:5-15,17-22H,2-3H2,1H3	C02130
cpd01441	h:5-16,18-22H,2-3H2,1H3	ACETYLMALTOSE
cpd01441	t:5-,6-,7-,8+,9-,10-,11-,12-,13+,14-	ACETYLMALTOSE
cpd01441	t:5-,6-,7-,8+,9-,10-,11-,12-,13?,14-	C02130
cpd01451	t:21-,22+,23-,24+,25+,26+,27-,28+,29-,30+	C02141
cpd01451	t:21-,22+,23?,24?,25+,26?,27-,28+,29?,30?	CYCLOEUCALENOL
cpd01465	b:7-6-,10-9+,12-11+,16-13+	LEUKOTRIENE-C4
cpd01465	b:7-6-,10-9-,12-11+,16-13+	C02166
cpd01481	t:5-,6+,8-,9+,10+,11+,12+,13?,14+	C02199
cpd01481	t:5-,6?,8-,9+,10+,11+,12+,13?,14?	UDP-L-RHAMNOSE
cpd01482	t:5-,6-,8-,9-,10-,11-,12-,13-,14-	C02200
cpd01482	t:5-,6-,8-,9-,10-,11-,12-,13-,14?	UDP-D-GLUCOSAMINE
cpd01493	h:2-3,7H,1H3,(H,8,9)	C02216
cpd01493	h:2-3H,7H2,1H3	1-METHYLADENINE
cpd01496	b:3-1+,4-2-	2-AMINO-MUCONATE
cpd01496	b:3-1-,4-2+	C02220
cpd01517	c:16-2-6-8(18)9(19)11(20-6)15-4-14-5-1-7(17)12-3-13-10(5)15	8-OXOCOFORMYCIN
cpd01517	c:16-2-6-8(18)9(19)11(20-6)15-4-14-7-5(17)1-12-3-13-10(7)15	C02243
cpd01517	h:3-4,6,8-9,11,16,18-19H,1-2H2,(H,12,13)	C02243
cpd01517	h:3-4,6,8-9,11,16,18-19H,1-2H2,(H,12,13,17)	8-OXOCOFORMYCIN
cpd01532	t:1-,2+,3+,4+,5+,6+,7-,8-,11-,12-	CPD-12435
cpd01532	t:1-,2+,3+,4+,5+,6+,7-,8-,11?,12-	C02273
cpd01537	t:19-,21-,22-,23+,26+,27-,28-,29+,30+	C02283
cpd01537	t:19?,21?,22-,23?,26+,27-,28-,29+,30+	CPD-13675
cpd01538	t:19-,21-,22-,23-,24-,25-,26-,27+,28-,29-,30+,31+,34-,35+,38+,39-,40-,41+,42+	C02284
